year,bula_h,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,Schleswig-Holstein,Urban regions,147,6.7010695838293906,6.517156544647735,6.884982623011046,5.0,7.0,8.0,0.5,10.0,7.0,6.974999999999994,8.0
1987,Schleswig-Holstein,Rural regions,169,6.077091959181525,5.890930330123991,6.263253588239058,4.0,6.0,8.0,0.0,10.0,6.0,5.0,7.0
1987,Hamburg,Urban regions,217,6.539075127535405,6.379737108705753,6.6984131463650565,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
1987,Hamburg,Rural regions,,,,,,,,,,,,
1987,Lower Saxony,Urban regions,518,6.389650246459379,6.2911523108166625,6.488148182102095,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1987,Lower Saxony,Rural regions,549,6.532327539585688,6.435295163161414,6.629359916009961,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1987,Bremen,Urban regions,100,6.465397658797323,6.175162436910088,6.755632880684558,5.0,7.0,9.0,0.0,10.0,7.0,6.0,9.0
1987,North Rhine-Westphalia,Urban regions,2661,6.545047817290617,6.50338414394493,6.586711490636303,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1987,North Rhine-Westphalia,Rural regions,68,6.286807395527833,6.03954589972688,6.534068891328786,5.0,6.0,8.0,2.0,10.0,6.0,5.0,7.0
1987,Hesse,Urban regions,885,6.80325839844237,6.7314760479787035,6.875040748906037,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1987,Hesse,Rural regions,143,6.741389695712181,6.569399209845481,6.913380181578881,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0
1987,"Rhineland-Palatinate, Saarland",Urban regions,609,6.504092583319487,6.408986738858359,6.599198427780615,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1987,"Rhineland-Palatinate, Saarland",Rural regions,144,6.446098079194514,6.31473488294399,6.577461275445038,5.0,7.0,8.0,1.0,10.0,7.0,7.0,8.0
1987,Baden-Wuerttemberg,Urban regions,1622,6.507588821581271,6.454115736675534,6.561061906487008,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
