"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 J.","6.12","5.5","4428","6.04","6.2"
"1984","35-65 J.","6.57","6.5","6275","6.51","6.63"
"1984","66 und älter","6.86","6.5","1259","6.72","7"
"1985","16-34 J.","6.25","6.5","3999","6.17","6.33"
"1985","35-65 J.","6.49","6.5","5713","6.43","6.55"
"1985","66 und älter","6.94","6.5","1096","6.8","7.08"
"1986","16-34 J.","6.29","6.5","3981","6.22","6.36"
"1986","35-65 J.","6.57","6.5","5442","6.51","6.63"
"1986","66 und älter","7.05","6.5","1023","6.91","7.19"
"1987","16-34 J.","6.3","6.5","3937","6.23","6.37"
"1987","35-65 J.","6.54","6.5","5336","6.48","6.6"
"1987","66 und älter","7.13","6.5","1065","7","7.26"
"1988","16-34 J.","6.34","6.5","3750","6.27","6.41"
"1988","35-65 J.","6.54","6.5","5071","6.48","6.6"
"1988","66 und älter","7.03","6.5","1033","6.89","7.17"
"1989","16-34 J.","6.4","6.5","3683","6.33","6.47"
"1989","35-65 J.","6.58","6.5","4863","6.52","6.64"
"1989","66 und älter","7.09","6.5","1007","6.95","7.23"
"1990","16-34 J.","6.19","6.5","5226","6.13","6.25"
"1990","35-65 J.","6.5","6.5","7052","6.45","6.55"
"1990","66 und älter","6.88","6.5","1449","6.75","7.01"
"1991","16-34 J.","6.21","6.5","5046","6.14","6.28"
"1991","35-65 J.","6.42","6.5","6964","6.36","6.48"
"1991","66 und älter","7.02","6.5","1439","6.9","7.14"
"1992","16-34 J.","6.19","6.5","4873","6.13","6.25"
"1992","35-65 J.","6.34","6.5","6865","6.29","6.39"
"1992","66 und älter","6.71","6.5","1439","6.59","6.83"
"1993","16-34 J.","6.05","5.5","4644","5.98","6.12"
"1993","35-65 J.","6.35","6.5","6674","6.3","6.4"
"1993","66 und älter","6.82","6.5","1438","6.7","6.94"
"1994","16-34 J.","5.87","5.5","4577","5.8","5.94"
"1994","35-65 J.","6.18","6.5","6518","6.12","6.24"
"1994","66 und älter","6.92","6.5","1468","6.81","7.03"
"1995","16-34 J.","5.91","5.5","4709","5.84","5.98"
"1995","35-65 J.","6.22","6.5","6765","6.17","6.27"
"1995","66 und älter","7.09","6.5","1501","6.98","7.2"
"1996","16-34 J.","6.01","5.5","4565","5.94","6.08"
"1996","35-65 J.","6.27","6.5","6687","6.22","6.32"
"1996","66 und älter","7.02","6.5","1530","6.91","7.13"
"1997","16-34 J.","5.88","5.5","4398","5.81","5.95"
"1997","35-65 J.","6.02","5.5","6578","5.97","6.07"
"1997","66 und älter","6.8","6.5","1558","6.7","6.9"
"1998","16-34 J.","5.91","5.5","4619","5.84","5.98"
"1998","35-65 J.","6.15","6.5","7439","6.1","6.2"
"1998","66 und älter","6.95","6.5","1821","6.85","7.05"
"1999","16-34 J.","6","5.5","4369","5.93","6.07"
"1999","35-65 J.","6.24","6.5","7221","6.19","6.29"
"1999","66 und älter","6.94","6.5","1772","6.84","7.04"
"2000","16-34 J.","6.22","6.5","6733","6.16","6.28"
"2000","35-65 J.","6.41","6.5","13320","6.37","6.45"
"2000","66 und älter","7.02","6.5","3556","6.95","7.09"
"2001","16-34 J.","6.25","6.5","6028","6.19","6.31"
"2001","35-65 J.","6.49","6.5","12159","6.45","6.53"
"2001","66 und älter","7.15","6.5","3363","7.08","7.22"
"2002","16-34 J.","6.02","5.5","5828","5.96","6.08"
"2002","35-65 J.","6.22","6.5","13215","6.18","6.26"
"2002","66 und älter","6.83","6.5","3553","6.76","6.9"
"2003","16-34 J.","5.9","5.5","5567","5.84","5.96"
"2003","35-65 J.","6.09","5.5","12612","6.05","6.13"
"2003","66 und älter","6.81","6.5","3620","6.74","6.88"
"2004","16-34 J.","5.82","5.5","5297","5.76","5.88"
"2004","35-65 J.","5.94","5.5","12128","5.9","5.98"
"2004","66 und älter","6.48","6.5","3702","6.41","6.55"
"2005","16-34 J.","5.83","5.5","5069","5.77","5.89"
"2005","35-65 J.","5.95","5.5","11523","5.91","5.99"
"2005","66 und älter","6.57","6.5","3718","6.5","6.64"
"2006","16-34 J.","5.84","5.5","4913","5.77","5.91"
"2006","35-65 J.","5.93","5.5","12324","5.89","5.97"
"2006","66 und älter","6.43","6.5","4355","6.37","6.49"
"2007","16-34 J.","5.95","5.5","4534","5.88","6.02"
"2007","35-65 J.","5.94","5.5","11378","5.9","5.98"
"2007","66 und älter","6.46","6.5","4281","6.4","6.52"
"2008","16-34 J.","6.05","5.5","4163","5.98","6.12"
"2008","35-65 J.","5.97","5.5","10598","5.93","6.01"
"2008","66 und älter","6.44","6.5","4245","6.38","6.5"
"2009","16-34 J.","6.05","5.5","3794","5.98","6.12"
"2009","35-65 J.","6.06","6.5","9819","6.01","6.11"
"2009","66 und älter","6.45","6.5","4106","6.38","6.52"
"2010","16-34 J.","6.21","6.5","6376","6.15","6.27"
"2010","35-65 J.","6.11","6.5","13293","6.07","6.15"
"2010","66 und älter","6.61","6.5","3982","6.55","6.67"
"2011","16-34 J.","6.44","6.5","6116","6.38","6.5"
"2011","35-65 J.","6.32","6.5","14952","6.28","6.36"
"2011","66 und älter","6.59","6.5","4412","6.53","6.65"
"2012","16-34 J.","6.5","6.5","5864","6.44","6.56"
"2012","35-65 J.","6.43","6.5","15377","6.39","6.47"
"2012","66 und älter","6.73","6.5","4858","6.67","6.79"
"2013","16-34 J.","6.57","6.5","7624","6.52","6.62"
"2013","35-65 J.","6.53","6.5","17678","6.5","6.56"
"2013","66 und älter","6.84","6.5","4990","6.78","6.9"
"2014","16-34 J.","6.59","6.5","6270","6.53","6.65"
"2014","35-65 J.","6.52","6.5","15519","6.48","6.56"
"2014","66 und älter","6.89","6.5","4899","6.83","6.95"
"2015","16-34 J.","6.72","6.5","5458","6.66","6.78"
"2015","35-65 J.","6.65","6.5","14362","6.61","6.69"
"2015","66 und älter","7.05","7.5","4848","6.99","7.11"
"2016","16-34 J.","6.74","6.5","5319","6.68","6.8"
"2016","35-65 J.","6.74","6.5","13831","6.7","6.78"
"2016","66 und älter","7.13","7.5","4658","7.07","7.19"
"2017","16-34 J.","6.84","6.5","5837","6.78","6.9"
"2017","35-65 J.","6.77","6.5","15316","6.74","6.8"
"2017","66 und älter","7.06","6.5","4918","7","7.12"
"2018","16-34 J.","6.79","6.5","5722","6.73","6.85"
"2018","35-65 J.","6.79","6.5","14600","6.75","6.83"
"2018","66 und älter","7.06","6.5","4958","7","7.12"
"2019","16-34 J.","7.07","6.5","5208","7.01","7.13"
"2019","35-65 J.","6.99","6.5","15126","6.96","7.02"
"2019","66 und älter","7.2","7.5","5193","7.14","7.26"
"2020","16-34 J.","7.01","6.5","6062","6.96","7.06"
"2020","35-65 J.","6.92","6.5","14430","6.89","6.95"
"2020","66 und älter","7.24","7.5","4888","7.18","7.3"
