"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","6.19","5.5","849","2","5","8","10","10","6","6.38","0","10","6","7"
"1984","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1984","AkademikerIn","7.31","7.5","787","4","6","9","10","10","7.15","7.47","0","10","8","8"
"1984","Hauptschule","6.32","6.5","7174","3","5","8","10","10","6.26","6.38","0","10","6","7"
"1984","Realschule","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","6.28","6.5","773","3","5","8","10","10","6.1","6.46","0","10","6","7"
"1985","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1985","AkademikerIn","7.28","7.5","749","4","6","9","10","10","7.12","7.44","0","10","8","8"
"1985","Hauptschule","6.34","6.5","6345","3","5","8","10","10","6.28","6.4","0","10","7","7"
"1985","Realschule","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","6.39","6.5","799","3","5","8","10","10","6.21","6.57","0","10","6","7"
"1986","(noch) kein Abschluss","6.24","5.5","994","3","5","8","10","10","6.08","6.4","0","10","6","6"
"1986","AkademikerIn","7.28","7.5","746","5","6","9","10","10","7.13","7.43","0","10","8","8"
"1986","Hauptschule","6.41","6.5","6031","3","5","8","10","10","6.35","6.47","0","10","7","7"
"1986","Realschule","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","6.51","6.5","772","3","5","8","9","10","6.34","6.68","0","10","7","7"
"1987","(noch) kein Abschluss","6.22","6.5","971","3","5","8","9","10","6.07","6.37","0","10","6","7"
"1987","AkademikerIn","7.14","7.5","740","4","6","9","10","10","6.98","7.3","0","10","8","8"
"1987","Hauptschule","6.45","6.5","5964","3","5","8","9","10","6.39","6.51","0","10","7","7"
"1987","Realschule","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","6.47","6.5","727","3","5","8","9","10","6.31","6.63","0","10","7","7"
"1988","(noch) kein Abschluss","6.16","5.5","880","3","5","8","10","10","6","6.32","0","10","6","7"
"1988","AkademikerIn","7.19","7.5","699","4","6","9","10","10","7.03","7.35","0","10","8","8"
"1988","Hauptschule","6.46","6.5","5698","3","5","8","9","10","6.4","6.52","0","10","7","7"
"1988","Realschule","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","6.6","6.5","742","3","5","8","9","10","6.44","6.76","0","10","7","7"
"1989","(noch) kein Abschluss","6.08","5.5","853","2","5","8","9","10","5.92","6.24","0","10","6","6"
"1989","AkademikerIn","7.3","7.5","697","5","6","9","10","10","7.15","7.45","0","10","8","8"
"1989","Hauptschule","6.46","6.5","5454","3","5","8","9","10","6.4","6.52","0","10","7","7"
"1989","Realschule","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","6.45","6.5","865","3","5","8","9","10","6.31","6.59","0","10","7","7"
"1990","(noch) kein Abschluss","6.31","5.5","859","3","5","8","9","10","6.16","6.46","0","10","6","6"
"1990","AkademikerIn","","","","","","","","","","","","","",""
"1990","Hauptschule","6.41","6.5","6959","3","5","8","9","10","6.36","6.46","0","10","6","7"
"1990","Realschule","6.46","6.5","3151","3","5","8","9","10","6.38","6.54","0","10","6","7"
