"year","age_gr","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","17-34","(Fach-)Abitur","5.72","5.5","554","5.49","5.95"
"1984","17-34","(noch) kein Abschluss","6.07","5.5","474","5.82","6.32"
"1984","17-34","AkademikerIn","6.93","7.5","244","6.62","7.24"
"1984","17-34","Hauptschule","5.89","5.5","2173","5.78","6"
"1984","17-34","Realschule","6.51","6.5","956","6.35","6.67"
"1984","35-65","(Fach-)Abitur","6.99","6.5","247","6.67","7.31"
"1984","35-65","(noch) kein Abschluss","5.82","5.5","744","5.63","6.01"
"1984","35-65","AkademikerIn","7.36","7.5","480","7.16","7.56"
"1984","35-65","Hauptschule","6.38","6.5","4049","6.3","6.46"
"1984","35-65","Realschule","7.09","6.5","698","6.92","7.26"
"1984","66 +","(Fach-)Abitur","7.3","7.5","48","6.58","8.02"
"1984","66 +","(noch) kein Abschluss","","","","",""
"1984","66 +","AkademikerIn","7.94","8.5","63","7.35","8.53"
"1984","66 +","Hauptschule","6.65","6.5","952","6.49","6.81"
"1984","66 +","Realschule","7.59","7.5","177","7.27","7.91"
"1985","17-34","(Fach-)Abitur","5.87","5.5","506","5.64","6.1"
"1985","17-34","(noch) kein Abschluss","6.57","6.5","388","6.31","6.83"
"1985","17-34","AkademikerIn","6.7","6.5","234","6.39","7.01"
"1985","17-34","Hauptschule","6.06","5.5","1864","5.95","6.17"
"1985","17-34","Realschule","6.53","6.5","932","6.38","6.68"
"1985","35-65","(Fach-)Abitur","6.8","7.5","224","6.47","7.13"
"1985","35-65","(noch) kein Abschluss","5.92","5.5","628","5.72","6.12"
"1985","35-65","AkademikerIn","7.41","7.5","460","7.22","7.6"
"1985","35-65","Hauptschule","6.29","6.5","3666","6.21","6.37"
"1985","35-65","Realschule","6.9","6.5","677","6.74","7.06"
"1985","66 +","(Fach-)Abitur","7.65","7.5","43","6.99","8.31"
"1985","66 +","(noch) kein Abschluss","","","","",""
"1985","66 +","AkademikerIn","8.06","8.5","55","7.49","8.63"
"1985","66 +","Hauptschule","6.74","6.5","815","6.58","6.9"
"1985","66 +","Realschule","7.5","7.5","164","7.14","7.86"
"1986","17-34","(Fach-)Abitur","5.97","5.5","543","5.76","6.18"
"1986","17-34","(noch) kein Abschluss","6.33","6.5","392","6.08","6.58"
"1986","17-34","AkademikerIn","6.92","7.5","226","6.61","7.23"
"1986","17-34","Hauptschule","6.12","5.5","1812","6.01","6.23"
"1986","17-34","Realschule","6.54","6.5","931","6.4","6.68"
"1986","35-65","(Fach-)Abitur","7.03","7.5","211","6.68","7.38"
"1986","35-65","(noch) kein Abschluss","6.01","5.5","581","5.81","6.21"
"1986","35-65","AkademikerIn","7.25","7.5","467","7.07","7.43"
"1986","35-65","Hauptschule","6.37","6.5","3473","6.29","6.45"
"1986","35-65","Realschule","7.02","6.5","653","6.86","7.18"
"1986","66 +","(Fach-)Abitur","7.74","7.5","45","7.18","8.3"
"1986","66 +","(noch) kein Abschluss","","","","",""
"1986","66 +","AkademikerIn","8.39","8.5","53","7.92","8.86"
"1986","66 +","Hauptschule","6.84","6.5","746","6.68","7"
"1986","66 +","Realschule","7.48","7.5","158","7.13","7.83"
"1987","17-34","(Fach-)Abitur","6.16","5.5","525","5.97","6.35"
"1987","17-34","(noch) kein Abschluss","6.43","6.5","370","6.19","6.67"
"1987","17-34","AkademikerIn","6.64","6.5","217","6.31","6.97"
"1987","17-34","Hauptschule","6.09","5.5","1784","5.98","6.2"
"1987","17-34","Realschule","6.58","6.5","945","6.44","6.72"
"1987","35-65","(Fach-)Abitur","7.1","7.5","203","6.75","7.45"
"1987","35-65","(noch) kein Abschluss","5.74","5.5","582","5.55","5.93"
"1987","35-65","AkademikerIn","7.16","7.5","465","6.97","7.35"
"1987","35-65","Hauptschule","6.38","6.5","3399","6.3","6.46"
"1987","35-65","Realschule","6.92","6.5","633","6.76","7.08"
"1987","66 +","(Fach-)Abitur","7.53","7.5","44","6.87","8.19"
"1987","66 +","(noch) kein Abschluss","","","","",""
"1987","66 +","AkademikerIn","8.14","7.5","58","7.64","8.64"
"1987","66 +","Hauptschule","6.97","6.5","781","6.82","7.12"
"1987","66 +","Realschule","7.44","7.5","162","7.11","7.77"
"1988","17-34","(Fach-)Abitur","6.17","5.5","486","5.97","6.37"
"1988","17-34","(noch) kein Abschluss","6.31","5.5","324","6.04","6.58"
"1988","17-34","AkademikerIn","6.82","7.5","201","6.51","7.13"
"1988","17-34","Hauptschule","6.22","6.5","1723","6.1","6.34"
"1988","17-34","Realschule","6.54","6.5","897","6.4","6.68"
"1988","35-65","(Fach-)Abitur","6.66","6.5","197","6.34","6.98"
"1988","35-65","(noch) kein Abschluss","5.99","5.5","536","5.78","6.2"
"1988","35-65","AkademikerIn","7.21","7.5","442","7.01","7.41"
"1988","35-65","Hauptschule","6.38","6.5","3221","6.3","6.46"
"1988","35-65","Realschule","6.92","6.5","620","6.77","7.07"
"1988","66 +","(Fach-)Abitur","7.96","7.5","44","7.38","8.54"
"1988","66 +","(noch) kein Abschluss","","","","",""
"1988","66 +","AkademikerIn","7.97","7.5","56","7.43","8.51"
"1988","66 +","Hauptschule","6.89","6.5","754","6.73","7.05"
"1988","66 +","Realschule","7.18","7.5","158","6.81","7.55"
