year,bula_h,sampreg,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,West,Yes,0.12184,110,651,0.09670,0.14699
2011,Schleswig-Holstein,West,No,0.63443,541,651,0.59740,0.67145
2011,Hamburg,West,Yes,0.10302,43,311,0.06918,0.13686
2011,Hamburg,West,No,0.70536,268,311,0.65461,0.75610
2011,Lower Saxony,West,Yes,0.14873,356,1908,0.13276,0.16470
2011,Lower Saxony,West,No,0.61120,1552,1908,0.58932,0.63308
2011,Bremen,West,No,0.63307,109,109,0.54217,0.72397
2011,North Rhine-Westphalia,West,Yes,0.15217,768,4131,0.14121,0.16312
2011,North Rhine-Westphalia,West,No,0.61160,3363,4131,0.59674,0.62647
2011,Hesse,West,Yes,0.14432,256,1409,0.12596,0.16268
2011,Hesse,West,No,0.58918,1153,1409,0.56348,0.61488
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.12093,206,1206,0.10252,0.13934
2011,"Rhineland-Palatinate, Saarland",West,No,0.63657,1000,1206,0.60941,0.66373
2011,Baden-Wuerttemberg,West,Yes,0.12467,368,2486,0.11168,0.13766
2011,Baden-Wuerttemberg,West,No,0.62375,2118,2486,0.60470,0.64280
2011,Bavaria,West,Yes,0.13562,567,3184,0.12373,0.14752
2011,Bavaria,West,No,0.63442,2617,3184,0.61769,0.65115
2011,Berlin,West,Yes,0.15747,79,428,0.12292,0.19202
2011,Berlin,West,No,0.63176,349,428,0.58601,0.67751
2011,Berlin,East,Yes,0.14986,58,353,0.11257,0.18715
2011,Berlin,East,No,0.66653,295,353,0.61728,0.71578
2011,Brandenburg,East,Yes,0.14050,147,882,0.11755,0.16344
2011,Brandenburg,East,No,0.65269,735,882,0.62125,0.68413
2011,Mecklenburg-Western Pomerania,East,Yes,0.19380,100,515,0.15963,0.22797
2011,Mecklenburg-Western Pomerania,East,No,0.60561,415,515,0.56335,0.64786
2011,Saxony,East,Yes,0.14493,250,1404,0.12651,0.16335
2011,Saxony,East,No,0.64902,1154,1404,0.62404,0.67399
2011,Saxony-Anhalt,East,Yes,0.14743,156,867,0.12381,0.17104
2011,Saxony-Anhalt,East,No,0.65440,711,867,0.62272,0.68607
