"plh0111","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"1 Sehr wichtig","1990","17-34","Schleswig-Holstein","","","",""
"1 Sehr wichtig","1990","17-34","Hamburg","","","",""
"1 Sehr wichtig","1990","17-34","Niedersachsen","","","",""
"1 Sehr wichtig","1990","17-34","Bremen","","","",""
"1 Sehr wichtig","1990","17-34","Nordrhein-Westfalen","","","",""
"1 Sehr wichtig","1990","17-34","Hessen","","","",""
"1 Sehr wichtig","1990","17-34","Rheinland-Pfalz,Saarland","","","",""
"1 Sehr wichtig","1990","17-34","Baden-Wuerttemberg","","","",""
"1 Sehr wichtig","1990","17-34","Bayern","","","",""
"1 Sehr wichtig","1990","17-34","Berlin","","","",""
"1 Sehr wichtig","1990","17-34","Brandenburg","","","",""
"1 Sehr wichtig","1990","17-34","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","17-34","Sachsen","","","",""
"1 Sehr wichtig","1990","17-34","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","17-34","Thueringen","","","",""
"1 Sehr wichtig","1990","35-65","Schleswig-Holstein","","","",""
"1 Sehr wichtig","1990","35-65","Hamburg","","","",""
"1 Sehr wichtig","1990","35-65","Niedersachsen","","","",""
"1 Sehr wichtig","1990","35-65","Bremen","","","",""
"1 Sehr wichtig","1990","35-65","Nordrhein-Westfalen","33","0.035755638470773","0.0240646286535137","0.0474466482880324"
"1 Sehr wichtig","1990","35-65","Hessen","","","",""
"1 Sehr wichtig","1990","35-65","Rheinland-Pfalz,Saarland","","","",""
"1 Sehr wichtig","1990","35-65","Baden-Wuerttemberg","","","",""
"1 Sehr wichtig","1990","35-65","Bayern","","","",""
"1 Sehr wichtig","1990","35-65","Berlin","","","",""
"1 Sehr wichtig","1990","35-65","Brandenburg","","","",""
"1 Sehr wichtig","1990","35-65","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","35-65","Sachsen","","","",""
"1 Sehr wichtig","1990","35-65","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","35-65","Thueringen","","","",""
"1 Sehr wichtig","1990","66 +","Schleswig-Holstein","","","",""
"1 Sehr wichtig","1990","66 +","Hamburg","","","",""
"1 Sehr wichtig","1990","66 +","Niedersachsen","","","",""
"1 Sehr wichtig","1990","66 +","Bremen","","","",""
"1 Sehr wichtig","1990","66 +","Nordrhein-Westfalen","","","",""
"1 Sehr wichtig","1990","66 +","Hessen","","","",""
"1 Sehr wichtig","1990","66 +","Rheinland-Pfalz,Saarland","","","",""
"1 Sehr wichtig","1990","66 +","Baden-Wuerttemberg","","","",""
"1 Sehr wichtig","1990","66 +","Bayern","","","",""
"1 Sehr wichtig","1990","66 +","Berlin","","","",""
"1 Sehr wichtig","1990","66 +","Brandenburg","","","",""
"1 Sehr wichtig","1990","66 +","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","66 +","Sachsen","","","",""
"1 Sehr wichtig","1990","66 +","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","66 +","Thueringen","","","",""
"2 Wichtig","1990","17-34","Schleswig-Holstein","","","",""
"2 Wichtig","1990","17-34","Hamburg","","","",""
"2 Wichtig","1990","17-34","Niedersachsen","71","0.242884742124833","0.194915813436577","0.290853670813088"
"2 Wichtig","1990","17-34","Bremen","","","",""
"2 Wichtig","1990","17-34","Nordrhein-Westfalen","163","0.244736246313369","0.213178804160711","0.276293688466026"
"2 Wichtig","1990","17-34","Hessen","58","0.254707100794333","0.198521358993052","0.310892842595614"
"2 Wichtig","1990","17-34","Rheinland-Pfalz,Saarland","36","0.15979933991287","0.110358497376785","0.209240182448955"
"2 Wichtig","1990","17-34","Baden-Wuerttemberg","99","0.231756014657044","0.19259573784188","0.270916291472208"
"2 Wichtig","1990","17-34","Bayern","99","0.215755147819142","0.179032753175519","0.252477542462766"
"2 Wichtig","1990","17-34","Berlin","","","",""
"2 Wichtig","1990","17-34","Brandenburg","","","",""
"2 Wichtig","1990","17-34","Mecklenburg-Vorpommern","","","",""
"2 Wichtig","1990","17-34","Sachsen","","","",""
"2 Wichtig","1990","17-34","Sachsen-Anhalt","","","",""
"2 Wichtig","1990","17-34","Thueringen","","","",""
"2 Wichtig","1990","35-65","Schleswig-Holstein","31","0.22359623847513","0.154578593659004","0.292613883291256"
"2 Wichtig","1990","35-65","Hamburg","","","",""
"2 Wichtig","1990","35-65","Niedersachsen","93","0.209293398753915","0.170201490279264","0.248385307228566"
"2 Wichtig","1990","35-65","Bremen","","","",""
"2 Wichtig","1990","35-65","Nordrhein-Westfalen","268","0.28281925937929","0.254462604209463","0.311175914549117"
"2 Wichtig","1990","35-65","Hessen","77","0.248483261065735","0.20185931590627","0.2951072062252"
"2 Wichtig","1990","35-65","Rheinland-Pfalz,Saarland","49","0.178708137432482","0.132140699844928","0.225275575020036"
"2 Wichtig","1990","35-65","Baden-Wuerttemberg","120","0.221487218060597","0.186783663992937","0.256190772128257"
"2 Wichtig","1990","35-65","Bayern","125","0.210343984510646","0.177624309345803","0.243063659675489"
"2 Wichtig","1990","35-65","Berlin","37","0.298089779920721","0.217252840647488","0.378926719193954"
"2 Wichtig","1990","35-65","Brandenburg","","","",""
"2 Wichtig","1990","35-65","Mecklenburg-Vorpommern","","","",""
"2 Wichtig","1990","35-65","Sachsen","","","",""
"2 Wichtig","1990","35-65","Sachsen-Anhalt","","","",""
"2 Wichtig","1990","35-65","Thueringen","","","",""
"2 Wichtig","1990","66 +","Schleswig-Holstein","","","",""
"2 Wichtig","1990","66 +","Hamburg","","","",""
"2 Wichtig","1990","66 +","Niedersachsen","","","",""
"2 Wichtig","1990","66 +","Bremen","","","",""
"2 Wichtig","1990","66 +","Nordrhein-Westfalen","58","0.255531592583324","0.19904104468208","0.312022140484569"
"2 Wichtig","1990","66 +","Hessen","","","",""
"2 Wichtig","1990","66 +","Rheinland-Pfalz,Saarland","","","",""
"2 Wichtig","1990","66 +","Baden-Wuerttemberg","","","",""
"2 Wichtig","1990","66 +","Bayern","","","",""
"2 Wichtig","1990","66 +","Berlin","","","",""
"2 Wichtig","1990","66 +","Brandenburg","","","",""
"2 Wichtig","1990","66 +","Mecklenburg-Vorpommern","","","",""
"2 Wichtig","1990","66 +","Sachsen","","","",""
"2 Wichtig","1990","66 +","Sachsen-Anhalt","","","",""
"2 Wichtig","1990","66 +","Thueringen","","","",""
"3 Weniger wichtig","1990","17-34","Schleswig-Holstein","48","0.595002438303935","0.489394972360326","0.700609904247545"
"3 Weniger wichtig","1990","17-34","Hamburg","","","",""
"3 Weniger wichtig","1990","17-34","Niedersachsen","163","0.539726956136619","0.483973251724003","0.595480660549235"
"3 Weniger wichtig","1990","17-34","Bremen","","","",""
"3 Weniger wichtig","1990","17-34","Nordrhein-Westfalen","368","0.518129574634236","0.481453094160514","0.554806055107958"
"3 Weniger wichtig","1990","17-34","Hessen","129","0.549430759913167","0.485268543799695","0.613592976026639"
"3 Weniger wichtig","1990","17-34","Rheinland-Pfalz,Saarland","122","0.596028494457658","0.529819690716503","0.662237298198813"
"3 Weniger wichtig","1990","17-34","Baden-Wuerttemberg","246","0.559654669515655","0.513582631361577","0.605726707669734"
"3 Weniger wichtig","1990","17-34","Bayern","251","0.511160411400532","0.466534575678262","0.555786247122803"
"3 Weniger wichtig","1990","17-34","Berlin","41","0.528180009822494","0.412871597717096","0.643488421927892"
"3 Weniger wichtig","1990","17-34","Brandenburg","","","",""
"3 Weniger wichtig","1990","17-34","Mecklenburg-Vorpommern","","","",""
"3 Weniger wichtig","1990","17-34","Sachsen","","","",""
"3 Weniger wichtig","1990","17-34","Sachsen-Anhalt","","","",""
"3 Weniger wichtig","1990","17-34","Thueringen","","","",""
"3 Weniger wichtig","1990","35-65","Schleswig-Holstein","73","0.523741526027149","0.441011352387113","0.606471699667185"
"3 Weniger wichtig","1990","35-65","Hamburg","","","",""
"3 Weniger wichtig","1990","35-65","Niedersachsen","227","0.557237060480544","0.5095053439204","0.604968777040688"
"3 Weniger wichtig","1990","35-65","Bremen","","","",""
"3 Weniger wichtig","1990","35-65","Nordrhein-Westfalen","465","0.470972046761923","0.439543588399484","0.502400505124361"
"3 Weniger wichtig","1990","35-65","Hessen","154","0.458157752542084","0.404400746509412","0.511914758574756"
"3 Weniger wichtig","1990","35-65","Rheinland-Pfalz,Saarland","117","0.462468614854851","0.401864172025605","0.523073057684098"
"3 Weniger wichtig","1990","35-65","Baden-Wuerttemberg","274","0.497330313896952","0.4555443369922","0.539116290801704"
"3 Weniger wichtig","1990","35-65","Bayern","311","0.520217389580197","0.480108591729015","0.560326187431378"
"3 Weniger wichtig","1990","35-65","Berlin","59","0.494155328887313","0.40579936552223","0.582511292252397"
"3 Weniger wichtig","1990","35-65","Brandenburg","","","",""
"3 Weniger wichtig","1990","35-65","Mecklenburg-Vorpommern","","","",""
"3 Weniger wichtig","1990","35-65","Sachsen","","","",""
"3 Weniger wichtig","1990","35-65","Sachsen-Anhalt","","","",""
"3 Weniger wichtig","1990","35-65","Thueringen","","","",""
"3 Weniger wichtig","1990","66 +","Schleswig-Holstein","","","",""
"3 Weniger wichtig","1990","66 +","Hamburg","","","",""
"3 Weniger wichtig","1990","66 +","Niedersachsen","45","0.384572023995025","0.295656696581116","0.473487351408934"
"3 Weniger wichtig","1990","66 +","Bremen","","","",""
"3 Weniger wichtig","1990","66 +","Nordrhein-Westfalen","81","0.357648210584028","0.295569191320379","0.419727229847676"
"3 Weniger wichtig","1990","66 +","Hessen","39","0.34900159406248","0.257830511977477","0.440172676147483"
"3 Weniger wichtig","1990","66 +","Rheinland-Pfalz,Saarland","31","0.317834820965331","0.220548391119634","0.415121250811029"
