"hlf0071_h","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Viel zu klein","1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1995","2","Staedtischer Raum","131","0.0243522220914974","0.0189548330694606","0.0297496111135341"
"Viel zu klein","1995","2","Laendlicher Raum","48","0.0176173992710488","0.0114660067572434","0.0237687917848542"
"Viel zu klein","1995","3","Staedtischer Raum","59","0.0247422064823972","0.0179326218445279","0.0315517911202665"
"Viel zu klein","1995","3","Laendlicher Raum","28","","",""
"Viel zu klein","1995","4","Staedtischer Raum","32","0.0256070534051186","0.017013800092041","0.0342003067181962"
"Viel zu klein","1995","4","Laendlicher Raum","9","","",""
"Viel zu klein","1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1995","2","Staedtischer Raum","685","0.193644983436236","0.179808231182777","0.207481735689695"
"Etwas zu klein","1995","2","Laendlicher Raum","308","0.169956117060572","0.152393827348323","0.187518406772821"
"Etwas zu klein","1995","3","Staedtischer Raum","353","0.166939012682971","0.150591224097794","0.183286801268148"
"Etwas zu klein","1995","3","Laendlicher Raum","174","0.152711263770898","0.130201816055682","0.175220711486113"
"Etwas zu klein","1995","4","Staedtischer Raum","206","0.135438503984388","0.116822787169269","0.154054220799508"
"Etwas zu klein","1995","4","Laendlicher Raum","46","0.0671479489129327","0.0446878501026027","0.0896080477232628"
"Etwas zu klein","1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Gerade richtig","1995","2","Staedtischer Raum","2163","0.710826258600188","0.694950698664183","0.726701818536193"
"Gerade richtig","1995","2","Laendlicher Raum","1241","0.707771550818526","0.686506324558107","0.729036777078945"
"Gerade richtig","1995","3","Staedtischer Raum","1457","0.737128053802669","0.717831254311602","0.756424853293737"
"Gerade richtig","1995","3","Laendlicher Raum","662","0.687389898998323","0.658381974009688","0.716397823986958"
"Gerade richtig","1995","4","Staedtischer Raum","944","0.731101648900397","0.706980738466616","0.755222559334179"
"Gerade richtig","1995","4","Laendlicher Raum","359","0.773866327175344","0.736325443204242","0.811407211146446"
"Gerade richtig","1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Gerade richtig","1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu gross","1995","2","Staedtischer Raum","139","0.0620533197212896","0.0536056003376407","0.0705010391049384"
"Etwas zu gross","1995","2","Laendlicher Raum","149","0.101067536356365","0.0869736234877682","0.115161449224962"
"Etwas zu gross","1995","3","Staedtischer Raum","127","0.069731478705096","0.05856643842839","0.080896518981802"
"Etwas zu gross","1995","3","Laendlicher Raum","106","0.12027184100088","0.0999169016163299","0.14062678038543"
"Etwas zu gross","1995","4","Staedtischer Raum","113","0.101340820155899","0.0849235683400832","0.117758071971715"
"Etwas zu gross","1995","4","Laendlicher Raum","57","0.122127289914422","0.0927432817673829","0.151511298061462"
"Etwas zu gross","1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Etwas zu gross","1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu gross","1995","2","Staedtischer Raum","15","","",""
"Viel zu gross","1995","2","Laendlicher Raum","11","","",""
"Viel zu gross","1995","3","Staedtischer Raum","3","","",""
"Viel zu gross","1995","3","Laendlicher Raum","11","","",""
"Viel zu gross","1995","4","Staedtischer Raum","3","","",""
"Viel zu gross","1995","4","Laendlicher Raum","6","","",""
"Viel zu gross","1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu gross","1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Viel zu klein","1996","2","Staedtischer Raum","89","0.017161121559744","0.0125535740291039","0.0217686690903842"
"Viel zu klein","1996","2","Laendlicher Raum","36","0.0174040892484785","0.0114337563097488","0.0233744221872081"
"Viel zu klein","1996","3","Staedtischer Raum","56","0.0240868647682597","0.0175278653767707","0.0306458641597488"
"Viel zu klein","1996","3","Laendlicher Raum","19","","",""
"Viel zu klein","1996","4","Staedtischer Raum","31","0.01023224891139","0.00495506674868699","0.015509431074093"
"Viel zu klein","1996","4","Laendlicher Raum","13","","",""
"Viel zu klein","1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Viel zu klein","1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Etwas zu klein","1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Etwas zu klein","1996","2","Staedtischer Raum","680","0.206393596213124","0.192035180692207","0.220752011734041"
"Etwas zu klein","1996","2","Laendlicher Raum","374","0.195071486902597","0.176980553434999","0.213162420370194"
"Etwas zu klein","1996","3","Staedtischer Raum","401","0.18364390152718","0.167079721275724","0.200208081778636"
"Etwas zu klein","1996","3","Laendlicher Raum","161","0.150306241291215","0.128523750303601","0.172088732278829"
"Etwas zu klein","1996","4","Staedtischer Raum","234","0.170187282722999","0.150481055631161","0.189893509814836"
"Etwas zu klein","1996","4","Laendlicher Raum","47","0.0929899037911741","0.0670899800409945","0.118889827541354"
