"hlf0071_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Viel zu klein","1985","Städtischer Raum","Westdeutschland","166","0.0263272916234334","0.0214637294040524","0.0311908538428144"
"Viel zu klein","1985","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu klein","1985","Ländlicher Raum","Westdeutschland","17","","",""
"Viel zu klein","1985","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu klein","1985","Städtischer Raum","Westdeutschland","646","0.121794672181306","0.11185991939432","0.131729424968292"
"Etwas zu klein","1985","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu klein","1985","Ländlicher Raum","Westdeutschland","113","0.0849869251117331","0.0683170031379605","0.101656847085506"
"Etwas zu klein","1985","Ländlicher Raum","Ostdeutschland","","","",""
"Gerade richtig","1985","Städtischer Raum","Westdeutschland","3076","0.768118886041052","0.755298774720086","0.780938997362018"
"Gerade richtig","1985","Städtischer Raum","Ostdeutschland","","","",""
"Gerade richtig","1985","Ländlicher Raum","Westdeutschland","833","0.782056006710782","0.757376570233629","0.806735443187936"
"Gerade richtig","1985","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu groß","1985","Städtischer Raum","Westdeutschland","235","0.0715552419854099","0.0637255685752517","0.079384915395568"
"Etwas zu groß","1985","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu groß","1985","Ländlicher Raum","Westdeutschland","101","0.109703512515826","0.0910215947769233","0.128385430254729"
"Etwas zu groß","1985","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu groß","1985","Städtischer Raum","Westdeutschland","40","0.0122039081687986","0.00886866116362455","0.0155391551739727"
"Viel zu groß","1985","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu groß","1985","Ländlicher Raum","Westdeutschland","11","","",""
"Viel zu groß","1985","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu klein","1986","Städtischer Raum","Westdeutschland","21","","",""
"Viel zu klein","1986","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu klein","1986","Ländlicher Raum","Westdeutschland","7","","",""
"Viel zu klein","1986","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu klein","1986","Städtischer Raum","Westdeutschland","100","0.191409078273933","0.158825425128085","0.223992731419782"
"Etwas zu klein","1986","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu klein","1986","Ländlicher Raum","Westdeutschland","10","","",""
"Etwas zu klein","1986","Ländlicher Raum","Ostdeutschland","","","",""
"Gerade richtig","1986","Städtischer Raum","Westdeutschland","405","0.699722323529602","0.66175775524445","0.737686891814754"
"Gerade richtig","1986","Städtischer Raum","Ostdeutschland","","","",""
"Gerade richtig","1986","Ländlicher Raum","Westdeutschland","96","0.818507146133544","0.750393122156482","0.886621170110606"
"Gerade richtig","1986","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu groß","1986","Städtischer Raum","Westdeutschland","32","0.0686836728486191","0.0477363058628913","0.0896310398343469"
"Etwas zu groß","1986","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu groß","1986","Ländlicher Raum","Westdeutschland","10","","",""
"Etwas zu groß","1986","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu groß","1986","Städtischer Raum","Westdeutschland","2","","",""
"Viel zu groß","1986","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu groß","1986","Ländlicher Raum","Westdeutschland","","","",""
"Viel zu groß","1986","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu klein","1987","Städtischer Raum","Westdeutschland","18","","",""
"Viel zu klein","1987","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu klein","1987","Ländlicher Raum","Westdeutschland","3","","",""
"Viel zu klein","1987","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu klein","1987","Städtischer Raum","Westdeutschland","71","0.124481362293011","0.0950398991163846","0.153922825469637"
"Etwas zu klein","1987","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu klein","1987","Ländlicher Raum","Westdeutschland","19","","",""
"Etwas zu klein","1987","Ländlicher Raum","Ostdeutschland","","","",""
"Gerade richtig","1987","Städtischer Raum","Westdeutschland","364","0.768139008229747","0.730502590477414","0.80577542598208"
"Gerade richtig","1987","Städtischer Raum","Ostdeutschland","","","",""
"Gerade richtig","1987","Ländlicher Raum","Westdeutschland","82","0.729133048257675","0.646459228549526","0.811806867965824"
"Gerade richtig","1987","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu groß","1987","Städtischer Raum","Westdeutschland","27","","",""
"Etwas zu groß","1987","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu groß","1987","Ländlicher Raum","Westdeutschland","7","","",""
"Etwas zu groß","1987","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu groß","1987","Städtischer Raum","Westdeutschland","3","","",""
"Viel zu groß","1987","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu groß","1987","Ländlicher Raum","Westdeutschland","","","",""
"Viel zu groß","1987","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu klein","1988","Städtischer Raum","Westdeutschland","22","","",""
"Viel zu klein","1988","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu klein","1988","Ländlicher Raum","Westdeutschland","1","","",""
"Viel zu klein","1988","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu klein","1988","Städtischer Raum","Westdeutschland","87","0.201460025812517","0.164925761295785","0.237994290329248"
"Etwas zu klein","1988","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu klein","1988","Ländlicher Raum","Westdeutschland","10","","",""
"Etwas zu klein","1988","Ländlicher Raum","Ostdeutschland","","","",""
"Gerade richtig","1988","Städtischer Raum","Westdeutschland","332","0.708674240783407","0.667286629401222","0.750061852165592"
"Gerade richtig","1988","Städtischer Raum","Ostdeutschland","","","",""
"Gerade richtig","1988","Ländlicher Raum","Westdeutschland","76","0.793718781811727","0.714012295240702","0.873425268382752"
"Gerade richtig","1988","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu groß","1988","Städtischer Raum","Westdeutschland","22","","",""
"Etwas zu groß","1988","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu groß","1988","Ländlicher Raum","Westdeutschland","11","","",""
"Etwas zu groß","1988","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu groß","1988","Städtischer Raum","Westdeutschland","","","",""
"Viel zu groß","1988","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu groß","1988","Ländlicher Raum","Westdeutschland","1","","",""
"Viel zu groß","1988","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu klein","1989","Städtischer Raum","Westdeutschland","21","","",""
"Viel zu klein","1989","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu klein","1989","Ländlicher Raum","Westdeutschland","3","","",""
"Viel zu klein","1989","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu klein","1989","Städtischer Raum","Westdeutschland","71","0.143509501025031","0.110487320678989","0.176531681371074"
"Etwas zu klein","1989","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu klein","1989","Ländlicher Raum","Westdeutschland","16","","",""
"Etwas zu klein","1989","Ländlicher Raum","Ostdeutschland","","","",""
"Gerade richtig","1989","Städtischer Raum","Westdeutschland","312","0.744283159211652","0.703191573183281","0.785374745240023"
"Gerade richtig","1989","Städtischer Raum","Ostdeutschland","","","",""
"Gerade richtig","1989","Ländlicher Raum","Westdeutschland","75","0.743692945971433","0.659377607220072","0.828008284722794"
"Gerade richtig","1989","Ländlicher Raum","Ostdeutschland","","","",""
"Etwas zu groß","1989","Städtischer Raum","Westdeutschland","26","","",""
"Etwas zu groß","1989","Städtischer Raum","Ostdeutschland","","","",""
"Etwas zu groß","1989","Ländlicher Raum","Westdeutschland","9","","",""
"Etwas zu groß","1989","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu groß","1989","Städtischer Raum","Westdeutschland","3","","",""
"Viel zu groß","1989","Städtischer Raum","Ostdeutschland","","","",""
"Viel zu groß","1989","Ländlicher Raum","Westdeutschland","","","",""
"Viel zu groß","1989","Ländlicher Raum","Ostdeutschland","","","",""
"Viel zu klein","1990","Städtischer Raum","Westdeutschland","24","","",""
"Viel zu klein","1990","Städtischer Raum","Ostdeutschland","49","0.0571357971480524","0.040502589422194","0.0737690048739107"
"Viel zu klein","1990","Ländlicher Raum","Westdeutschland","4","","",""
"Viel zu klein","1990","Ländlicher Raum","Ostdeutschland","102","0.0647580751747108","0.0516690544494688","0.0778470958999527"
"Etwas zu klein","1990","Städtischer Raum","Westdeutschland","52","0.170946069215204","0.132690244230781","0.209201894199628"
"Etwas zu klein","1990","Städtischer Raum","Ostdeutschland","192","0.232748409782823","0.20246466678425","0.263032152781396"
"Etwas zu klein","1990","Ländlicher Raum","Westdeutschland","23","","",""
"Etwas zu klein","1990","Ländlicher Raum","Ostdeutschland","313","0.197075344754817","0.175918458533474","0.218232230976161"
"Gerade richtig","1990","Städtischer Raum","Westdeutschland","277","0.720689178940348","0.675096563918219","0.766281793962477"
"Gerade richtig","1990","Städtischer Raum","Ostdeutschland","464","0.644515319740411","0.610212931412926","0.678817708067896"
"Gerade richtig","1990","Ländlicher Raum","Westdeutschland","77","0.675351161287683","0.588243098803915","0.762459223771451"
