"hlf0071_h","year","hhtyp","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Viel zu klein","1985","1-Pers.- Haushalt","Staedtischer Raum","31","0.0239648933963494","0.0142343867196061","0.0336954000730927"
"Viel zu klein","1985","1-Pers.- Haushalt","Laendlicher Raum","2","","",""
"Viel zu klein","1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","40","0.0130920928627766","0.00799972255595803","0.0181844631695952"
"Viel zu klein","1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2","","",""
"Viel zu klein","1985","Alleinerziehende","Staedtischer Raum","26","","",""
"Viel zu klein","1985","Alleinerziehende","Laendlicher Raum","2","","",""
"Viel zu klein","1985","Paar mit Kind(ern)","Staedtischer Raum","427","0.0437667703064446","0.0390767656297205","0.0484567749831687"
"Viel zu klein","1985","Paar mit Kind(ern)","Laendlicher Raum","55","0.0263075617015676","0.0192346683679047","0.0333804550352304"
"Viel zu klein","1985","Sonstige","Staedtischer Raum","26","","",""
"Viel zu klein","1985","Sonstige","Laendlicher Raum","9","","",""
"Etwas zu klein","1985","1-Pers.- Haushalt","Staedtischer Raum","114","0.100522355920644","0.0813911872403354","0.119653524600953"
"Etwas zu klein","1985","1-Pers.- Haushalt","Laendlicher Raum","7","","",""
"Etwas zu klein","1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","194","0.0879867831259662","0.0752960587993324","0.1006775074526"
"Etwas zu klein","1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","28","","",""
"Etwas zu klein","1985","Alleinerziehende","Staedtischer Raum","114","0.160202885380178","0.130656143810162","0.189749626950195"
"Etwas zu klein","1985","Alleinerziehende","Laendlicher Raum","22","","",""
"Etwas zu klein","1985","Paar mit Kind(ern)","Staedtischer Raum","1495","0.173302860915112","0.164625349502729","0.181980372327495"
"Etwas zu klein","1985","Paar mit Kind(ern)","Laendlicher Raum","315","0.141971324614668","0.126547320607879","0.157395328621456"
"Etwas zu klein","1985","Sonstige","Staedtischer Raum","97","0.133413733326951","0.106777850597592","0.160049616056311"
"Etwas zu klein","1985","Sonstige","Laendlicher Raum","51","0.157628820972833","0.115761886777823","0.199495755167844"
"Gerade richtig","1985","1-Pers.- Haushalt","Staedtischer Raum","706","0.762501253238345","0.73542641149081","0.78957609498588"
"Gerade richtig","1985","1-Pers.- Haushalt","Laendlicher Raum","142","0.774765587154675","0.714406631964498","0.835124542344851"
"Gerade richtig","1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1534","0.815623354645919","0.798250351222858","0.832996358068979"
"Gerade richtig","1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","428","0.822702202295873","0.789939037975615","0.855465366616131"
"Gerade richtig","1985","Alleinerziehende","Staedtischer Raum","410","0.726591762551939","0.690688139950708","0.762495385153171"
"Gerade richtig","1985","Alleinerziehende","Laendlicher Raum","103","0.694986602163849","0.621792856697977","0.768180347629721"
"Gerade richtig","1985","Paar mit Kind(ern)","Staedtischer Raum","5119","0.734447104731807","0.724322574254571","0.744571635209044"
"Gerade richtig","1985","Paar mit Kind(ern)","Laendlicher Raum","1477","0.75971177447239","0.740830270473441","0.77859327847134"
"Gerade richtig","1985","Sonstige","Staedtischer Raum","457","0.763889386077192","0.730620832644283","0.797157939510101"
"Gerade richtig","1985","Sonstige","Laendlicher Raum","216","0.780868856162974","0.733341604599757","0.828396107726191"
"Etwas zu gross","1985","1-Pers.- Haushalt","Staedtischer Raum","77","0.0903527347801866","0.072112847714443","0.10859262184593"
"Etwas zu gross","1985","1-Pers.- Haushalt","Laendlicher Raum","29","","",""
"Etwas zu gross","1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","136","0.0774375847307696","0.0654632635557367","0.0894119059058026"
"Etwas zu gross","1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","60","0.118387288662615","0.0906729641208916","0.146101613204338"
"Etwas zu gross","1985","Alleinerziehende","Staedtischer Raum","34","0.0689007664478209","0.0484976152118594","0.0893039176837824"
"Etwas zu gross","1985","Alleinerziehende","Laendlicher Raum","23","","",""
"Etwas zu gross","1985","Paar mit Kind(ern)","Staedtischer Raum","243","0.044644179740828","0.039909570832019","0.049378788649637"
"Etwas zu gross","1985","Paar mit Kind(ern)","Laendlicher Raum","108","0.0638820300963403","0.0530751444333164","0.0746889157593643"
"Etwas zu gross","1985","Sonstige","Staedtischer Raum","38","0.0570585201593956","0.0388881595388312","0.0752288807799599"
"Etwas zu gross","1985","Sonstige","Laendlicher Raum","15","","",""
"Viel zu gross","1985","1-Pers.- Haushalt","Staedtischer Raum","21","","",""
"Viel zu gross","1985","1-Pers.- Haushalt","Laendlicher Raum","4","","",""
"Viel zu gross","1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","10","","",""
"Viel zu gross","1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","4","","",""
"Viel zu gross","1985","Alleinerziehende","Staedtischer Raum","8","","",""
"Viel zu gross","1985","Alleinerziehende","Laendlicher Raum","2","","",""
"Viel zu gross","1985","Paar mit Kind(ern)","Staedtischer Raum","25","","",""
"Viel zu gross","1985","Paar mit Kind(ern)","Laendlicher Raum","12","","",""
"Viel zu gross","1985","Sonstige","Staedtischer Raum","8","","",""
"Viel zu gross","1985","Sonstige","Laendlicher Raum","","","",""
"Viel zu klein","1986","1-Pers.- Haushalt","Staedtischer Raum","10","","",""
"Viel zu klein","1986","1-Pers.- Haushalt","Laendlicher Raum","2","","",""
"Viel zu klein","1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","6","","",""
"Viel zu klein","1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2","","",""
"Viel zu klein","1986","Alleinerziehende","Staedtischer Raum","5","","",""
"Viel zu klein","1986","Alleinerziehende","Laendlicher Raum","2","","",""
"Viel zu klein","1986","Paar mit Kind(ern)","Staedtischer Raum","20","","",""
"Viel zu klein","1986","Paar mit Kind(ern)","Laendlicher Raum","14","","",""
"Viel zu klein","1986","Sonstige","Staedtischer Raum","","","",""
"Viel zu klein","1986","Sonstige","Laendlicher Raum","","","",""
"Etwas zu klein","1986","1-Pers.- Haushalt","Staedtischer Raum","43","0.25605546773464","0.188846397276888","0.323264538192393"
"Etwas zu klein","1986","1-Pers.- Haushalt","Laendlicher Raum","","","",""
"Etwas zu klein","1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","30","0.153264111153869","0.112225140916719","0.194303081391019"
"Etwas zu klein","1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","4","","",""
"Etwas zu klein","1986","Alleinerziehende","Staedtischer Raum","9","","",""
"Etwas zu klein","1986","Alleinerziehende","Laendlicher Raum","4","","",""
"Etwas zu klein","1986","Paar mit Kind(ern)","Staedtischer Raum","138","0.173625347170075","0.145899580081365","0.201351114258786"
"Etwas zu klein","1986","Paar mit Kind(ern)","Laendlicher Raum","17","","",""
"Etwas zu klein","1986","Sonstige","Staedtischer Raum","17","","",""
"Etwas zu klein","1986","Sonstige","Laendlicher Raum","4","","",""
"Gerade richtig","1986","1-Pers.- Haushalt","Staedtischer Raum","101","0.630720254755064","0.556403503459491","0.705037006050637"
"Gerade richtig","1986","1-Pers.- Haushalt","Laendlicher Raum","22","","",""
"Gerade richtig","1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","228","0.679303024375054","0.626131214681665","0.732474834068442"
