year,regtyp,hlf0071_h,proportion,n,lower_confidence,upper_confidence
1985,Urban regions,3.0,0.5876288659793815,5272,0.5743407301182781,0.6009170018404848
1985,Rural regions,3.0,0.1586483390607102,5272,0.14878611389770818,0.1685105642237122
1985,Urban regions,2.0,0.1233295150820924,5272,0.11445345823213876,0.13220557193204605
1985,Urban regions,4.0,0.045055364642993506,5272,0.039456103516730255,0.05065462576925676
1985,Urban regions,1.0,0.03169148529973272,5272,0.026962733245859134,0.03642023735360631
1985,Rural regions,2.0,0.021573119511263842,5272,0.017651287084346406,0.025494951938181278
1985,Rural regions,4.0,0.019091256204658267,5272,0.01539723038676746,0.022785282022549074
1985,Urban regions,5.0,0.007636502481863307,5272,0.0052865936705107554,0.009986411293215858
1985,Rural regions,1.0,0.0032455135547919053,5272,0.0017101749014138243,0.004780852208169987
1985,Rural regions,5.0,0.0021000381825124095,5272,0.000864302836422997,0.0033357735286018222
1986,Urban regions,3.0,0.5929721815519766,5039,0.5794073908230275,0.6065369722809257
1986,Urban regions,2.0,0.14641288433382138,5039,0.13665181346587404,0.15617395520176872
1986,Rural regions,3.0,0.14055636896046853,5039,0.13095975874117674,0.1501529791797603
1986,Urban regions,4.0,0.04685212298682284,5039,0.04101728674333836,0.05268695923030732
1986,Urban regions,1.0,0.03074670571010249,5039,0.02598018119978038,0.0355132302204246
1986,Rural regions,2.0,0.014641288433382138,5039,0.011324859307392642,0.017957717559371634
1986,Rural regions,4.0,0.014641288433382138,5039,0.011324859307392642,0.017957717559371634
1986,Rural regions,1.0,0.010248901903367497,5039,0.00746800072274815,0.013029803083986843
1986,Urban regions,5.0,0.0029282576866764276,5039,0.0014363163660516297,0.004420199007301225
1987,Urban regions,3.0,0.6127946127946128,4975,0.5992586954521925,0.6263305301370331
1987,Rural regions,3.0,0.13804713804713806,4975,0.12846163321374926,0.14763264288052685
1987,Urban regions,2.0,0.11952861952861953,4975,0.11051388166330818,0.12854335739393086
1987,Urban regions,4.0,0.045454545454545456,4975,0.03966630591805716,0.051242784991033755
1987,Rural regions,2.0,0.03198653198653199,4975,0.02709681406019438,0.03687624991286959
1987,Urban regions,1.0,0.030303030303030304,4975,0.02553959163176006,0.035066468974300546
1987,Rural regions,4.0,0.011784511784511785,4975,0.00878575561507058,0.014783267953952989
1987,Rural regions,1.0,0.005050505050505051,4975,0.0030806809274986674,0.007020329173511435
1987,Urban regions,5.0,0.005050505050505051,4975,0.0030806809274986674,0.007020329173511435
1988,Urban regions,3.0,0.594306049822064,4770,0.5803712343143714,0.6082408653297566
1988,Urban regions,2.0,0.15480427046263345,4770,0.14453908034010407,0.16506946058516284
1988,Rural regions,3.0,0.13167259786476868,4770,0.12207668408500856,0.1412685116445288
1988,Urban regions,4.0,0.03914590747330961,4770,0.033642029626535966,0.04464978532008325
1988,Urban regions,1.0,0.03914590747330961,4770,0.033642029626535966,0.04464978532008325
1988,Rural regions,4.0,0.019572953736654804,4770,0.015641685220821905,0.023504222252487703
1988,Rural regions,2.0,0.017793594306049824,4770,0.014041877012796028,0.021545311599303618
1988,Rural regions,1.0,0.0017793594306049821,4770,0.0005833296407173727,0.0029753892204925914
1988,Rural regions,5.0,0.0017793594306049821,4770,0.0005833296407173727,0.0029753892204925914
1989,Urban regions,3.0,0.5839552238805971,4651,0.5697893714865673,0.5981210762746269
1989,Rural regions,3.0,0.13805970149253732,4651,0.12814556349775552,0.14797383948731913
1989,Urban regions,2.0,0.13246268656716417,4651,0.12272011145584995,0.1422052616784784
1989,Urban regions,4.0,0.048507462686567165,4651,0.042333132169104816,0.054681793204029515
1989,Urban regions,1.0,0.03917910447761194,4651,0.03360299394749953,0.04475521500772436
1989,Rural regions,2.0,0.029850746268656716,4651,0.024959947715543725,0.03474154482176971
1989,Rural regions,4.0,0.016791044776119403,4651,0.013098339267794908,0.020483750284443897
1989,Urban regions,5.0,0.005597014925373134,4651,0.003452928220795703,0.007741101629950565
1989,Rural regions,1.0,0.005597014925373134,4651,0.003452928220795703,0.007741101629950565
1990,Rural regions,3.0,0.3707995365005794,6750,0.3592764640317456,0.38232260896941317
1990,Urban regions,3.0,0.2865971417535728,6750,0.27580997145969605,0.2973843120474496
1990,Rural regions,2.0,0.12977983777520277,6750,0.12176264421301045,0.1377970313373951
1990,Urban regions,2.0,0.09424488219389726,6750,0.08727479082458534,0.10121497356320919
1990,Rural regions,1.0,0.040942448821938975,6750,0.03621514596025443,0.04566975168362352
1990,Urban regions,1.0,0.028196214754731556,6750,0.024247198849234878,0.03214523066022823
1990,Urban regions,4.0,0.021629972962533797,6750,0.01815953933482761,0.025100406590239984
1990,Rural regions,4.0,0.020084974893781384,6750,0.016738141913613166,0.023431807873949603
1990,Rural regions,5.0,0.005021243723445346,6750,0.003335014001587871,0.006707473445302821
1990,Urban regions,5.0,0.0027037466203167246,6750,0.0014649521061398786,0.003942541134493571
1991,Urban regions,3.0,0.4670797831138652,6629,0.45506934928686793,0.4790902169408625
1991,Rural regions,3.0,0.23764523625096823,6629,0.2273987449055495,0.24789172759638695
1991,Urban regions,2.0,0.12362509682416731,6629,0.11570135438656402,0.1315488392617706
1991,Rural regions,2.0,0.062277304415182026,6629,0.05645983406176033,0.06809477476860372
1991,Urban regions,4.0,0.03841982958946553,6629,0.03379279731978707,0.043046861859143984
1991,Urban regions,1.0,0.02726568551510457,6629,0.02334522223351069,0.031186148796698454
1991,Rural regions,4.0,0.024167312161115416,6629,0.02047044437713391,0.027864179945096924
1991,Rural regions,1.0,0.012858249419054996,6629,0.01014610541573879,0.015570393422371202
1991,Urban regions,5.0,0.00418280402788536,6629,0.0026291452918410178,0.005736462763929702
1991,Rural regions,5.0,0.0024786986831913244,6629,0.0012816687265313604,0.0036757286398512883
1992,Urban regions,3.0,0.4629255401834292,6603,0.45089851434807454,0.47495256601878383
1992,Rural regions,3.0,0.23705891496968756,6603,0.2268010005806969,0.24731682935867821
1992,Urban regions,2.0,0.12886678066221047,6603,0.12078516486847996,0.13694839645594098
1992,Rural regions,2.0,0.058759521218716,6603,0.05308701677233757,0.06443202566509443
1992,Urban regions,4.0,0.04088294730296906,6603,0.03610663926890596,0.04565925533703216
1992,Urban regions,1.0,0.02891341520286025,6603,0.02487171499764069,0.03295511540807981
1992,Rural regions,4.0,0.02642623970153894,6603,0.02255733940521322,0.030295139997864658
1992,Rural regions,1.0,0.011036841287113321,6603,0.008516856737518225,0.013556825836708418
1992,Urban regions,5.0,0.003264417845484222,6603,0.0018885450756639427,0.004640290615304502
1992,Rural regions,5.0,0.001865381625990984,6603,0.0008245899041782415,0.0029061733478037265
1993,Urban regions,3.0,0.4577977388880285,6570,0.44575040712009806,0.46984507065595893
1993,Rural regions,3.0,0.24035929998451294,6570,0.23002673930335668,0.2506918606656692
1993,Urban regions,2.0,0.12652934799442467,6570,0.11849051177782287,0.13456818421102648
1993,Rural regions,2.0,0.05916060089824996,6570,0.0534557089559032,0.06486549284059671
1993,Urban regions,4.0,0.044912498064116464,6570,0.03990433370363214,0.04992066242460079
1993,Urban regions,1.0,0.029115688400185843,6570,0.02505012573308993,0.03318125106728176
1993,Rural regions,4.0,0.02772185225336844,6570,0.023751950387454982,0.03169175411928189
1993,Rural regions,1.0,0.008517887563884156,6570,0.006295694540309805,0.010740080587458508
1993,Urban regions,5.0,0.004646120489391358,6570,0.003001720832521854,0.006290520146260863
1993,Rural regions,5.0,0.0012389654638376955,6570,0.00038834900425672016,0.002089581923418671
1994,Urban regions,3.0,0.46435877261998426,6496,0.45223055757531716,0.47648698766465136
1994,Rural regions,3.0,0.23965381589299764,6496,0.22927301352745896,0.2500346182585363
1994,Urban regions,2.0,0.12195121951219512,6496,0.1139935580539127,0.12990888097047754
1994,Rural regions,2.0,0.05476003147128246,6496,0.049227346450049864,0.06029271649251505
