"hlf0071_h","year","quintil","n","percent","lower_confidence","upper_confidence"
"Etwas zu gross","1995","1","307","0.0609351046044789","0.0553321304232529","0.0665380787857049"
"Etwas zu gross","1995","2","288","0.0750319849679466","0.0676481796584092","0.082415790277484"
"Etwas zu gross","1995","3","233","0.084680677127734","0.0746848569345669","0.0946764973209012"
"Etwas zu gross","1995","4","170","0.106623712115994","0.0922657427580804","0.120981681473908"
"Etwas zu gross","1995","5","129","0.195175598230047","0.168147132438308","0.222204064021786"
"Etwas zu klein","1995","1","1696","0.219653554150669","0.209956275313301","0.229350832988036"
"Etwas zu klein","1995","2","993","0.185764526175276","0.174863934713463","0.196665117637089"
"Etwas zu klein","1995","3","527","0.162730624932419","0.149477838230631","0.175983411634206"
"Etwas zu klein","1995","4","252","0.118082424355258","0.10306983719955","0.133095011510966"
"Etwas zu klein","1995","5","105","0.113726632066289","0.0920758790412488","0.135377385091329"
"Gerade richtig","1995","1","4509","0.663962064040384","0.652898302029748","0.675025826051021"
"Gerade richtig","1995","2","3404","0.709810064167902","0.697089513531899","0.722530614803906"
"Gerade richtig","1995","3","2119","0.722416138185711","0.706338184054819","0.738494092316604"
"Gerade richtig","1995","4","1303","0.741970313837701","0.721615036958279","0.762325590717123"
"Gerade richtig","1995","5","574","0.66515310035111","0.63296895223196","0.69733724847026"
"Viel zu gross","1995","1","","","",""
"Viel zu gross","1995","2","","","",""
"Viel zu gross","1995","3","","","",""
"Viel zu gross","1995","4","","","",""
"Viel zu gross","1995","5","","","",""
"Viel zu klein","1995","1","467","0.0509046968591662","0.0457563135027285","0.056053080215604"
"Viel zu klein","1995","2","179","0.0221117821077925","0.0179903311037968","0.0262332331117881"
"Viel zu klein","1995","3","87","0.0243778026431773","0.0188407573791107","0.0299148479072439"
"Viel zu klein","1995","4","41","0.0213744902760286","0.0146461947007076","0.0281027858513496"
"Viel zu klein","1995","5","","","",""
"Etwas zu gross","1996","1","314","0.0748420629229465","0.0683433466390945","0.0813407792067986"
"Etwas zu gross","1996","2","262","0.0657862081566868","0.0588413671488161","0.0727310491645575"
"Etwas zu gross","1996","3","238","0.0856476687382873","0.0758486530044787","0.095446684472096"
"Etwas zu gross","1996","4","209","0.1355127956305","0.120041075401862","0.150984515859139"
"Etwas zu gross","1996","5","131","0.179047723308222","0.154883201165259","0.203212245451184"
"Etwas zu klein","1996","1","1457","0.193829486914168","0.184066782496714","0.203592191331622"
"Etwas zu klein","1996","2","1054","0.202422096844592","0.191166014558585","0.2136781791306"
"Etwas zu klein","1996","3","562","0.174202585943042","0.160921550012021","0.187483621874064"
"Etwas zu klein","1996","4","281","0.151688341909041","0.135473116651136","0.167903567166946"
"Etwas zu klein","1996","5","113","0.116186269217158","0.0959890011590396","0.136383537275276"
"Gerade richtig","1996","1","4084","0.681844245237799","0.670341294917694","0.693347195557903"
"Gerade richtig","1996","2","3430","0.707009414421306","0.694259385372338","0.719759443470273"
"Gerade richtig","1996","3","2251","0.716931698868961","0.701157315031481","0.732706082706441"
"Gerade richtig","1996","4","1338","0.692718771259664","0.671863508790566","0.713574033728763"
"Gerade richtig","1996","5","696","0.676760111679689","0.647280978801114","0.706239244558264"
"Viel zu gross","1996","1","","","",""
"Viel zu gross","1996","2","","","",""
"Viel zu gross","1996","3","","","",""
"Viel zu gross","1996","4","","","",""
"Viel zu gross","1996","5","","","",""
"Viel zu klein","1996","1","417","0.0451451048399653","0.0400174263669551","0.0502727833129756"
"Viel zu klein","1996","2","125","0.0172463482605219","0.013599290412776","0.0208934061082678"
"Viel zu klein","1996","3","75","0.0204346483960608","0.0154805094145904","0.0253887873775311"
"Viel zu klein","1996","4","44","0.0116703689664006","0.00681566929814606","0.0165250686346552"
"Viel zu klein","1996","5","","","",""
"Etwas zu gross","1997","1","312","0.0770237841771243","0.0702523848311532","0.0837951835230955"
"Etwas zu gross","1997","2","249","0.0693068701954812","0.062133201049356","0.0764805393416064"
"Etwas zu gross","1997","3","246","0.0883711270083554","0.0786189056743322","0.0981233483423786"
"Etwas zu gross","1997","4","176","0.122069799365063","0.107411470922864","0.136728127807262"
"Etwas zu gross","1997","5","115","0.158429321396575","0.135295083301736","0.181563559491413"
"Etwas zu klein","1997","1","1371","0.226917318762523","0.216280358415562","0.237554279109485"
"Etwas zu klein","1997","2","916","0.168820399530532","0.158239810520439","0.179400988540626"
"Etwas zu klein","1997","3","620","0.184007942527109","0.170694187332338","0.197321697721879"
"Etwas zu klein","1997","4","270","0.120584947001459","0.106003727939491","0.135166166063427"
"Etwas zu klein","1997","5","151","0.146992570985431","0.124558079916636","0.169427062054225"
"Gerade richtig","1997","1","3932","0.657915871856037","0.645867665688141","0.669964078023932"
