year,bula_h,pgisced97,pli0082,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Pre-primary Level,Seldom,0.6666666666666666,18165,0.6598112775075909,0.6735220558257423
1990,Schleswig-Holstein,Pre-primary Level,At least once per week,0.3333333333333333,18165,0.32647794417425763,0.340188722492409
1990,Schleswig-Holstein,Primary Level,Seldom,0.5,18165,0.49272876175691727,0.5072712382430827
1990,Schleswig-Holstein,Primary Level,Never,0.5,18165,0.49272876175691727,0.5072712382430827
1990,Schleswig-Holstein,Lower Secondary Level,Seldom,0.5806451612903226,18165,0.5734691253504269,0.5878211972302183
1990,Schleswig-Holstein,Lower Secondary Level,At least once per month,0.22580645161290322,18165,0.21972606327615923,0.2318868399496472
1990,Schleswig-Holstein,Lower Secondary Level,Never,0.16129032258064516,18165,0.15594162119044908,0.16663902397084124
1990,Schleswig-Holstein,Lower Secondary Level,Daily,0.016129032258064516,18165,0.014297090769952359,0.01796097374617667
1990,Schleswig-Holstein,Lower Secondary Level,At least once per week,0.016129032258064516,18165,0.014297090769952359,0.01796097374617667
1990,Schleswig-Holstein,Upper Secondary Level,Seldom,0.5723270440251572,18165,0.5651322825844947,0.5795218054658198
1990,Schleswig-Holstein,Upper Secondary Level,At least once per month,0.3333333333333333,18165,0.32647794417425763,0.340188722492409
1990,Schleswig-Holstein,Upper Secondary Level,At least once per week,0.050314465408805034,18165,0.04713558116999694,0.053493349647613125
1990,Schleswig-Holstein,Upper Secondary Level,Never,0.0440251572327044,18165,0.04104175328599241,0.04700856117941639
1990,Schleswig-Holstein,Post-secondary Non-tertiary Level,Seldom,0.375,18165,0.36795965384455853,0.38204034615544147
1990,Schleswig-Holstein,Post-secondary Non-tertiary Level,At least once per month,0.375,18165,0.36795965384455853,0.38204034615544147
1990,Schleswig-Holstein,Post-secondary Non-tertiary Level,At least once per week,0.25,18165,0.24370292296452145,0.25629707703547855
1990,Schleswig-Holstein,First Stage of Tertiary Education,At least once per month,0.47368421052631576,18165,0.4664230502343592,0.4809453708182723
1990,Schleswig-Holstein,First Stage of Tertiary Education,Seldom,0.3157894736842105,18165,0.3090297013299995,0.3225492460384215
1990,Schleswig-Holstein,First Stage of Tertiary Education,At least once per week,0.15789473684210525,18165,0.15259193512801805,0.16319753855619246
1990,Schleswig-Holstein,First Stage of Tertiary Education,Daily,0.05263157894736842,18165,0.049384289345701,0.055878868549035836
1990,Schleswig-Holstein,Second Stage of Tertiary Education,At least once per month,0.35714285714285715,18165,0.35017472157480184,0.36411099271091246
1990,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,0.35714285714285715,18165,0.35017472157480184,0.36411099271091246
1990,Schleswig-Holstein,Second Stage of Tertiary Education,At least once per week,0.2857142857142857,18165,0.27914466449775355,0.29228390693081785
1990,Hamburg,Pre-primary Level,Seldom,0.5,18165,0.49272876175691727,0.5072712382430827
1990,Hamburg,Pre-primary Level,At least once per week,0.5,18165,0.49272876175691727,0.5072712382430827
1990,Hamburg,Primary Level,Never,0.42857142857142855,18165,0.4213747691023102,0.4357680880405469
1990,Hamburg,Primary Level,Seldom,0.42857142857142855,18165,0.4213747691023102,0.4357680880405469
1990,Hamburg,Primary Level,At least once per week,0.14285714285714285,18165,0.13776833614463888,0.14794594956964682
1990,Hamburg,Lower Secondary Level,Seldom,0.34375,18165,0.33684292165862634,0.35065707834137366
1990,Hamburg,Lower Secondary Level,At least once per month,0.3125,18165,0.3057593817427922,0.3192406182572078
1990,Hamburg,Lower Secondary Level,Never,0.28125,18165,0.27471156870380753,0.28778843129619247
1990,Hamburg,Lower Secondary Level,At least once per week,0.0625,18165,0.05897982692227927,0.06602017307772073
1990,Hamburg,Upper Secondary Level,Seldom,0.4175824175824176,18165,0.4104106416732461,0.4247541934915891
1990,Hamburg,Upper Secondary Level,At least once per month,0.37362637362637363,18165,0.36659121548455637,0.3806615317681909
1990,Hamburg,Upper Secondary Level,Never,0.12087912087912088,18165,0.11613846628064509,0.12561977547759667
1990,Hamburg,Upper Secondary Level,At least once per week,0.08791208791208792,18165,0.08379413840046519,0.09203003742371064
1990,Hamburg,Post-secondary Non-tertiary Level,At least once per month,0.75,18165,0.7437029229645215,0.7562970770354785
1990,Hamburg,Post-secondary Non-tertiary Level,Seldom,0.25,18165,0.24370292296452145,0.25629707703547855
1990,Hamburg,First Stage of Tertiary Education,At least once per month,0.7333333333333333,18165,0.7269024082630431,0.7397642584036235
