year,pgisced97,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,At least once per month,0.3353506506462328,42,9117,0.33425255360353573,0.3364487476889299
1990,Pre-primary Level,Seldom,0.6646493493537672,100,9117,0.6635512523110701,0.6657474463964642
1990,Primary Level,At least once per week,0.048090786515448465,32,9117,0.04770935691150136,0.04847221611939557
1990,Primary Level,At least once per month,0.20237019550641197,92,9117,0.20165395372070716,0.20308643729211678
1990,Primary Level,Seldom,0.460622546596005,303,9117,0.45973394992458416,0.4615111432674258
1990,Primary Level,Never,0.28891647138213467,195,9117,0.28810843269883385,0.2897245100654355
1990,Lower Secondary Level,At least once per week,0.0579526348160752,144,9117,0.05782293281122607,0.058082336820924334
1990,Lower Secondary Level,At least once per month,0.25598471071454415,617,9117,0.2557424563165686,0.2562269651125197
1990,Lower Secondary Level,Seldom,0.5073175841438141,1220,9117,0.5070400622722996,0.5075951060153286
1990,Lower Secondary Level,Never,0.17874507032556658,456,9117,0.17853238880439956,0.1789577518467336
1990,Upper Secondary Level,At least once per week,0.0890275267644066,367,9117,0.08892059830677954,0.08913445522203367
1990,Upper Secondary Level,At least once per month,0.33357180173693024,1480,9117,0.333394770514234,0.3337488329596265
1990,Upper Secondary Level,Seldom,0.4966642384475424,2273,9117,0.4964765062083982,0.49685197068668663
1990,Upper Secondary Level,Never,0.0807364330511208,391,9117,0.08063414301680628,0.08083872308543531
1990,Post-secondary Non-tertiary Level,At least once per month,0.515148395673818,114,9117,0.5142956358567697,0.5160011554908662
1990,Post-secondary Non-tertiary Level,Seldom,0.48485160432618196,125,9117,0.4839988445091338,0.48570436414323015
1990,First Stage of Tertiary Education,At least once per week,0.10479386383531328,44,9117,0.10445758521759849,0.10513014245302807
1990,First Stage of Tertiary Education,At least once per month,0.4151708146495877,206,9117,0.41462981407229627,0.41571181522687917
1990,First Stage of Tertiary Education,Seldom,0.4800353215150991,239,9117,0.47948680043788605,0.4805838425923121
1990,Second Stage of Tertiary Education,At least once per week,0.13506471481750698,84,9117,0.13474475410518788,0.13538467552982608
1990,Second Stage of Tertiary Education,At least once per month,0.4737914862525206,333,9117,0.4733240671511212,0.47425890535392
1990,Second Stage of Tertiary Education,Seldom,0.39114379892997236,260,9117,0.39068696380726275,0.391600634052682
1995,Pre-primary Level,At least once per month,0.256045053670369,67,12851,0.2551903488426923,0.2568997584980457
1995,Pre-primary Level,Seldom,0.7439549463296311,185,12851,0.7431002415019544,0.7448096511573078
1995,Primary Level,At least once per month,0.12318632746862236,61,12851,0.12259626011087216,0.12377639482637257
1995,Primary Level,Seldom,0.540136691749197,286,12851,0.5392418774831583,0.5410315060152356
1995,Primary Level,Never,0.33667698078218056,168,12851,0.3358285118862945,0.33752544967806664
1995,Lower Secondary Level,At least once per week,0.03969688812587139,106,12851,0.03958826651000245,0.03980550974174033
1995,Lower Secondary Level,At least once per month,0.20208523474438234,482,12851,0.20186183668211796,0.2023086328066467
1995,Lower Secondary Level,Seldom,0.5463944873350494,1373,12851,0.5461175215155862,0.5466714531545125
1995,Lower Secondary Level,Never,0.211823389794697,507,12851,0.21159607244311512,0.21205070714627888
1995,Upper Secondary Level,At least once per week,0.059446915239977374,358,12851,0.059368076158522166,0.05952575432143258
1995,Upper Secondary Level,At least once per month,0.27467563570079917,1833,12851,0.27452681565287596,0.2748244557487224
1995,Upper Secondary Level,Seldom,0.5522271263876853,3756,12851,0.5520613307894846,0.5523929219858861
1995,Upper Secondary Level,Never,0.11365032267153823,725,12851,0.11354450136485883,0.11375614397821762
1995,Post-secondary Non-tertiary Level,At least once per month,0.37199213198708625,163,12851,0.37135989954572785,0.37262436442844465
1995,Post-secondary Non-tertiary Level,Seldom,0.5465507142803123,243,12851,0.5458995254367837,0.547201903123841
1995,Post-secondary Non-tertiary Level,Never,0.08145715373260147,37,12851,0.08109935262362229,0.08181495484158065
1995,First Stage of Tertiary Education,At least once per week,0.07820816364365665,47,12851,0.07795556120099928,0.07846076608631403
1995,First Stage of Tertiary Education,At least once per month,0.3294514865850509,239,12851,0.3290092996460516,0.32989367352405025
1995,First Stage of Tertiary Education,Seldom,0.5015995643291453,413,12851,0.501129169158132,0.5020699595001586
1995,First Stage of Tertiary Education,Never,0.09074078544214713,53,12851,0.09047055131421092,0.09101101957008334
1995,Second Stage of Tertiary Education,At least once per week,0.09099523273702273,137,12851,0.09080573865070432,0.09118472682334114
1995,Second Stage of Tertiary Education,At least once per month,0.4161615322942763,698,12851,0.4158367587979298,0.41648630579062285
1995,Second Stage of Tertiary Education,Seldom,0.4529379847415971,852,12851,0.4526100096115891,0.45326595987160506
1995,Second Stage of Tertiary Education,Never,0.03990525022710387,62,12851,0.03977628419822082,0.04003421625598692
1998,Pre-primary Level,At least once per month,0.2948904459772247,81,13439,0.29405033611662285,0.29573055583782654
1998,Pre-primary Level,Seldom,0.7051095540227754,219,13439,0.7042694441621735,0.7059496638833773
1998,Primary Level,At least once per month,0.11054303028172277,43,13439,0.10999365847336254,0.111092402090083
1998,Primary Level,Seldom,0.5780159071332802,255,13439,0.577150628159452,0.5788811861071085
1998,Primary Level,Never,0.31144106258499704,130,13439,0.3106297341234601,0.31225239104653396
1998,Lower Secondary Level,At least once per week,0.0423365504347428,110,13439,0.04222186018065483,0.042451240688830764
1998,Lower Secondary Level,At least once per month,0.19720658715102418,482,13439,0.19697995321936126,0.1974332210826871
1998,Lower Secondary Level,Seldom,0.5682831991459975,1478,13439,0.5680010724338986,0.5685653258580963
1998,Lower Secondary Level,Never,0.19217366326823562,445,13439,0.1919492398036397,0.19239808673283154
1998,Upper Secondary Level,At least once per week,0.0512750506156894,348,13439,0.051200279492513566,0.05134982173886523
1998,Upper Secondary Level,At least once per month,0.2433831210311784,1662,13439,0.24323764416552252,0.2435285978968343
1998,Upper Secondary Level,Seldom,0.6088225380202974,4308,13439,0.6086570970884345,0.6089879789521603
1998,Upper Secondary Level,Never,0.09651929033283485,650,13439,0.09641918039379704,0.09661940027187266
1998,Post-secondary Non-tertiary Level,At least once per month,0.32885155769371543,140,13439,0.32823837284622825,0.3294647425412026
1998,Post-secondary Non-tertiary Level,Seldom,0.6711484423062846,318,13439,0.6705352574587974,0.6717616271537717
1998,First Stage of Tertiary Education,At least once per week,0.057103705616998506,36,13439,0.05687775659259623,0.05732965464140078
1998,First Stage of Tertiary Education,At least once per month,0.27039765800868787,209,13439,0.269965153207672,0.27083016280970373
1998,First Stage of Tertiary Education,Seldom,0.6036169777191445,523,13439,0.6031406733056569,0.604093282132632
1998,First Stage of Tertiary Education,Never,0.06888165865516907,47,13439,0.06863505438128105,0.06912826292905709
1998,Second Stage of Tertiary Education,At least once per week,0.059287706701606206,108,13439,0.059133075163636355,0.05944233823957606
