"pli0082","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","(noch) kein Abschluss","Staedtischer Raum","4","","",""
"Taeglich","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1990","Hauptschule","Staedtischer Raum","15","","",""
"Taeglich","1990","Hauptschule","Laendlicher Raum","8","","",""
"Taeglich","1990","Realschule","Staedtischer Raum","3","","",""
"Taeglich","1990","Realschule","Laendlicher Raum","","","",""
"Taeglich","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1990","(Fach-)Abitur","Laendlicher Raum","1","","",""
"Taeglich","1990","AkademikerIn","Staedtischer Raum","2","","",""
"Taeglich","1990","AkademikerIn","Laendlicher Raum","1","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Staedtischer Raum","32","0.0465007439361957","0.0311944159458718","0.0618070719265197"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Laendlicher Raum","8","","",""
"Min 1x pro Woche","1990","Hauptschule","Staedtischer Raum","304","0.0784703423029918","0.0702098682430378","0.0867308163629457"
"Min 1x pro Woche","1990","Hauptschule","Laendlicher Raum","72","0.0626368479195656","0.049204189522169","0.0760695063169621"
"Min 1x pro Woche","1990","Realschule","Staedtischer Raum","103","0.0924940535433213","0.0764968354904547","0.108491271596188"
"Min 1x pro Woche","1990","Realschule","Laendlicher Raum","31","0.084018662900007","0.055321955988328","0.112715369811686"
"Min 1x pro Woche","1990","(Fach-)Abitur","Staedtischer Raum","56","0.100976560608518","0.0776337095794125","0.124319411637623"
"Min 1x pro Woche","1990","(Fach-)Abitur","Laendlicher Raum","13","","",""
"Min 1x pro Woche","1990","AkademikerIn","Staedtischer Raum","68","0.127188137611327","0.100211805037537","0.154164470185116"
"Min 1x pro Woche","1990","AkademikerIn","Laendlicher Raum","16","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Staedtischer Raum","115","0.220054942477417","0.189940248489606","0.250169636465228"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Laendlicher Raum","29","","",""
"Min 1x pro Monat","1990","Hauptschule","Staedtischer Raum","1191","0.300946527795578","0.286856968571395","0.315036087019761"
"Min 1x pro Monat","1990","Hauptschule","Laendlicher Raum","355","0.293060755007373","0.267828099268276","0.31829341074647"
"Min 1x pro Monat","1990","Realschule","Staedtischer Raum","450","0.351583919355699","0.325220350027238","0.37794748868416"
"Min 1x pro Monat","1990","Realschule","Laendlicher Raum","128","0.371978840193411","0.32198147443281","0.421976205954011"
"Min 1x pro Monat","1990","(Fach-)Abitur","Staedtischer Raum","235","0.392442241205583","0.354611943119819","0.430272539291347"
"Min 1x pro Monat","1990","(Fach-)Abitur","Laendlicher Raum","39","0.378506558910468","0.285736374244626","0.47127674357631"
"Min 1x pro Monat","1990","AkademikerIn","Staedtischer Raum","282","0.471842047683662","0.431423610733746","0.512260484633578"
"Min 1x pro Monat","1990","AkademikerIn","Laendlicher Raum","51","0.428166128083697","0.335274636995304","0.521057619172089"
"Seltener","1990","(noch) kein Abschluss","Staedtischer Raum","378","0.520278674899701","0.483963059284081","0.556594290515321"
"Seltener","1990","(noch) kein Abschluss","Laendlicher Raum","55","0.59578651602601","0.504493546241232","0.687079485810787"
"Seltener","1990","Hauptschule","Staedtischer Raum","1966","0.479393771067441","0.464047657308693","0.494739884826189"
"Seltener","1990","Hauptschule","Laendlicher Raum","663","0.524409992340407","0.496724967064341","0.552095017616472"
"Seltener","1990","Realschule","Staedtischer Raum","648","0.510369569952602","0.482767642816315","0.537971497088888"
"Seltener","1990","Realschule","Laendlicher Raum","186","0.497481355863951","0.445760540708135","0.549202171019768"
"Seltener","1990","(Fach-)Abitur","Staedtischer Raum","293","0.442891656716085","0.404407968735028","0.481375344697143"
"Seltener","1990","(Fach-)Abitur","Laendlicher Raum","48","0.450887344506768","0.355713373316604","0.546061315696932"
"Seltener","1990","AkademikerIn","Staedtischer Raum","222","0.383167447034327","0.343805440569181","0.422529453499473"
"Seltener","1990","AkademikerIn","Laendlicher Raum","38","0.387278683948614","0.295829858127408","0.478727509769819"
"Nie","1990","(noch) kein Abschluss","Staedtischer Raum","198","0.204051372443192","0.174756395212565","0.233346349673819"
"Nie","1990","(noch) kein Abschluss","Laendlicher Raum","19","","",""
"Nie","1990","Hauptschule","Staedtischer Raum","595","0.138330249218752","0.127724861677596","0.148935636759908"
"Nie","1990","Hauptschule","Laendlicher Raum","152","0.11457591407051","0.096918975107134","0.132232853033886"
"Nie","1990","Realschule","Staedtischer Raum","56","0.0428213113170961","0.0316426625705773","0.0539999600636148"
"Nie","1990","Realschule","Laendlicher Raum","14","","",""
"Nie","1990","(Fach-)Abitur","Staedtischer Raum","56","0.0636895414698142","0.0447703704790028","0.0826087124606256"
"Nie","1990","(Fach-)Abitur","Laendlicher Raum","4","","",""
