year,pgisced97,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,West,At least once per month,0.35342,48,121,0.26789,0.43895
1990,No answer / don't know,West,Seldom,0.47064,73,121,0.38133,0.55995
1990,Pre-primary Level,West,At least once per month,0.31013,42,142,0.23378,0.38647
1990,Pre-primary Level,West,Seldom,0.61468,100,142,0.53435,0.69501
1990,Primary Level,West,At least once per week,0.04764,32,622,0.03089,0.06440
1990,Primary Level,West,At least once per month,0.20040,92,622,0.16892,0.23188
1990,Primary Level,West,Seldom,0.45589,303,622,0.41672,0.49506
1990,Primary Level,West,Never,0.28578,195,622,0.25024,0.32131
1990,Lower Secondary Level,West,At least once per week,0.05770,144,2437,0.04844,0.06696
1990,Lower Secondary Level,West,At least once per month,0.25465,617,2437,0.23735,0.27195
1990,Lower Secondary Level,West,Seldom,0.50478,1220,2437,0.48492,0.52463
1990,Lower Secondary Level,West,Never,0.17781,456,2437,0.16262,0.19299
1990,Upper Secondary Level,West,At least once per week,0.08883,367,4512,0.08053,0.09714
1990,Upper Secondary Level,West,At least once per month,0.33286,1480,4512,0.31911,0.34662
1990,Upper Secondary Level,West,Seldom,0.49581,2274,4512,0.48122,0.51040
1990,Upper Secondary Level,West,Never,0.08056,391,4512,0.07261,0.08850
1990,Post-secondary Non-tertiary Level,West,At least once per month,0.44246,114,239,0.37936,0.50556
1990,Post-secondary Non-tertiary Level,West,Seldom,0.41566,125,239,0.35304,0.47827
1990,First Stage of Tertiary Education,West,At least once per week,0.09917,44,488,0.07262,0.12572
1990,First Stage of Tertiary Education,West,At least once per month,0.39276,206,488,0.34939,0.43614
1990,First Stage of Tertiary Education,West,Seldom,0.45188,238,488,0.40768,0.49608
1990,Second Stage of Tertiary Education,West,At least once per week,0.13253,84,677,0.10697,0.15809
1990,Second Stage of Tertiary Education,West,At least once per month,0.46491,333,677,0.42731,0.50251
1990,Second Stage of Tertiary Education,West,Seldom,0.38379,260,677,0.34713,0.42045
1995,No answer / don't know,West,At least once per month,0.21092,48,228,0.15785,0.26400
1995,No answer / don't know,West,Seldom,0.55677,129,228,0.49214,0.62139
1995,No answer / don't know,West,Never,0.18731,51,228,0.13655,0.23807
1995,Pre-primary Level,West,At least once per month,0.20671,40,168,0.14530,0.26813
1995,Pre-primary Level,West,Seldom,0.67266,128,168,0.60149,0.74383
1995,Pre-primary Level,East,Seldom,0.57531,57,57,0.44584,0.70477
1995,Primary Level,West,At least once per month,0.10998,57,505,0.08266,0.13729
1995,Primary Level,West,Seldom,0.52800,282,505,0.48442,0.57158
1995,Primary Level,West,Never,0.33299,166,505,0.29185,0.37414
1995,Lower Secondary Level,West,At least once per week,0.04167,96,2093,0.03311,0.05023
1995,Lower Secondary Level,West,At least once per month,0.20583,395,2093,0.18850,0.22315
1995,Lower Secondary Level,West,Seldom,0.54928,1174,2093,0.52796,0.57061
1995,Lower Secondary Level,West,Never,0.20255,428,2093,0.18533,0.21977
1995,Lower Secondary Level,East,At least once per month,0.16983,87,365,0.13126,0.20841
1995,Lower Secondary Level,East,Seldom,0.51919,199,365,0.46786,0.57051
1995,Lower Secondary Level,East,Never,0.28427,79,365,0.23794,0.33061
1995,Upper Secondary Level,West,At least once per week,0.06060,254,4636,0.05373,0.06747
1995,Upper Secondary Level,West,At least once per month,0.27474,1247,4636,0.26189,0.28759
1995,Upper Secondary Level,West,Seldom,0.55232,2629,4636,0.53800,0.56663
1995,Upper Secondary Level,West,Never,0.11027,506,4636,0.10125,0.11929
1995,Upper Secondary Level,East,At least once per week,0.05425,104,2037,0.04441,0.06409
1995,Upper Secondary Level,East,At least once per month,0.27080,586,2037,0.25150,0.29010
1995,Upper Secondary Level,East,Seldom,0.54519,1128,2037,0.52356,0.56682
1995,Upper Secondary Level,East,Never,0.12507,219,2037,0.11070,0.13944
1995,Post-secondary Non-tertiary Level,West,At least once per month,0.33869,134,378,0.29091,0.38646
1995,Post-secondary Non-tertiary Level,West,Seldom,0.53313,213,378,0.48277,0.58349
1995,Post-secondary Non-tertiary Level,West,Never,0.07473,31,378,0.04819,0.10128
1995,First Stage of Tertiary Education,West,At least once per week,0.08151,34,521,0.05799,0.10503
1995,First Stage of Tertiary Education,West,At least once per month,0.34361,170,521,0.30279,0.38443
1995,First Stage of Tertiary Education,West,Seldom,0.48738,280,521,0.44442,0.53034
1995,First Stage of Tertiary Education,West,Never,0.08750,37,521,0.06322,0.11179
1995,First Stage of Tertiary Education,East,At least once per month,0.26876,69,201,0.20732,0.33020
1995,First Stage of Tertiary Education,East,Seldom,0.54927,132,201,0.48031,0.61823
1995,Second Stage of Tertiary Education,West,At least once per week,0.09564,74,917,0.07660,0.11469
1995,Second Stage of Tertiary Education,West,At least once per month,0.44099,390,917,0.40884,0.47315
1995,Second Stage of Tertiary Education,West,Seldom,0.42253,415,917,0.39054,0.45452
1995,Second Stage of Tertiary Education,West,Never,0.04084,38,917,0.02802,0.05365
1995,Second Stage of Tertiary Education,East,At least once per week,0.08066,63,808,0.06187,0.09945
1995,Second Stage of Tertiary Education,East,At least once per month,0.36154,308,808,0.32839,0.39469
1995,Second Stage of Tertiary Education,East,Seldom,0.51835,437,808,0.48388,0.55283
1998,No answer / don't know,West,At least once per month,0.24921,120,475,0.21027,0.28815
1998,No answer / don't know,West,Seldom,0.53183,266,475,0.48691,0.57675
1998,No answer / don't know,West,Never,0.16558,89,475,0.13211,0.19904
1998,No answer / don't know,East,At least once per month,0.32573,31,80,0.22239,0.42908
1998,No answer / don't know,East,Seldom,0.46074,49,80,0.35082,0.57066
1998,Pre-primary Level,West,At least once per month,0.26763,50,196,0.20549,0.32977
1998,Pre-primary Level,West,Seldom,0.62473,146,196,0.55677,0.69270
