"pli0082","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","4","0.00732822498569706","0.00155353976623058","0.0131029102051635"
"Taeglich","1990","Hauptschule","23","","",""
"Taeglich","1990","Realschule","3","","",""
"Taeglich","1990","(Fach-)Abitur","1","","",""
"Taeglich","1990","AkademikerIn","3","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","40","0.0428470577910406","0.0291358013446017","0.0565583142374795"
"Min 1x pro Woche","1990","Hauptschule","376","0.0743399826022815","0.0672916166957053","0.0813883485088577"
"Min 1x pro Woche","1990","Realschule","134","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","69","0.108106474829703","0.0858091729782928","0.130403776681113"
"Min 1x pro Woche","1990","AkademikerIn","84","0.132528800569883","0.10732080261719","0.157736798522575"
"Min 1x pro Monat","1990","(noch) kein Abschluss","144","","",""
"Min 1x pro Monat","1990","Hauptschule","1546","","",""
"Min 1x pro Monat","1990","Realschule","578","0.356101950041101","0.332777017439027","0.379426882643175"
"Min 1x pro Monat","1990","(Fach-)Abitur","274","","",""
"Min 1x pro Monat","1990","AkademikerIn","333","0.464896448883428","0.427815339422319","0.501977558344536"
"Seltener","1990","(noch) kein Abschluss","433","0.535075271349254","0.501305754659906","0.568844788038602"
"Seltener","1990","Hauptschule","2629","","",""
"Seltener","1990","Realschule","834","0.507514479354511","0.483161863480092","0.53186709522893"
"Seltener","1990","(Fach-)Abitur","341","0.444115826194535","0.408437026589606","0.479794625799464"
"Seltener","1990","AkademikerIn","260","","",""
"Nie","1990","(noch) kein Abschluss","217","","",""
"Nie","1990","Hauptschule","747","0.132133641809325","0.123034831920539","0.14123245169811"
"Nie","1990","Realschule","70","0.0436409244140893","0.0336895714816498","0.0535922773465287"
"Nie","1990","(Fach-)Abitur","60","0.0563355618857704","0.039779003525647","0.0728921202458938"
"Nie","1990","AkademikerIn","15","","",""
"Taeglich","1991","(noch) kein Abschluss","","","",""
"Taeglich","1991","Hauptschule","","","",""
"Taeglich","1991","Realschule","","","",""
"Taeglich","1991","(Fach-)Abitur","","","",""
"Taeglich","1991","AkademikerIn","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","Hauptschule","","","",""
"Min 1x pro Woche","1991","Realschule","","","",""
