"pli0082","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Taeglich","1990","(noch) kein Abschluss","Hamburg","","","",""
"Taeglich","1990","(noch) kein Abschluss","Niedersachsen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Bremen","2","","",""
"Taeglich","1990","(noch) kein Abschluss","Nordrhein-Westfalen","1","","",""
"Taeglich","1990","(noch) kein Abschluss","Hessen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","(noch) kein Abschluss","Baden-Wuerttemberg","1","","",""
"Taeglich","1990","(noch) kein Abschluss","Bayern","","","",""
"Taeglich","1990","(noch) kein Abschluss","Saarland","","","",""
"Taeglich","1990","(noch) kein Abschluss","Berlin","","","",""
"Taeglich","1990","(noch) kein Abschluss","Brandenburg","","","",""
"Taeglich","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","(noch) kein Abschluss","Sachsen","","","",""
"Taeglich","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Taeglich","1990","(noch) kein Abschluss","Thueringen","","","",""
"Taeglich","1990","Hauptschule","Schleswig-Holstein","2","","",""
"Taeglich","1990","Hauptschule","Hamburg","","","",""
"Taeglich","1990","Hauptschule","Niedersachsen","2","","",""
"Taeglich","1990","Hauptschule","Bremen","1","","",""
"Taeglich","1990","Hauptschule","Nordrhein-Westfalen","8","","",""
"Taeglich","1990","Hauptschule","Hessen","4","","",""
"Taeglich","1990","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","Hauptschule","Baden-Wuerttemberg","3","","",""
"Taeglich","1990","Hauptschule","Bayern","3","","",""
"Taeglich","1990","Hauptschule","Saarland","","","",""
"Taeglich","1990","Hauptschule","Berlin","","","",""
"Taeglich","1990","Hauptschule","Brandenburg","","","",""
"Taeglich","1990","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","Hauptschule","Sachsen","","","",""
"Taeglich","1990","Hauptschule","Sachsen-Anhalt","","","",""
"Taeglich","1990","Hauptschule","Thueringen","","","",""
"Taeglich","1990","Realschule","Schleswig-Holstein","","","",""
"Taeglich","1990","Realschule","Hamburg","","","",""
"Taeglich","1990","Realschule","Niedersachsen","","","",""
"Taeglich","1990","Realschule","Bremen","","","",""
"Taeglich","1990","Realschule","Nordrhein-Westfalen","1","","",""
"Taeglich","1990","Realschule","Hessen","1","","",""
"Taeglich","1990","Realschule","Rheinland-Pfalz,Saarland","1","","",""
"Taeglich","1990","Realschule","Baden-Wuerttemberg","","","",""
"Taeglich","1990","Realschule","Bayern","","","",""
"Taeglich","1990","Realschule","Saarland","","","",""
"Taeglich","1990","Realschule","Berlin","","","",""
"Taeglich","1990","Realschule","Brandenburg","","","",""
"Taeglich","1990","Realschule","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","Realschule","Sachsen","","","",""
"Taeglich","1990","Realschule","Sachsen-Anhalt","","","",""
"Taeglich","1990","Realschule","Thueringen","","","",""
"Taeglich","1990","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Taeglich","1990","(Fach-)Abitur","Hamburg","","","",""
"Taeglich","1990","(Fach-)Abitur","Niedersachsen","","","",""
"Taeglich","1990","(Fach-)Abitur","Bremen","","","",""
"Taeglich","1990","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Taeglich","1990","(Fach-)Abitur","Hessen","","","",""
"Taeglich","1990","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","(Fach-)Abitur","Baden-Wuerttemberg","1","","",""
"Taeglich","1990","(Fach-)Abitur","Bayern","","","",""
"Taeglich","1990","(Fach-)Abitur","Saarland","","","",""
"Taeglich","1990","(Fach-)Abitur","Berlin","","","",""
"Taeglich","1990","(Fach-)Abitur","Brandenburg","","","",""
"Taeglich","1990","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","(Fach-)Abitur","Sachsen","","","",""
"Taeglich","1990","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Taeglich","1990","(Fach-)Abitur","Thueringen","","","",""
"Taeglich","1990","AkademikerIn","Schleswig-Holstein","","","",""
"Taeglich","1990","AkademikerIn","Hamburg","","","",""
"Taeglich","1990","AkademikerIn","Niedersachsen","","","",""
"Taeglich","1990","AkademikerIn","Bremen","","","",""
"Taeglich","1990","AkademikerIn","Nordrhein-Westfalen","1","","",""
"Taeglich","1990","AkademikerIn","Hessen","","","",""
"Taeglich","1990","AkademikerIn","Rheinland-Pfalz,Saarland","1","","",""
"Taeglich","1990","AkademikerIn","Baden-Wuerttemberg","1","","",""
"Taeglich","1990","AkademikerIn","Bayern","","","",""
"Taeglich","1990","AkademikerIn","Saarland","","","",""
"Taeglich","1990","AkademikerIn","Berlin","","","",""
"Taeglich","1990","AkademikerIn","Brandenburg","","","",""
"Taeglich","1990","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","AkademikerIn","Sachsen","","","",""
"Taeglich","1990","AkademikerIn","Sachsen-Anhalt","","","",""
"Taeglich","1990","AkademikerIn","Thueringen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Hamburg","2","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Niedersachsen","2","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Bremen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Nordrhein-Westfalen","10","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Hessen","7","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","2","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Baden-Wuerttemberg","11","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Bayern","5","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Saarland","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Berlin","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Brandenburg","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Sachsen","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Thueringen","","","",""
"Min 1x pro Woche","1990","Hauptschule","Schleswig-Holstein","8","","",""
"Min 1x pro Woche","1990","Hauptschule","Hamburg","6","","",""
"Min 1x pro Woche","1990","Hauptschule","Niedersachsen","25","","",""
"Min 1x pro Woche","1990","Hauptschule","Bremen","6","","",""
"Min 1x pro Woche","1990","Hauptschule","Nordrhein-Westfalen","86","0.0676544290171317","0.0542471787108","0.0810616793234634"
"Min 1x pro Woche","1990","Hauptschule","Hessen","32","0.0591508843467789","0.0388941309586836","0.0794076377348741"
"Min 1x pro Woche","1990","Hauptschule","Rheinland-Pfalz,Saarland","43","0.0934059793230175","0.0664293245776446","0.12038263406839"
"Min 1x pro Woche","1990","Hauptschule","Baden-Wuerttemberg","73","0.0729986336287673","0.0572791681667008","0.0887180990908338"
"Min 1x pro Woche","1990","Hauptschule","Bayern","83","0.0945969713373607","0.075888265275915","0.113305677398806"
"Min 1x pro Woche","1990","Hauptschule","Saarland","","","",""
"Min 1x pro Woche","1990","Hauptschule","Berlin","14","","",""
"Min 1x pro Woche","1990","Hauptschule","Brandenburg","","","",""
"Min 1x pro Woche","1990","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1990","Hauptschule","Sachsen","","","",""
"Min 1x pro Woche","1990","Hauptschule","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1990","Hauptschule","Thueringen","","","",""
"Min 1x pro Woche","1990","Realschule","Schleswig-Holstein","2","","",""
"Min 1x pro Woche","1990","Realschule","Hamburg","5","","",""
"Min 1x pro Woche","1990","Realschule","Niedersachsen","18","","",""
"Min 1x pro Woche","1990","Realschule","Bremen","3","","",""
"Min 1x pro Woche","1990","Realschule","Nordrhein-Westfalen","29","","",""
"Min 1x pro Woche","1990","Realschule","Hessen","20","","",""
"Min 1x pro Woche","1990","Realschule","Rheinland-Pfalz,Saarland","9","","",""
