year,regtyp,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,West,At least once per week,0.08599,571,7441,0.07962,0.09236
1990,Urban regions,West,At least once per month,0.33187,2327,7441,0.32117,0.34257
1990,Urban regions,West,Seldom,0.47664,3602,7441,0.46529,0.48799
1990,Urban regions,West,Never,0.10255,941,7441,0.09566,0.10945
1990,Rural regions,West,At least once per week,0.07635,142,1937,0.06452,0.08817
1990,Rural regions,West,At least once per month,0.32045,605,1937,0.29966,0.34124
1990,Rural regions,West,Seldom,0.50702,991,1937,0.48475,0.52929
1990,Rural regions,West,Never,0.09185,199,1937,0.07898,0.10471
1995,Urban regions,West,At least once per week,0.06096,412,7460,0.05553,0.06639
1995,Urban regions,West,At least once per month,0.28135,1938,7460,0.27114,0.29155
1995,Urban regions,West,Seldom,0.52702,4042,7460,0.51569,0.53835
1995,Urban regions,West,Never,0.12944,1068,7460,0.12182,0.13706
1995,Urban regions,East,At least once per week,0.07668,83,1208,0.06167,0.09170
1995,Urban regions,East,At least once per month,0.28625,366,1208,0.26075,0.31175
1995,Urban regions,East,Seldom,0.52812,656,1208,0.49996,0.55629
1995,Urban regions,East,Never,0.10261,103,1208,0.08549,0.11973
1995,Rural regions,West,At least once per week,0.05800,95,2052,0.04789,0.06812
1995,Rural regions,West,At least once per month,0.27797,543,2052,0.25858,0.29736
1995,Rural regions,West,Seldom,0.55487,1208,2052,0.53337,0.57638
1995,Rural regions,West,Never,0.10790,206,2052,0.09448,0.12133
1995,Rural regions,East,At least once per week,0.04925,124,2461,0.04070,0.05780
1995,Rural regions,East,At least once per month,0.28434,751,2461,0.26651,0.30216
1995,Rural regions,East,Seldom,0.53571,1340,2461,0.51601,0.55542
1995,Rural regions,East,Never,0.12745,246,2461,0.11427,0.14062
1998,Urban regions,West,At least once per week,0.05023,379,7954,0.04543,0.05503
1998,Urban regions,West,At least once per month,0.25868,1925,7954,0.24905,0.26830
1998,Urban regions,West,Seldom,0.57764,4741,7954,0.56679,0.58850
1998,Urban regions,West,Never,0.11255,909,7954,0.10560,0.11949
1998,Urban regions,East,At least once per week,0.05645,63,1247,0.04363,0.06926
1998,Urban regions,East,At least once per month,0.29336,373,1247,0.26808,0.31864
1998,Urban regions,East,Seldom,0.57136,725,1247,0.54389,0.59884
1998,Urban regions,East,Never,0.07785,86,1247,0.06298,0.09273
1998,Rural regions,West,At least once per week,0.05725,113,2325,0.04781,0.06670
1998,Rural regions,West,At least once per month,0.25216,572,2325,0.23450,0.26982
1998,Rural regions,West,Seldom,0.60272,1424,2325,0.58282,0.62261
1998,Rural regions,West,Never,0.08787,216,2325,0.07636,0.09938
1998,Rural regions,East,At least once per week,0.04164,119,2596,0.03395,0.04932
1998,Rural regions,East,At least once per month,0.22207,598,2596,0.20608,0.23806
1998,Rural regions,East,Seldom,0.60687,1613,2596,0.58807,0.62566
1998,Rural regions,East,Never,0.12824,266,2596,0.11538,0.14111
2003,Urban regions,West,At least once per week,0.04575,623,12900,0.04215,0.04936
2003,Urban regions,West,At least once per month,0.24597,3397,12900,0.23854,0.25340
2003,Urban regions,West,Seldom,0.56179,7271,12900,0.55322,0.57035
2003,Urban regions,West,Never,0.14516,1609,12900,0.13908,0.15124
2003,Urban regions,East,At least once per week,0.06447,107,1755,0.05298,0.07597
2003,Urban regions,East,At least once per month,0.24495,440,1755,0.22483,0.26508
2003,Urban regions,East,Seldom,0.58326,1053,1755,0.56019,0.60633
2003,Urban regions,East,Never,0.10602,155,1755,0.09161,0.12043
2003,Rural regions,West,At least once per week,0.04501,189,3797,0.03841,0.05160
2003,Rural regions,West,At least once per month,0.23770,970,3797,0.22415,0.25124
2003,Rural regions,West,Seldom,0.59558,2255,3797,0.57997,0.61119
2003,Rural regions,West,Never,0.12075,383,3797,0.11038,0.13111
2003,Rural regions,East,At least once per week,0.03957,153,3571,0.03317,0.04596
2003,Rural regions,East,At least once per month,0.22099,827,3571,0.20738,0.23460
2003,Rural regions,East,Seldom,0.59389,2143,3571,0.57778,0.61000
2003,Rural regions,East,Never,0.14555,448,3571,0.13399,0.15712
2008,Urban regions,West,At least once per week,0.02756,300,11023,0.02451,0.03062
2008,Urban regions,West,At least once per month,0.20103,2449,11023,0.19355,0.20851
2008,Urban regions,West,Seldom,0.59634,6621,11023,0.58718,0.60550
2008,Urban regions,West,Never,0.17384,1653,11023,0.16676,0.18091
2008,Urban regions,East,At least once per week,0.03467,61,1612,0.02573,0.04360
2008,Urban regions,East,At least once per month,0.22103,372,1612,0.20077,0.24129
2008,Urban regions,East,Seldom,0.59065,971,1612,0.56664,0.61467
2008,Urban regions,East,Never,0.15343,208,1612,0.13583,0.17103
2008,Rural regions,West,At least once per week,0.02799,107,3446,0.02248,0.03350
2008,Rural regions,West,At least once per month,0.20079,754,3446,0.18742,0.21417
2008,Rural regions,West,Seldom,0.59427,2070,3446,0.57787,0.61067
2008,Rural regions,West,Never,0.17635,515,3446,0.16362,0.18908
2008,Rural regions,East,At least once per week,0.02573,82,3139,0.02019,0.03127
2008,Rural regions,East,At least once per month,0.18477,605,3139,0.17119,0.19835
2008,Rural regions,East,Seldom,0.57688,1877,3139,0.55959,0.59417
2008,Rural regions,East,Never,0.21235,575,3139,0.19804,0.22666
