year,bula_h,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Thuringa,East,Seldom,0.50333,350,650,0.46486,0.54180
1995,Thuringa,East,Never,0.13114,57,650,0.10517,0.15711
1998,Schleswig-Holstein,West,At least once per month,0.27833,101,306,0.22803,0.32863
1998,Schleswig-Holstein,West,Seldom,0.60650,205,306,0.55168,0.66133
1998,Hamburg,West,At least once per month,0.25354,40,119,0.17505,0.33204
1998,Hamburg,West,Seldom,0.48496,79,119,0.39479,0.57514
1998,Lower Saxony,West,At least once per week,0.05619,62,1191,0.04310,0.06927
1998,Lower Saxony,West,At least once per month,0.25162,288,1191,0.22697,0.27628
1998,Lower Saxony,West,Seldom,0.60088,733,1191,0.57305,0.62870
1998,Lower Saxony,West,Never,0.09081,108,1191,0.07448,0.10713
1998,Bremen,West,Seldom,0.62599,66,66,0.50836,0.74362
1998,North Rhine-Westphalia,West,At least once per week,0.03957,103,2803,0.03235,0.04679
1998,North Rhine-Westphalia,West,At least once per month,0.23743,640,2803,0.22168,0.25319
1998,North Rhine-Westphalia,West,Seldom,0.60814,1741,2803,0.59006,0.62621
1998,North Rhine-Westphalia,West,Never,0.11333,319,2803,0.10160,0.12507
1998,Hesse,West,At least once per week,0.05818,52,935,0.04317,0.07319
1998,Hesse,West,At least once per month,0.26709,233,935,0.23871,0.29546
1998,Hesse,West,Seldom,0.56357,533,935,0.53176,0.59537
1998,Hesse,West,Never,0.11075,117,935,0.09062,0.13088
1998,"Rhineland-Palatinate, Saarland",West,At least once per week,0.05928,43,801,0.04292,0.07564
1998,"Rhineland-Palatinate, Saarland",West,At least once per month,0.22361,159,801,0.19474,0.25249
1998,"Rhineland-Palatinate, Saarland",West,Seldom,0.56943,476,801,0.53512,0.60374
1998,"Rhineland-Palatinate, Saarland",West,Never,0.14767,123,801,0.12309,0.17226
1998,Baden-Wuerttemberg,West,At least once per week,0.04393,77,1804,0.03447,0.05339
1998,Baden-Wuerttemberg,West,At least once per month,0.25005,401,1804,0.23006,0.27004
1998,Baden-Wuerttemberg,West,Seldom,0.59352,1101,1804,0.57084,0.61619
1998,Baden-Wuerttemberg,West,Never,0.11251,225,1804,0.09792,0.12709
1998,Bavaria,West,At least once per week,0.06743,108,1853,0.05601,0.07885
1998,Bavaria,West,At least once per month,0.29590,532,1853,0.27511,0.31669
1998,Bavaria,West,Seldom,0.55171,1068,1853,0.52906,0.57436
1998,Bavaria,West,Never,0.08399,145,1853,0.07136,0.09663
1998,Berlin,West,At least once per month,0.29640,80,243,0.23886,0.35394
1998,Berlin,West,Seldom,0.54953,163,243,0.48684,0.61221
1998,Berlin,East,At least once per month,0.29566,73,219,0.23508,0.35623
1998,Berlin,East,Seldom,0.63896,146,219,0.57520,0.70272
1998,Brandenburg,East,At least once per month,0.20936,138,600,0.17678,0.24195
1998,Brandenburg,East,Seldom,0.61199,388,600,0.57297,0.65102
1998,Brandenburg,East,Never,0.14728,74,600,0.11890,0.17566
1998,Mecklenburg-Western Pomerania,East,At least once per month,0.26094,109,350,0.21486,0.30701
1998,Mecklenburg-Western Pomerania,East,Seldom,0.58830,241,350,0.53667,0.63993
1998,Saxony,East,At least once per week,0.05733,62,1171,0.04401,0.07065
1998,Saxony,East,At least once per month,0.27075,322,1171,0.24529,0.29622
1998,Saxony,East,Seldom,0.58073,698,1171,0.55246,0.60900
1998,Saxony,East,Never,0.09014,89,1171,0.07373,0.10655
1998,Saxony-Anhalt,East,At least once per week,0.05238,34,689,0.03573,0.06902
1998,Saxony-Anhalt,East,At least once per month,0.22426,155,689,0.19309,0.25543
1998,Saxony-Anhalt,East,Seldom,0.56389,408,689,0.52683,0.60095
1998,Saxony-Anhalt,East,Never,0.15947,92,689,0.13211,0.18683
1998,Thuringa,East,At least once per week,0.03760,34,728,0.02377,0.05143
1998,Thuringa,East,At least once per month,0.22473,174,728,0.19439,0.25507
1998,Thuringa,East,Seldom,0.62178,457,728,0.58652,0.65703
1998,Thuringa,East,Never,0.11374,63,728,0.09066,0.13682
2003,Schleswig-Holstein,West,At least once per month,0.22520,163,639,0.19279,0.25762
2003,Schleswig-Holstein,West,Seldom,0.62333,408,639,0.58573,0.66093
2003,Schleswig-Holstein,West,Never,0.12681,68,639,0.10098,0.15263
2003,Hamburg,West,At least once per month,0.24510,81,258,0.19251,0.29769
2003,Hamburg,West,Seldom,0.62639,177,258,0.56724,0.68553
2003,Lower Saxony,West,At least once per week,0.03568,72,1899,0.02734,0.04403
2003,Lower Saxony,West,At least once per month,0.23855,499,1899,0.21937,0.25772
2003,Lower Saxony,West,Seldom,0.60405,1145,1899,0.58205,0.62605
2003,Lower Saxony,West,Never,0.12035,183,1899,0.10572,0.13499
2003,Bremen,West,At least once per month,0.17577,41,136,0.11156,0.23998
2003,Bremen,West,Seldom,0.52474,95,136,0.44050,0.60898
2003,North Rhine-Westphalia,West,At least once per week,0.04610,208,4629,0.04006,0.05215
2003,North Rhine-Westphalia,West,At least once per month,0.22882,1099,4629,0.21672,0.24093
2003,North Rhine-Westphalia,West,Seldom,0.57443,2727,4629,0.56018,0.58867
2003,North Rhine-Westphalia,West,Never,0.14901,595,4629,0.13876,0.15927
