,Unnamed: 0,year,pgisced97,quintil_oecd,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Primary Level,1st Quintile,At least once per month,0.20597,35,8365,0.13189,0.30453
1,1,1990,Primary Level,1st Quintile,Seldom,0.42625,107,8365,0.34803,0.49951
2,2,1990,Primary Level,1st Quintile,Never,0.36778,83,8365,0.29634,0.45609
3,3,1990,Primary Level,2nd Quintile,Seldom,0.6162,73,8365,0.48733,0.76976
4,4,1990,Primary Level,2nd Quintile,Never,0.3838,45,8365,0.29915,0.48547
5,5,1990,Primary Level,3rd Quintile,Seldom,0.6917,59,8365,0.49956,0.89226
6,6,1990,Primary Level,3rd Quintile,Never,0.3083,41,8365,0.23663,0.39405
7,7,1990,Primary Level,4th Quintile,Seldom,1.0,41,8365,0.70532,1.37065
8,8,1990,Lower Secondary Level,1st Quintile,At least once per week,0.04206,34,8365,0.03192,0.05282
9,9,1990,Lower Secondary Level,1st Quintile,At least once per month,0.1772,142,8365,0.1539,0.20207
10,10,1990,Lower Secondary Level,1st Quintile,Seldom,0.49663,347,8365,0.46207,0.53991
11,11,1990,Lower Secondary Level,1st Quintile,Never,0.28412,196,8365,0.24808,0.31857
12,12,1990,Lower Secondary Level,2nd Quintile,At least once per week,0.0629,34,8365,0.0488,0.08169
13,13,1990,Lower Secondary Level,2nd Quintile,At least once per month,0.2497,136,8365,0.22257,0.28206
14,14,1990,Lower Secondary Level,2nd Quintile,Seldom,0.50714,295,8365,0.46165,0.54733
15,15,1990,Lower Secondary Level,2nd Quintile,Never,0.18026,101,8365,0.14768,0.21188
16,16,1990,Lower Secondary Level,3rd Quintile,At least once per month,0.24743,121,8365,0.21147,0.27965
17,17,1990,Lower Secondary Level,3rd Quintile,Seldom,0.62412,287,8365,0.58192,0.67368
18,18,1990,Lower Secondary Level,3rd Quintile,Never,0.12845,76,8365,0.10474,0.15447
19,19,1990,Lower Secondary Level,4th Quintile,At least once per week,0.08301,33,8365,0.06441,0.09923
20,20,1990,Lower Secondary Level,4th Quintile,At least once per month,0.35829,137,8365,0.32042,0.39554
21,21,1990,Lower Secondary Level,4th Quintile,Seldom,0.45076,184,8365,0.41271,0.49208
22,22,1990,Lower Secondary Level,4th Quintile,Never,0.10795,56,8365,0.08001,0.13371
23,23,1990,Lower Secondary Level,5th Quintile,At least once per month,0.44803,81,8365,0.39988,0.49194
24,24,1990,Lower Secondary Level,5th Quintile,Seldom,0.55197,107,8365,0.48254,0.62008
25,25,1990,Upper Secondary Level,1st Quintile,At least once per week,0.07508,45,8365,0.06399,0.08598
26,26,1990,Upper Secondary Level,1st Quintile,At least once per month,0.23943,170,8365,0.22143,0.25817
27,27,1990,Upper Secondary Level,1st Quintile,Seldom,0.48193,346,8365,0.44884,0.5227
28,28,1990,Upper Secondary Level,1st Quintile,Never,0.20356,135,8365,0.18064,0.22711
29,29,1990,Upper Secondary Level,2nd Quintile,At least once per week,0.08895,68,8365,0.0767,0.10137
30,30,1990,Upper Secondary Level,2nd Quintile,At least once per month,0.31432,267,8365,0.29212,0.33669
31,31,1990,Upper Secondary Level,2nd Quintile,Seldom,0.51584,480,8365,0.48895,0.53893
32,32,1990,Upper Secondary Level,2nd Quintile,Never,0.08088,74,8365,0.06853,0.09349
33,33,1990,Upper Secondary Level,3rd Quintile,At least once per week,0.07862,73,8365,0.06986,0.08808
34,34,1990,Upper Secondary Level,3rd Quintile,At least once per month,0.31661,296,8365,0.29805,0.33834
35,35,1990,Upper Secondary Level,3rd Quintile,Seldom,0.52742,510,8365,0.50637,0.55157
36,36,1990,Upper Secondary Level,3rd Quintile,Never,0.07735,90,8365,0.06439,0.09007
37,37,1990,Upper Secondary Level,4th Quintile,At least once per week,0.09431,93,8365,0.08444,0.10367
38,38,1990,Upper Secondary Level,4th Quintile,At least once per month,0.38095,389,8365,0.36214,0.40004
39,39,1990,Upper Secondary Level,4th Quintile,Seldom,0.4743,504,8365,0.45251,0.49461
40,40,1990,Upper Secondary Level,4th Quintile,Never,0.05045,64,8365,0.04133,0.05965
41,41,1990,Upper Secondary Level,5th Quintile,At least once per week,0.10673,88,8365,0.09572,0.11844
42,42,1990,Upper Secondary Level,5th Quintile,At least once per month,0.39407,358,8365,0.376,0.41435
43,43,1990,Upper Secondary Level,5th Quintile,Seldom,0.49919,433,8365,0.47551,0.52033
44,44,1990,Post-secondary Non-tertiary Level,4th Quintile,Seldom,1.0,31,8365,0.72286,1.25536
45,45,1990,Post-secondary Non-tertiary Level,5th Quintile,At least once per month,1.0,40,8365,0.81601,1.1595
46,46,1990,First Stage of Tertiary Education,2nd Quintile,At least once per month,0.43941,35,8365,0.35203,0.52127
47,47,1990,First Stage of Tertiary Education,2nd Quintile,Seldom,0.56059,43,8365,0.50975,0.61702
48,48,1990,First Stage of Tertiary Education,3rd Quintile,At least once per month,0.47183,35,8365,0.40277,0.54151
49,49,1990,First Stage of Tertiary Education,3rd Quintile,Seldom,0.52817,43,8365,0.4364,0.6512
50,50,1990,First Stage of Tertiary Education,4th Quintile,At least once per month,0.52925,50,8365,0.48222,0.57814
51,51,1990,First Stage of Tertiary Education,4th Quintile,Seldom,0.47075,44,8365,0.40453,0.53301
52,52,1990,First Stage of Tertiary Education,5th Quintile,At least once per month,0.48706,73,8365,0.42514,0.54888
53,53,1990,First Stage of Tertiary Education,5th Quintile,Seldom,0.51294,81,8365,0.46219,0.54993
54,54,1990,Second Stage of Tertiary Education,3rd Quintile,At least once per month,0.5591,40,8365,0.48836,0.62658
55,55,1990,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.4409,31,8365,0.36193,0.5241
56,56,1990,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.50625,66,8365,0.45361,0.56588
57,57,1990,Second Stage of Tertiary Education,4th Quintile,Seldom,0.49375,65,8365,0.42867,0.55194
58,58,1990,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.13593,39,8365,0.11892,0.15558
59,59,1990,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.50985,193,8365,0.4777,0.54479
60,60,1990,Second Stage of Tertiary Education,5th Quintile,Seldom,0.35423,122,8365,0.32757,0.38057
61,61,1995,Pre-primary Level,1st Quintile,Seldom,1.0,37,12101,0.72127,1.28333
62,62,1995,Pre-primary Level,2nd Quintile,Seldom,1.0,41,12101,0.81814,1.21853
63,63,1995,Pre-primary Level,3rd Quintile,Seldom,1.0,49,12101,0.82193,1.16286
64,64,1995,Primary Level,1st Quintile,Seldom,0.52736,92,12101,0.45007,0.61591
65,65,1995,Primary Level,1st Quintile,Never,0.47264,75,12101,0.39011,0.54777
66,66,1995,Primary Level,2nd Quintile,Seldom,0.62574,85,12101,0.51902,0.74437
67,67,1995,Primary Level,2nd Quintile,Never,0.37426,49,12101,0.25159,0.56949
68,68,1995,Primary Level,3rd Quintile,Seldom,1.0,49,12101,0.72692,1.32533
69,69,1995,Primary Level,4th Quintile,Seldom,1.0,40,12101,0.69009,1.43667
70,70,1995,Lower Secondary Level,1st Quintile,At least once per month,0.15272,107,12101,0.13011,0.17726
71,71,1995,Lower Secondary Level,1st Quintile,Seldom,0.53935,383,12101,0.49587,0.58007
72,72,1995,Lower Secondary Level,1st Quintile,Never,0.30793,196,12101,0.27068,0.3379
73,73,1995,Lower Secondary Level,2nd Quintile,At least once per month,0.17343,106,12101,0.15077,0.20034
74,74,1995,Lower Secondary Level,2nd Quintile,Seldom,0.56533,334,12101,0.51492,0.61746
75,75,1995,Lower Secondary Level,2nd Quintile,Never,0.26124,136,12101,0.22371,0.30434
76,76,1995,Lower Secondary Level,3rd Quintile,At least once per month,0.23529,104,12101,0.20427,0.27245
77,77,1995,Lower Secondary Level,3rd Quintile,Seldom,0.58419,283,12101,0.53039,0.63924
78,78,1995,Lower Secondary Level,3rd Quintile,Never,0.18052,90,12101,0.15229,0.21189
79,79,1995,Lower Secondary Level,4th Quintile,At least once per month,0.25427,93,12101,0.21212,0.30328
80,80,1995,Lower Secondary Level,4th Quintile,Seldom,0.62531,247,12101,0.56091,0.68176
81,81,1995,Lower Secondary Level,4th Quintile,Never,0.12042,51,12101,0.09961,0.14481
82,82,1995,Lower Secondary Level,5th Quintile,At least once per month,0.34156,72,12101,0.28661,0.3875
83,83,1995,Lower Secondary Level,5th Quintile,Seldom,0.54011,126,12101,0.48867,0.61882
84,84,1995,Lower Secondary Level,5th Quintile,Never,0.11833,34,12101,0.08369,0.15642
85,85,1995,Upper Secondary Level,1st Quintile,At least once per week,0.06182,64,12101,0.05183,0.07334
86,86,1995,Upper Secondary Level,1st Quintile,At least once per month,0.2122,257,12101,0.19117,0.23098
87,87,1995,Upper Secondary Level,1st Quintile,Seldom,0.52041,627,12101,0.48968,0.55326
88,88,1995,Upper Secondary Level,1st Quintile,Never,0.20557,233,12101,0.18563,0.22917
89,89,1995,Upper Secondary Level,2nd Quintile,At least once per week,0.04852,64,12101,0.03989,0.05804
90,90,1995,Upper Secondary Level,2nd Quintile,At least once per month,0.23275,353,12101,0.21706,0.24864
