year,bula_h,regtyp,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Urban regions,At least once per month,0.27287,44,116,0.19146,0.35428
1990,Schleswig-Holstein,Urban regions,Seldom,0.38635,72,116,0.29735,0.47534
1990,Schleswig-Holstein,Rural regions,At least once per month,0.23304,41,121,0.15740,0.30869
1990,Schleswig-Holstein,Rural regions,Seldom,0.45589,80,121,0.36678,0.54500
1990,Hamburg,Urban regions,At least once per month,0.37907,70,130,0.29535,0.46279
1990,Hamburg,Urban regions,Seldom,0.33818,60,130,0.25654,0.41982
1990,Lower Saxony,Urban regions,At least once per week,0.08065,35,474,0.05611,0.10519
1990,Lower Saxony,Urban regions,At least once per month,0.35045,191,474,0.30745,0.39345
1990,Lower Saxony,Urban regions,Seldom,0.36994,210,474,0.32643,0.41345
1990,Lower Saxony,Urban regions,Never,0.06460,38,474,0.04244,0.08675
1990,Lower Saxony,Rural regions,At least once per month,0.25369,141,471,0.21435,0.29303
1990,Lower Saxony,Rural regions,Seldom,0.43512,265,471,0.39030,0.47994
1990,Lower Saxony,Rural regions,Never,0.10371,65,471,0.07615,0.13127
1990,Bremen,Urban regions,At least once per month,0.33603,38,72,0.22615,0.44590
1990,Bremen,Urban regions,Seldom,0.27524,34,72,0.17135,0.37913
1990,North Rhine-Westphalia,Urban regions,At least once per week,0.05218,148,2466,0.04340,0.06096
1990,North Rhine-Westphalia,Urban regions,At least once per month,0.24335,699,2466,0.22641,0.26029
1990,North Rhine-Westphalia,Urban regions,Seldom,0.44430,1325,2466,0.42468,0.46391
1990,North Rhine-Westphalia,Urban regions,Never,0.07795,294,2466,0.06736,0.08853
1990,Hesse,Urban regions,At least once per week,0.07260,68,843,0.05507,0.09013
1990,Hesse,Urban regions,At least once per month,0.27629,254,843,0.24609,0.30649
1990,Hesse,Urban regions,Seldom,0.36750,369,843,0.33494,0.40007
1990,Hesse,Urban regions,Never,0.10426,152,843,0.08362,0.12490
1990,Hesse,Rural regions,At least once per month,0.31665,38,103,0.22637,0.40692
1990,Hesse,Rural regions,Seldom,0.43413,65,103,0.33794,0.53032
1990,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.09371,58,557,0.06949,0.11793
1990,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.26518,165,557,0.22848,0.30187
1990,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.35910,256,557,0.31922,0.39898
1990,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.12648,78,557,0.09885,0.15411
1990,"Rhineland-Palatinate, Saarland",Rural regions,At least once per month,0.30155,38,97,0.20975,0.39336
1990,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.46766,59,97,0.36785,0.56748
1990,Baden-Wuerttemberg,Urban regions,At least once per week,0.06808,113,1540,0.05550,0.08067
1990,Baden-Wuerttemberg,Urban regions,At least once per month,0.27293,475,1540,0.25068,0.29519
1990,Baden-Wuerttemberg,Urban regions,Seldom,0.38480,766,1540,0.36049,0.40911
1990,Baden-Wuerttemberg,Urban regions,Never,0.08179,186,1540,0.06810,0.09548
1990,Baden-Wuerttemberg,Rural regions,At least once per month,0.24020,70,218,0.18336,0.29704
1990,Baden-Wuerttemberg,Rural regions,Seldom,0.42412,115,218,0.35837,0.48988
1990,Baden-Wuerttemberg,Rural regions,Never,0.07544,33,218,0.04030,0.11058
1990,Bavaria,Urban regions,At least once per week,0.10828,90,832,0.08715,0.12940
1990,Bavaria,Urban regions,At least once per month,0.30239,298,832,0.27116,0.33361
1990,Bavaria,Urban regions,Seldom,0.38893,376,832,0.35579,0.42208
1990,Bavaria,Urban regions,Never,0.06257,68,832,0.04610,0.07903
1990,Bavaria,Rural regions,At least once per week,0.07535,66,752,0.05647,0.09423
1990,Bavaria,Rural regions,At least once per month,0.27548,255,752,0.24353,0.30743
1990,Bavaria,Rural regions,Seldom,0.39200,377,752,0.35708,0.42692
1990,Bavaria,Rural regions,Never,0.05729,54,752,0.04067,0.07391
1990,Berlin,Urban regions,At least once per month,0.19582,93,299,0.15076,0.24087
1990,Berlin,Urban regions,Seldom,0.22120,134,299,0.17408,0.26833
1990,Berlin,Urban regions,Never,0.07449,72,299,0.04468,0.10430
