"pli0082","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","Westdeutschland","35","0.00326677506153766","0.00211403033256481","0.0044195197905105"
"Taeglich","1990","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Westdeutschland","713","0.083761584806507","0.0781651589707603","0.0893580106422537"
"Min 1x pro Woche","1990","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Westdeutschland","2932","","",""
"Min 1x pro Monat","1990","Ostdeutschland","","","",""
"Seltener","1990","Westdeutschland","4593","0.483620262272842","0.473524923388403","0.493715601157282"
"Seltener","1990","Ostdeutschland","","","",""
"Nie","1990","Westdeutschland","1140","","",""
"Nie","1990","Ostdeutschland","","","",""
"Taeglich","1991","Westdeutschland","","","",""
"Taeglich","1991","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Ostdeutschland","","","",""
"Seltener","1991","Westdeutschland","","","",""
"Seltener","1991","Ostdeutschland","","","",""
"Nie","1991","Westdeutschland","","","",""
"Nie","1991","Ostdeutschland","","","",""
"Taeglich","1992","Westdeutschland","","","",""
"Taeglich","1992","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","Westdeutschland","","","",""
"Min 1x pro Woche","1992","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","Westdeutschland","","","",""
"Min 1x pro Monat","1992","Ostdeutschland","","","",""
"Seltener","1992","Westdeutschland","","","",""
"Seltener","1992","Ostdeutschland","","","",""
"Nie","1992","Westdeutschland","","","",""
"Nie","1992","Ostdeutschland","","","",""
"Taeglich","1993","Westdeutschland","","","",""
"Taeglich","1993","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Ostdeutschland","","","",""
"Seltener","1993","Westdeutschland","","","",""
"Seltener","1993","Ostdeutschland","","","",""
"Nie","1993","Westdeutschland","","","",""
"Nie","1993","Ostdeutschland","","","",""
"Taeglich","1994","Westdeutschland","","","",""
"Taeglich","1994","Ostdeutschland","","","",""
"Min 1x pro Woche","1994","Westdeutschland","","","",""
"Min 1x pro Woche","1994","Ostdeutschland","","","",""
"Min 1x pro Monat","1994","Westdeutschland","","","",""
"Min 1x pro Monat","1994","Ostdeutschland","","","",""
"Seltener","1994","Westdeutschland","","","",""
"Seltener","1994","Ostdeutschland","","","",""
"Nie","1994","Westdeutschland","","","",""
"Nie","1994","Ostdeutschland","","","",""
"Taeglich","1995","Westdeutschland","12","","",""
"Taeglich","1995","Ostdeutschland","8","0.00430875805424727","0.00219166633358029","0.00642584977491425"
"Min 1x pro Woche","1995","Westdeutschland","507","0.0602659614429307","0.0554865224622925","0.0650454004235688"
"Min 1x pro Woche","1995","Ostdeutschland","207","","",""
"Min 1x pro Monat","1995","Westdeutschland","2481","","",""
"Min 1x pro Monat","1995","Ostdeutschland","1117","","",""
"Seltener","1995","Westdeutschland","5250","0.533531493412809","0.523512373102776","0.543550613722841"
"Seltener","1995","Ostdeutschland","1996","","",""
"Nie","1995","Westdeutschland","1274","","",""
"Nie","1995","Ostdeutschland","349","0.118950629192017","0.108486941458713","0.129414316925321"
"Taeglich","1996","Westdeutschland","","","",""
"Taeglich","1996","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Ostdeutschland","","","",""
"Seltener","1996","Westdeutschland","","","",""
"Seltener","1996","Ostdeutschland","","","",""
"Nie","1996","Westdeutschland","","","",""
"Nie","1996","Ostdeutschland","","","",""
"Taeglich","1997","Westdeutschland","","","",""
"Taeglich","1997","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Ostdeutschland","","","",""
"Seltener","1997","Westdeutschland","","","",""
"Seltener","1997","Ostdeutschland","","","",""
"Nie","1997","Westdeutschland","","","",""
"Nie","1997","Ostdeutschland","","","",""
"Taeglich","1998","Westdeutschland","9","0.000690286234454983","0.000182773114178004","0.00119779935473196"
"Taeglich","1998","Ostdeutschland","4","0.00111377319989421","5.97664501716842e-05","0.00216777994961673"
"Min 1x pro Woche","1998","Westdeutschland","492","0.0518436117140657","0.0475594068927303","0.0561278165354012"
"Min 1x pro Woche","1998","Ostdeutschland","182","","",""
"Min 1x pro Monat","1998","Westdeutschland","2497","","",""
"Min 1x pro Monat","1998","Ostdeutschland","971","0.245914072299574","0.232306235036411","0.259521909562736"
"Seltener","1998","Westdeutschland","6165","0.583402860763926","0.573876543698398","0.592929177829453"
"Seltener","1998","Ostdeutschland","2338","","",""
"Nie","1998","Westdeutschland","1125","","",""
"Nie","1998","Ostdeutschland","352","0.111308783391097","0.101370138814493","0.1212474279677"
"Taeglich","1999","Westdeutschland","","","",""
"Taeglich","1999","Ostdeutschland","","","",""
"Min 1x pro Woche","1999","Westdeutschland","","","",""
"Min 1x pro Woche","1999","Ostdeutschland","","","",""
"Min 1x pro Monat","1999","Westdeutschland","","","",""
"Min 1x pro Monat","1999","Ostdeutschland","","","",""
"Seltener","1999","Westdeutschland","","","",""
"Seltener","1999","Ostdeutschland","","","",""
"Nie","1999","Westdeutschland","","","",""
"Nie","1999","Ostdeutschland","","","",""
"Taeglich","2000","Westdeutschland","","","",""
"Taeglich","2000","Ostdeutschland","","","",""
"Min 1x pro Woche","2000","Westdeutschland","","","",""
"Min 1x pro Woche","2000","Ostdeutschland","","","",""
"Min 1x pro Monat","2000","Westdeutschland","","","",""
"Min 1x pro Monat","2000","Ostdeutschland","","","",""
"Seltener","2000","Westdeutschland","","","",""
"Seltener","2000","Ostdeutschland","","","",""
"Nie","2000","Westdeutschland","","","",""
"Nie","2000","Ostdeutschland","","","",""
"Taeglich","2001","Westdeutschland","","","",""
"Taeglich","2001","Ostdeutschland","","","",""
"Min 1x pro Woche","2001","Westdeutschland","","","",""
"Min 1x pro Woche","2001","Ostdeutschland","","","",""
"Min 1x pro Monat","2001","Westdeutschland","","","",""
"Min 1x pro Monat","2001","Ostdeutschland","","","",""
"Seltener","2001","Westdeutschland","","","",""
"Seltener","2001","Ostdeutschland","","","",""
"Nie","2001","Westdeutschland","","","",""
"Nie","2001","Ostdeutschland","","","",""
"Taeglich","2002","Westdeutschland","","","",""
"Taeglich","2002","Ostdeutschland","","","",""
"Min 1x pro Woche","2002","Westdeutschland","","","",""
"Min 1x pro Woche","2002","Ostdeutschland","","","",""
"Min 1x pro Monat","2002","Westdeutschland","","","",""
"Min 1x pro Monat","2002","Ostdeutschland","","","",""
"Seltener","2002","Westdeutschland","","","",""
"Seltener","2002","Ostdeutschland","","","",""
"Nie","2002","Westdeutschland","","","",""
"Nie","2002","Ostdeutschland","","","",""
"Taeglich","2003","Westdeutschland","17","","",""
"Taeglich","2003","Ostdeutschland","2","","",""
"Min 1x pro Woche","2003","Westdeutschland","812","0.0455808673164569","0.0424188171714456","0.0487429174614682"
"Min 1x pro Woche","2003","Ostdeutschland","260","","",""
"Min 1x pro Monat","2003","Westdeutschland","4367","0.24408098507929","0.237569013434677","0.250592956723902"
"Min 1x pro Monat","2003","Ostdeutschland","1267","","",""
"Seltener","2003","Westdeutschland","9526","0.569649301415578","0.562143053004592","0.577155549826564"
"Seltener","2003","Ostdeutschland","3196","0.59040063823475","0.577196227416822","0.603605049052678"
"Nie","2003","Westdeutschland","1992","","",""
"Nie","2003","Ostdeutschland","603","0.13271047210377","0.123600844339828","0.141820099867712"
"Taeglich","2004","Westdeutschland","","","",""
"Taeglich","2004","Ostdeutschland","","","",""
"Min 1x pro Woche","2004","Westdeutschland","","","",""
"Min 1x pro Woche","2004","Ostdeutschland","","","",""
"Min 1x pro Monat","2004","Westdeutschland","","","",""
"Min 1x pro Monat","2004","Ostdeutschland","","","",""
"Seltener","2004","Westdeutschland","","","",""
"Seltener","2004","Ostdeutschland","","","",""
"Nie","2004","Westdeutschland","","","",""
"Nie","2004","Ostdeutschland","","","",""
"Taeglich","2005","Westdeutschland","","","",""
"Taeglich","2005","Ostdeutschland","","","",""
"Min 1x pro Woche","2005","Westdeutschland","","","",""
"Min 1x pro Woche","2005","Ostdeutschland","","","",""
"Min 1x pro Monat","2005","Westdeutschland","","","",""
"Min 1x pro Monat","2005","Ostdeutschland","","","",""
"Seltener","2005","Westdeutschland","","","",""
"Seltener","2005","Ostdeutschland","","","",""
"Nie","2005","Westdeutschland","","","",""
"Nie","2005","Ostdeutschland","","","",""
"Taeglich","2006","Westdeutschland","","","",""
"Taeglich","2006","Ostdeutschland","","","",""
"Min 1x pro Woche","2006","Westdeutschland","","","",""
"Min 1x pro Woche","2006","Ostdeutschland","","","",""
"Min 1x pro Monat","2006","Westdeutschland","","","",""
"Min 1x pro Monat","2006","Ostdeutschland","","","",""
"Seltener","2006","Westdeutschland","","","",""
"Seltener","2006","Ostdeutschland","","","",""
"Nie","2006","Westdeutschland","","","",""
"Nie","2006","Ostdeutschland","","","",""
"Taeglich","2007","Westdeutschland","","","",""
"Taeglich","2007","Ostdeutschland","","","",""
"Min 1x pro Woche","2007","Westdeutschland","","","",""
"Min 1x pro Woche","2007","Ostdeutschland","","","",""
"Min 1x pro Monat","2007","Westdeutschland","","","",""
"Min 1x pro Monat","2007","Ostdeutschland","","","",""
"Seltener","2007","Westdeutschland","","","",""
"Seltener","2007","Ostdeutschland","","","",""
"Nie","2007","Westdeutschland","","","",""
"Nie","2007","Ostdeutschland","","","",""
"Taeglich","2008","Westdeutschland","10","","",""
"Taeglich","2008","Ostdeutschland","3","","",""
"Min 1x pro Woche","2008","Westdeutschland","407","0.0276377216053303","0.0249675204640841","0.0303079227465765"
"Min 1x pro Woche","2008","Ostdeutschland","143","","",""
"Min 1x pro Monat","2008","Westdeutschland","3203","0.201093543819258","0.194564856997385","0.207622230641131"
"Min 1x pro Monat","2008","Ostdeutschland","977","0.197369956343887","0.186055941847601","0.208683970840174"
"Seltener","2008","Westdeutschland","8691","0.595701840479321","0.587708208311048","0.603695472647593"
"Seltener","2008","Ostdeutschland","2848","","",""
"Nie","2008","Westdeutschland","2168","","",""
"Nie","2008","Ostdeutschland","783","0.191988990773264","0.180792928529929","0.203185053016599"
"Taeglich","2009","Westdeutschland","","","",""
"Taeglich","2009","Ostdeutschland","","","",""
"Min 1x pro Woche","2009","Westdeutschland","","","",""
"Min 1x pro Woche","2009","Ostdeutschland","","","",""
"Min 1x pro Monat","2009","Westdeutschland","","","",""
"Min 1x pro Monat","2009","Ostdeutschland","","","",""
"Seltener","2009","Westdeutschland","","","",""
"Seltener","2009","Ostdeutschland","","","",""
"Nie","2009","Westdeutschland","","","",""
"Nie","2009","Ostdeutschland","","","",""
"Taeglich","2010","Westdeutschland","","","",""
"Taeglich","2010","Ostdeutschland","","","",""
"Min 1x pro Woche","2010","Westdeutschland","","","",""
"Min 1x pro Woche","2010","Ostdeutschland","","","",""
"Min 1x pro Monat","2010","Westdeutschland","","","",""
"Min 1x pro Monat","2010","Ostdeutschland","","","",""
"Seltener","2010","Westdeutschland","","","",""
"Seltener","2010","Ostdeutschland","","","",""
"Nie","2010","Westdeutschland","","","",""
"Nie","2010","Ostdeutschland","","","",""
"Taeglich","2011","Westdeutschland","","","",""
"Taeglich","2011","Ostdeutschland","","","",""
"Min 1x pro Woche","2011","Westdeutschland","","","",""
"Min 1x pro Woche","2011","Ostdeutschland","","","",""
"Min 1x pro Monat","2011","Westdeutschland","","","",""
"Min 1x pro Monat","2011","Ostdeutschland","","","",""
"Seltener","2011","Westdeutschland","","","",""
"Seltener","2011","Ostdeutschland","","","",""
"Nie","2011","Westdeutschland","","","",""
"Nie","2011","Ostdeutschland","","","",""
"Taeglich","2012","Westdeutschland","","","",""
"Taeglich","2012","Ostdeutschland","","","",""
"Min 1x pro Woche","2012","Westdeutschland","","","",""
"Min 1x pro Woche","2012","Ostdeutschland","","","",""
"Min 1x pro Monat","2012","Westdeutschland","","","",""
"Min 1x pro Monat","2012","Ostdeutschland","","","",""
"Seltener","2012","Westdeutschland","","","",""
"Seltener","2012","Ostdeutschland","","","",""
"Nie","2012","Westdeutschland","","","",""
"Nie","2012","Ostdeutschland","","","",""
"Taeglich","2013","Westdeutschland","24","","",""
"Taeglich","2013","Ostdeutschland","11","","",""
"Min 1x pro Woche","2013","Westdeutschland","898","0.0387374668677109","0.036045416784879","0.0414295169505427"
"Min 1x pro Woche","2013","Ostdeutschland","249","","",""
"Min 1x pro Monat","2013","Westdeutschland","5674","0.268947137242563","0.262761216194929","0.275133058290196"
"Min 1x pro Monat","2013","Ostdeutschland","1457","","",""
"Seltener","2013","Westdeutschland","10720","","",""
"Seltener","2013","Ostdeutschland","3126","0.563293247263294","0.55041635717609","0.576170137350498"
"Nie","2013","Westdeutschland","2422","","",""
"Nie","2013","Ostdeutschland","856","0.157463194005857","0.148006643818344","0.16691974419337"
"Taeglich","2014","Westdeutschland","","","",""
"Taeglich","2014","Ostdeutschland","","","",""
"Min 1x pro Woche","2014","Westdeutschland","","","",""
"Min 1x pro Woche","2014","Ostdeutschland","","","",""
"Min 1x pro Monat","2014","Westdeutschland","","","",""
"Min 1x pro Monat","2014","Ostdeutschland","","","",""
"Seltener","2014","Westdeutschland","","","",""
"Seltener","2014","Ostdeutschland","","","",""
"Nie","2014","Westdeutschland","","","",""
"Nie","2014","Ostdeutschland","","","",""
"Taeglich","2015","Westdeutschland","","","",""
"Taeglich","2015","Ostdeutschland","","","",""
"Min 1x pro Woche","2015","Westdeutschland","","","",""
"Min 1x pro Woche","2015","Ostdeutschland","","","",""
"Min 1x pro Monat","2015","Westdeutschland","","","",""
"Min 1x pro Monat","2015","Ostdeutschland","","","",""
"Seltener","2015","Westdeutschland","","","",""
"Seltener","2015","Ostdeutschland","","","",""
"Nie","2015","Westdeutschland","","","",""
"Nie","2015","Ostdeutschland","","","",""
"Taeglich","2016","Westdeutschland","","","",""
"Taeglich","2016","Ostdeutschland","","","",""
"Min 1x pro Woche","2016","Westdeutschland","","","",""
"Min 1x pro Woche","2016","Ostdeutschland","","","",""
"Min 1x pro Monat","2016","Westdeutschland","","","",""
"Min 1x pro Monat","2016","Ostdeutschland","","","",""
"Seltener","2016","Westdeutschland","","","",""
"Seltener","2016","Ostdeutschland","","","",""
"Nie","2016","Westdeutschland","","","",""
"Nie","2016","Ostdeutschland","","","",""
"Taeglich","2017","Westdeutschland","41","0.0152515944024335","0.0111219052883041","0.0193812835165628"
"Taeglich","2017","Ostdeutschland","6","0.0125623861158294","0.00350608348079704","0.0216186887508618"
"Min 1x pro Woche","2017","Westdeutschland","286","","",""
"Min 1x pro Woche","2017","Ostdeutschland","53","0.093314134792967","0.0696624455443511","0.116965824041583"
"Min 1x pro Monat","2017","Westdeutschland","585","0.189023804051205","0.175830323079834","0.202217285022576"
"Min 1x pro Monat","2017","Ostdeutschland","78","0.123275986077906","0.096544031253604","0.150007940902209"
"Seltener","2017","Westdeutschland","1166","","",""
"Seltener","2017","Ostdeutschland","222","","",""
"Nie","2017","Westdeutschland","1305","","",""
"Nie","2017","Ostdeutschland","222","","",""
"Taeglich","2018","Westdeutschland","55","0.0233167695079998","0.0176214423933046","0.029012096622695"
"Taeglich","2018","Ostdeutschland","8","0.0186572356626615","0.00648878467598767","0.0308256866493353"
"Min 1x pro Woche","2018","Westdeutschland","448","0.162391374402699","0.148472322090996","0.176310426714401"
"Min 1x pro Woche","2018","Ostdeutschland","84","0.20768830591333","0.171208262952926","0.244168348873735"
"Min 1x pro Monat","2018","Westdeutschland","708","0.265735313609024","0.249064431721487","0.282406195496562"
"Min 1x pro Monat","2018","Ostdeutschland","98","0.181036407384577","0.146409273573252","0.215663541195902"
"Seltener","2018","Westdeutschland","971","0.334316908202157","0.316512786605224","0.35212102979909"
"Seltener","2018","Ostdeutschland","176","","",""
"Nie","2018","Westdeutschland","515","0.21423963427812","0.198754941742975","0.229724326813265"
"Nie","2018","Ostdeutschland","109","","",""
"Taeglich","2019","Westdeutschland","126","","",""
"Taeglich","2019","Ostdeutschland","18","","",""
"Min 1x pro Woche","2019","Westdeutschland","1490","","",""
"Min 1x pro Woche","2019","Ostdeutschland","347","0.0471773629889827","0.0418086362997318","0.0525460896782336"
"Min 1x pro Monat","2019","Westdeutschland","7909","0.322998324853754","0.316930768390645","0.329065881316864"
"Min 1x pro Monat","2019","Ostdeutschland","1956","","",""
"Seltener","2019","Westdeutschland","10926","","",""
"Seltener","2019","Ostdeutschland","2995","","",""
"Nie","2019","Westdeutschland","2366","","",""
"Nie","2019","Ostdeutschland","675","0.129721479646309","0.12121336153102","0.138229597761597"
