year,regtyp,sex,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,male,At least once per week,0.03338448600243773,296,9378,0.03333547121681713,0.033433500788058325
1990,Urban regions,male,At least once per month,0.1296604687797841,1206,9378,0.12956880958695027,0.12975212797261793
1990,Urban regions,male,Seldom,0.17428493747872836,1745,9378,0.17418142971857836,0.17438844523887836
1990,Urban regions,male,Never,0.030346843975928482,421,9378,0.030300038910852926,0.03039364904100404
1990,Urban regions,female,At least once per week,0.033076460896347235,275,9378,0.03302766498161344,0.03312525681108103
1990,Urban regions,female,At least once per month,0.12633834760276658,1116,9378,0.12624769774795433,0.12642899745757882
1990,Urban regions,female,Seldom,0.19305646864578224,1849,9378,0.19294877461525808,0.1931641626763064
1990,Urban regions,female,Never,0.04890958436291576,520,9378,0.04885073581264314,0.04896843291318838
1990,Rural regions,male,At least once per week,0.009999713599367426,80,9378,0.009972565506837578,0.010026861691897274
1990,Rural regions,male,At least once per month,0.03921658542468334,321,9378,0.039163622066129826,0.03926954878323686
1990,Rural regions,male,Seldom,0.055056001623897496,475,9378,0.05499376683089604,0.055118236416898954
1990,Rural regions,male,Never,0.0075484681714833735,79,9378,0.007524851866586916,0.007572084476379831
1990,Rural regions,female,At least once per week,0.007573136978007946,62,9378,0.0075494824088904395,0.007596791547125452
1990,Rural regions,female,At least once per month,0.03507958550525284,289,9378,0.03502938583622847,0.035129785174277214
1990,Rural regions,female,Seldom,0.06282468249274811,524,9378,0.0627584755624705,0.06289088942302573
1990,Rural regions,female,Never,0.013644228459868936,120,9378,0.013612575147307987,0.013675881772429885
1995,Urban regions,male,At least once per week,0.023254836554856013,256,13181,0.023218421948536072,0.023291251161175953
1995,Urban regions,male,At least once per month,0.09716645790053782,1163,13181,0.09709489459919057,0.09723802120188507
1995,Urban regions,male,Seldom,0.17091202018903986,2226,13181,0.1708210676239249,0.17100297275415483
1995,Urban regions,male,Never,0.03640495175424571,521,13181,0.03635969787137847,0.03645020563711295
1995,Urban regions,female,At least once per week,0.019670973906096584,239,13181,0.01963742122719525,0.019704526584997918
1995,Urban regions,female,At least once per month,0.09557311092617186,1129,13181,0.09550207420086719,0.09564414765147654
1995,Urban regions,female,Seldom,0.1904251104691039,2464,13181,0.1903302426402464,0.1905199782979614
1995,Urban regions,female,Never,0.05072906740683495,650,13181,0.050676045924012765,0.050782088889657136
1995,Rural regions,male,At least once per week,0.0098806346386575,118,13181,0.009856736474700992,0.009904532802614007
1995,Rural regions,male,At least once per month,0.046072289366917235,657,13181,0.046021636274134727,0.046122942459699744
1995,Rural regions,male,Seldom,0.08346905990682285,1234,13181,0.08340223095261604,0.08353588886102967
1995,Rural regions,male,Never,0.014053766280500824,190,13181,0.01402532485771256,0.01408220770328909
1995,Rural regions,female,At least once per week,0.00726264482194706,101,13181,0.007242128810934031,0.007283160832960089
1995,Rural regions,female,At least once per month,0.04314549003105147,649,13181,0.043096397096189835,0.0431945829659131
1995,Rural regions,female,Seldom,0.0895635402003696,1322,13181,0.0894945450150871,0.0896325353856521
1995,Rural regions,female,Never,0.022416045646846756,262,13181,0.022380278452692276,0.022451812841001235
1998,Urban regions,male,At least once per week,0.01749761322422693,216,14122,0.01746605609703633,0.01752917035141753
1998,Urban regions,male,At least once per month,0.09226654093594476,1163,14122,0.09219688750098229,0.09233619437090723
1998,Urban regions,male,Seldom,0.19114480702548467,2628,14122,0.19105017069594346,0.19123944335502588
1998,Urban regions,male,Never,0.03057683844895615,422,14122,0.030535400883460108,0.03061827601445219
1998,Urban regions,female,At least once per week,0.017475775624963625,226,14122,0.01744423784560798,0.01750731340431927
1998,Urban regions,female,At least once per month,0.0875571880593754,1130,14122,0.08748915970319843,0.08762521641555238
1998,Urban regions,female,Seldom,0.2052172598612365,2826,14122,0.20512005848749706,0.20531446123497596
1998,Urban regions,female,Never,0.044636379352906756,573,14122,0.04458667778644043,0.04468608091937308
1998,Rural regions,male,At least once per week,0.009534811658191533,135,14122,0.009511422374881302,0.009558200941501765
1998,Rural regions,male,At least once per month,0.03663756690381722,577,14122,0.03659235014664967,0.03668278366098477
1998,Rural regions,male,Seldom,0.09148641184495704,1466,14122,0.09141702370306477,0.0915557999868493
1998,Rural regions,male,Never,0.014982455190950079,227,14122,0.014953216715510287,0.015011693666389872
1998,Rural regions,female,At least once per week,0.006357024334710991,97,14122,0.006337895726710677,0.006376152942711304
1998,Rural regions,female,At least once per month,0.03873082478719711,598,14122,0.03868438479609824,0.03877726477829598
1998,Rural regions,female,Seldom,0.09821937953905335,1583,14122,0.0981477503079768,0.0982910087701299
1998,Rural regions,female,Never,0.017679123208027878,255,14122,0.017647405755740402,0.017710840660315353
2003,Urban regions,male,At least once per week,0.017811545366034694,374,22023,0.017779999854428758,0.01784309087764063
2003,Urban regions,male,At least once per month,0.0861470390875629,1941,22023,0.08608012035585114,0.08621395781927466
2003,Urban regions,male,Seldom,0.18466723097066498,3943,22023,0.18457468623285223,0.18475977570847774
2003,Urban regions,male,Never,0.04197672558434352,767,22023,0.041928897644841014,0.04202455352384602
2003,Urban regions,female,At least once per week,0.014640171060930114,356,22023,0.014611525332905606,0.014668816788954622
2003,Urban regions,female,At least once per month,0.08182537482174983,1893,22023,0.08176000218428342,0.08189074745921623
2003,Urban regions,female,Seldom,0.20006742270925088,4363,22023,0.19997201043610904,0.2001628349823927
2003,Urban regions,female,Never,0.05406997605503531,989,22023,0.054016037792121,0.05412391431794962
2003,Rural regions,male,At least once per week,0.007737414056938358,188,22023,0.007716516255937284,0.0077583118579394325
2003,Rural regions,male,At least once per month,0.03724103852507523,897,22023,0.03719587799418053,0.03728619905596993
2003,Rural regions,male,Seldom,0.09291619845752104,2132,22023,0.09284695818248462,0.09298543873255746
2003,Rural regions,male,Never,0.017701523558606085,371,22023,0.01767007386483444,0.01773297325237773
2003,Rural regions,female,At least once per week,0.005837893711388385,154,22023,0.005819724082514265,0.0058560633402625056
2003,Rural regions,female,At least once per month,0.03621181327174181,903,22023,0.036167257363835026,0.0362563691796486
2003,Rural regions,female,Seldom,0.0965723301432478,2284,22023,0.09650188315818606,0.09664277712830954
2003,Rural regions,female,Never,0.024576302619909098,468,22023,0.02453937559781073,0.024613229642007465
2008,Urban regions,male,At least once per week,0.010839440240396759,196,19220,0.010814819189001946,0.010864061291791571
2008,Urban regions,male,At least once per month,0.07030562274510294,1381,19220,0.07024483235881365,0.07036641313139222
2008,Urban regions,male,Seldom,0.19729394745342813,3597,19220,0.19719932266507212,0.19738857224178413
2008,Urban regions,male,Never,0.05150419496028349,795,19220,0.051451640596848564,0.05155674932371841
2008,Urban regions,female,At least once per week,0.008397040048678115,165,19220,0.00837534294367902,0.00841873715367721
2008,Urban regions,female,At least once per month,0.06744540898181663,1431,19220,0.06738577647044112,0.06750504149319213
2008,Urban regions,female,Seldom,0.20722444468010037,3973,19220,0.20712806945871406,0.20732081990148668
2008,Urban regions,female,Never,0.06518649582522622,1059,19220,0.06512779947765131,0.06524519217280113
2008,Rural regions,male,At least once per week,0.005027083022733527,101,19220,0.0050102666072176765,0.005043899438249377
2008,Rural regions,male,At least once per month,0.03283265360135208,693,19220,0.032790282126968016,0.03287502507573615
2008,Rural regions,male,Seldom,0.09093368479986998,1896,19220,0.090865320408946,0.09100204919079395
2008,Rural regions,male,Never,0.027413741091609448,504,19220,0.02737491550829569,0.027452566674923205
2008,Rural regions,female,At least once per week,0.0036411534264360174,88,19220,0.003626831641384293,0.003655475211487742
2008,Rural regions,female,At least once per month,0.02994081197295918,675,19220,0.029900289058306544,0.029981334887611816
2008,Rural regions,female,Seldom,0.09823751184067492,2073,19220,0.09816674097125312,0.09830828271009671
2008,Rural regions,female,Never,0.03377676530933213,593,19220,0.03373380993206678,0.03381972068659748
2013,Urban regions,male,At least once per week,0.012564985486018306,352,25402,0.012536933051157493,0.012593037920879119
2013,Urban regions,male,At least once per month,0.09309547146958215,2213,25402,0.0930222934977811,0.0931686494413832
2013,Urban regions,male,Seldom,0.17071749687985338,3842,25402,0.17062273676603704,0.17081225699366973
2013,Urban regions,male,Never,0.04015003294138514,836,25402,0.040100592773657254,0.040199473109113024
2013,Urban regions,female,At least once per week,0.01153783726120248,390,25402,0.011510941890496337,0.011564732631908624
2013,Urban regions,female,At least once per month,0.08613919702917554,2467,25402,0.08606853668639775,0.08620985737195333
2013,Urban regions,female,Seldom,0.19250089055130223,4852,25402,0.19240159662069453,0.19260018448190994
2013,Urban regions,female,Never,0.052456234723238765,1168,25402,0.0524000868253426,0.05251238262113493
2013,Rural regions,male,At least once per week,0.007641319885529152,206,25402,0.007619389117959972,0.007663250653098332
2013,Rural regions,male,At least once per month,0.04368644076362447,1144,25402,0.043634964289337816,0.04373791723791112
2013,Rural regions,male,Seldom,0.09121604329174003,2337,25402,0.0911435327339445,0.09128855384953556
2013,Rural regions,male,Never,0.02477788020579019,561,25402,0.02473873134296481,0.02481702906861557
2013,Rural regions,female,At least once per week,0.00604100487333239,199,25402,0.006021489622732518,0.006060520123932262
2013,Rural regions,female,At least once per month,0.042079380083742755,1307,25402,0.04202881686262106,0.04212994330486445
2013,Rural regions,female,Seldom,0.0984136887079565,2815,25402,0.09833867049489291,0.09848870692102009
2013,Rural regions,female,Never,0.026982095846526527,713,25402,0.026941288950498243,0.02702290274255481
2017,Urban regions,male,At least once per week,0.04095086089958994,157,3886,0.04037126280715297,0.04153045899202692
2017,Urban regions,male,At least once per month,0.09895699529929368,305,3886,0.098083680119372,0.09983031047921535
2017,Urban regions,male,Seldom,0.13838961965911364,512,3886,0.1373797107148315,0.1393995286033958
2017,Urban regions,male,Never,0.17128681540472926,554,3886,0.17018492324968879,0.17238870755976973
2017,Urban regions,female,At least once per week,0.018381334118157445,94,3886,0.017988476736216636,0.018774191500098254
2017,Urban regions,female,At least once per month,0.03550977296166051,173,3886,0.03496852301956278,0.03605102290375824
2017,Urban regions,female,Seldom,0.08736496418527497,419,3886,0.0865391312109721,0.08819079715957782
2017,Urban regions,female,Never,0.10548489808085479,501,3886,0.10458650999925447,0.10638328616245511
2017,Rural regions,male,At least once per week,0.023239103228907283,63,3886,0.022798468407597545,0.02367973805021702
2017,Rural regions,male,At least once per month,0.03204880284264504,112,3886,0.03153368376341737,0.032563921921872706
2017,Rural regions,male,Seldom,0.07183344913763978,275,3886,0.07107826768335121,0.07258863059192835
2017,Rural regions,male,Never,0.07124981858958149,247,3886,0.07049747480631884,0.07200216237284414
2017,Rural regions,female,At least once per month,0.01512612204486937,72,3886,0.014769154190478941,0.015483089899259797
2017,Rural regions,female,Seldom,0.03608783706545609,179,3886,0.035542362938027164,0.036633311192885015
2017,Rural regions,female,Never,0.054089606482226764,223,3886,0.05342806526340845,0.054751147701045076
2018,Urban regions,male,Daily,0.008582840522403429,31,3140,0.008312953641381859,0.008852727403425
2018,Urban regions,male,At least once per week,0.09318321255995052,263,3140,0.09233272757168935,0.09403369754821168
