year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2002,1st Quintile,77,30.62866,24.02892,38.13289,10.00000,20.00000,43.00000,1.00000,92.50000,20.00000,14.00000,25.00000
2002,2nd Quintile,161,38.86512,28.42993,46.35474,13.00000,23.08411,44.43548,1.00000,91.58871,23.00000,13.00000,27.00000
2002,3rd Quintile,239,39.52518,32.12997,46.14227,12.00000,23.07071,52.64052,1.00000,113.60130,23.00000,16.00000,26.00000
2002,4th Quintile,350,44.29037,38.45831,49.58808,15.00000,30.00000,60.00000,1.00000,127.50000,30.00000,24.00000,34.02500
2002,5th Quintile,611,63.57265,58.01394,68.19311,25.00000,51.00000,80.00000,1.00000,162.50000,51.00000,42.00000,52.00000
2003,1st Quintile,81,48.34498,31.67354,61.39988,12.00000,30.00000,60.01951,3.00000,132.04878,30.00000,20.00000,40.00000
2003,2nd Quintile,171,35.15474,28.50525,41.18757,13.00000,25.00000,41.29579,1.00000,83.73948,25.00000,20.00000,30.00000
2003,3rd Quintile,233,51.29165,29.97483,66.58713,11.00000,25.00000,73.00000,1.00000,166.00000,25.00000,20.00000,32.00000
2003,4th Quintile,402,40.06523,33.73621,45.33898,11.00000,25.00000,54.45829,1.00000,119.64571,25.00000,23.00000,30.00000
2003,5th Quintile,838,66.61814,62.05252,71.93541,28.00000,55.00000,81.08083,1.00000,160.70206,55.00000,50.00000,60.00000
2004,1st Quintile,88,46.20654,35.73976,58.81486,14.00000,30.00000,70.00000,1.00000,154.00000,30.00000,0.00000,40.00000
2004,2nd Quintile,175,38.36060,28.30459,46.16680,10.00000,25.00000,40.44015,1.00000,86.10037,25.00000,20.00000,34.00000
2004,3rd Quintile,262,41.67100,34.14433,48.16995,12.00000,22.00000,53.70469,2.00000,116.26173,22.00000,18.00000,24.00000
2004,4th Quintile,414,45.46434,38.31776,52.39036,14.52853,30.00000,58.75977,1.00000,125.10663,30.00000,20.00000,34.02500
2004,5th Quintile,867,59.90138,55.00098,63.61953,20.00000,50.00000,80.00000,1.00000,170.00000,50.00000,48.00000,57.00000
2005,1st Quintile,104,31.06239,23.88474,37.82835,10.00000,17.00000,47.00000,1.00000,102.50000,17.00000,7.90000,19.00000
2005,2nd Quintile,212,32.39276,27.64533,37.41503,11.00000,20.00000,37.47627,1.00000,77.19068,20.00000,17.00000,24.00000
2005,3rd Quintile,300,33.68286,29.64259,38.33595,12.00000,20.88807,50.00000,1.00000,107.00000,21.00000,17.00000,22.00000
2005,4th Quintile,445,45.94952,35.12048,54.42044,11.00000,25.00000,58.00000,1.00000,128.50000,25.00000,21.95000,30.00000
2005,5th Quintile,871,63.15543,57.22202,68.80604,21.18788,50.00000,79.00000,1.00000,165.71818,50.00000,50.00000,55.00000
2006,1st Quintile,118,36.17585,22.24372,46.92966,10.00000,20.00000,50.00000,1.00000,110.00000,20.00000,12.92500,25.02500
2006,2nd Quintile,224,32.27353,27.59049,37.06434,12.00000,20.00000,40.00000,1.00000,82.00000,20.00000,17.00000,22.00000
2006,3rd Quintile,361,33.47858,28.37050,37.44057,11.00000,20.00000,40.00000,1.00000,83.50000,20.00000,15.00000,24.00000
2006,4th Quintile,539,39.77530,34.77807,43.75788,12.00000,23.00000,50.00000,1.00000,107.00000,23.00000,21.00000,26.00000
2006,5th Quintile,899,57.10496,50.77408,61.93737,16.00000,43.00000,75.00000,1.00000,163.50000,43.00000,38.00000,49.02500
2007,1st Quintile,138,29.36666,23.41025,34.54594,10.00000,20.00000,39.00000,1.00000,82.50000,20.00000,18.00000,22.00000
2007,2nd Quintile,273,29.92608,24.75443,35.63166,10.00000,19.00000,40.00000,1.00000,85.00000,19.00000,18.00000,23.00000
2007,3rd Quintile,424,29.71037,25.62188,33.01022,11.00000,17.00000,40.00000,1.00000,83.50000,17.00000,14.00000,19.00000
2007,4th Quintile,607,37.21607,32.58374,41.11780,12.00000,24.00000,50.00000,1.00000,107.00000,24.00000,23.00000,28.00000
2007,5th Quintile,1019,56.38145,51.41488,60.39456,19.00000,40.00000,75.00000,1.00000,159.00000,40.00000,30.97500,45.00000
2008,1st Quintile,150,34.94958,22.85778,42.48699,10.98615,20.00000,42.01360,1.00000,88.55476,20.00000,15.00000,20.00000
2008,2nd Quintile,311,25.84643,22.04046,29.29518,10.00000,16.00000,36.33485,1.00000,75.83712,16.00000,12.00000,17.00000
2008,3rd Quintile,547,32.33834,25.82048,37.05208,10.00000,16.00000,38.00000,1.00000,80.00000,16.00000,14.00000,17.00000
2008,4th Quintile,620,33.36538,27.70076,37.64984,12.00000,20.00000,48.00000,1.00000,102.00000,20.00000,16.00000,21.00000
2008,5th Quintile,1058,48.70182,44.94319,51.97907,15.00000,34.00000,66.00000,1.00000,142.50000,34.00000,29.00000,38.00000
2009,1st Quintile,,,,,,,,,,,,
2009,2nd Quintile,,,,,,,,,,,,
2009,3rd Quintile,,,,,,,,,,,,
2009,4th Quintile,,,,,,,,,,,,
2009,5th Quintile,,,,,,,,,,,,
2010,1st Quintile,147,25.47209,18.52884,30.99575,10.00000,15.56062,30.56872,1.00000,61.42181,16.00000,12.00000,21.00000
2010,2nd Quintile,323,36.19132,18.51337,47.70858,10.00000,18.00000,30.00000,0.00000,60.00000,18.00000,16.00000,21.00000
2010,3rd Quintile,505,30.12045,22.29380,35.33846,11.00000,19.00000,35.00000,1.00000,71.00000,19.00000,18.00000,22.00000
2010,4th Quintile,666,33.07058,30.38981,36.00184,13.00000,20.71178,50.00000,1.00000,105.50000,20.00000,14.95000,20.00000
2010,5th Quintile,963,45.84708,41.51325,49.66585,15.00000,30.00000,60.00000,1.00000,127.50000,30.00000,25.00000,35.00000
2011,1st Quintile,156,27.23907,21.18292,33.06300,10.00000,16.00000,30.00000,2.00000,60.00000,16.00000,12.00000,17.02500
2011,2nd Quintile,323,33.30685,25.81256,39.89317,12.00000,20.00000,34.69448,1.00000,68.73619,20.00000,18.00000,23.00000
2011,3rd Quintile,502,30.20639,24.08425,34.49304,11.00000,19.00000,30.00000,1.00000,58.50000,19.00000,18.00000,23.00000
2011,4th Quintile,680,32.77222,27.18457,37.63486,12.00000,22.00000,40.00000,1.00000,82.00000,22.00000,19.00000,24.00000
2011,5th Quintile,944,46.96383,43.06105,50.45850,16.00000,30.00000,60.00000,1.00000,126.00000,30.00000,24.95000,32.00000
2012,1st Quintile,212,28.26757,19.93529,34.10105,10.00000,20.00000,31.63120,1.00000,64.07800,20.00000,17.00000,25.00000
2012,2nd Quintile,412,31.94490,28.08127,35.60564,12.00000,20.00000,38.00000,1.00000,77.00000,20.00000,16.00000,20.02500
2012,3rd Quintile,677,25.30571,22.74424,27.42436,10.00000,18.00000,30.00000,1.00000,60.00000,18.00000,16.00000,21.00000
2012,4th Quintile,841,36.58270,33.07450,40.05211,13.34623,25.00000,45.00000,1.00000,92.48065,25.00000,22.00000,28.00000
2012,5th Quintile,1073,42.68359,39.12269,45.70381,16.00000,30.00000,52.00000,1.00000,106.00000,30.00000,28.00000,33.00000
2013,1st Quintile,226,30.53835,23.83366,36.98055,10.00000,18.00000,40.00000,1.00000,85.00000,18.00000,13.97500,21.00000
2013,2nd Quintile,461,38.14326,28.90770,46.17544,13.00000,20.00000,38.00000,1.00000,75.50000,20.00000,16.00000,20.02500
2013,3rd Quintile,751,28.09153,26.45504,30.21351,12.00000,20.00000,36.00000,1.00000,72.00000,20.00000,17.00000,21.02500
2013,4th Quintile,934,32.78537,29.41117,35.13586,13.05423,22.46604,40.00000,0.00000,80.41865,22.00000,19.00000,24.00000
2013,5th Quintile,1189,44.56172,41.54657,47.62821,17.00000,30.00000,56.00000,1.00000,114.50000,30.00000,27.97500,32.00000
2014,1st Quintile,410,25.21605,20.52143,29.81724,10.00000,16.00000,29.11873,1.00000,57.79682,16.00000,12.00000,17.00000
2014,2nd Quintile,736,26.36928,23.90214,28.60380,12.00000,20.00000,35.00000,1.00000,69.50000,20.00000,19.00000,22.00000
2014,3rd Quintile,1066,26.70125,24.69214,28.35680,12.00000,20.00000,30.00000,1.00000,57.00000,20.00000,20.00000,22.00000
2014,4th Quintile,1239,31.46256,29.45088,33.65239,14.00000,25.00000,40.00000,1.00000,79.00000,25.00000,25.00000,28.00000
2014,5th Quintile,1371,42.18296,39.07873,44.55393,16.00000,30.00000,55.00000,1.00000,113.50000,30.00000,29.00000,33.00000
2015,1st Quintile,,,,,,,,,,,,
2015,2nd Quintile,,,,,,,,,,,,
2015,3rd Quintile,,,,,,,,,,,,
2015,4th Quintile,,,,,,,,,,,,
2015,5th Quintile,,,,,,,,,,,,
2016,1st Quintile,254,20.22484,17.46676,23.29812,9.00000,16.00000,25.00000,1.00000,49.00000,16.00000,12.00000,17.00000
2016,2nd Quintile,609,29.69491,26.43734,32.97071,13.00000,22.00000,35.00000,1.00000,68.00000,22.00000,19.00000,24.00000
2016,3rd Quintile,812,30.69223,27.10583,33.84705,12.00000,24.00000,38.00000,1.00000,77.00000,24.00000,23.00000,28.00000
2016,4th Quintile,1026,33.08775,29.25498,35.83874,14.00000,24.00000,40.00000,1.00000,79.00000,24.00000,23.00000,28.00000
2016,5th Quintile,1105,40.71496,36.96131,44.10477,16.72979,30.00000,50.00000,1.00000,99.90531,30.00000,30.00000,34.00000
2017,1st Quintile,,,,,,,,,,,,
2017,2nd Quintile,,,,,,,,,,,,
2017,3rd Quintile,,,,,,,,,,,,
2017,4th Quintile,,,,,,,,,,,,
2017,5th Quintile,,,,,,,,,,,,
2018,1st Quintile,263,23.54268,20.32423,26.81909,12.00000,20.00000,28.13799,1.00000,52.34498,20.00000,17.00000,23.00000
2018,2nd Quintile,680,28.71381,25.30282,32.03556,12.00000,20.00000,35.00000,1.00000,69.50000,20.00000,17.00000,22.00000
2018,3rd Quintile,937,31.25008,28.15690,34.07164,13.00000,22.00000,38.02756,1.00000,75.56890,22.00000,19.00000,24.00000
2018,4th Quintile,1008,34.46691,30.83119,36.88814,15.00000,25.00000,42.00000,1.00000,82.50000,25.00000,24.00000,28.00000
2018,5th Quintile,1220,41.94696,38.78811,45.83735,18.00000,30.00000,51.00000,1.00000,100.50000,30.00000,25.00000,32.00000
2019,1st Quintile,,,,,,,,,,,,
2019,2nd Quintile,,,,,,,,,,,,
2019,3rd Quintile,,,,,,,,,,,,
2019,4th Quintile,,,,,,,,,,,,
2019,5th Quintile,,,,,,,,,,,,
2020,1st Quintile,266,26.02137,22.68785,30.12885,10.00000,21.00000,38.00000,1.00000,80.00000,21.00000,14.00000,25.00000
2020,2nd Quintile,605,30.74468,27.59795,32.94092,14.00000,24.00000,37.68753,0.00000,73.21884,24.00000,23.00000,28.00000
2020,3rd Quintile,873,33.71478,30.22866,36.98861,15.00000,25.00000,44.00000,0.00000,87.50000,25.00000,20.97500,25.02500
2020,4th Quintile,1004,35.76539,32.12810,38.69118,17.00000,26.10019,40.49638,0.00000,75.74096,26.00000,22.00000,27.00000
2020,5th Quintile,1327,40.44741,37.46858,43.04729,16.00000,30.00000,50.00000,0.00000,101.00000,30.00000,26.00000,32.00000
2021,1st Quintile,,,,,,,,,,,,
2021,2nd Quintile,,,,,,,,,,,,
2021,3rd Quintile,,,,,,,,,,,,
2021,4th Quintile,,,,,,,,,,,,
2021,5th Quintile,,,,,,,,,,,,
