"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"2004","16-34 J.","männlich","5.19","4.5","2573","5.09","5.29"
"2004","16-34 J.","weiblich","4.98","4.5","2697","4.88","5.08"
"2004","35-65 J.","männlich","5.76","5.5","5942","5.7","5.82"
"2004","35-65 J.","weiblich","5.24","4.5","5909","5.17","5.31"
"2004","66 und älter","männlich","6.54","6.5","1706","6.44","6.64"
"2004","66 und älter","weiblich","5.79","5.5","1981","5.68","5.9"
"2005","16-34 J.","männlich","5.03","4.5","2428","4.92","5.14"
"2005","16-34 J.","weiblich","4.92","4.5","2542","4.81","5.03"
"2005","35-65 J.","männlich","5.79","5.5","5595","5.72","5.86"
"2005","35-65 J.","weiblich","5.22","4.5","5685","5.15","5.29"
"2005","66 und älter","männlich","6.66","6.5","1724","6.56","6.76"
"2005","66 und älter","weiblich","5.89","5.5","1973","5.78","6"
"2006","16-34 J.","männlich","5.28","4.5","2340","5.17","5.39"
"2006","16-34 J.","weiblich","4.96","4.5","2543","4.85","5.07"
"2006","35-65 J.","männlich","5.75","5.5","5939","5.69","5.81"
"2006","35-65 J.","weiblich","5.24","4.5","6129","5.17","5.31"
"2006","66 und älter","männlich","6.45","6.5","2066","6.36","6.54"
"2006","66 und älter","weiblich","5.73","5.5","2277","5.63","5.83"
"2007","16-34 J.","männlich","5.45","5.5","2134","5.34","5.56"
"2007","16-34 J.","weiblich","4.96","4.5","2320","4.85","5.07"
"2007","35-65 J.","männlich","5.73","5.5","5480","5.67","5.79"
"2007","35-65 J.","weiblich","5.12","4.5","5713","5.05","5.19"
"2007","66 und älter","männlich","6.41","6.5","2025","6.32","6.5"
"2007","66 und älter","weiblich","5.63","5.5","2243","5.52","5.74"
"2008","16-34 J.","männlich","5.39","5.5","1981","5.28","5.5"
"2008","16-34 J.","weiblich","5.13","4.5","2137","5.02","5.24"
"2008","35-65 J.","männlich","5.81","5.5","5086","5.74","5.88"
"2008","35-65 J.","weiblich","5.26","4.5","5335","5.19","5.33"
"2008","66 und älter","männlich","6.34","6.5","2024","6.25","6.43"
"2008","66 und älter","weiblich","5.75","5.5","2210","5.65","5.85"
"2009","16-34 J.","männlich","5.37","5.5","1842","5.25","5.49"
"2009","16-34 J.","weiblich","5.27","5.5","1974","5.15","5.39"
"2009","35-65 J.","männlich","5.86","5.5","4699","5.79","5.93"
"2009","35-65 J.","weiblich","5.3","5.5","4990","5.23","5.37"
"2009","66 und älter","männlich","6.38","6.5","1971","6.28","6.48"
"2009","66 und älter","weiblich","5.81","5.5","2141","5.7","5.92"
"2010","16-34 J.","männlich","5.52","5.5","2676","5.42","5.62"
"2010","16-34 J.","weiblich","5.44","5.5","3637","5.35","5.53"
"2010","35-65 J.","männlich","5.93","6.5","6197","5.87","5.99"
"2010","35-65 J.","weiblich","5.43","5.5","6925","5.36","5.5"
"2010","66 und älter","männlich","6.54","6.5","1914","6.45","6.63"
"2010","66 und älter","weiblich","5.92","5.5","2058","5.81","6.03"
"2011","16-34 J.","männlich","5.86","5.5","2562","5.76","5.96"
"2011","16-34 J.","weiblich","5.59","5.5","3369","5.5","5.68"
"2011","35-65 J.","männlich","6.15","6.5","6804","6.09","6.21"
"2011","35-65 J.","weiblich","5.68","5.5","7745","5.62","5.74"
"2011","66 und älter","männlich","6.56","6.5","2133","6.47","6.65"
