year,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,maennlich,,,,,,,,,,,,
1984,weiblich,,,,,,,,,,,,
1985,maennlich,,,,,,,,,,,,
1985,weiblich,,,,,,,,,,,,
1986,maennlich,,,,,,,,,,,,
1986,weiblich,,,,,,,,,,,,
1987,maennlich,,,,,,,,,,,,
1987,weiblich,,,,,,,,,,,,
1988,maennlich,,,,,,,,,,,,
1988,weiblich,,,,,,,,,,,,
1989,maennlich,,,,,,,,,,,,
1989,weiblich,,,,,,,,,,,,
1990,-1,,,,,,,,,,,,
1990,maennlich,,,,,,,,,,,,
1990,weiblich,,,,,,,,,,,,
1991,maennlich,,,,,,,,,,,,
1991,weiblich,,,,,,,,,,,,
1992,maennlich,,,,,,,,,,,,
1992,weiblich,,,,,,,,,,,,
1993,maennlich,,,,,,,,,,,,
1993,weiblich,,,,,,,,,,,,
1994,maennlich,,,,,,,,,,,,
1994,weiblich,,,,,,,,,,,,
1995,maennlich,,,,,,,,,,,,
1995,weiblich,,,,,,,,,,,,
1996,maennlich,,,,,,,,,,,,
1996,weiblich,,,,,,,,,,,,
1997,maennlich,,,,,,,,,,,,
1997,weiblich,,,,,,,,,,,,
1998,maennlich,,,,,,,,,,,,
1998,weiblich,,,,,,,,,,,,
1999,maennlich,,,,,,,,,,,,
1999,weiblich,,,,,,,,,,,,
2000,maennlich,,,,,,,,,,,,
2000,weiblich,,,,,,,,,,,,
2001,maennlich,,,,,,,,,,,,
2001,weiblich,,,,,,,,,,,,
2002,maennlich,,,,,,,,,,,,
2002,weiblich,,,,,,,,,,,,
2003,maennlich,,,,,,,,,,,,
2003,weiblich,,,,,,,,,,,,
2004,maennlich,5.7960267974228055,5.772356256734336,5.819697338111275,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,10078.0
2004,weiblich,5.330112064882391,5.305465750073624,5.354758379691157,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,10446.0
2005,maennlich,5.775125513221507,5.750108668665073,5.800142357777942,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,9608.0
2005,weiblich,5.32238166211084,5.296737686062907,5.348025638158773,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,10057.0
2006,maennlich,5.773296925898535,5.749808864111308,5.796784987685762,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,10327.0
2006,weiblich,5.299956797816471,5.275255311480584,5.324658284152359,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,10940.0
2007,maennlich,5.805076893364487,5.780960366283787,5.829193420445187,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,9639.0
2007,weiblich,5.2217741115878304,5.196499766775412,5.247048456400249,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,10276.0
2008,maennlich,5.821277109345807,5.796698422188878,5.845855796502737,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,9091.0
2008,weiblich,5.357404153115862,5.332040588993474,5.38276771723825,3.0,6.0,7.0,0.0,10.0,6.0,6.0,7.0,9682.0
2009,maennlich,5.852578044680689,5.8266511490946975,5.87850494026668,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,8512.0
2009,weiblich,5.427557126802813,5.401080144078674,5.454034109526952,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,9105.0
2010,maennlich,5.962150461497243,5.9391332226242,5.985167700370287,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,10787.0
2010,weiblich,5.563630231175767,5.540999623401886,5.586260838949649,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,12620.0
2011,-3,,,,,,,,,,,,
2011,-1,,,,,,,,,,,,
2011,maennlich,6.165582613823863,6.143814304657014,6.187350922990713,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11499.0
2011,weiblich,5.723796383728147,5.702142295921641,5.745450471534653,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,13380.0
2012,-3,,,,,,,,,,,,
2012,maennlich,6.249950771965448,6.228816461233796,6.2710850826971,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11823.0
2012,weiblich,5.83856701606363,5.817289076745222,5.859844955382037,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,13701.0
2013,-3,,,,,,,,,,,,
2013,maennlich,6.382086262988019,6.360724342335456,6.403448183640582,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11397.0
2013,weiblich,5.96029103518813,5.938731674775216,5.981850395601045,4.0,6.0,8.0,0.0,10.0,6.0,5.0,6.0,13323.0
2014,-3,,,,,,,,,,,,
2014,-1,,,,,,,,,,,,
2014,maennlich,6.365327374808418,6.344583747962507,6.3860710016543285,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,12208.0
2014,weiblich,5.947114464343637,5.926092867748067,5.968136060939208,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,13904.0
2015,-3,,,,,,,,,,,,
2015,-1,,,,,,,,,,,,
2015,maennlich,6.4414701965241505,6.4206661253069415,6.46227426774136,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,12081.0
2015,weiblich,6.160384603462377,6.139680357522771,6.181088849401982,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13749.0
2016,-3,,,,,,,,,,,,
2016,-1,,,,,,,,,,,,
