year,quintil_oecd_hh,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.06130,64,1200,0.04772,0.07488
1984,1st Quintile,West,No,0.93298,1136,1200,0.91882,0.94713
1984,2nd Quintile,West,Yes,0.02770,34,1191,0.01838,0.03703
1984,2nd Quintile,West,No,0.96597,1157,1191,0.95566,0.97627
1984,3rd Quintile,West,Yes,0.04831,43,1168,0.03601,0.06061
1984,3rd Quintile,West,No,0.94818,1125,1168,0.93547,0.96090
1984,4th Quintile,West,Yes,0.04119,37,1176,0.02983,0.05255
1984,4th Quintile,West,No,0.95008,1139,1176,0.93762,0.96253
1984,5th Quintile,West,No,0.97309,1052,1052,0.96331,0.98288
1985,1st Quintile,West,Yes,0.05229,49,1074,0.03897,0.06561
1985,1st Quintile,West,No,0.94475,1025,1074,0.93108,0.95842
1985,2nd Quintile,West,Yes,0.04094,37,1072,0.02907,0.05280
1985,2nd Quintile,West,No,0.95260,1035,1072,0.93987,0.96532
1985,3rd Quintile,West,Yes,0.03994,38,1082,0.02827,0.05161
1985,3rd Quintile,West,No,0.95790,1044,1082,0.94592,0.96987
1985,4th Quintile,West,No,0.96372,1016,1016,0.95222,0.97522
1985,5th Quintile,West,No,0.96794,952,952,0.95675,0.97914
1986,1st Quintile,West,Yes,0.05551,47,993,0.04126,0.06976
1986,1st Quintile,West,No,0.94102,946,993,0.92635,0.95568
1986,2nd Quintile,West,Yes,0.05643,47,1033,0.04235,0.07051
1986,2nd Quintile,West,No,0.94117,986,1033,0.92682,0.95553
1986,3rd Quintile,West,No,0.96070,999,999,0.94864,0.97275
1986,4th Quintile,West,No,0.96681,991,991,0.95565,0.97797
1986,5th Quintile,West,No,0.97119,928,928,0.96042,0.98196
1987,1st Quintile,West,Yes,0.06548,52,948,0.04972,0.08123
1987,1st Quintile,West,No,0.92992,896,948,0.91366,0.94618
1987,2nd Quintile,West,Yes,0.04163,32,1011,0.02931,0.05395
1987,2nd Quintile,West,No,0.95783,979,1011,0.94544,0.97023
1987,3rd Quintile,West,Yes,0.04108,32,1030,0.02895,0.05321
1987,3rd Quintile,West,No,0.95431,998,1030,0.94155,0.96707
1987,4th Quintile,West,No,0.96723,996,996,0.95617,0.97829
1987,5th Quintile,West,No,0.96932,926,926,0.95821,0.98043
1988,1st Quintile,West,Yes,0.05478,46,938,0.04021,0.06935
1988,1st Quintile,West,No,0.93701,892,938,0.92145,0.95256
1988,2nd Quintile,West,Yes,0.04344,39,962,0.03055,0.05633
1988,2nd Quintile,West,No,0.94972,923,962,0.93590,0.96353
1988,3rd Quintile,West,No,0.95403,956,956,0.94075,0.96732
1988,4th Quintile,West,No,0.96558,952,952,0.95399,0.97717
1988,5th Quintile,West,No,0.97434,872,872,0.96384,0.98484
1989,1st Quintile,West,Yes,0.05186,40,910,0.03745,0.06628
1989,1st Quintile,West,No,0.94523,870,910,0.93043,0.96002
1989,2nd Quintile,West,Yes,0.04076,33,982,0.02839,0.05314
1989,2nd Quintile,West,No,0.95893,949,982,0.94651,0.97135
1989,3rd Quintile,West,No,0.96534,923,923,0.95353,0.97714
