year,quintil_oecd_hh,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.06130,64,1200,0.04772,0.07488
1984,1st Quintile,No,0.93298,1136,1200,0.91882,0.94713
1984,2nd Quintile,Yes,0.02770,34,1191,0.01838,0.03703
1984,2nd Quintile,No,0.96597,1157,1191,0.95566,0.97627
1984,3rd Quintile,Yes,0.04831,43,1168,0.03601,0.06061
1984,3rd Quintile,No,0.94818,1125,1168,0.93547,0.96090
1984,4th Quintile,Yes,0.04119,37,1176,0.02983,0.05255
1984,4th Quintile,No,0.95008,1139,1176,0.93762,0.96253
1984,5th Quintile,No,0.97309,1052,1052,0.96331,0.98288
1985,1st Quintile,Yes,0.05229,49,1074,0.03897,0.06561
1985,1st Quintile,No,0.94475,1025,1074,0.93108,0.95842
1985,2nd Quintile,Yes,0.04094,37,1072,0.02907,0.05280
1985,2nd Quintile,No,0.95260,1035,1072,0.93987,0.96532
1985,3rd Quintile,Yes,0.03994,38,1082,0.02827,0.05161
1985,3rd Quintile,No,0.95790,1044,1082,0.94592,0.96987
1985,4th Quintile,No,0.96372,1016,1016,0.95222,0.97522
1985,5th Quintile,No,0.96794,952,952,0.95675,0.97914
1986,1st Quintile,Yes,0.05551,47,993,0.04126,0.06976
1986,1st Quintile,No,0.94102,946,993,0.92635,0.95568
1986,2nd Quintile,Yes,0.05643,47,1033,0.04235,0.07051
1986,2nd Quintile,No,0.94117,986,1033,0.92682,0.95553
1986,3rd Quintile,No,0.96070,999,999,0.94864,0.97275
1986,4th Quintile,No,0.96681,991,991,0.95565,0.97797
1986,5th Quintile,No,0.97119,928,928,0.96042,0.98196
1987,1st Quintile,Yes,0.06548,52,948,0.04972,0.08123
1987,1st Quintile,No,0.92992,896,948,0.91366,0.94618
1987,2nd Quintile,Yes,0.04163,32,1011,0.02931,0.05395
1987,2nd Quintile,No,0.95783,979,1011,0.94544,0.97023
1987,3rd Quintile,Yes,0.04108,32,1030,0.02895,0.05321
1987,3rd Quintile,No,0.95431,998,1030,0.94155,0.96707
1987,4th Quintile,No,0.96723,996,996,0.95617,0.97829
1987,5th Quintile,No,0.96932,926,926,0.95821,0.98043
1988,1st Quintile,Yes,0.05478,46,938,0.04021,0.06935
1988,1st Quintile,No,0.93701,892,938,0.92145,0.95256
1988,2nd Quintile,Yes,0.04344,39,962,0.03055,0.05633
1988,2nd Quintile,No,0.94972,923,962,0.93590,0.96353
1988,3rd Quintile,No,0.95403,956,956,0.94075,0.96732
1988,4th Quintile,No,0.96558,952,952,0.95399,0.97717
1988,5th Quintile,No,0.97434,872,872,0.96384,0.98484
1989,1st Quintile,Yes,0.05186,40,910,0.03745,0.06628
1989,1st Quintile,No,0.94523,870,910,0.93043,0.96002
1989,2nd Quintile,Yes,0.04076,33,982,0.02839,0.05314
1989,2nd Quintile,No,0.95893,949,982,0.94651,0.97135
1989,3rd Quintile,No,0.96534,923,923,0.95353,0.97714
1989,4th Quintile,No,0.97714,932,932,0.96754,0.98674
1989,5th Quintile,No,0.97715,832,832,0.96699,0.98731
1990,1st Quintile,No,0.04178,37,37,-0.02358,0.10714
1990,2nd Quintile,Yes,0.06953,61,1161,0.05489,0.08416
1990,2nd Quintile,No,0.92882,1100,1161,0.91402,0.94362
1990,3rd Quintile,Yes,0.02947,37,1167,0.01976,0.03917
1990,3rd Quintile,No,0.96500,1130,1167,0.95446,0.97555
1990,4th Quintile,No,0.97948,1132,1132,0.97122,0.98774
1990,5th Quintile,No,0.97269,1036,1036,0.96277,0.98262
1991,1st Quintile,Yes,0.05354,89,2048,0.04379,0.06330
1991,1st Quintile,No,0.94469,1959,2048,0.93479,0.95459
1991,2nd Quintile,Yes,0.07102,63,1136,0.05607,0.08596
1991,2nd Quintile,No,0.91929,1073,1136,0.90345,0.93514
1991,3rd Quintile,Yes,0.04313,47,1173,0.03150,0.05476
1991,3rd Quintile,No,0.95273,1126,1173,0.94058,0.96488
1991,4th Quintile,Yes,0.03056,32,1184,0.02075,0.04037
1991,4th Quintile,No,0.96809,1152,1184,0.95807,0.97810
1991,5th Quintile,No,0.97519,1044,1044,0.96576,0.98463
1992,1st Quintile,Yes,0.09105,94,1391,0.07592,0.10617
1992,1st Quintile,No,0.89879,1297,1391,0.88293,0.91464
1992,2nd Quintile,Yes,0.05925,62,1482,0.04722,0.07127
1992,2nd Quintile,No,0.93537,1420,1482,0.92285,0.94790
1992,3rd Quintile,Yes,0.03308,39,1334,0.02348,0.04268
1992,3rd Quintile,No,0.95722,1295,1334,0.94635,0.96808
1992,4th Quintile,Yes,0.03422,39,1266,0.02420,0.04424
1992,4th Quintile,No,0.95930,1227,1266,0.94841,0.97018
1992,5th Quintile,No,0.96773,1069,1069,0.95713,0.97833
1993,1st Quintile,Yes,0.08029,84,1297,0.06549,0.09508
1993,1st Quintile,No,0.90525,1213,1297,0.88930,0.92119
1993,2nd Quintile,Yes,0.06061,63,1481,0.04846,0.07277
1993,2nd Quintile,No,0.93319,1418,1481,0.92047,0.94591
1993,3rd Quintile,Yes,0.03943,45,1373,0.02913,0.04973
1993,3rd Quintile,No,0.95253,1328,1373,0.94128,0.96378
1993,4th Quintile,Yes,0.02923,34,1277,0.01999,0.03847
1993,4th Quintile,No,0.96093,1243,1277,0.95030,0.97156
1993,5th Quintile,No,0.96399,1070,1070,0.95282,0.97516
1994,1st Quintile,Yes,0.08797,92,1330,0.07274,0.10320
1994,1st Quintile,No,0.90233,1238,1330,0.88636,0.91829
1994,2nd Quintile,Yes,0.05597,58,1407,0.04396,0.06799
1994,2nd Quintile,No,0.93944,1349,1407,0.92698,0.95191
1994,3rd Quintile,Yes,0.03269,38,1357,0.02323,0.04216
1994,3rd Quintile,No,0.95665,1319,1357,0.94581,0.96749
1994,4th Quintile,Yes,0.03283,37,1241,0.02291,0.04274
1994,4th Quintile,No,0.96539,1204,1241,0.95522,0.97557
1994,5th Quintile,No,0.97170,1105,1105,0.96191,0.98148
1995,1st Quintile,Yes,0.07548,84,1391,0.06159,0.08936
