year,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.03960,198,5827,0.03459,0.04461
1984,West,No,0.95405,5629,5827,0.94868,0.95943
1985,West,Yes,0.03979,181,5259,0.03451,0.04508
1985,West,No,0.95737,5078,5259,0.95191,0.96284
1986,West,Yes,0.04019,172,5027,0.03476,0.04562
1986,West,No,0.95621,4855,5027,0.95055,0.96187
1987,West,Yes,0.04018,161,4959,0.03471,0.04565
1987,West,No,0.95574,4798,4959,0.95002,0.96147
1988,West,Yes,0.03725,149,4746,0.03186,0.04264
1988,West,No,0.95617,4597,4746,0.95034,0.96199
1989,West,Yes,0.03207,129,4636,0.02700,0.03715
1989,West,No,0.96476,4507,4636,0.95945,0.97006
1990,West,Yes,0.03406,141,4578,0.02881,0.03932
1990,West,No,0.96160,4437,4578,0.95603,0.96717
1991,West,Yes,0.04095,165,4622,0.03524,0.04667
1991,West,No,0.95412,4457,4622,0.94809,0.96015
1991,East,Yes,0.05524,88,1985,0.04519,0.06529
1991,East,No,0.94289,1897,1985,0.93268,0.95310
1992,West,Yes,0.04720,174,4626,0.04109,0.05331
1992,West,No,0.94385,4452,4626,0.93721,0.95048
1992,East,Yes,0.05443,82,1940,0.04433,0.06453
1992,East,No,0.94292,1858,1940,0.93260,0.95325
1993,West,Yes,0.04686,175,4650,0.04078,0.05293
1993,West,No,0.94356,4475,4650,0.93692,0.95019
1993,East,Yes,0.05199,76,1874,0.04193,0.06204
1993,East,No,0.93970,1798,1874,0.92892,0.95048
1994,West,Yes,0.04514,177,4618,0.03915,0.05113
1994,West,No,0.94816,4441,4618,0.94176,0.95455
1994,East,Yes,0.05509,77,1856,0.04471,0.06547
1994,East,No,0.94257,1779,1856,0.93198,0.95315
1995,West,Yes,0.04769,186,4845,0.04169,0.05369
1995,West,No,0.94565,4659,4845,0.93926,0.95203
1995,East,Yes,0.05665,78,1817,0.04602,0.06729
1995,East,No,0.94043,1739,1817,0.92954,0.95131
1996,West,Yes,0.04231,176,4771,0.03660,0.04803
1996,West,No,0.95175,4595,4771,0.94567,0.95784
1996,East,Yes,0.04872,71,1830,0.03886,0.05859
1996,East,No,0.94578,1759,1830,0.93540,0.95616
1997,West,Yes,0.04049,162,4711,0.03486,0.04612
1997,West,No,0.95639,4549,4711,0.95056,0.96222
1997,East,Yes,0.05340,75,1819,0.04306,0.06373
1997,East,No,0.94595,1744,1819,0.93556,0.95635
1998,West,Yes,0.03993,192,5453,0.03474,0.04513
1998,West,No,0.95885,5261,5453,0.95358,0.96413
1998,East,Yes,0.04738,73,1960,0.03798,0.05679
1998,East,No,0.95262,1887,1960,0.94321,0.96202
1999,West,Yes,0.04622,193,5212,0.04052,0.05192
1999,West,No,0.95372,5019,5212,0.94801,0.95942
1999,East,Yes,0.04456,69,1930,0.03535,0.05377
1999,East,No,0.95544,1861,1930,0.94623,0.96465
2000,West,Yes,0.03872,363,9876,0.03492,0.04253
2000,West,No,0.96128,9513,9876,0.95747,0.96508
2000,East,Yes,0.04404,125,3074,0.03679,0.05130
2000,East,No,0.95596,2949,3074,0.94870,0.96321
2001,West,Yes,0.03873,336,8834,0.03471,0.04275
2001,West,No,0.96071,8498,8834,0.95666,0.96476
2001,East,Yes,0.04746,117,2843,0.03964,0.05528
2001,East,No,0.95254,2726,2843,0.94472,0.96036
2002,West,Yes,0.03985,329,9370,0.03589,0.04381
2002,West,No,0.96015,9041,9370,0.95619,0.96411
2002,East,Yes,0.05201,122,2842,0.04384,0.06017
2002,East,No,0.94799,2720,2842,0.93983,0.95616
2003,West,Yes,0.04116,329,8998,0.03706,0.04527
2003,West,No,0.95862,8669,8998,0.95451,0.96274
2003,East,Yes,0.05330,126,2805,0.04499,0.06162
2003,East,No,0.94670,2679,2805,0.93838,0.95501
2004,West,Yes,0.04260,337,8782,0.03838,0.04683
2004,West,No,0.95740,8445,8782,0.95317,0.96162
2004,East,Yes,0.05772,133,2761,0.04902,0.06642
2004,East,No,0.94228,2628,2761,0.93358,0.95098
2005,West,Yes,0.03945,308,8507,0.03531,0.04359
2005,West,No,0.96055,8199,8507,0.95641,0.96469
2005,East,Yes,0.04950,115,2692,0.04131,0.05770
2005,East,No,0.95050,2577,2692,0.94230,0.95869
2006,West,Yes,0.04197,357,9337,0.03790,0.04603
2006,West,No,0.95803,8980,9337,0.95397,0.96210
2006,East,Yes,0.05241,140,2928,0.04433,0.06048
2006,East,No,0.94759,2788,2928,0.93952,0.95567
2007,West,Yes,0.04105,329,8692,0.03688,0.04522
2007,West,No,0.95873,8363,8692,0.95454,0.96291
2007,East,Yes,0.05063,128,2760,0.04245,0.05881
2007,East,No,0.94937,2632,2760,0.94119,0.95755
2008,West,Yes,0.04092,299,8170,0.03662,0.04521
2008,West,No,0.95889,7871,8170,0.95458,0.96319
2008,East,Yes,0.04611,110,2650,0.03812,0.05410
2008,East,No,0.95239,2540,2650,0.94428,0.96050
2009,West,Yes,0.04204,298,7622,0.03753,0.04654
2009,West,No,0.95796,7324,7622,0.95346,0.96247
2009,East,Yes,0.04950,113,2555,0.04109,0.05792
2009,East,No,0.95050,2442,2555,0.94208,0.95891
2010,West,Yes,0.04184,353,10639,0.03804,0.04565
2010,West,No,0.95816,10286,10639,0.95435,0.96196
2010,East,Yes,0.03924,114,3160,0.03247,0.04601
2010,East,No,0.96076,3046,3160,0.95399,0.96753
2011,West,Yes,0.03630,410,12858,0.03307,0.03954
2011,West,No,0.96367,12448,12858,0.96043,0.96690
2011,East,Yes,0.04182,147,3744,0.03541,0.04823
2011,East,No,0.95818,3597,3744,0.95177,0.96459
2012,West,Yes,0.03802,405,12591,0.03468,0.04136
2012,West,No,0.96198,12186,12591,0.95864,0.96532
2012,East,Yes,0.05085,161,3712,0.04378,0.05792
2012,East,No,0.94915,3551,3712,0.94208,0.95622
2013,West,Yes,0.03918,495,14213,0.03599,0.04237
2013,West,No,0.96082,13718,14213,0.95763,0.96401
2013,East,Yes,0.04564,154,3657,0.03888,0.05241
2013,East,No,0.95436,3503,3657,0.94759,0.96112
2014,West,Yes,0.04050,457,12446,0.03704,0.04397
2014,West,No,0.95945,11989,12446,0.95598,0.96291
2014,East,Yes,0.04939,175,3380,0.04208,0.05669
2014,East,No,0.94950,3205,3380,0.94211,0.95688
2015,West,Yes,0.03976,425,12482,0.03633,0.04319
2015,West,No,0.96024,12057,12482,0.95681,0.96367
2015,East,Yes,0.04388,154,3282,0.03687,0.05089
2015,East,No,0.95612,3128,3282,0.94911,0.96313
2016,West,Yes,0.04560,572,12938,0.04201,0.04920
2016,West,No,0.95413,12366,12938,0.95052,0.95773
2016,East,Yes,0.04223,183,3462,0.03553,0.04893
2016,East,No,0.95773,3279,3462,0.95102,0.96443
2017,West,Yes,0.04475,595,14470,0.04138,0.04812
2017,West,No,0.95475,13875,14470,0.95136,0.95814
2017,East,Yes,0.04863,187,3801,0.04179,0.05546
2017,East,No,0.95137,3614,3801,0.94454,0.95821
2018,West,Yes,0.04816,667,14096,0.04462,0.05169
2018,West,No,0.95177,13429,14096,0.94823,0.95531
2018,East,Yes,0.04360,196,3779,0.03708,0.05011
2018,East,No,0.95632,3583,3779,0.94980,0.96284
2019,West,Yes,0.04810,640,14457,0.04461,0.05159
2019,West,No,0.95188,13817,14457,0.94840,0.95537
2019,East,Yes,0.04862,191,3907,0.04188,0.05537
2019,East,No,0.95138,3716,3907,0.94463,0.95812
2020,West,Yes,0.04850,623,15456,0.04511,0.05188
