year,bula_h,regtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,No,0.97162,85,85,0.93611,1.00713
1985,Schleswig-Holstein,Rural regions,No,0.97198,90,90,0.93770,1.00627
1985,Hamburg,Urban regions,No,0.95636,151,151,0.92366,0.98905
1985,Lower Saxony,Urban regions,No,0.94941,236,236,0.92138,0.97743
1985,Lower Saxony,Rural regions,No,0.94772,259,259,0.92055,0.97488
1985,Bremen,Urban regions,No,0.94475,61,61,0.88694,1.00256
1985,North Rhine-Westphalia,Urban regions,Yes,0.03618,47,1389,0.02636,0.04601
1985,North Rhine-Westphalia,Urban regions,No,0.96033,1342,1389,0.95006,0.97060
1985,North Rhine-Westphalia,Rural regions,No,0.94906,33,33,0.87288,1.02524
1985,Hesse,Urban regions,No,0.96188,451,451,0.94418,0.97957
1985,Hesse,Rural regions,No,0.97043,67,67,0.92956,1.01130
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97263,282,282,0.95355,0.99171
1985,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93822,58,58,0.87571,1.00072
1985,Baden-Wuerttemberg,Urban regions,No,0.95773,787,787,0.94366,0.97179
1985,Baden-Wuerttemberg,Rural regions,No,0.95420,126,126,0.91755,0.99085
1985,Bavaria,Urban regions,No,0.96787,474,474,0.95198,0.98376
1985,Bavaria,Rural regions,No,0.94309,381,381,0.91980,0.96638
1985,Berlin,Urban regions,No,0.93110,192,192,0.89518,0.96702
1986,Schleswig-Holstein,Urban regions,No,0.96974,76,76,0.93097,1.00851
1986,Schleswig-Holstein,Rural regions,No,0.96094,80,80,0.91822,1.00366
1986,Hamburg,Urban regions,No,0.96535,137,137,0.93461,0.99609
1986,Lower Saxony,Urban regions,No,0.94478,243,243,0.91600,0.97356
1986,Lower Saxony,Rural regions,No,0.93924,247,247,0.90939,0.96909
1986,Bremen,Urban regions,No,0.92672,56,56,0.85785,0.99559
1986,North Rhine-Westphalia,Urban regions,Yes,0.03654,44,1331,0.02646,0.04663
1986,North Rhine-Westphalia,Urban regions,No,0.96082,1287,1331,0.95039,0.97125
1986,Hesse,Urban regions,No,0.96196,421,421,0.94367,0.98026
1986,Hesse,Rural regions,No,0.96810,67,67,0.92570,1.01050
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95701,281,281,0.93325,0.98076
1986,"Rhineland-Palatinate, Saarland",Rural regions,No,0.88697,57,57,0.80404,0.96990
1986,Baden-Wuerttemberg,Urban regions,No,0.96019,748,748,0.94617,0.97421
1986,Baden-Wuerttemberg,Rural regions,No,0.93386,123,123,0.88976,0.97796
1986,Bavaria,Urban regions,No,0.96551,451,451,0.94865,0.98237
1986,Bavaria,Rural regions,No,0.95152,357,357,0.92921,0.97383
1986,Berlin,Urban regions,No,0.95801,191,191,0.92949,0.98653
1987,Schleswig-Holstein,Urban regions,No,0.97358,76,76,0.93729,1.00988
1987,Schleswig-Holstein,Rural regions,No,0.92472,79,79,0.86616,0.98327
1987,Hamburg,Urban regions,No,0.95498,123,123,0.91818,0.99177
1987,Lower Saxony,Urban regions,No,0.95684,244,244,0.93128,0.98239
1987,Lower Saxony,Rural regions,No,0.95087,246,246,0.92380,0.97793
1987,Bremen,Urban regions,No,0.91684,55,55,0.84319,0.99049
1987,North Rhine-Westphalia,Urban regions,Yes,0.03756,43,1316,0.02728,0.04783
1987,North Rhine-Westphalia,Urban regions,No,0.95922,1273,1316,0.94853,0.96991
1987,Hesse,Urban regions,No,0.98030,421,421,0.96700,0.99359
1987,Hesse,Rural regions,No,0.93398,61,61,0.87114,0.99681
1987,"Rhineland-Palatinate, Saarland",Urban regions,No,0.94829,277,277,0.92216,0.97441
1987,"Rhineland-Palatinate, Saarland",Rural regions,No,0.91461,59,59,0.84268,0.98653
1987,Baden-Wuerttemberg,Urban regions,No,0.96226,736,736,0.94848,0.97604
1987,Baden-Wuerttemberg,Rural regions,No,0.94944,129,129,0.91149,0.98740
1987,Bavaria,Urban regions,No,0.95072,445,445,0.93059,0.97086
1987,Bavaria,Rural regions,No,0.94492,350,350,0.92099,0.96886
1987,Berlin,Urban regions,No,0.95968,191,191,0.93171,0.98765
1988,Schleswig-Holstein,Urban regions,No,0.97677,73,73,0.94197,1.01156
1988,Schleswig-Holstein,Rural regions,No,0.89956,79,79,0.83285,0.96627
1988,Hamburg,Urban regions,No,0.93753,109,109,0.89188,0.98317
1988,Lower Saxony,Urban regions,No,0.94800,237,237,0.91967,0.97633
1988,Lower Saxony,Rural regions,No,0.95138,229,229,0.92347,0.97930
1988,Bremen,Urban regions,No,0.93083,56,56,0.86376,0.99789
1988,North Rhine-Westphalia,Urban regions,Yes,0.03736,42,1251,0.02685,0.04787
1988,North Rhine-Westphalia,Urban regions,No,0.95581,1209,1251,0.94442,0.96720
1988,Hesse,Urban regions,No,0.97946,394,394,0.96544,0.99348
1988,Hesse,Rural regions,No,0.93247,62,62,0.86950,0.99544
1988,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95556,272,272,0.93103,0.98010
1988,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93365,51,51,0.86466,1.00264
1988,Baden-Wuerttemberg,Urban regions,No,0.96031,724,724,0.94608,0.97454
1988,Baden-Wuerttemberg,Rural regions,No,0.97015,118,118,0.93931,1.00099
1988,Bavaria,Urban regions,No,0.95413,435,435,0.93444,0.97381
1988,Bavaria,Rural regions,No,0.95946,333,333,0.93825,0.98068
1988,Berlin,Urban regions,No,0.96895,183,183,0.94376,0.99415
1989,Schleswig-Holstein,Urban regions,No,0.95530,76,76,0.90853,1.00207
1989,Schleswig-Holstein,Rural regions,No,0.95482,73,73,0.90684,1.00279
1989,Hamburg,Urban regions,No,0.98820,112,112,0.96810,1.00829
1989,Lower Saxony,Urban regions,No,0.96276,243,243,0.93890,0.98661
1989,Lower Saxony,Rural regions,No,0.96462,223,223,0.94032,0.98892
1989,Bremen,Urban regions,No,0.95618,60,60,0.90395,1.00841
1989,North Rhine-Westphalia,Urban regions,Yes,0.03079,33,1214,0.02107,0.04052
1989,North Rhine-Westphalia,Urban regions,No,0.96872,1181,1214,0.95892,0.97851
1989,Hesse,Urban regions,No,0.98978,409,409,0.98002,0.99954
1989,Hesse,Rural regions,No,0.89535,57,57,0.81518,0.97552
1989,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95124,263,263,0.92516,0.97732
1989,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93763,43,43,0.86449,1.01077
1989,Baden-Wuerttemberg,Urban regions,No,0.95585,687,687,0.94047,0.97122
1989,Baden-Wuerttemberg,Rural regions,No,0.95737,111,111,0.91962,0.99512
1989,Bavaria,Urban regions,No,0.96958,424,424,0.95321,0.98594
1989,Bavaria,Rural regions,No,0.96690,336,336,0.94774,0.98606
1989,Berlin,Urban regions,No,0.95659,179,179,0.92665,0.98652
1990,Schleswig-Holstein,Urban regions,No,0.96535,74,74,0.92339,1.00731
1990,Schleswig-Holstein,Rural regions,No,0.95059,69,69,0.89909,1.00210
1990,Hamburg,Urban regions,No,0.98667,103,103,0.96442,1.00893
1990,Lower Saxony,Urban regions,No,0.94264,237,237,0.91297,0.97230
1990,Lower Saxony,Rural regions,No,0.95124,224,224,0.92297,0.97951
1990,North Rhine-Westphalia,Urban regions,Yes,0.02927,37,1189,0.01969,0.03886
1990,North Rhine-Westphalia,Urban regions,No,0.96680,1152,1189,0.95661,0.97699
1990,North Rhine-Westphalia,Rural regions,No,0.98539,31,31,0.94245,1.02833
1990,Hesse,Urban regions,No,0.98189,399,399,0.96879,0.99499
