year,quintil_oecd_hh,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,West,Yes,0.09593,97,970,0.07739,0.11447
1996,1st Quintile,West,No,0.90407,873,970,0.88553,0.92261
1996,1st Quintile,East,Yes,0.10441,58,441,0.07584,0.13298
1996,1st Quintile,East,No,0.89559,383,441,0.86702,0.92416
1996,2nd Quintile,West,Yes,0.10103,106,903,0.08136,0.12070
1996,2nd Quintile,West,No,0.89897,797,903,0.87930,0.91864
1996,2nd Quintile,East,Yes,0.12097,70,498,0.09230,0.14964
1996,2nd Quintile,East,No,0.87903,428,498,0.85036,0.90770
1996,3rd Quintile,West,Yes,0.10815,111,948,0.08837,0.12793
1996,3rd Quintile,West,No,0.89185,837,948,0.87207,0.91163
1996,3rd Quintile,East,Yes,0.11732,67,446,0.08742,0.14722
1996,3rd Quintile,East,No,0.88268,379,446,0.85278,0.91258
1996,4th Quintile,West,Yes,0.08944,95,1005,0.07179,0.10709
1996,4th Quintile,West,No,0.91056,910,1005,0.89291,0.92821
1996,4th Quintile,East,No,0.91139,265,265,0.87711,0.94567
1996,5th Quintile,West,Yes,0.04933,58,962,0.03564,0.06302
1996,5th Quintile,West,No,0.95067,904,962,0.93698,0.96436
1996,5th Quintile,East,No,0.95019,151,151,0.91537,0.98500
2001,1st Quintile,West,Yes,0.07996,130,1548,0.06645,0.09348
2001,1st Quintile,West,No,0.92004,1418,1548,0.90652,0.93355
2001,1st Quintile,East,Yes,0.10528,85,683,0.08225,0.12831
2001,1st Quintile,East,No,0.89472,598,683,0.87169,0.91775
2001,2nd Quintile,West,Yes,0.06471,120,1674,0.05292,0.07650
2001,2nd Quintile,West,No,0.93529,1554,1674,0.92350,0.94708
2001,2nd Quintile,East,Yes,0.10762,94,786,0.08594,0.12929
2001,2nd Quintile,East,No,0.89238,692,786,0.87071,0.91406
2001,3rd Quintile,West,Yes,0.07175,130,1763,0.05970,0.08380
2001,3rd Quintile,West,No,0.92825,1633,1763,0.91620,0.94030
2001,3rd Quintile,East,Yes,0.08150,63,673,0.06081,0.10219
2001,3rd Quintile,East,No,0.91850,610,673,0.89781,0.93919
2001,4th Quintile,West,Yes,0.06354,136,1915,0.05261,0.07447
2001,4th Quintile,West,No,0.93646,1779,1915,0.92553,0.94739
2001,4th Quintile,East,Yes,0.07757,41,454,0.05293,0.10220
2001,4th Quintile,East,No,0.92243,413,454,0.89780,0.94707
2001,5th Quintile,West,Yes,0.04482,87,1934,0.03560,0.05405
2001,5th Quintile,West,No,0.95518,1847,1934,0.94595,0.96440
2001,5th Quintile,East,No,0.94391,232,232,0.91423,0.97358
2006,1st Quintile,West,Yes,0.04595,69,1433,0.03510,0.05679
2006,1st Quintile,West,No,0.95405,1364,1433,0.94321,0.96490
2006,1st Quintile,East,Yes,0.08927,64,663,0.06755,0.11099
2006,1st Quintile,East,No,0.91073,599,663,0.88901,0.93245
2006,2nd Quintile,West,Yes,0.05102,78,1491,0.03984,0.06219
2006,2nd Quintile,West,No,0.94898,1413,1491,0.93781,0.96016
2006,2nd Quintile,East,Yes,0.07743,61,731,0.05805,0.09682
2006,2nd Quintile,East,No,0.92257,670,731,0.90318,0.94195
2006,3rd Quintile,West,Yes,0.05465,90,1713,0.04388,0.06541
2006,3rd Quintile,West,No,0.94535,1623,1713,0.93459,0.95612
2006,3rd Quintile,East,Yes,0.07631,54,674,0.05625,0.09637
2006,3rd Quintile,East,No,0.92369,620,674,0.90363,0.94375
2006,4th Quintile,West,Yes,0.04783,105,1984,0.03843,0.05722
2006,4th Quintile,West,No,0.95217,1879,1984,0.94278,0.96157
2006,4th Quintile,East,Yes,0.05149,31,509,0.03227,0.07071
2006,4th Quintile,East,No,0.94851,478,509,0.92929,0.96773
2006,5th Quintile,West,Yes,0.03371,101,2711,0.02692,0.04051
2006,5th Quintile,West,No,0.96629,2610,2711,0.95949,0.97308
2006,5th Quintile,East,No,0.95994,331,331,0.93879,0.98110
2011,1st Quintile,West,Yes,0.03354,73,1539,0.02454,0.04254
2011,1st Quintile,West,No,0.82937,1466,1539,0.81057,0.84817
2011,1st Quintile,East,Yes,0.05423,55,716,0.03763,0.07083
2011,1st Quintile,East,No,0.82634,661,716,0.79857,0.85411
