year,quintil_oecd_hh,regtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Urban regions,Yes,0.10194,95,908,0.08225,0.12163
1996,1st Quintile,Urban regions,No,0.89806,813,908,0.87837,0.91775
1996,1st Quintile,Rural regions,Yes,0.09087,60,503,0.06573,0.11602
1996,1st Quintile,Rural regions,No,0.90913,443,503,0.88398,0.93427
1996,2nd Quintile,Urban regions,Yes,0.09427,105,890,0.07507,0.11348
1996,2nd Quintile,Urban regions,No,0.90573,785,890,0.88652,0.92493
1996,2nd Quintile,Rural regions,Yes,0.12929,71,511,0.10017,0.15841
1996,2nd Quintile,Rural regions,No,0.87071,440,511,0.84159,0.89983
1996,3rd Quintile,Urban regions,Yes,0.10004,97,850,0.07986,0.12023
1996,3rd Quintile,Urban regions,No,0.89996,753,850,0.87977,0.92014
1996,3rd Quintile,Rural regions,Yes,0.12978,81,544,0.10152,0.15805
1996,3rd Quintile,Rural regions,No,0.87022,463,544,0.84195,0.89848
1996,4th Quintile,Urban regions,Yes,0.08384,87,906,0.06578,0.10190
1996,4th Quintile,Urban regions,No,0.91616,819,906,0.89810,0.93422
1996,4th Quintile,Rural regions,Yes,0.10452,36,392,0.07419,0.13484
1996,4th Quintile,Rural regions,No,0.89548,356,392,0.86516,0.92581
1996,5th Quintile,Urban regions,Yes,0.05181,50,850,0.03690,0.06672
1996,5th Quintile,Urban regions,No,0.94819,800,850,0.93328,0.96310
1996,5th Quintile,Rural regions,No,0.96011,255,255,0.93605,0.98418
2001,1st Quintile,Urban regions,Yes,0.07898,120,1434,0.06502,0.09295
2001,1st Quintile,Urban regions,No,0.92102,1314,1434,0.90705,0.93498
2001,1st Quintile,Rural regions,Yes,0.10133,95,797,0.08036,0.12229
2001,1st Quintile,Rural regions,No,0.89867,702,797,0.87771,0.91964
2001,2nd Quintile,Urban regions,Yes,0.06417,108,1494,0.05174,0.07660
2001,2nd Quintile,Urban regions,No,0.93583,1386,1494,0.92340,0.94826
2001,2nd Quintile,Rural regions,Yes,0.09561,106,966,0.07705,0.11416
2001,2nd Quintile,Rural regions,No,0.90439,860,966,0.88584,0.92295
2001,3rd Quintile,Urban regions,Yes,0.07273,120,1555,0.05982,0.08564
2001,3rd Quintile,Urban regions,No,0.92727,1435,1555,0.91436,0.94018
2001,3rd Quintile,Rural regions,Yes,0.07605,73,881,0.05854,0.09357
2001,3rd Quintile,Rural regions,No,0.92395,808,881,0.90643,0.94146
2001,4th Quintile,Urban regions,Yes,0.06649,117,1615,0.05433,0.07864
2001,4th Quintile,Urban regions,No,0.93351,1498,1615,0.92136,0.94567
2001,4th Quintile,Rural regions,Yes,0.06271,60,754,0.04540,0.08003
2001,4th Quintile,Rural regions,No,0.93729,694,754,0.91997,0.95460
2001,5th Quintile,Urban regions,Yes,0.04396,76,1682,0.03416,0.05376
2001,5th Quintile,Urban regions,No,0.95604,1606,1682,0.94624,0.96584
2001,5th Quintile,Rural regions,No,0.94782,473,473,0.92776,0.96789
2006,1st Quintile,Urban regions,Yes,0.04969,69,1331,0.03801,0.06137
2006,1st Quintile,Urban regions,No,0.95031,1262,1331,0.93863,0.96199
2006,1st Quintile,Rural regions,Yes,0.07113,64,765,0.05290,0.08935
2006,1st Quintile,Rural regions,No,0.92887,701,765,0.91065,0.94710
2006,2nd Quintile,Urban regions,Yes,0.04314,61,1331,0.03222,0.05406
2006,2nd Quintile,Urban regions,No,0.95686,1270,1331,0.94594,0.96778
2006,2nd Quintile,Rural regions,Yes,0.08303,78,891,0.06490,0.10116
2006,2nd Quintile,Rural regions,No,0.91697,813,891,0.89884,0.93510
2006,3rd Quintile,Urban regions,Yes,0.05671,85,1498,0.04499,0.06842
2006,3rd Quintile,Urban regions,No,0.94329,1413,1498,0.93158,0.95501
2006,3rd Quintile,Rural regions,Yes,0.06381,59,889,0.04773,0.07989
2006,3rd Quintile,Rural regions,No,0.93619,830,889,0.92011,0.95227
2006,4th Quintile,Urban regions,Yes,0.04696,93,1686,0.03686,0.05706
2006,4th Quintile,Urban regions,No,0.95304,1593,1686,0.94294,0.96314
2006,4th Quintile,Rural regions,Yes,0.05189,43,807,0.03658,0.06720
2006,4th Quintile,Rural regions,No,0.94811,764,807,0.93280,0.96342
2006,5th Quintile,Urban regions,Yes,0.03044,83,2318,0.02345,0.03744
2006,5th Quintile,Urban regions,No,0.96956,2235,2318,0.96256,0.97655
2006,5th Quintile,Rural regions,Yes,0.04636,37,743,0.03123,0.06149
2006,5th Quintile,Rural regions,No,0.95364,706,743,0.93851,0.96877
2011,1st Quintile,Urban regions,Yes,0.03543,72,1387,0.02570,0.04517
2011,1st Quintile,Urban regions,No,0.82836,1315,1387,0.80851,0.84821
2011,1st Quintile,Rural regions,Yes,0.04523,56,868,0.03140,0.05906
2011,1st Quintile,Rural regions,No,0.82900,812,868,0.80394,0.85406
2011,2nd Quintile,Urban regions,Yes,0.03390,56,1332,0.02417,0.04362
