year,bula_h,regtyp,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Urban regions,No,0.85487,59,59,0.76421,0.94552
1996,Schleswig-Holstein,Rural regions,No,0.92346,73,73,0.86206,0.98487
1996,Hamburg,Urban regions,No,0.90534,73,73,0.83772,0.97296
1996,Lower Saxony,Urban regions,Yes,0.09000,31,278,0.05630,0.12370
1996,Lower Saxony,Urban regions,No,0.91000,247,278,0.87630,0.94370
1996,Lower Saxony,Rural regions,Yes,0.11874,34,253,0.07880,0.15868
1996,Lower Saxony,Rural regions,No,0.88126,219,253,0.84132,0.92120
1996,Bremen,Urban regions,No,0.88727,47,47,0.79588,0.97867
1996,North Rhine-Westphalia,Urban regions,Yes,0.09211,129,1257,0.07612,0.10810
1996,North Rhine-Westphalia,Urban regions,No,0.90789,1128,1257,0.89190,0.92388
1996,Hesse,Urban regions,No,0.93838,364,364,0.91365,0.96312
1996,Hesse,Rural regions,No,0.86243,67,67,0.77932,0.94553
1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09318,34,288,0.05955,0.12682
1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90682,254,288,0.87318,0.94045
1996,"Rhineland-Palatinate, Saarland",Rural regions,No,0.88092,54,54,0.79372,0.96812
1996,Baden-Wuerttemberg,Urban regions,Yes,0.07721,64,734,0.05788,0.09653
1996,Baden-Wuerttemberg,Urban regions,No,0.92279,670,734,0.90347,0.94212
1996,Baden-Wuerttemberg,Rural regions,No,0.87807,96,96,0.81227,0.94386
1996,Bavaria,Urban regions,Yes,0.06763,33,441,0.04417,0.09110
1996,Bavaria,Urban regions,No,0.93237,408,441,0.90890,0.95583
1996,Bavaria,Rural regions,Yes,0.07400,39,420,0.04894,0.09907
1996,Bavaria,Rural regions,No,0.92600,381,420,0.90093,0.95106
1996,Berlin,Urban regions,No,0.93744,283,283,0.90918,0.96571
1996,Brandenburg,Rural regions,No,0.91528,252,252,0.88083,0.94973
1996,Mecklenburg-Western Pomerania,Rural regions,No,0.87461,148,148,0.82107,0.92814
1996,Saxony,Urban regions,Yes,0.10038,35,289,0.06567,0.13508
1996,Saxony,Urban regions,No,0.89962,254,289,0.86492,0.93433
1996,Saxony,Rural regions,No,0.88964,229,229,0.84897,0.93031
1996,Saxony-Anhalt,Urban regions,No,0.81454,60,60,0.71536,0.91372
1996,Saxony-Anhalt,Rural regions,Yes,0.10634,36,254,0.06836,0.14433
1996,Saxony-Anhalt,Rural regions,No,0.89366,218,254,0.85567,0.93164
1996,Thuringa,Urban regions,No,0.90616,85,85,0.84380,0.96852
1996,Thuringa,Rural regions,Yes,0.11335,37,232,0.07247,0.15424
1996,Thuringa,Rural regions,No,0.88665,195,232,0.84576,0.92753
2001,Schleswig-Holstein,Urban regions,No,0.94456,147,147,0.90744,0.98168
2001,Schleswig-Holstein,Rural regions,No,0.94613,193,193,0.91419,0.97806
2001,Hamburg,Urban regions,No,0.93862,172,172,0.90264,0.97460
2001,Lower Saxony,Urban regions,Yes,0.10866,48,482,0.08084,0.13647
2001,Lower Saxony,Urban regions,No,0.89134,434,482,0.86353,0.91916
2001,Lower Saxony,Rural regions,Yes,0.10339,50,479,0.07610,0.13069
2001,Lower Saxony,Rural regions,No,0.89661,429,479,0.86931,0.92390
2001,Bremen,Urban regions,No,0.87812,89,89,0.80977,0.94647
2001,North Rhine-Westphalia,Urban regions,Yes,0.07037,175,2425,0.06019,0.08055
2001,North Rhine-Westphalia,Urban regions,No,0.92963,2250,2425,0.91945,0.93981
2001,North Rhine-Westphalia,Rural regions,No,0.91120,55,55,0.83533,0.98707
2001,Hesse,Urban regions,Yes,0.03112,31,630,0.01755,0.04469
2001,Hesse,Urban regions,No,0.96888,599,630,0.95531,0.98245
2001,Hesse,Rural regions,No,0.93275,137,137,0.89065,0.97484
2001,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.06427,45,550,0.04375,0.08478
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.93573,505,550,0.91522,0.95625
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.90087,151,151,0.85305,0.94870
2001,Baden-Wuerttemberg,Urban regions,Yes,0.05486,71,1228,0.04212,0.06761
2001,Baden-Wuerttemberg,Urban regions,No,0.94514,1157,1228,0.93239,0.95788
2001,Baden-Wuerttemberg,Rural regions,No,0.95701,129,129,0.92187,0.99215
2001,Bavaria,Urban regions,Yes,0.04900,41,805,0.03408,0.06392
2001,Bavaria,Urban regions,No,0.95100,764,805,0.93608,0.96592
2001,Bavaria,Rural regions,Yes,0.04505,44,811,0.03077,0.05933
2001,Bavaria,Rural regions,No,0.95495,767,811,0.94067,0.96923
2001,Berlin,Urban regions,Yes,0.05506,32,481,0.03465,0.07546
2001,Berlin,Urban regions,No,0.94494,449,481,0.92454,0.96535
2001,Brandenburg,Rural regions,Yes,0.10268,51,463,0.07500,0.13036
2001,Brandenburg,Rural regions,No,0.89732,412,463,0.86964,0.92500
2001,Mecklenburg-Western Pomerania,Urban regions,No,0.93889,38,38,0.86170,1.01607
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.90579,218,218,0.86693,0.94466
2001,Saxony,Urban regions,Yes,0.09030,41,420,0.06286,0.11775
2001,Saxony,Urban regions,No,0.90970,379,420,0.88225,0.93714
2001,Saxony,Rural regions,Yes,0.10495,52,429,0.07592,0.13399
2001,Saxony,Rural regions,No,0.89505,377,429,0.86601,0.92408
2001,Saxony-Anhalt,Urban regions,No,0.88405,90,90,0.81753,0.95057
2001,Saxony-Anhalt,Rural regions,Yes,0.09685,44,401,0.06787,0.12583
2001,Saxony-Anhalt,Rural regions,No,0.90315,357,401,0.87417,0.93213
2001,Thuringa,Urban regions,No,0.92838,132,132,0.88422,0.97253
2001,Thuringa,Rural regions,Yes,0.09888,38,350,0.06757,0.13020
2001,Thuringa,Rural regions,No,0.90112,312,350,0.86980,0.93243
2006,Schleswig-Holstein,Urban regions,No,0.96968,152,152,0.94234,0.99703
2006,Schleswig-Holstein,Rural regions,No,0.96801,223,223,0.94486,0.99116
2006,Hamburg,Urban regions,No,0.96974,189,189,0.94525,0.99423
2006,Lower Saxony,Urban regions,No,0.93742,501,501,0.91619,0.95865
