year,bula_h,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,West,No,0.89552,132,132,0.84313,0.94790
1996,Hamburg,West,No,0.90534,73,73,0.83772,0.97296
1996,Lower Saxony,West,Yes,0.10341,65,531,0.07749,0.12934
1996,Lower Saxony,West,No,0.89659,466,531,0.87066,0.92251
1996,Bremen,West,No,0.88727,47,47,0.79588,0.97867
1996,North Rhine-Westphalia,West,Yes,0.09596,135,1289,0.07987,0.11204
1996,North Rhine-Westphalia,West,No,0.90404,1154,1289,0.88796,0.92013
1996,Hesse,West,Yes,0.07482,36,467,0.05093,0.09871
1996,Hesse,West,No,0.92518,431,467,0.90129,0.94907
1996,"Rhineland-Palatinate, Saarland",West,Yes,0.09751,39,347,0.06625,0.12877
1996,"Rhineland-Palatinate, Saarland",West,No,0.90249,308,347,0.87123,0.93375
1996,Baden-Wuerttemberg,West,Yes,0.08356,74,840,0.06483,0.10228
1996,Baden-Wuerttemberg,West,No,0.91644,766,840,0.89772,0.93517
1996,Bavaria,West,Yes,0.07070,72,861,0.05357,0.08783
1996,Bavaria,West,No,0.92930,789,861,0.91217,0.94643
1996,Berlin,West,No,0.94507,159,159,0.90954,0.98060
1996,Berlin,East,No,0.92206,124,124,0.87469,0.96944
1996,Brandenburg,East,Yes,0.08558,31,300,0.05387,0.11728
1996,Brandenburg,East,No,0.91442,269,300,0.88272,0.94613
1996,Mecklenburg-Western Pomerania,East,No,0.87729,172,172,0.82811,0.92647
1996,Saxony,East,Yes,0.10523,65,548,0.07952,0.13095
1996,Saxony,East,No,0.89477,483,548,0.86905,0.92048
1996,Saxony-Anhalt,East,Yes,0.12504,52,330,0.08930,0.16078
1996,Saxony-Anhalt,East,No,0.87496,278,330,0.83922,0.91070
1996,Thuringa,East,Yes,0.10740,46,326,0.07374,0.14107
1996,Thuringa,East,No,0.89260,280,326,0.85893,0.92626
2001,Schleswig-Holstein,West,No,0.94548,340,340,0.92131,0.96965
2001,Hamburg,West,No,0.93862,172,172,0.90264,0.97460
2001,Lower Saxony,West,Yes,0.10613,98,961,0.08665,0.12562
2001,Lower Saxony,West,No,0.89387,863,961,0.87438,0.91335
2001,Bremen,West,No,0.87812,89,89,0.80977,0.94647
2001,North Rhine-Westphalia,West,Yes,0.07084,180,2485,0.06075,0.08093
2001,North Rhine-Westphalia,West,No,0.92916,2305,2485,0.91907,0.93925
2001,Hesse,West,Yes,0.03746,43,779,0.02412,0.05081
2001,Hesse,West,No,0.96254,736,779,0.94919,0.97588
2001,"Rhineland-Palatinate, Saarland",West,Yes,0.07232,64,720,0.05338,0.09125
2001,"Rhineland-Palatinate, Saarland",West,No,0.92768,656,720,0.90875,0.94662
2001,Baden-Wuerttemberg,West,Yes,0.05362,76,1362,0.04165,0.06559
2001,Baden-Wuerttemberg,West,No,0.94638,1286,1362,0.93441,0.95835
2001,Bavaria,West,Yes,0.04711,85,1616,0.03678,0.05745
2001,Bavaria,West,No,0.95289,1531,1616,0.94255,0.96322
2001,Berlin,West,No,0.94978,256,256,0.92297,0.97658
2001,Berlin,East,No,0.93692,193,193,0.90253,0.97131
2001,Brandenburg,East,Yes,0.09542,51,500,0.06964,0.12120
2001,Brandenburg,East,No,0.90458,449,500,0.87880,0.93036
2001,Mecklenburg-Western Pomerania,East,No,0.91007,256,256,0.87496,0.94518
2001,Saxony,East,Yes,0.09793,93,849,0.07793,0.11794
2001,Saxony,East,No,0.90207,756,849,0.88206,0.92207
2001,Saxony-Anhalt,East,Yes,0.10082,58,505,0.07453,0.12711
2001,Saxony-Anhalt,East,No,0.89918,447,505,0.87289,0.92547
2001,Thuringa,East,Yes,0.09114,50,494,0.06573,0.11655
2001,Thuringa,East,No,0.90886,444,494,0.88345,0.93427
