year,quintil_oecd_hh,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Owner,Yes,0.08521,31,233,0.04928,0.12114
1996,1st Quintile,Owner,No,0.91479,202,233,0.87886,0.95072
1996,1st Quintile,Tenant,Yes,0.10143,124,1178,0.08418,0.11868
1996,1st Quintile,Tenant,No,0.89857,1054,1178,0.88132,0.91582
1996,2nd Quintile,Owner,Yes,0.10909,54,415,0.07906,0.13912
1996,2nd Quintile,Owner,No,0.89091,361,415,0.86088,0.92094
1996,2nd Quintile,Tenant,Yes,0.10446,122,986,0.08536,0.12356
1996,2nd Quintile,Tenant,No,0.89554,864,986,0.87644,0.91464
1996,3rd Quintile,Owner,Yes,0.11057,71,541,0.08412,0.13702
1996,3rd Quintile,Owner,No,0.88943,470,541,0.86298,0.91588
1996,3rd Quintile,Tenant,Yes,0.10974,107,853,0.08875,0.13073
1996,3rd Quintile,Tenant,No,0.89026,746,853,0.86927,0.91125
1996,4th Quintile,Owner,Yes,0.08955,53,581,0.06631,0.11279
1996,4th Quintile,Owner,No,0.91045,528,581,0.88721,0.93369
1996,4th Quintile,Tenant,Yes,0.08913,70,717,0.06826,0.11000
1996,4th Quintile,Tenant,No,0.91087,647,717,0.89000,0.93174
1996,5th Quintile,Owner,Yes,0.05947,41,624,0.04090,0.07804
1996,5th Quintile,Owner,No,0.94053,583,624,0.92196,0.95910
1996,5th Quintile,Tenant,No,0.96499,472,472,0.94839,0.98159
2001,1st Quintile,Owner,Yes,0.10134,46,394,0.07151,0.13118
2001,1st Quintile,Owner,No,0.89866,348,394,0.86882,0.92849
2001,1st Quintile,Tenant,Yes,0.08333,169,1837,0.07069,0.09598
2001,1st Quintile,Tenant,No,0.91667,1668,1837,0.90402,0.92931
2001,2nd Quintile,Owner,Yes,0.08638,85,912,0.06813,0.10462
2001,2nd Quintile,Owner,No,0.91362,827,912,0.89538,0.93187
2001,2nd Quintile,Tenant,Yes,0.07053,129,1548,0.05777,0.08329
2001,2nd Quintile,Tenant,No,0.92947,1419,1548,0.91671,0.94223
2001,3rd Quintile,Owner,Yes,0.07543,96,1169,0.06029,0.09058
2001,3rd Quintile,Owner,No,0.92457,1073,1169,0.90942,0.93971
