year,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Yes,0.09082,700,6631,0.08390,0.09774
1996,No,0.90918,5931,6631,0.90226,0.91610
2001,Yes,0.06939,901,11680,0.06478,0.07400
2001,No,0.93061,10779,11680,0.92600,0.93522
2006,Yes,0.05122,672,12265,0.04732,0.05512
2006,No,0.94878,11593,12265,0.94488,0.95268
2011,Yes,0.03490,489,12084,0.03162,0.03817
2011,No,0.88854,11595,12084,0.88293,0.89415
2016,Yes,0.02731,446,14302,0.02464,0.02999
2016,No,0.96738,13856,14302,0.96447,0.97030
2021,Yes,0.02018,260,11056,0.01755,0.02280
2021,No,0.96854,10796,11056,0.96528,0.97179
