"ple0012","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","2009","Schleswig-Holstein","Westdeutschland","27","","",""
"Ja","2009","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","2009","Hamburg","Westdeutschland","16","","",""
"Ja","2009","Hamburg","Ostdeutschland","","","",""
"Ja","2009","Niedersachsen","Westdeutschland","123","0.0706579530075039","0.0582293213323556","0.0830865846826523"
"Ja","2009","Niedersachsen","Ostdeutschland","","","",""
"Ja","2009","Bremen","Westdeutschland","6","","",""
"Ja","2009","Bremen","Ostdeutschland","","","",""
"Ja","2009","Nordrhein-Westfalen","Westdeutschland","265","0.0754304101315473","0.066837159298856","0.0840236609642385"
"Ja","2009","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","2009","Hessen","Westdeutschland","81","0.0810919144418616","0.0657553665506139","0.0964284623331093"
"Ja","2009","Hessen","Ostdeutschland","","","",""
"Ja","2009","Rheinland-Pfalz,Saarland","Westdeutschland","67","0.0617360872430413","0.0469949778306425","0.0764771966554401"
"Ja","2009","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","2009","Baden-Wuerttemberg","Westdeutschland","111","0.0568880920999054","0.0469978226928231","0.0667783615069877"
"Ja","2009","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","2009","Bayern","Westdeutschland","147","0.0537017078526556","0.0450516476830718","0.0623517680222393"
"Ja","2009","Bayern","Ostdeutschland","","","",""
"Ja","2009","Saarland","Westdeutschland","","","",""
"Ja","2009","Saarland","Ostdeutschland","","","",""
"Ja","2009","Berlin","Westdeutschland","29","","",""
"Ja","2009","Berlin","Ostdeutschland","29","","",""
"Ja","2009","Brandenburg","Westdeutschland","","","",""
"Ja","2009","Brandenburg","Ostdeutschland","90","0.113393138593541","0.0912688904151652","0.135517386771916"
"Ja","2009","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","2009","Mecklenburg-Vorpommern","Ostdeutschland","33","0.0830358095255019","0.0580893991711109","0.107982219879893"
"Ja","2009","Sachsen","Westdeutschland","","","",""
"Ja","2009","Sachsen","Ostdeutschland","111","0.0821101870703531","0.0675676505634009","0.0966527235773053"
"Ja","2009","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","2009","Sachsen-Anhalt","Ostdeutschland","90","0.115831563322332","0.0932129548159984","0.138450171828666"
"Ja","2009","Thueringen","Westdeutschland","","","",""
"Ja","2009","Thueringen","Ostdeutschland","73","0.0791715675434136","0.0607247201239278","0.0976184149628994"
"Nein","2009","Schleswig-Holstein","Westdeutschland","483","0.959942461402317","0.942923708448182","0.976961214356453"
"Nein","2009","Schleswig-Holstein","Ostdeutschland","","","",""
"Nein","2009","Hamburg","Westdeutschland","251","0.924870809629997","0.893252594431489","0.956489024828505"
"Nein","2009","Hamburg","Ostdeutschland","","","",""
"Nein","2009","Niedersachsen","Westdeutschland","1510","0.929342046992496","0.916913415317348","0.941770678667644"
"Nein","2009","Niedersachsen","Ostdeutschland","","","",""
"Nein","2009","Bremen","Westdeutschland","114","0.924269486050427","0.876933412856045","0.97160555924481"
"Nein","2009","Bremen","Ostdeutschland","","","",""
"Nein","2009","Nordrhein-Westfalen","Westdeutschland","3363","0.924569589868453","0.915976339035761","0.933162840701144"
"Nein","2009","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Nein","2009","Hessen","Westdeutschland","1136","0.918908085558138","0.903571537666891","0.934244633449386"
"Nein","2009","Hessen","Ostdeutschland","","","",""
"Nein","2009","Rheinland-Pfalz,Saarland","Westdeutschland","957","0.938263912756959","0.92352280334456","0.953005022169358"
"Nein","2009","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Nein","2009","Baden-Wuerttemberg","Westdeutschland","1996","0.943111907900095","0.933221638493012","0.953002177307177"
"Nein","2009","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nein","2009","Bayern","Westdeutschland","2462","0.946298292147344","0.937648231977761","0.954948352316928"
"Nein","2009","Bayern","Ostdeutschland","","","",""
"Nein","2009","Saarland","Westdeutschland","","","",""
"Nein","2009","Saarland","Ostdeutschland","","","",""
"Nein","2009","Berlin","Westdeutschland","333","0.890260181334369","0.858061773318359","0.92245858935038"
"Nein","2009","Berlin","Ostdeutschland","292","0.916910334365503","0.886715509548277","0.947105159182729"
"Nein","2009","Brandenburg","Westdeutschland","","","",""
"Nein","2009","Brandenburg","Ostdeutschland","699","0.886606861406459","0.864482613228084","0.908731109584835"
"Nein","2009","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nein","2009","Mecklenburg-Vorpommern","Ostdeutschland","437","0.916964190474498","0.892017780120107","0.941910600828889"
"Nein","2009","Sachsen","Westdeutschland","","","",""
"Nein","2009","Sachsen","Ostdeutschland","1258","0.917889812929647","0.903347276422695","0.932432349436599"
