"year","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1986","Laendlicher Raum","20.55","14.5","387","18.63","22.47"
"1986","Staedtischer Raum","18.61","13.5","1463","17.74","19.48"
"1987","Laendlicher Raum","","","","",""
"1987","Staedtischer Raum","","","","",""
"1988","Laendlicher Raum","20.8","11.5","369","18.75","22.85"
"1988","Staedtischer Raum","18.62","12.5","1464","17.77","19.47"
"1989","Laendlicher Raum","20.44","13.5","385","18.42","22.46"
"1989","Staedtischer Raum","19.52","14.5","1526","18.66","20.38"
"1990","Laendlicher Raum","19.51","14.5","1062","18.54","20.48"
"1990","Staedtischer Raum","18.75","13.5","1948","18.02","19.48"
"1991","Laendlicher Raum","20.23","14.5","932","19.03","21.43"
"1991","Staedtischer Raum","20","14.5","1946","19.21","20.79"
"1992","Laendlicher Raum","19.08","11.5","996","17.94","20.22"
"1992","Staedtischer Raum","19.37","14.5","1955","18.6","20.14"
"1993","Laendlicher Raum","18.08","11.5","989","16.98","19.18"
"1993","Staedtischer Raum","19.31","13.5","1837","18.45","20.17"
"1994","Laendlicher Raum","18.43","11.5","1016","17.31","19.55"
"1994","Staedtischer Raum","19.18","12.5","1874","18.38","19.98"
"1995","Laendlicher Raum","18.82","11.5","1078","17.69","19.95"
"1995","Staedtischer Raum","19.71","14.5","2107","18.98","20.44"
"1996","Laendlicher Raum","18.47","11.5","1063","17.41","19.53"
"1996","Staedtischer Raum","18.71","14.5","2054","18.01","19.41"
"1997","Laendlicher Raum","19.81","14.5","1085","18.72","20.9"
"1997","Staedtischer Raum","18.74","13.5","2042","18.03","19.45"
"1998","Laendlicher Raum","19.19","14.5","1219","18.22","20.16"
"1998","Staedtischer Raum","19.83","14.5","2282","19.13","20.53"
"1999","Laendlicher Raum","19.15","14.5","1215","18.17","20.13"
"1999","Staedtischer Raum","19.46","14.5","2278","18.78","20.14"
"2000","Laendlicher Raum","18.44","13.5","1941","17.68","19.2"
"2000","Staedtischer Raum","19.55","14.5","3677","18.99","20.11"
"2001","Laendlicher Raum","17.49","11.5","1801","16.79","18.19"
"2001","Staedtischer Raum","19.34","14.5","3490","18.77","19.91"
"2002","Laendlicher Raum","18.85","11.5","1779","18.02","19.68"
"2002","Staedtischer Raum","18.99","14.5","3720","18.42","19.56"
"2003","Laendlicher Raum","17.57","11.5","1705","16.79","18.35"
"2003","Staedtischer Raum","18.16","11.5","3512","17.6","18.72"
"2004","Laendlicher Raum","17.49","12.5","1682","16.7","18.28"
"2004","Staedtischer Raum","18.34","12.5","3394","17.76","18.92"
"2005","Laendlicher Raum","17.38","10.5","1511","16.51","18.25"
"2005","Staedtischer Raum","18.91","11.5","3226","18.31","19.51"
"2006","Laendlicher Raum","18.53","11.5","1736","17.72","19.34"
"2006","Staedtischer Raum","18.86","13.5","3638","18.3","19.42"
"2007","Laendlicher Raum","18.96","11.5","1691","18.11","19.81"
"2007","Staedtischer Raum","19.54","14.5","3403","18.95","20.13"
"2008","Laendlicher Raum","18.14","11.5","1634","17.29","18.99"
"2008","Staedtischer Raum","18.72","13.5","3274","18.15","19.29"
"2009","Laendlicher Raum","18.26","11.5","1451","17.36","19.16"
"2009","Staedtischer Raum","18.89","14.5","2795","18.26","19.52"
"2010","Laendlicher Raum","17.82","11.5","1968","17.07","18.57"
"2010","Staedtischer Raum","18.72","11.5","3757","18.17","19.27"
"2011","Laendlicher Raum","18.67","14.5","2616","18.04","19.3"
"2011","Staedtischer Raum","18.76","14.5","4831","18.28","19.24"
"2012","Laendlicher Raum","17.05","11.5","2651","16.42","17.68"
"2012","Staedtischer Raum","17.7","11.5","4728","17.23","18.17"
"2013","Laendlicher Raum","15.9","9.5","2683","15.32","16.48"
"2013","Staedtischer Raum","16.74","11.5","5254","16.31","17.17"
"2014","Laendlicher Raum","15.88","9.5","2465","15.28","16.48"
"2014","Staedtischer Raum","16.44","10.5","4687","16","16.88"
"2015","Laendlicher Raum","16.36","9.5","2528","15.77","16.95"
"2015","Staedtischer Raum","16.45","11.5","4642","16.01","16.89"
"2016","Laendlicher Raum","15.18","9.5","2379","14.58","15.78"
"2016","Staedtischer Raum","15.74","9.5","4401","15.3","16.18"
"2017","Laendlicher Raum","15.78","9.5","2568","15.22","16.34"
"2017","Staedtischer Raum","16.2","9.5","4698","15.78","16.62"
"2018","Laendlicher Raum","15.49","9.5","2542","14.92","16.06"
"2018","Staedtischer Raum","15.79","9.5","4795","15.37","16.21"
"2019","Laendlicher Raum","15.23","9.5","2378","14.63","15.83"
"2019","Staedtischer Raum","15.61","9.5","4320","15.15","16.07"
"2020","Laendlicher Raum","13.85","9.5","2172","13.28","14.42"
"2020","Staedtischer Raum","14.42","9.5","4215","13.98","14.86"
