"year","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","17.99","11.5","775","4","8","20","40","80","16.85","19.13","0","99","12","15"
"1995","2","16.94","11.5","937","4","6","20","40","90","15.85","18.03","1","99","10","12"
"1995","3","20.26","14.5","690","4","8","28","40","86","18.93","21.59","0","99","12","15"
"1995","4","20.97","14.5","545","4","8","30","45","90","19.36","22.58","1","99","15","18"
"1995","5 Einkommensstärkstes Quintil","23.86","19.5","238","6","10","30","50","84","21.32","26.4","1","99","15","20"
"1996","1 Einkommensschwächstes Quintil","16.47","11.5","665","3","7","20","37","80","15.27","17.67","1","99","11","13"
"1996","2","17.93","11.5","883","4","8","20","40","80","16.86","19","1","99","12","15"
"1996","3","17.07","11.5","728","4","7","20","40","80","15.92","18.22","1","99","10","12"
"1996","4","19.33","14.5","560","4","8","25","40","87","17.9","20.76","1","99","12","15"
"1996","5 Einkommensstärkstes Quintil","25.31","19","281","6","10","40","50","85","22.96","27.66","1","99","16","20"
"1997","1 Einkommensschwächstes Quintil","16.72","11.5","619","4","8","20","38","70","15.6","17.84","1","99","10","13"
"1997","2","18.09","14.5","872","4","8","20","40","80","16.98","19.2","1","99","12","15"
"1997","3","18.45","11.5","769","4","8","25","40","90","17.28","19.62","1","99","11","14"
"1997","4","19.74","14.5","566","4","8","23","42","80","18.29","21.19","1","99","12","15"
"1997","5 Einkommensstärkstes Quintil","24.39","19.5","301","6","10","35","50","90","21.93","26.85","1","99","15","20"
"1998","1 Einkommensschwächstes Quintil","18.46","14.5","686","4","8","24","40","80","17.22","19.7","1","99","12","16"
"1998","2","17.73","14.5","965","4","8","20","40","80","16.74","18.72","1","98","12","15"
"1998","3","19.62","14.5","786","5","8","25","40","90","18.44","20.8","1","99","12","15"
"1998","4","20.06","14.5","665","5","8","25","40","85","18.66","21.46","1","99","13","15"
