"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1986","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1986","Westdeutschland","maennlich","20.69","14.5","1342","5","8","25","45","88","19.74","21.64","0","99","15","16"
"1986","Westdeutschland","weiblich","15.27","9.5","508","3","5","20","30","80","13.88","16.66","0","99","10","11"
"1987","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1987","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1987","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"1987","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"1988","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1988","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1988","Westdeutschland","maennlich","21.04","14.5","1273","5","8","25","46","90","20.02","22.06","1","99","14","16"
"1988","Westdeutschland","weiblich","14.98","9.5","560","3","5","20","32","62","13.86","16.1","1","99","10","11"
"1989","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1989","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1989","Westdeutschland","maennlich","22.24","17.5","1301","5","10","30","45","95","21.26","23.22","1","99","15","19"
"1989","Westdeutschland","weiblich","14.53","9.5","610","2","5","20","30","82","13.23","15.83","0","99","10","10"
"1990","Ostdeutschland","maennlich","22.47","17.5","616","5","10","30","48","80","21.1","23.84","1","99","16","20"
"1990","Ostdeutschland","weiblich","15.32","11.5","464","4","7","20","30","60","14.19","16.45","0","95","10","12"
"1990","Westdeutschland","maennlich","21.08","15.5","1356","5","10","25","45","80","20.14","22.02","0","99","15","16"
"1990","Westdeutschland","weiblich","14.2","9.5","601","3","5","20","30","80","13.12","15.28","0","99","10","10"
"1991","Ostdeutschland","maennlich","24.92","19.5","479","5","10","30","52","99","23.02","26.82","0","99","16","20"
