"year","age_gr","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","17-29","1 Einkommensschwächstes Quintil","15.68","9.5","238","4","6","20","32","70","13.74","17.62","0","99","10","12"
"1995","17-29","2","16.19","9.5","251","2","5","20","40","80","14.1","18.28","1","99","10","12"
"1995","17-29","3","15.96","9.5","183","3","5","20","40","90","13.62","18.3","1","99","10","12"
"1995","17-29","4","19.71","11.5","154","4","8","25","45","80","16.68","22.74","1","99","10","18"
"1995","17-29","5 Einkommensstärkstes Quintil","17.51","10.5","38","5","8","22","45","55","12.61","22.41","3","60","8","20"
"1995","30-45","1 Einkommensschwächstes Quintil","18.36","14.5","398","4","8","20","40","80","16.7","20.02","1","99","12","15"
"1995","30-45","2","16.24","9.5","467","4","6","20","35","90","14.67","17.81","1","99","10","12"
"1995","30-45","3","20.87","15.5","326","5","8","30","40","80","18.92","22.82","0","99","12","17"
"1995","30-45","4","22.61","17.5","226","5","9","30","50","80","20.1","25.12","1","99","15","20"
"1995","30-45","5 Einkommensstärkstes Quintil","24.46","19","114","8","11","35","50","84","20.71","28.21","1","99","15","20"
"1995","46-65","1 Einkommensschwächstes Quintil","20.42","11.5","139","4","8","30","40","99","17.84","23","0","99","12","20"
"1995","46-65","2","18.96","13","219","5","8","24","40","90","16.72","21.2","2","99","12","16"
"1995","46-65","3","22.47","14.5","181","4","10","30","50","90","19.7","25.24","1","99","13","20"
"1995","46-65","4","19.85","15.5","165","4","6","28","40","99","16.89","22.81","1","99","12","20"
"1995","46-65","5 Einkommensstärkstes Quintil","24.76","19.5","86","6","10","30","60","80","20.25","29.27","1","99","15","22"
"1995","66","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1995","66","2","","","","","","","","","","","","","",""
"1995","66","3","","","","","","","","","","","","","",""
"1995","66","4","","","","","","","","","","","","","",""
"1995","66","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1996","17-29","1 Einkommensschwächstes Quintil","13.32","9.5","205","2","5","16","30","60","11.64","15","1","80","10","10"
"1996","17-29","2","14.33","9.5","216","4","6","20","30","80","12.45","16.21","1","99","10","12"
"1996","17-29","3","14.42","9.5","189","3","5","20","34","55","12.57","16.27","1","70","10","10"
"1996","17-29","4","17.95","12.5","134","4","6","20","40","99","15.21","20.69","1","99","10","15"
"1996","17-29","5 Einkommensstärkstes Quintil","17.05","14.5","44","4","9","20","38","42","13.46","20.64","2","42","12","20"
"1996","30-45","1 Einkommensschwächstes Quintil","17.43","11.5","337","4","10","20","40","80","15.77","19.09","1","99","12","15"
"1996","30-45","2","19.01","11.5","462","4","8","25","40","80","17.54","20.48","1","99","12","15"
"1996","30-45","3","19.22","14.5","343","4","8","25","40","80","17.37","21.07","1","99","12","15"
"1996","30-45","4","19.27","14.5","267","4","8","25","40","99","17.14","21.4","1","99","12","18"
