"year","age_gr","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","17-29","Ländlicher Raum","16.18","9.5","124","3","5","18","48","90","13.29","19.07","1","90","8","12"
"1986","17-29","Städtischer Raum","16.49","11.5","437","3","7","20","35","90","15.05","17.93","0","99","11","15"
"1986","30-45","Ländlicher Raum","23.98","19","156","4","10","30","60","88","20.7","27.26","1","90","15","20"
"1986","30-45","Städtischer Raum","19.7","14.5","603","5","8","25","40","80","18.29","21.11","0","99","14","16"
"1986","46-65","Ländlicher Raum","21.13","14.5","107","4","8","30","40","80","17.45","24.81","1","99","12","20"
"1986","46-65","Städtischer Raum","19.3","13.5","423","4","8","20","45","90","17.63","20.97","1","99","12","16"
"1986","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1986","66","Städtischer Raum","","","","","","","","","","","","","",""
"1987","17-29","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","17-29","Städtischer Raum","","","","","","","","","","","","","",""
"1987","30-45","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","30-45","Städtischer Raum","","","","","","","","","","","","","",""
"1987","46-65","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","46-65","Städtischer Raum","","","","","","","","","","","","","",""
"1987","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1987","66","Städtischer Raum","","","","","","","","","","","","","",""
"1988","17-29","Ländlicher Raum","16.96","9.5","133","3","6","20","40","99","13.68","20.24","1","99","10","12"
"1988","17-29","Städtischer Raum","15.7","9.5","441","3","7","20","32","99","14.28","17.12","1","99","10","12"
"1988","30-45","Ländlicher Raum","22.89","15.5","147","4","10","30","52","99","19.55","26.23","2","99","11","20"
"1988","30-45","Städtischer Raum","20.32","15.5","580","5","8","25","40","80","18.92","21.72","1","99","14","16"
"1988","46-65","Ländlicher Raum","22.66","13.5","88","5","10","25","50","80","18.39","26.93","2","80","10","20"
"1988","46-65","Städtischer Raum","18.89","12.5","441","4","8","24","40","80","17.32","20.46","1","99","12","16"
"1988","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1988","66","Städtischer Raum","","","","","","","","","","","","","",""
"1989","17-29","Ländlicher Raum","17.04","9.5","141","3","5","20","38","99","14.08","20","1","99","10","15"
"1989","17-29","Städtischer Raum","16.94","9.5","474","3","6","20","38","99","15.41","18.47","1","99","10","12"
"1989","30-45","Ländlicher Raum","21.1","14.5","139","4","8","30","48","99","17.43","24.77","1","99","10","20"
"1989","30-45","Städtischer Raum","21.32","16.5","627","5","9","30","45","90","19.94","22.7","0","99","15","20"
"1989","46-65","Ländlicher Raum","23.53","15.5","105","5","10","30","45","90","19.58","27.48","1","99","11","20"
"1989","46-65","Städtischer Raum","19.39","14.5","424","5","8","24","40","75","17.85","20.93","0","90","12","16"
"1989","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1989","66","Städtischer Raum","","","","","","","","","","","","","",""
"1990","17-29","Ländlicher Raum","17.88","9.5","302","4","6","24","40","80","15.92","19.84","0","99","10","15"
"1990","17-29","Städtischer Raum","17.18","10.5","547","4","6","20","40","99","15.84","18.52","0","99","10","12"
"1990","30-45","Ländlicher Raum","18.92","14.5","463","5","8","22","40","80","17.52","20.32","1","92","14","16"
"1990","30-45","Städtischer Raum","20.31","14.5","823","4","8","25","41","85","19.09","21.53","0","99","14","16"
"1990","46-65","Ländlicher Raum","21.7","16.5","294","5","10","30","46","81","19.85","23.55","1","90","15","20"
"1990","46-65","Städtischer Raum","18.06","13.5","578","5","8","22","40","70","16.86","19.26","0","80","12","16"
"1990","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1990","66","Städtischer Raum","","","","","","","","","","","","","",""
"1991","17-29","Ländlicher Raum","16.78","9.5","281","3","6","20","32","99","14.8","18.76","1","99","10","12"
"1991","17-29","Städtischer Raum","16.72","9.5","557","4","6","20","40","99","15.39","18.05","1","99","10","12"
"1991","30-45","Ländlicher Raum","20.35","14.5","426","5","10","26","45","80","18.58","22.12","0","99","12","16"
"1991","30-45","Städtischer Raum","22.38","15.5","851","5","10","30","48","99","21.1","23.66","0","99","15","17"
"1991","46-65","Ländlicher Raum","23.74","15.5","225","5","10","32","55","99","21.05","26.43","0","99","15","20"
"1991","46-65","Städtischer Raum","19.47","14.5","537","5","10","24","40","80","17.98","20.96","0","99","12","16"
"1991","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1991","66","Städtischer Raum","","","","","","","","","","","","","",""
"1992","17-29","Ländlicher Raum","16.08","9.5","292","3","6","20","40","95","14.2","17.96","0","99","10","12"
"1992","17-29","Städtischer Raum","17.97","11.5","589","4","7","20","40","99","16.63","19.31","0","99","10","12"
"1992","30-45","Ländlicher Raum","18.87","12.5","478","4","8","25","40","90","17.26","20.48","0","99","12","15"
"1992","30-45","Städtischer Raum","19.46","14.5","842","4","8","25","40","80","18.27","20.65","0","99","12","16"
"1992","46-65","Ländlicher Raum","22.85","14.5","226","5","9","32","53","99","20.08","25.62","0","99","12","19"
"1992","46-65","Städtischer Raum","20.59","14.5","524","5","10","25","40","99","19.08","22.1","0","99","14","16"
"1992","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1992","66","Städtischer Raum","","","","","","","","","","","","","",""
"1993","17-29","Ländlicher Raum","16.01","9.5","299","2","5","20","40","90","14","18.02","0","99","10","10"
"1993","17-29","Städtischer Raum","16.44","9.5","528","3","6","20","35","95","15.1","17.78","1","99","10","12"
"1993","30-45","Ländlicher Raum","17.8","13.5","464","4","8","20","35","80","16.25","19.35","0","99","12","15"
"1993","30-45","Städtischer Raum","20.48","14.5","807","4","8","25","41","90","19.1","21.86","0","99","12","15"
"1993","46-65","Ländlicher Raum","20.82","14.5","226","5","10","30","40","99","18.41","23.23","0","99","12","20"
"1993","46-65","Städtischer Raum","20.1","14.5","502","5","8","25","40","99","18.43","21.77","1","99","13","16"
"1993","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1993","66","Städtischer Raum","","","","","","","","","","","","","",""
"1994","17-29","Ländlicher Raum","15.97","9.5","291","3","5","20","32","99","13.99","17.95","0","99","10","11"
"1994","17-29","Städtischer Raum","16.66","9.5","529","4","6","20","37","99","15.26","18.06","1","99","10","10"
"1994","30-45","Ländlicher Raum","19.06","12.5","472","4","8","24","40","94","17.4","20.72","0","99","12","15"
"1994","30-45","Städtischer Raum","20.37","14.5","850","4","8","28","40","98","19.13","21.61","0","99","14","16"
"1994","46-65","Ländlicher Raum","19.74","14.5","253","5","8","25","40","88","17.38","22.1","1","99","12","16"
"1994","46-65","Städtischer Raum","19.42","14.5","495","4","8","25","40","90","17.89","20.95","0","99","12","16"
"1994","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1994","66","Städtischer Raum","","","","","","","","","","","","","",""
"1995","17-29","Ländlicher Raum","17.96","9.5","302","3","5","20","40","88","15.79","20.13","0","99","10","12"
"1995","17-29","Städtischer Raum","16.36","9.5","562","4","6","20","39","75","15.12","17.6","1","99","10","12"
"1995","30-45","Ländlicher Raum","17.62","10.5","523","4","6","20","40","90","16.03","19.21","0","99","10","15"
"1995","30-45","Städtischer Raum","20.58","15.5","1008","4","9","25","45","80","19.49","21.67","1","99","14","16"
"1995","46-65","Ländlicher Raum","21.69","14.5","253","5","8","30","45","99","19.34","24.04","0","99","14","20"
"1995","46-65","Städtischer Raum","20.86","14.5","537","4","9","30","44","90","19.36","22.36","1","99","14","16"
"1995","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1995","66","Städtischer Raum","","","","","","","","","","","","","",""
"1996","17-29","Ländlicher Raum","16.14","9.5","272","3","5","20","40","80","14.13","18.15","1","99","10","12"
"1996","17-29","Städtischer Raum","14.17","9.5","516","3","6","20","30","60","13.18","15.16","1","70","10","11"
"1996","30-45","Ländlicher Raum","19.14","11.5","520","4","8","25","43","80","17.63","20.65","1","99","12","15"
"1996","30-45","Städtischer Raum","19.81","14.5","1018","5","9","25","40","80","18.78","20.84","1","99","14","15"
"1996","46-65","Ländlicher Raum","19.31","14.5","271","4","8","20","40","87","17.09","21.53","1","99","12","16"
"1996","46-65","Städtischer Raum","20.12","14.5","518","5","8","25","40","80","18.55","21.69","1","99","12","16"
"1996","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1996","66","Städtischer Raum","","","","","","","","","","","","","",""
"1997","17-29","Ländlicher Raum","17.75","9.5","282","4","6","20","40","90","15.79","19.71","1","99","10","13"
"1997","17-29","Städtischer Raum","15.72","9.5","471","3","6","20","35","80","14.45","16.99","1","95","10","12"
"1997","30-45","Ländlicher Raum","20.93","14.5","496","4","8","27","48","90","19.27","22.59","1","99","13","16"
"1997","30-45","Städtischer Raum","19.72","14.5","1039","5","8","25","40","80","18.7","20.74","1","99","12","15"
"1997","46-65","Ländlicher Raum","19.9","13.5","306","4","8","25","48","80","17.8","22","1","99","12","17"
"1997","46-65","Städtischer Raum","19.08","13.5","531","5","9","24","40","80","17.62","20.54","2","99","12","15"
"1997","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1997","66","Städtischer Raum","","","","","","","","","","","","","",""
"1998","17-29","Ländlicher Raum","16.32","11.5","289","4","7","20","33","80","14.51","18.13","1","99","10","14"
"1998","17-29","Städtischer Raum","16.51","11.5","519","4","8","20","32","80","15.28","17.74","1","99","10","14"
"1998","30-45","Ländlicher Raum","19.94","14.5","596","5","8","25","40","85","18.52","21.36","1","99","12","15"
"1998","30-45","Städtischer Raum","20.69","14.5","1160","5","10","25","40","80","19.68","21.7","1","99","15","16"
"1998","46-65","Ländlicher Raum","19.97","14.5","333","4","8","25","40","99","18.09","21.85","1","99","12","16"
"1998","46-65","Städtischer Raum","20.61","14.5","602","5","9","28","40","98","19.19","22.03","1","99","14","16"
"1998","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1998","66","Städtischer Raum","","","","","","","","","","","","","",""
"1999","17-29","Ländlicher Raum","15.78","9.5","288","3","6","20","35","90","13.97","17.59","1","99","10","13"
"1999","17-29","Städtischer Raum","15.75","11.5","507","5","8","20","30","60","14.64","16.86","1","90","10","14"
"1999","30-45","Ländlicher Raum","20.84","14.5","607","5","10","30","45","80","19.43","22.25","1","99","14","16"
"1999","30-45","Städtischer Raum","20.69","14.5","1179","5","10","25","42","80","19.7","21.68","1","99","15","15"
"1999","46-65","Ländlicher Raum","18.7","14.5","320","4","8","22","40","80","16.7","20.7","2","99","15","18"
"1999","46-65","Städtischer Raum","19.88","14.5","588","4","8","25","40","80","18.43","21.33","1","99","12","16"
"1999","66","Ländlicher Raum","","","","","","","","","","","","","",""
"1999","66","Städtischer Raum","","","","","","","","","","","","","",""
"2000","17-29","Ländlicher Raum","16.78","12.5","404","4","7","20","36","96","15.27","18.29","1","99","10","15"
"2000","17-29","Städtischer Raum","16.84","9.5","687","4","7","20","39","80","15.7","17.98","1","99","10","12"
"2000","30-45","Ländlicher Raum","18.87","14.5","1004","5","8","24","40","90","17.8","19.94","1","99","12","15"
"2000","30-45","Städtischer Raum","20.32","14.5","1927","5","10","25","40","99","19.51","21.13","1","99","15","15"
"2000","46-65","Ländlicher Raum","18.86","14.5","532","5","8","20","40","90","17.36","20.36","1","99","12","16"
"2000","46-65","Städtischer Raum","19.9","14.5","1058","5","8","25","40","90","18.87","20.93","1","99","14","15"
"2000","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2000","66","Städtischer Raum","","","","","","","","","","","","","",""
"2001","17-29","Ländlicher Raum","15.77","9.5","361","4","7","19","32","80","14.18","17.36","1","99","10","12"
"2001","17-29","Städtischer Raum","17.74","11.5","623","4","8","20","40","80","16.51","18.97","1","99","10","13"
"2001","30-45","Ländlicher Raum","18.03","14.5","913","4","8","20","40","80","17.03","19.03","1","99","12","15"
"2001","30-45","Städtischer Raum","19.79","14.5","1820","5","8","25","40","80","18.98","20.6","1","99","15","15"
"2001","46-65","Ländlicher Raum","17.74","12.5","525","5","8","20","40","80","16.48","19","1","99","12","15"
"2001","46-65","Städtischer Raum","19.43","14.5","1044","5","9","25","40","80","18.39","20.47","1","99","15","16"
"2001","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2001","66","Städtischer Raum","","","","","","","","","","","","","",""
"2002","17-29","Ländlicher Raum","16.96","9.5","347","3","6","20","40","92","15.15","18.77","1","99","10","10"
"2002","17-29","Städtischer Raum","16.86","9.5","588","3","6","20","40","99","15.64","18.08","1","99","10","10"
"2002","30-45","Ländlicher Raum","19.77","14.5","835","5","8","24","40","99","18.52","21.02","1","99","12","15"
"2002","30-45","Städtischer Raum","19.62","14.5","1866","5","8","25","40","90","18.79","20.45","1","99","15","15"
"2002","46-65","Ländlicher Raum","18.7","14.5","595","5","8","20","40","99","17.27","20.13","1","99","12","15"
"2002","46-65","Städtischer Raum","19.1","14.5","1262","5","8","25","40","80","18.11","20.09","1","99","15","16"
"2002","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2002","66","Städtischer Raum","","","","","","","","","","","","","",""
"2003","17-29","Ländlicher Raum","15.34","9.5","319","3","5","20","35","90","13.71","16.97","1","90","10","12"
"2003","17-29","Städtischer Raum","14.74","9.5","585","4","6","20","30","70","13.74","15.74","1","85","10","11"
"2003","30-45","Ländlicher Raum","19.3","14.5","811","4","8","24","40","84","18.06","20.54","1","99","12","15"
"2003","30-45","Städtischer Raum","18.64","14.5","1694","4","8","22","40","88","17.82","19.46","1","99","13","15"
"2003","46-65","Ländlicher Raum","16.43","11.5","575","4","8","20","37","60","15.2","17.66","1","90","12","15"
"2003","46-65","Städtischer Raum","19.28","14.5","1230","4","8","23","40","95","18.26","20.3","1","99","12","15"
"2003","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2003","66","Städtischer Raum","","","","","","","","","","","","","",""
"2004","17-29","Ländlicher Raum","14.52","9.5","305","2","5","20","32","70","12.93","16.11","1","90","10","11"
"2004","17-29","Städtischer Raum","15.44","9.5","556","4","5","20","30","84","14.08","16.8","1","99","10","12"
"2004","30-45","Ländlicher Raum","18.4","14.5","757","4","8","20","40","90","17.16","19.64","1","99","12","15"
"2004","30-45","Städtischer Raum","19.15","14.5","1585","5","8","22","40","99","18.31","19.99","1","99","14","15"
"2004","46-65","Ländlicher Raum","17.92","14.5","619","5","8","20","40","80","16.61","19.23","1","99","12","15"
"2004","46-65","Städtischer Raum","18.67","13.5","1247","4","8","20","40","90","17.69","19.65","1","99","13","15"
"2004","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2004","66","Städtischer Raum","","","","","","","","","","","","","",""
"2005","17-29","Ländlicher Raum","15.51","9.5","259","3","6","20","30","80","13.62","17.4","1","99","10","12"
"2005","17-29","Städtischer Raum","15.84","9.5","544","3","5","20","40","80","14.58","17.1","1","99","10","10"
"2005","30-45","Ländlicher Raum","18.8","11.5","676","4","8","20","40","95","17.43","20.17","1","99","10","13"
"2005","30-45","Städtischer Raum","18.93","12.5","1500","5","8","24","40","90","18.06","19.8","1","99","12","15"
"2005","46-65","Ländlicher Raum","16.37","9.5","573","4","8","20","35","80","15","17.74","1","99","10","12"
"2005","46-65","Städtischer Raum","20.6","14.5","1177","5","8","28","40","99","19.56","21.64","1","99","14","15"
"2005","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2005","66","Städtischer Raum","","","","","","","","","","","","","",""
"2006","17-29","Ländlicher Raum","17.04","11.5","302","4","6","20","32","96","15.13","18.95","1","99","10","15"
"2006","17-29","Städtischer Raum","16.52","11.5","589","4","6","20","32","80","15.3","17.74","1","99","10","12"
"2006","30-45","Ländlicher Raum","19.51","13.5","773","5","8","25","40","95","18.26","20.76","1","99","12","15"
"2006","30-45","Städtischer Raum","19.53","14.5","1662","4","8","25","40","90","18.69","20.37","1","99","14","15"
"2006","46-65","Ländlicher Raum","18.1","12.5","657","5","8","20","40","80","16.81","19.39","1","99","12","15"
"2006","46-65","Städtischer Raum","19.1","14.5","1379","5","8","25","40","80","18.17","20.03","1","99","14","15"
"2006","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2006","66","Städtischer Raum","","","","","","","","","","","","","",""
"2007","17-29","Ländlicher Raum","18.61","9.5","268","2","5","20","40","99","16.26","20.96","1","99","10","12"
"2007","17-29","Städtischer Raum","18.62","11.5","548","4","7","20","40","87","17.14","20.1","1","99","10","13"
"2007","30-45","Ländlicher Raum","19.26","13.5","744","5","8","25","40","90","18.04","20.48","1","99","10","15"
"2007","30-45","Städtischer Raum","19.68","14.5","1561","4","8","25","40","90","18.82","20.54","1","99","15","15"
"2007","46-65","Ländlicher Raum","18.99","11.5","672","4","8","22","40","95","17.6","20.38","1","99","11","15"
"2007","46-65","Städtischer Raum","19.9","14.5","1286","4","8","25","45","85","18.92","20.88","1","99","14","15"
"2007","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","66","Städtischer Raum","","","","","","","","","","","","","",""
"2008","17-29","Ländlicher Raum","17.12","9.5","267","4","6","20","40","80","14.99","19.25","1","99","10","14"
"2008","17-29","Städtischer Raum","16.26","9.5","538","4","6","20","37","80","14.91","17.61","1","99","10","13"
"2008","30-45","Ländlicher Raum","19.42","14.5","690","5","8","24","40","99","18.09","20.75","1","99","12","15"
"2008","30-45","Städtischer Raum","19.64","14.5","1438","4","8","24","40","90","18.79","20.49","1","99","15","15"
"2008","46-65","Ländlicher Raum","17.24","11.5","672","5","8","20","35","85","15.94","18.54","1","99","12","15"
"2008","46-65","Städtischer Raum","18.75","12.5","1293","5","8","20","40","80","17.81","19.69","1","99","12","15"
"2008","66","Ländlicher Raum","","","","","","","","","","","","","",""
"2008","66","Städtischer Raum","","","","","","","","","","","","","",""
"2009","17-29","Ländlicher Raum","17.4","9.5","217","5","8","20","45","60","15.49","19.31","1","90","10","10"
