"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","19.04","13.5","1850","18.24","19.84"
"1987","","","","",""
"1988","19.07","12.5","1833","18.27","19.87"
"1989","19.71","14.5","1911","18.91","20.51"
"1990","18.96","14.5","3037","18.38","19.54"
"1991","20.07","14.5","2901","19.41","20.73"
"1992","19.29","13.5","2981","18.65","19.93"
"1993","18.94","13.5","2826","18.26","19.62"
"1994","18.96","11.5","2890","18.31","19.61"
"1995","19.46","14.5","3185","18.85","20.07"
"1996","18.64","12.5","3117","18.05","19.23"
"1997","19.05","13.5","3127","18.45","19.65"
"1998","19.64","14.5","3501","19.08","20.2"
"1999","19.36","14.5","3493","18.8","19.92"
"2000","19.21","14.5","5618","18.76","19.66"
"2001","18.77","14.5","5291","18.33","19.21"
"2002","18.95","13.5","5499","18.48","19.42"
"2003","17.98","11.5","5217","17.52","18.44"
"2004","18.08","12.5","5076","17.61","18.55"
"2005","18.46","11.5","4737","17.97","18.95"
"2006","18.76","13.5","5374","18.3","19.22"
"2007","19.37","13.5","5094","18.88","19.86"
"2008","18.55","12.5","4908","18.08","19.02"
"2009","18.69","13.5","4246","18.17","19.21"
"2010","18.45","11.5","5725","18","18.9"
"2011","18.73","14.5","7447","18.35","19.11"
"2012","17.5","11.5","7379","17.12","17.88"
"2013","16.48","10.5","7937","16.14","16.82"
"2014","16.27","9.5","7152","15.92","16.62"
"2015","16.42","11.5","7170","16.07","16.77"
"2016","15.56","9.5","6780","15.2","15.92"
"2017","16.07","9.5","7266","15.73","16.41"
"2018","15.7","9.5","7337","15.36","16.04"
"2019","15.52","9.5","6856","15.16","15.88"
"2020","14.24","9.5","6387","13.89","14.59"
