"year","age_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1986","17-34","Ostdeutschland","","","","",""
"1986","17-34","Westdeutschland","17.12","11.5","815","16.04","18.2"
"1986","35-65","Ostdeutschland","","","","",""
"1986","35-65","Westdeutschland","20.56","14.5","1035","19.43","21.69"
"1986","66 +","Ostdeutschland","","","","",""
"1986","66 +","Westdeutschland","","","","",""
"1987","17-34","Ostdeutschland","","","","",""
"1987","17-34","Westdeutschland","","","","",""
"1987","35-65","Ostdeutschland","","","","",""
"1987","35-65","Westdeutschland","","","","",""
"1987","66 +","Ostdeutschland","","","","",""
"1987","66 +","Westdeutschland","","","","",""
"1988","17-34","Ostdeutschland","","","","",""
"1988","17-34","Westdeutschland","17.3","10.5","831","16.17","18.43"
"1988","35-65","Ostdeutschland","","","","",""
"1988","35-65","Westdeutschland","20.34","14.5","999","19.23","21.45"
"1988","66 +","Ostdeutschland","","","","",""
"1988","66 +","Westdeutschland","","","","",""
"1989","17-34","Ostdeutschland","","","","",""
"1989","17-34","Westdeutschland","17.9","11.5","884","16.73","19.07"
"1989","35-65","Ostdeutschland","","","","",""
"1989","35-65","Westdeutschland","21.09","14.5","1026","20.01","22.17"
"1989","66 +","Ostdeutschland","","","","",""
"1989","66 +","Westdeutschland","","","","",""
"1990","17-34","Ostdeutschland","18.57","11.5","430","17.02","20.12"
"1990","17-34","Westdeutschland","17.67","11.5","896","16.53","18.81"
"1990","35-65","Ostdeutschland","20.04","15.5","648","18.85","21.23"
"1990","35-65","Westdeutschland","19.72","14.5","1060","18.75","20.69"
"1990","66 +","Ostdeutschland","","","","",""
"1990","66 +","Westdeutschland","","","","",""
"1991","17-34","Ostdeutschland","19.46","14.5","332","17.48","21.44"
"1991","17-34","Westdeutschland","17.97","11.5","946","16.93","19.01"
"1991","35-65","Ostdeutschland","23.43","17.5","477","21.64","25.22"
"1991","35-65","Westdeutschland","21.07","14.5","1145","19.99","22.15"
"1991","66 +","Ostdeutschland","","","","",""
"1991","66 +","Westdeutschland","","","","",""
"1992","17-34","Ostdeutschland","19.1","11.5","390","17.23","20.97"
"1992","17-34","Westdeutschland","17.5","11.5","957","16.44","18.56"
"1992","35-65","Ostdeutschland","22.22","14.5","572","20.61","23.83"
"1992","35-65","Westdeutschland","19.98","14.5","1062","18.95","21.01"
"1992","66 +","Ostdeutschland","","","","",""
"1992","66 +","Westdeutschland","","","","",""
"1993","17-34","Ostdeutschland","16.37","9.5","385","14.56","18.18"
"1993","17-34","Westdeutschland","17.11","11.5","853","15.99","18.23"
"1993","35-65","Ostdeutschland","21.72","15.5","588","20.16","23.28"
"1993","35-65","Westdeutschland","19.99","14.5","1000","18.81","21.17"
"1993","66 +","Ostdeutschland","","","","",""
"1993","66 +","Westdeutschland","","","","",""
"1994","17-34","Ostdeutschland","16.06","9.5","392","14.52","17.6"
"1994","17-34","Westdeutschland","18.32","10.5","900","17.17","19.47"
"1994","35-65","Ostdeutschland","23.1","14.5","627","21.56","24.64"
"1994","35-65","Westdeutschland","18.83","14.5","971","17.73","19.93"
"1994","66 +","Ostdeutschland","","","","",""
"1994","66 +","Westdeutschland","","","","",""
"1995","17-34","Ostdeutschland","17.39","9.5","385","15.52","19.26"
"1995","17-34","Westdeutschland","17.84","11.5","1044","16.84","18.84"
"1995","35-65","Ostdeutschland","21.85","14.5","624","20.38","23.32"
"1995","35-65","Westdeutschland","20.33","14.5","1132","19.3","21.36"
"1995","66 +","Ostdeutschland","","","","",""
"1995","66 +","Westdeutschland","","","","",""
"1996","17-34","Ostdeutschland","16.85","9.5","337","15.13","18.57"
"1996","17-34","Westdeutschland","16.35","9.5","1019","15.44","17.26"
"1996","35-65","Ostdeutschland","21.88","14.5","620","20.39","23.37"
"1996","35-65","Westdeutschland","19.7","14.5","1139","18.71","20.69"
"1996","66 +","Ostdeutschland","","","","",""
"1996","66 +","Westdeutschland","","","","",""
"1997","17-34","Ostdeutschland","18.08","11.5","343","16.34","19.82"
"1997","17-34","Westdeutschland","18.4","12.5","980","17.38","19.42"
"1997","35-65","Ostdeutschland","21.6","14.5","624","20.12","23.08"
"1997","35-65","Westdeutschland","19.02","13.5","1178","18.06","19.98"
"1997","66 +","Ostdeutschland","","","","",""
"1997","66 +","Westdeutschland","","","","",""
"1998","17-34","Ostdeutschland","17.74","11.5","355","16.02","19.46"
"1998","17-34","Westdeutschland","18.45","14.5","1075","17.49","19.41"
"1998","35-65","Ostdeutschland","20.7","14.5","681","19.34","22.06"
"1998","35-65","Westdeutschland","20.34","14.5","1388","19.43","21.25"
"1998","66 +","Ostdeutschland","","","","",""
"1998","66 +","Westdeutschland","","","","",""
"1999","17-34","Ostdeutschland","18.35","11.5","352","16.6","20.1"
"1999","17-34","Westdeutschland","17.58","13.5","1056","16.69","18.47"
"1999","35-65","Ostdeutschland","20.92","14.5","679","19.5","22.34"
"1999","35-65","Westdeutschland","20.15","14.5","1402","19.24","21.06"
"1999","66 +","Ostdeutschland","","","","",""
"1999","66 +","Westdeutschland","","","","",""
"2000","17-34","Ostdeutschland","18.53","12.5","449","16.82","20.24"
"2000","17-34","Westdeutschland","18.36","11.5","1532","17.52","19.2"
"2000","35-65","Ostdeutschland","19.11","14.5","938","17.97","20.25"
"2000","35-65","Westdeutschland","19.75","14.5","2693","19.11","20.39"
"2000","66 +","Ostdeutschland","","","","",""
"2000","66 +","Westdeutschland","","","","",""
"2001","17-34","Ostdeutschland","16.82","11.5","423","15.3","18.34"
"2001","17-34","Westdeutschland","17.89","11.5","1327","17.02","18.76"
"2001","35-65","Ostdeutschland","18.16","13.5","920","17.14","19.18"
"2001","35-65","Westdeutschland","19.52","14.5","2616","18.87","20.17"
"2001","66 +","Ostdeutschland","","","","",""
"2001","66 +","Westdeutschland","","","","",""
"2002","17-34","Ostdeutschland","19.03","9.5","385","17.08","20.98"
"2002","17-34","Westdeutschland","18.4","13.5","1244","17.49","19.31"
"2002","35-65","Ostdeutschland","18.41","13.5","917","17.23","19.59"
"2002","35-65","Westdeutschland","19.32","14.5","2947","18.67","19.97"
"2002","66 +","Ostdeutschland","","","","",""
"2002","66 +","Westdeutschland","","","","",""
"2003","17-34","Ostdeutschland","16.44","9.5","372","14.78","18.1"
"2003","17-34","Westdeutschland","16.48","10.5","1169","15.65","17.31"
"2003","35-65","Ostdeutschland","17.45","11.5","888","16.36","18.54"
"2003","35-65","Westdeutschland","18.94","14.5","2785","18.28","19.6"
"2003","66 +","Ostdeutschland","","","","",""
"2003","66 +","Westdeutschland","","","","",""
"2004","17-34","Ostdeutschland","18.03","11.5","331","16.21","19.85"
"2004","17-34","Westdeutschland","16.45","9.5","1081","15.47","17.43"
"2004","35-65","Ostdeutschland","17.28","12.5","897","16.19","18.37"
"2004","35-65","Westdeutschland","18.97","14.5","2760","18.32","19.62"
"2004","66 +","Ostdeutschland","","","","",""
"2004","66 +","Westdeutschland","","","","",""
"2005","17-34","Ostdeutschland","17.95","9.5","318","16.06","19.84"
"2005","17-34","Westdeutschland","16.81","9.5","1023","15.87","17.75"
"2005","35-65","Ostdeutschland","17","9.5","817","15.84","18.16"
"2005","35-65","Westdeutschland","19.57","13.5","2571","18.87","20.27"
"2005","66 +","Ostdeutschland","","","","",""
"2005","66 +","Westdeutschland","","","","",""
"2006","17-34","Ostdeutschland","20.03","12.5","345","18.06","22"
"2006","17-34","Westdeutschland","17.34","11.5","1095","16.36","18.32"
"2006","35-65","Ostdeutschland","18.23","13.5","914","17.13","19.33"
"2006","35-65","Westdeutschland","19.35","14.5","3008","18.73","19.97"
"2006","66 +","Ostdeutschland","","","","",""
"2006","66 +","Westdeutschland","","","","",""
"2007","17-34","Ostdeutschland","18.62","9.5","327","16.63","20.61"
"2007","17-34","Westdeutschland","18.92","12.5","1022","17.84","20"
"2007","35-65","Ostdeutschland","18.22","11.5","901","17.14","19.3"
"2007","35-65","Westdeutschland","19.92","14.5","2829","19.26","20.58"
"2007","66 +","Ostdeutschland","","","","",""
"2007","66 +","Westdeutschland","","","","",""
"2008","17-34","Ostdeutschland","18.85","11.5","338","16.96","20.74"
"2008","17-34","Westdeutschland","17.48","11.5","981","16.42","18.54"
"2008","35-65","Ostdeutschland","16.94","11.5","861","15.86","18.02"
"2008","35-65","Westdeutschland","19.33","13.5","2718","18.69","19.97"
"2008","66 +","Ostdeutschland","","","","",""
