"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","(Fach-)Abitur","18.77","14.5","139","15.88","21.66"
"1986","(noch) kein Abschluss","20.39","13","89","15.8","24.98"
"1986","AkademikerIn","22.13","16.5","239","19.55","24.71"
"1986","Hauptschule","18.69","12.5","986","17.65","19.73"
"1986","Realschule","17.95","11.5","382","16.3","19.6"
"1987","(Fach-)Abitur","","","","",""
"1987","(noch) kein Abschluss","","","","",""
"1987","AkademikerIn","","","","",""
"1987","Hauptschule","","","","",""
"1987","Realschule","","","","",""
"1988","(Fach-)Abitur","19.22","14.5","154","16.41","22.03"
"1988","(noch) kein Abschluss","16.96","9.5","81","13.53","20.39"
"1988","AkademikerIn","22.5","19","236","20.03","24.97"
"1988","Hauptschule","18.92","11.5","962","17.82","20.02"
"1988","Realschule","17.8","11.5","375","16.12","19.48"
"1989","(Fach-)Abitur","19.62","11.5","152","16.71","22.53"
"1989","(noch) kein Abschluss","14.36","9.5","90","11.52","17.2"
"1989","AkademikerIn","23.17","19.5","245","20.83","25.51"
"1989","Hauptschule","20.25","14.5","977","19.11","21.39"
"1989","Realschule","17.02","9.5","419","15.44","18.6"
"1990","(Fach-)Abitur","19.33","13.5","184","16.77","21.89"
"1990","(noch) kein Abschluss","16.08","11","76","12.46","19.7"
"1990","AkademikerIn","19.52","14.5","611","18.17","20.87"
"1990","Hauptschule","19.63","14.5","1298","18.75","20.51"
"1990","Realschule","17.41","11.5","839","16.32","18.5"
"1991","(Fach-)Abitur","18.14","9.5","195","15.74","20.54"
"1991","(noch) kein Abschluss","17.86","13.5","85","14.11","21.61"
"1991","AkademikerIn","23.75","17.5","572","22.06","25.44"
"1991","Hauptschule","20.81","14.5","1197","19.76","21.86"
"1991","Realschule","17.42","11.5","813","16.33","18.51"
"1992","(Fach-)Abitur","18.12","12.5","207","15.93","20.31"
"1992","(noch) kein Abschluss","17.14","14.5","79","13.86","20.42"
"1992","AkademikerIn","21.59","14.5","615","20.04","23.14"
"1992","Hauptschule","19.78","14.5","1124","18.74","20.82"
"1992","Realschule","17.86","11.5","910","16.75","18.97"
"1993","(Fach-)Abitur","18.62","11.5","179","15.89","21.35"
"1993","(noch) kein Abschluss","21.11","17.5","63","16.95","25.27"
"1993","AkademikerIn","21.07","15.5","634","19.58","22.56"
"1993","Hauptschule","18.13","11.5","1011","17.04","19.22"
"1993","Realschule","18.54","11.5","896","17.33","19.75"
"1994","(Fach-)Abitur","18.37","11.5","204","15.83","20.91"
"1994","(noch) kein Abschluss","17.65","9.5","51","13.51","21.79"
"1994","AkademikerIn","22.18","17.5","650","20.74","23.62"
"1994","Hauptschule","18.48","11.5","1015","17.37","19.59"
"1994","Realschule","17.86","11.5","917","16.75","18.97"
"1995","(Fach-)Abitur","18.82","13.5","248","16.55","21.09"
"1995","(noch) kein Abschluss","17.95","14.5","68","14.52","21.38"
"1995","AkademikerIn","23.13","17.5","692","21.66","24.6"
"1995","Hauptschule","19.37","13.5","1104","18.36","20.38"
"1995","Realschule","17.33","11.5","1003","16.29","18.37"
"1996","(Fach-)Abitur","18.66","11.5","271","16.61","20.71"
"1996","(noch) kein Abschluss","17.18","11","65","13.61","20.75"
"1996","AkademikerIn","23.11","17.5","685","21.64","24.58"
"1996","Hauptschule","17.63","13.5","1033","16.7","18.56"
"1996","Realschule","16.68","10.5","988","15.71","17.65"
"1997","(Fach-)Abitur","17.83","13.5","278","16.03","19.63"
"1997","(noch) kein Abschluss","16.95","11.5","50","12.87","21.03"
"1997","AkademikerIn","22.67","14.5","721","21.24","24.1"
"1997","Hauptschule","18.13","12.5","1000","17.14","19.12"
"1997","Realschule","17.67","11.5","997","16.67","18.67"
"1998","(Fach-)Abitur","18.22","13.5","342","16.4","20.04"
"1998","(noch) kein Abschluss","20.82","14.5","50","15.73","25.91"
"1998","AkademikerIn","22.29","17.5","788","21.02","23.56"
"1998","Hauptschule","18.96","14.5","1062","17.98","19.94"
"1998","Realschule","18.94","13.5","1108","17.96","19.92"
"1999","(Fach-)Abitur","16.57","11.5","362","15.05","18.09"
"1999","(noch) kein Abschluss","24.3","10.5","56","18.69","29.91"
"1999","AkademikerIn","23.02","19.5","797","21.68","24.36"
"1999","Hauptschule","19.27","14.5","1079","18.29","20.25"
"1999","Realschule","17.8","12.5","1114","16.87","18.73"
"2000","(Fach-)Abitur","18.47","13.5","607","17.12","19.82"
"2000","(noch) kein Abschluss","22.42","14.5","49","16.57","28.27"
"2000","AkademikerIn","22.25","15.5","1371","21.24","23.26"
"2000","Hauptschule","19.01","13.5","1712","18.21","19.81"
"2000","Realschule","17.37","11.5","1874","16.65","18.09"
"2001","(Fach-)Abitur","17.91","12.5","572","16.51","19.31"
"2001","(noch) kein Abschluss","19.19","11","40","12.1","26.28"
"2001","AkademikerIn","21.75","15.5","1315","20.74","22.76"
"2001","Hauptschule","18.91","14.5","1518","18.09","19.73"
"2001","Realschule","16.83","11.5","1833","16.17","17.49"
"2002","(Fach-)Abitur","17.94","11.5","644","16.61","19.27"
"2002","(noch) kein Abschluss","16.96","9","37","10.07","23.85"
"2002","AkademikerIn","20.76","14.5","1692","19.8","21.72"
"2002","Hauptschule","18.93","14.5","1291","18.06","19.8"
"2002","Realschule","18.22","11.5","1813","17.46","18.98"
"2003","(Fach-)Abitur","16.06","9.5","651","14.83","17.29"
"2003","(noch) kein Abschluss","","","","",""
"2003","AkademikerIn","20.29","14.5","1552","19.35","21.23"
"2003","Hauptschule","18.1","11.5","1203","17.2","19"
"2003","Realschule","16.81","11.5","1748","16.09","17.53"
"2004","(Fach-)Abitur","16.4","10.5","619","15.08","17.72"
"2004","(noch) kein Abschluss","","","","",""
"2004","AkademikerIn","20.7","14.5","1473","19.75","21.65"
"2004","Hauptschule","17.97","13.5","1161","17.03","18.91"
"2004","Realschule","17.1","10.5","1753","16.36","17.84"
"2005","(Fach-)Abitur","15.02","9.5","596","13.78","16.26"
"2005","(noch) kein Abschluss","","","","",""
"2005","AkademikerIn","22.08","14.5","1377","21.06","23.1"
"2005","Hauptschule","18.22","11.5","1088","17.28","19.16"
"2005","Realschule","17.45","10.5","1607","16.63","18.27"
"2006","(Fach-)Abitur","15.52","9.5","679","14.35","16.69"
"2006","(noch) kein Abschluss","","","","",""
"2006","AkademikerIn","22.67","17.5","1586","21.71","23.63"
"2006","Hauptschule","18.18","13.5","1208","17.28","19.08"
"2006","Realschule","17.76","11.5","1808","17.02","18.5"
"2007","(Fach-)Abitur","17.69","9.5","668","16.31","19.07"
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","22.11","14.5","1492","21.12","23.1"
"2007","Hauptschule","19.73","14.5","1116","18.75","20.71"
"2007","Realschule","17.93","11.5","1726","17.15","18.71"
"2008","(Fach-)Abitur","14.91","9.5","615","13.69","16.13"
"2008","(noch) kein Abschluss","","","","",""
"2008","AkademikerIn","21.44","14.5","1430","20.46","22.42"
"2008","Hauptschule","18.92","11.5","1049","17.88","19.96"
