"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","Staedtischer Raum","Ostdeutschland","20.56","14.5","403","4","8","27","43","99","18.66","22.46","0","99","14","16"
"1994","Staedtischer Raum","Westdeutschland","18.97","11.5","1471","4","8","24","40","99","18.09","19.85","0","99","11","14"
"1995","Laendlicher Raum","Ostdeutschland","19.97","11.5","623","4","7","25","42","90","18.45","21.49","0","99","12","15"
"1995","Laendlicher Raum","Westdeutschland","17.95","11.5","455","3","6","20","40","90","16.27","19.63","1","99","10","14"
"1995","Staedtischer Raum","Ostdeutschland","20.14","11","386","5","8","28","42","90","18.36","21.92","1","99","12","15"
"1995","Staedtischer Raum","Westdeutschland","19.65","14.5","1721","4","8","25","40","80","18.85","20.45","1","99","13","15"
"1996","Laendlicher Raum","Ostdeutschland","19.96","13.5","585","4","8","25","44","80","18.5","21.42","1","99","12","15"
"1996","Laendlicher Raum","Westdeutschland","17.48","10.5","478","4","7","20","40","81","15.93","19.03","1","99","10","14"
"1996","Staedtischer Raum","Ostdeutschland","20.05","13.5","373","4","8","30","40","80","18.22","21.88","1","99","10","15"
"1996","Staedtischer Raum","Westdeutschland","18.54","14.5","1681","4","8","24","40","80","17.79","19.29","1","99","12","15"
"1997","Laendlicher Raum","Ostdeutschland","20.91","14.5","617","5","8","29","50","90","19.45","22.37","1","99","12","15"
"1997","Laendlicher Raum","Westdeutschland","19.04","13.5","468","4","8","22","40","80","17.4","20.68","1","99","12","15"
"1997","Staedtischer Raum","Ostdeutschland","19.03","13.5","351","4","8","25","40","80","17.23","20.83","2","99","10","15"
"1997","Staedtischer Raum","Westdeutschland","18.7","13.5","1691","4","8","24","40","80","17.93","19.47","1","99","12","15"
"1998","Laendlicher Raum","Ostdeutschland","19.13","14.5","673","4","8","25","40","80","17.83","20.43","1","99","12","15"
"1998","Laendlicher Raum","Westdeutschland","19.24","13.5","546","4","8","24","40","96","17.79","20.69","1","99","12","15"
"1998","Staedtischer Raum","Ostdeutschland","20.51","14.5","363","4","8","25","50","90","18.61","22.41","1","99","12","15"
"1998","Staedtischer Raum","Westdeutschland","19.75","14.5","1919","5","8","25","40","80","19.01","20.49","1","99","15","15"
"1999","Laendlicher Raum","Ostdeutschland","20.19","14.5","653","5","9","27","45","90","18.84","21.54","1","99","14","15"
"1999","Laendlicher Raum","Westdeutschland","18.47","13.5","562","4","8","21","40","80","17.04","19.9","1","99","12","15"
"1999","Staedtischer Raum","Ostdeutschland","19.76","11.5","378","4","9","23","45","90","17.82","21.7","1","99","12","15"
"1999","Staedtischer Raum","Westdeutschland","19.42","14.5","1900","4","8","25","40","80","18.7","20.14","1","99","14","15"
"2000","Laendlicher Raum","Ostdeutschland","18.8","14.5","911","5","8","20","40","98","17.65","19.95","1","99","12","15"
"2000","Laendlicher Raum","Westdeutschland","18.22","13.5","1030","5","8","20","40","85","17.21","19.23","1","99","12","15"
"2000","Staedtischer Raum","Ostdeutschland","19.13","11.5","477","5","8","21","40","99","17.45","20.81","1","99","11","15"
"2000","Staedtischer Raum","Westdeutschland","19.59","14.5","3200","5","8","25","40","90","18.99","20.19","1","99","14","15"
"2001","Laendlicher Raum","Ostdeutschland","17.3","11.5","870","5","8","20","36","72","16.35","18.25","1","99","10","14"
"2001","Laendlicher Raum","Westdeutschland","17.61","11.5","931","5","8","20","40","80","16.58","18.64","1","99","12","15"
"2001","Staedtischer Raum","Ostdeutschland","18.57","13.5","474","4","8","22","40","90","16.93","20.21","1","99","10","15"
"2001","Staedtischer Raum","Westdeutschland","19.42","14.5","3016","5","8","25","40","80","18.82","20.02","1","99","15","15"
"2002","Laendlicher Raum","Ostdeutschland","19.03","12.5","827","4","8","23","40","99","17.82","20.24","1","99","12","15"
"2002","Laendlicher Raum","Westdeutschland","18.75","11.5","952","4","8","20","40","99","17.6","19.9","1","99","10","15"
"2002","Staedtischer Raum","Ostdeutschland","17.84","9.5","476","4","7","20","40","99","16.04","19.64","1","99","10","14"
"2002","Staedtischer Raum","Westdeutschland","19.1","14.5","3244","4","8","25","40","84","18.5","19.7","1","99","15","15"
"2003","Laendlicher Raum","Ostdeutschland","16.93","11.5","785","4","8","20","40","70","15.84","18.02","1","99","10","13"
"2003","Laendlicher Raum","Westdeutschland","17.93","11.5","920","4","8","20","40","84","16.82","19.04","1","99","12","15"
"2003","Staedtischer Raum","Ostdeutschland","17.55","11.5","475","4","8","20","40","80","15.95","19.15","1","99","10","15"
"2003","Staedtischer Raum","Westdeutschland","18.23","12.5","3037","4","8","20","40","90","17.63","18.83","1","99","12","15"
"2004","Laendlicher Raum","Ostdeutschland","18.02","14.5","785","4","8","20","40","90","16.88","19.16","1","99","10","14"
"2004","Laendlicher Raum","Westdeutschland","17.18","11.5","897","4","8","20","40","80","16.07","18.29","1","99","12","15"
"2004","Staedtischer Raum","Ostdeutschland","16.55","9","444","3","6","20","40","80","14.92","18.18","1","99","10","15"
"2004","Staedtischer Raum","Westdeutschland","18.52","13.5","2950","4","8","20","40","95","17.9","19.14","1","99","13","15"
"2005","Laendlicher Raum","Ostdeutschland","17.45","10.5","711","4","8","20","40","90","16.19","18.71","1","99","10","12"
"2005","Laendlicher Raum","Westdeutschland","17.33","10.5","800","4","7","20","40","90","16.14","18.52","1","99","10","12"
"2005","Staedtischer Raum","Ostdeutschland","17","9.5","424","4","6","20","40","88","15.4","18.6","1","99","10","14"
"2005","Staedtischer Raum","Westdeutschland","19.11","13.5","2802","4","8","25","40","90","18.47","19.75","1","99","12","15"
"2006","Laendlicher Raum","Ostdeutschland","19.05","14.5","807","5","8","24","40","90","17.88","20.22","1","99","12","15"
"2006","Laendlicher Raum","Westdeutschland","18.23","11.5","929","4","8","20","40","96","17.11","19.35","1","99","11","15"
"2006","Staedtischer Raum","Ostdeutschland","18.3","11.5","454","4","7","22","40","80","16.64","19.96","1","99","10","15"
"2006","Staedtischer Raum","Westdeutschland","18.91","14.5","3184","4","8","25","40","85","18.32","19.5","1","99","14","15"
"2007","Laendlicher Raum","Ostdeutschland","18.75","14.5","795","4","8","24","40","95","17.61","19.89","1","99","12","15"
"2007","Laendlicher Raum","Westdeutschland","19.09","10.5","896","4","8","21","40","99","17.84","20.34","1","99","10","12"
"2007","Staedtischer Raum","Ostdeutschland","17.59","9.5","435","4","8","20","38","99","15.9","19.28","1","99","10","12"
"2007","Staedtischer Raum","Westdeutschland","19.72","14.5","2968","4","8","25","40","90","19.09","20.35","1","99","15","15"
"2008","Laendlicher Raum","Ostdeutschland","18.25","13.5","766","5","8","20","38","99","17.03","19.47","1","99","12","15"
"2008","Laendlicher Raum","Westdeutschland","18.07","11.5","868","4","8","20","40","80","16.89","19.25","1","99","11","15"
"2008","Staedtischer Raum","Ostdeutschland","16.36","10.5","434","4","7","20","36","65","14.89","17.83","1","99","10","14"
"2008","Staedtischer Raum","Westdeutschland","18.96","13.5","2840","4","8","22","40","89","18.34","19.58","1","99","14","15"
"2009","Laendlicher Raum","Ostdeutschland","19.62","14.5","691","5","8","24","46","80","18.31","20.93","1","99","10","15"
"2009","Laendlicher Raum","Westdeutschland","17.5","10.5","760","5","8","20","40","90","16.27","18.73","1","99","10","14"
"2009","Staedtischer Raum","Ostdeutschland","17.33","11.5","389","4","8","20","40","99","15.7","18.96","1","99","10","15"
"2009","Staedtischer Raum","Westdeutschland","19.05","14.5","2406","4","8","25","40","85","18.36","19.74","1","99","14","15"
"2010","Laendlicher Raum","Ostdeutschland","18.29","11.5","819","4","7","24","40","80","17.12","19.46","1","99","10","14"
"2010","Laendlicher Raum","Westdeutschland","17.56","11.5","1149","4","8","20","40","99","16.58","18.54","1","99","12","15"
"2010","Staedtischer Raum","Ostdeutschland","16.95","9.5","479","3","6","20","35","99","15.41","18.49","1","99","10","12"
"2010","Staedtischer Raum","Westdeutschland","18.92","11.5","3278","4","8","23","40","90","18.33","19.51","1","99","12","15"
"2011","Laendlicher Raum","Ostdeutschland","16.94","12.5","1006","5","8","20","35","80","15.96","17.92","1","99","12","15"
"2011","Laendlicher Raum","Westdeutschland","19.59","14.5","1610","5","8","25","40","80","18.77","20.41","1","99","12","15"
"2011","Staedtischer Raum","Ostdeutschland","16.59","11.5","583","4","6","20","40","75","15.33","17.85","1","99","10","15"
"2011","Staedtischer Raum","Westdeutschland","18.99","14.5","4248","4","8","23","40","80","18.47","19.51","1","99","13","15"
"2012","Laendlicher Raum","Ostdeutschland","16.35","11.5","998","4","8","20","33","74","15.37","17.33","1","99","10","12"
"2012","Laendlicher Raum","Westdeutschland","17.38","10.5","1653","4","7","20","38","99","16.57","18.19","1","99","10","13"
"2012","Staedtischer Raum","Ostdeutschland","16.51","11.5","564","4","7","20","35","80","15.26","17.76","1","90","10","12"
"2012","Staedtischer Raum","Westdeutschland","17.83","11.5","4164","4","7","20","40","81","17.32","18.34","1","99","12","13"
"2013","Laendlicher Raum","Ostdeutschland","15.33","9.5","959","4","8","20","30","72","14.39","16.27","1","99","10","12"
"2013","Laendlicher Raum","Westdeutschland","16.21","9.5","1724","4","6","20","35","80","15.48","16.94","1","99","11","13"
"2013","Staedtischer Raum","Ostdeutschland","15.94","9.5","564","3","6","20","40","60","14.72","17.16","1","99","10","12"
"2013","Staedtischer Raum","Westdeutschland","16.82","11.5","4690","4","7","20","38","80","16.36","17.28","1","99","12","12"
"2014","Laendlicher Raum","Ostdeutschland","15.35","9.5","876","4","6","20","30","80","14.33","16.37","1","99","10","12"
"2014","Laendlicher Raum","Westdeutschland","16.15","9.5","1589","4","6","20","35","80","15.41","16.89","1","99","10","11"
"2014","Staedtischer Raum","Ostdeutschland","16.92","9.5","535","4","6","20","40","80","15.53","18.31","1","99","10","12"
"2014","Staedtischer Raum","Westdeutschland","16.39","10.5","4152","4","6","20","35","80","15.93","16.85","1","99","10","12"
"2015","Laendlicher Raum","Ostdeutschland","14.63","9.5","849","4","6","20","30","70","13.71","15.55","1","99","10","10"
"2015","Laendlicher Raum","Westdeutschland","17.14","11.5","1679","4","8","20","40","80","16.38","17.9","1","99","10","12"
"2015","Staedtischer Raum","Ostdeutschland","15.79","9.5","519","4","7","20","32","90","14.44","17.14","1","99","10","12"
"2015","Staedtischer Raum","Westdeutschland","16.53","11.5","4123","4","7","20","35","80","16.06","17","1","99","12","12"
"2016","Laendlicher Raum","Ostdeutschland","13.78","9.5","832","4","6","20","30","60","12.86","14.7","1","99","10","10"
"2016","Laendlicher Raum","Westdeutschland","15.83","11.5","1547","4","6","20","30","80","15.06","16.6","1","200","10","12"
"2016","Staedtischer Raum","Ostdeutschland","13.91","9.5","491","4","5","19","30","60","12.68","15.14","1","99","10","10"
"2016","Staedtischer Raum","Westdeutschland","15.93","9.5","3910","4","6","20","35","80","15.45","16.41","1","108","10","12"
"2017","Laendlicher Raum","Ostdeutschland","15.99","9.5","882","4","5","20","36","80","14.98","17","1","120","10","11"
"2017","Laendlicher Raum","Westdeutschland","15.69","9.5","1686","4","6","20","32","80","15.01","16.37","1","100","10","12"
"2017","Staedtischer Raum","Ostdeutschland","14.79","9.5","526","4","6","20","30","80","13.58","16","1","99","10","10"
"2017","Staedtischer Raum","Westdeutschland","16.35","9.5","4172","4","7","20","35","80","15.9","16.8","1","146","10","12"
"2018","Laendlicher Raum","Ostdeutschland","14.72","9.5","886","3","5","20","30","80","13.85","15.59","1","107","10","10"
"2018","Laendlicher Raum","Westdeutschland","15.84","11.5","1656","4","7","20","30","80","15.1","16.58","1","140","10","12"
"2018","Staedtischer Raum","Ostdeutschland","14.3","9.5","516","4","6","20","30","80","13.07","15.53","1","99","10","10"
"2018","Staedtischer Raum","Westdeutschland","15.94","9.5","4279","4","6","20","35","80","15.49","16.39","1","150","10","10"
"2019","Laendlicher Raum","Ostdeutschland","13.92","9","853","4","5","20","30","75","12.98","14.86","1","95","10","10"
"2019","Laendlicher Raum","Westdeutschland","15.8","9.5","1525","4","6","20","32","80","15.03","16.57","1","99","10","10"
"2019","Staedtischer Raum","Ostdeutschland","13.74","9.5","507","4","5","20","24","80","12.33","15.15","1","99","10","11"
"2019","Staedtischer Raum","Westdeutschland","15.8","9.5","3813","4","6","20","32","80","15.32","16.28","1","99","10","12"
"2020","Laendlicher Raum","Ostdeutschland","13.22","9.5","770","3","5","17","25","61","12.34","14.1","1","99","10","10"
"2020","Laendlicher Raum","Westdeutschland","14.14","9.5","1402","3","6","18","30","79","13.4","14.88","1","125","10","10"
"2020","Staedtischer Raum","Ostdeutschland","13.31","9.5","472","3","6","16","24","90","11.93","14.69","1","99","10","10"
"2020","Staedtischer Raum","Westdeutschland","14.54","9.5","3743","3","5","20","30","80","14.07","15.01","1","130","10","10"
