"year","age_gr","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1986","17-34","maennlich","18.43","13.5","526","17.08","19.78"
"1986","17-34","weiblich","15.07","9.5","289","13.31","16.83"
"1986","35-65","maennlich","22.11","15.5","816","20.81","23.41"
"1986","35-65","weiblich","15.53","9.5","219","13.3","17.76"
"1986","66 +","maennlich","","","","",""
"1986","66 +","weiblich","","","","",""
"1987","17-34","maennlich","","","","",""
"1987","17-34","weiblich","","","","",""
"1987","35-65","maennlich","","","","",""
"1987","35-65","weiblich","","","","",""
"1987","66 +","maennlich","","","","",""
"1987","66 +","weiblich","","","","",""
"1988","17-34","maennlich","19.15","11.5","520","17.6","20.7"
"1988","17-34","weiblich","14.53","9.5","311","13","16.06"
"1988","35-65","maennlich","22.08","15.5","751","20.73","23.43"
"1988","35-65","weiblich","15.49","9.5","248","13.81","17.17"
"1988","66 +","maennlich","","","","",""
"1988","66 +","weiblich","","","","",""
"1989","17-34","maennlich","20.44","14.5","535","18.91","21.97"
"1989","17-34","weiblich","14.27","9.5","349","12.5","16.04"
"1989","35-65","maennlich","23.27","19.5","765","22","24.54"
"1989","35-65","weiblich","14.86","9.5","261","12.95","16.77"
"1989","66 +","maennlich","","","","",""
"1989","66 +","weiblich","","","","",""
"1990","17-34","maennlich","20.96","15.5","806","19.68","22.24"
"1990","17-34","weiblich","13.18","9.5","520","12.02","14.34"
"1990","35-65","maennlich","21.56","16.5","1165","20.59","22.53"
"1990","35-65","weiblich","15.75","11.5","543","14.69","16.81"
"1990","66 +","maennlich","","","","",""
"1990","66 +","weiblich","","","","",""
"1991","17-34","maennlich","21.27","14.5","774","20","22.54"
"1991","17-34","weiblich","13.73","9.5","504","12.53","14.93"
"1991","35-65","maennlich","23.48","17.5","1132","22.32","24.64"
"1991","35-65","weiblich","16.76","11.5","490","15.34","18.18"
"1991","66 +","maennlich","","","","",""
"1991","66 +","weiblich","","","","",""
"1992","17-34","maennlich","20.55","14.5","795","19.2","21.9"
"1992","17-34","weiblich","13.81","9.5","552","12.74","14.88"
"1992","35-65","maennlich","22.28","15.5","1111","21.16","23.4"
"1992","35-65","weiblich","16.42","9.5","523","15.15","17.69"
"1992","66 +","maennlich","","","","",""
"1992","66 +","weiblich","","","","",""
"1993","17-34","maennlich","19.05","13.5","736","17.66","20.44"
"1993","17-34","weiblich","13.75","9.5","502","12.65","14.85"
"1993","35-65","maennlich","22.76","15.5","1049","21.53","23.99"
"1993","35-65","weiblich","15.39","9.5","539","14.1","16.68"
"1993","66 +","maennlich","","","","",""
"1993","66 +","weiblich","","","","",""
"1994","17-34","maennlich","19.98","14.5","774","18.68","21.28"
"1994","17-34","weiblich","14.38","9.5","518","13.19","15.57"
"1994","35-65","maennlich","22.26","16.5","1045","21.07","23.45"
"1994","35-65","weiblich","15.03","9.5","553","13.78","16.28"
"1994","66 +","maennlich","","","","",""
"1994","66 +","weiblich","","","","",""
"1995","17-34","maennlich","20.77","14.5","872","19.51","22.03"
"1995","17-34","weiblich","13.11","9.5","557","12.07","14.15"
"1995","35-65","maennlich","23.33","19.5","1137","22.21","24.45"
"1995","35-65","weiblich","15.46","10.5","619","14.32","16.6"
"1995","66 +","maennlich","","","","",""
"1995","66 +","weiblich","","","","",""
"1996","17-34","maennlich","18.95","14.5","807","17.79","20.11"
"1996","17-34","weiblich","12.73","9.5","549","11.79","13.67"
"1996","35-65","maennlich","21.98","16.5","1138","20.92","23.04"
"1996","35-65","weiblich","16.57","9.5","621","15.3","17.84"
"1996","66 +","maennlich","","","","",""
"1996","66 +","weiblich","","","","",""
"1997","17-34","maennlich","21.56","16.5","774","20.29","22.83"
"1997","17-34","weiblich","13.52","9.5","549","12.49","14.55"
"1997","35-65","maennlich","21.51","14.5","1139","20.44","22.58"
"1997","35-65","weiblich","15.95","9.5","663","14.8","17.1"
"1997","66 +","maennlich","","","","",""
"1997","66 +","weiblich","","","","",""
"1998","17-34","maennlich","20.82","15.5","843","19.64","22"
"1998","17-34","weiblich","14.47","9.5","587","13.41","15.53"
"1998","35-65","maennlich","22.57","17.5","1305","21.57","23.57"
"1998","35-65","weiblich","16.5","11.5","764","15.4","17.6"
"1998","66 +","maennlich","","","","",""
"1998","66 +","weiblich","","","","",""
"1999","17-34","maennlich","20.53","14.5","825","19.38","21.68"
"1999","17-34","weiblich","13.66","9.5","583","12.73","14.59"
"1999","35-65","maennlich","23.07","17.5","1300","22.03","24.11"
"1999","35-65","weiblich","15.62","9.5","781","14.61","16.63"
"1999","66 +","maennlich","","","","",""
"1999","66 +","weiblich","","","","",""
"2000","17-34","maennlich","21.14","14.5","1160","20.03","22.25"
"2000","17-34","weiblich","14.23","9.5","821","13.36","15.1"
"2000","35-65","maennlich","21.86","15.5","2311","21.11","22.61"
"2000","35-65","weiblich","15.66","9.5","1320","14.9","16.42"
"2000","66 +","maennlich","","","","",""
"2000","66 +","weiblich","","","","",""
"2001","17-34","maennlich","20.16","14.5","993","19.06","21.26"
"2001","17-34","weiblich","14.22","9.5","757","13.29","15.15"
"2001","35-65","maennlich","21.63","15.5","2171","20.87","22.39"
"2001","35-65","weiblich","15.42","9.5","1365","14.72","16.12"
"2001","66 +","maennlich","","","","",""
"2001","66 +","weiblich","","","","",""
"2002","17-34","maennlich","21.11","14.5","878","19.92","22.3"
"2002","17-34","weiblich","15.14","9.5","751","14","16.28"
"2002","35-65","maennlich","21.69","15.5","2331","20.9","22.48"
"2002","35-65","weiblich","15.1","9.5","1533","14.37","15.83"
"2002","66 +","maennlich","","","","",""
"2002","66 +","weiblich","","","","",""
"2003","17-34","maennlich","19.29","14.5","819","18.15","20.43"
"2003","17-34","weiblich","12.96","9.5","722","12.09","13.83"
"2003","35-65","maennlich","20.95","14.5","2205","20.16","21.74"
"2003","35-65","weiblich","14.99","9.5","1468","14.27","15.71"
"2003","66 +","maennlich","","","","",""
"2003","66 +","weiblich","","","","",""
"2004","17-34","maennlich","19.66","13.5","756","18.32","21"
"2004","17-34","weiblich","12.96","9.5","656","12","13.92"
"2004","35-65","maennlich","20.77","14.5","2183","20","21.54"
"2004","35-65","weiblich","15.24","9.5","1474","14.51","15.97"
"2004","66 +","maennlich","","","","",""
"2004","66 +","weiblich","","","","",""
"2005","17-34","maennlich","19.4","14.5","717","18.14","20.66"
"2005","17-34","weiblich","13.89","9.5","624","12.83","14.95"
"2005","35-65","maennlich","22.08","14.5","2020","21.22","22.94"
