"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","17-34","17.12","11.5","815","3","6","20","40","80","16.04","18.2","0","99","12","15"
"1986","35-65","","","","","","","","","","","","","",""
"1986","66 +","","","","","","","","","","","","","",""
"1987","17-34","","","","","","","","","","","","","",""
"1987","35-65","","","","","","","","","","","","","",""
"1987","66 +","","","","","","","","","","","","","",""
"1988","17-34","17.3","10.5","831","4","7","20","38","90","16.17","18.43","1","99","10","12"
"1988","35-65","20.34","14.5","999","4","8","25","42","80","19.23","21.45","1","99","13","16"
"1988","66 +","","","","","","","","","","","","","",""
"1989","17-34","17.9","11.5","884","3","7","20","40","99","16.73","19.07","0","99","10","12"
"1989","35-65","","","","","","","","","","","","","",""
"1989","66 +","","","","","","","","","","","","","",""
"1990","17-34","","","","","","","","","","","","","",""
"1990","35-65","","","","","","","","","","","","","",""
"1990","66 +","","","","","","","","","","","","","",""
"1991","17-34","","","","","","","","","","","","","",""
"1991","35-65","","","","","","","","","","","","","",""
"1991","66 +","","","","","","","","","","","","","",""
"1992","17-34","","","","","","","","","","","","","",""
"1992","35-65","","","","","","","","","","","","","",""
"1992","66 +","","","","","","","","","","","","","",""
"1993","17-34","","","","","","","","","","","","","",""
"1993","35-65","","","","","","","","","","","","","",""
"1993","66 +","","","","","","","","","","","","","",""
"1994","17-34","","","","","","","","","","","","","",""
"1994","35-65","","","","","","","","","","","","","",""
"1994","66 +","","","","","","","","","","","","","",""
"1995","17-34","","","","","","","","","","","","","",""
"1995","35-65","","","","","","","","","","","","","",""
"1995","66 +","","","","","","","","","","","","","",""
"1996","17-34","","","","","","","","","","","","","",""
"1996","35-65","","","","","","","","","","","","","",""
"1996","66 +","","","","","","","","","","","","","",""
"1997","17-34","","","","","","","","","","","","","",""
"1997","35-65","","","","","","","","","","","","","",""
"1997","66 +","","","","","","","","","","","","","",""
"1998","17-34","","","","","","","","","","","","","",""
"1998","35-65","","","","","","","","","","","","","",""
"1998","66 +","","","","","","","","","","","","","",""
"1999","17-34","","","","","","","","","","","","","",""
"1999","35-65","","","","","","","","","","","","","",""
"1999","66 +","17.68","15","4","3","3","20","40","40","-7.92","43.28","3","40","",""
"2000","17-34","","","","","","","","","","","","","",""
"2000","35-65","19.63","14.5","3631","5","8","25","40","90","19.07","20.19","1","99","14","15"
"2000","66 +","26.49","3.5","6","5","5","60","80","80","-8.58","61.56","2","80","",""
"2001","17-34","","","","","","","","","","","","","",""
"2001","35-65","19.26","14.5","3536","5","8","25","40","80","18.71","19.81","1","99","15","15"
