"year","sex","mean","median","n","lower_confidence","upper_confidence"
"1986","maennlich","20.69","14.5","1342","19.74","21.64"
"1986","weiblich","15.27","9.5","508","13.88","16.66"
"1987","maennlich","","","","",""
"1987","weiblich","","","","",""
"1988","maennlich","21.04","14.5","1273","20.02","22.06"
"1988","weiblich","14.98","9.5","560","13.86","16.1"
"1989","maennlich","22.24","17.5","1301","21.26","23.22"
"1989","weiblich","14.53","9.5","610","13.23","15.83"
"1990","maennlich","21.33","15.5","1972","20.56","22.1"
"1990","weiblich","14.47","9.5","1065","13.68","15.26"
"1991","maennlich","22.62","15.5","1907","21.76","23.48"
"1991","weiblich","15.24","9.5","994","14.31","16.17"
"1992","maennlich","21.58","15.5","1906","20.72","22.44"
"1992","weiblich","15.11","9.5","1075","14.28","15.94"
"1993","maennlich","21.32","14.5","1785","20.39","22.25"
"1993","weiblich","14.63","9.5","1041","13.77","15.49"
"1994","maennlich","21.34","15.5","1819","20.46","22.22"
"1994","weiblich","14.73","9.5","1071","13.86","15.6"
"1995","maennlich","22.33","16.5","2009","21.49","23.17"
"1995","weiblich","14.41","9.5","1176","13.63","15.19"
"1996","maennlich","20.83","14.5","1946","20.04","21.62"
"1996","weiblich","14.84","9.5","1171","14.03","15.65"
"1997","maennlich","21.53","15.5","1914","20.71","22.35"
"1997","weiblich","14.93","9.5","1213","14.14","15.72"
"1998","maennlich","21.95","16.5","2150","21.19","22.71"
"1998","weiblich","15.7","9.5","1351","14.93","16.47"
"1999","maennlich","22.16","17.5","2127","21.38","22.94"
"1999","weiblich","14.9","9.5","1366","14.19","15.61"
"2000","maennlich","21.62","15.5","3476","21","22.24"
"2000","weiblich","15.16","9.5","2142","14.58","15.74"
"2001","maennlich","21.18","15.5","3168","20.55","21.81"
"2001","weiblich","15.02","9.5","2123","14.46","15.58"
"2002","maennlich","21.49","15.5","3214","20.83","22.15"
"2002","weiblich","15.12","9.5","2285","14.5","15.74"
"2003","maennlich","20.47","14.5","3026","19.82","21.12"
"2003","weiblich","14.28","9.5","2191","13.72","14.84"
"2004","maennlich","20.45","14.5","2942","19.78","21.12"
"2004","weiblich","14.51","9.5","2134","13.92","15.1"
"2005","maennlich","21.28","14.5","2741","20.57","21.99"
"2005","weiblich","14.29","9.5","1996","13.7","14.88"
"2006","maennlich","21.34","14.5","3012","20.67","22.01"
"2006","weiblich","15.13","9.5","2362","14.56","15.7"
"2007","maennlich","22.08","14.5","2904","21.38","22.78"
"2007","weiblich","15.41","9.5","2190","14.81","16.01"
"2008","maennlich","21.19","14.5","2719","20.5","21.88"
"2008","weiblich","14.85","9.5","2189","14.26","15.44"
"2009","maennlich","20.95","14.5","2300","20.2","21.7"
"2009","weiblich","15.68","9.5","1946","15.01","16.35"
"2010","maennlich","20.91","14.5","3190","20.26","21.56"
"2010","weiblich","15.37","9.5","2535","14.81","15.93"
"2011","maennlich","21.2","14.5","4064","20.63","21.77"
"2011","weiblich","15.53","9.5","3383","15.06","16"
"2012","maennlich","19.84","14.5","3924","19.27","20.41"
"2012","weiblich","14.47","9.5","3455","14.01","14.93"
"2013","maennlich","18.47","14.5","4228","17.95","18.99"
"2013","weiblich","13.96","9.5","3709","13.55","14.37"
"2014","maennlich","18.55","11.5","3797","18.02","19.08"
"2014","weiblich","13.46","9.5","3355","13.03","13.89"
"2015","maennlich","18.85","14.5","3735","18.3","19.4"
"2015","weiblich","13.53","9.5","3435","13.12","13.94"
"2016","maennlich","17.55","11.5","3451","16.99","18.11"
"2016","weiblich","13.2","9.5","3329","12.78","13.62"
"2017","maennlich","18.22","13.5","3728","17.69","18.75"
"2017","weiblich","13.45","9.5","3538","13.05","13.85"
"2018","maennlich","17.87","12.5","3777","17.35","18.39"
"2018","weiblich","13.02","9.5","3560","12.6","13.44"
"2019","maennlich","17.02","11.5","3498","16.47","17.57"
"2019","weiblich","13.72","9.5","3357","13.27","14.17"
"2020","maennlich","15.81","9.5","3284","15.28","16.34"
"2020","weiblich","12.41","9.5","3101","11.97","12.85"
