year,bula_h,rentown,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Not included in this version of the questionnaire,Yes,0.32494,36,125,0.24251,0.40738
2016,Schleswig-Holstein,Not included in this version of the questionnaire,No,0.67506,89,125,0.59262,0.75749
2016,Schleswig-Holstein,Owner,Yes,0.59007,146,235,0.52705,0.65309
2016,Schleswig-Holstein,Owner,No,0.40993,89,235,0.34691,0.47295
2016,Schleswig-Holstein,Tenant,Yes,0.49032,144,268,0.43036,0.55029
2016,Schleswig-Holstein,Tenant,No,0.50968,124,268,0.44971,0.56964
2016,Hamburg,Owner,Yes,0.72788,58,58,0.61234,0.84342
2016,Hamburg,Tenant,Yes,0.57946,121,189,0.50890,0.65003
2016,Hamburg,Tenant,No,0.42054,68,189,0.34997,0.49110
2016,Lower Saxony,Not included in this version of the questionnaire,Yes,0.33899,69,225,0.27700,0.40099
2016,Lower Saxony,Not included in this version of the questionnaire,No,0.66101,156,225,0.59901,0.72300
2016,Lower Saxony,Owner,Yes,0.61450,483,691,0.57818,0.65081
2016,Lower Saxony,Owner,No,0.38550,208,691,0.34919,0.42182
2016,Lower Saxony,Tenant,Yes,0.58451,378,654,0.54671,0.62230
2016,Lower Saxony,Tenant,No,0.41549,276,654,0.37770,0.45329
2016,Bremen,Tenant,Yes,0.44303,37,70,0.32582,0.56024
2016,Bremen,Tenant,No,0.55697,33,70,0.43976,0.67418
2016,North Rhine-Westphalia,Not included in this version of the questionnaire,Yes,0.26064,95,470,0.22091,0.30037
2016,North Rhine-Westphalia,Not included in this version of the questionnaire,No,0.73936,375,470,0.69963,0.77909
2016,North Rhine-Westphalia,Owner,Yes,0.64170,858,1213,0.61470,0.66869
2016,North Rhine-Westphalia,Owner,No,0.35830,355,1213,0.33131,0.38530
2016,North Rhine-Westphalia,Tenant,Yes,0.57247,1032,1686,0.54884,0.59609
2016,North Rhine-Westphalia,Tenant,No,0.42753,654,1686,0.40391,0.45116
2016,Hesse,Not included in this version of the questionnaire,Yes,0.37357,43,148,0.29536,0.45177
2016,Hesse,Not included in this version of the questionnaire,No,0.62643,105,148,0.54823,0.70464
2016,Hesse,Owner,Yes,0.66080,291,425,0.61574,0.70587
2016,Hesse,Owner,No,0.33920,134,425,0.29413,0.38426
2016,Hesse,Tenant,Yes,0.55106,332,550,0.50945,0.59266
2016,Hesse,Tenant,No,0.44894,218,550,0.40734,0.49055
2016,"Rhineland-Palatinate, Saarland",Not included in this version of the questionnaire,Yes,0.28564,52,188,0.22089,0.35038
2016,"Rhineland-Palatinate, Saarland",Not included in this version of the questionnaire,No,0.71436,136,188,0.64962,0.77911
2016,"Rhineland-Palatinate, Saarland",Owner,Yes,0.59087,281,440,0.54488,0.63687
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.40913,159,440,0.36313,0.45512
2016,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.51465,199,403,0.46580,0.56351
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.48535,204,403,0.43649,0.53420
2016,Baden-Wuerttemberg,Not included in this version of the questionnaire,Yes,0.30451,59,239,0.24605,0.36298
2016,Baden-Wuerttemberg,Not included in this version of the questionnaire,No,0.69549,180,239,0.63702,0.75395
2016,Baden-Wuerttemberg,Owner,Yes,0.64128,586,853,0.60908,0.67349
2016,Baden-Wuerttemberg,Owner,No,0.35872,267,853,0.32651,0.39092
2016,Baden-Wuerttemberg,Tenant,Yes,0.57980,473,772,0.54496,0.61464
2016,Baden-Wuerttemberg,Tenant,No,0.42020,299,772,0.38536,0.45504
2016,Bavaria,Not included in this version of the questionnaire,Yes,0.38137,82,228,0.31818,0.44456
2016,Bavaria,Not included in this version of the questionnaire,No,0.61863,146,228,0.55544,0.68182
2016,Bavaria,Owner,Yes,0.61203,752,1097,0.58318,0.64088
2016,Bavaria,Owner,No,0.38797,345,1097,0.35912,0.41682
2016,Bavaria,Tenant,Yes,0.63169,777,1193,0.60430,0.65907
2016,Bavaria,Tenant,No,0.36831,416,1193,0.34093,0.39570
2016,Berlin,Not included in this version of the questionnaire,No,0.39546,38,38,0.23791,0.55301
2016,Berlin,Owner,Yes,0.69152,73,109,0.60441,0.77863
2016,Berlin,Owner,No,0.30848,36,109,0.22137,0.39559
2016,Berlin,Tenant,Yes,0.64580,327,500,0.60383,0.68776
2016,Berlin,Tenant,No,0.35420,173,500,0.31224,0.39617
2016,Brandenburg,Not included in this version of the questionnaire,No,0.66040,64,64,0.54345,0.77734
2016,Brandenburg,Owner,Yes,0.53692,142,253,0.47536,0.59849
2016,Brandenburg,Owner,No,0.46308,111,253,0.40151,0.52464
2016,Brandenburg,Tenant,Yes,0.46005,139,306,0.40412,0.51599
2016,Brandenburg,Tenant,No,0.53995,167,306,0.48401,0.59588
2016,Mecklenburg-Western Pomerania,Owner,Yes,0.59400,61,108,0.50095,0.68705
2016,Mecklenburg-Western Pomerania,Owner,No,0.40600,47,108,0.31295,0.49905
2016,Mecklenburg-Western Pomerania,Tenant,Yes,0.57615,118,220,0.51070,0.64160
2016,Mecklenburg-Western Pomerania,Tenant,No,0.42385,102,220,0.35840,0.48930
2016,Saxony,Not included in this version of the questionnaire,No,0.72065,76,76,0.61911,0.82220
2016,Saxony,Owner,Yes,0.61141,187,303,0.55643,0.66638
2016,Saxony,Owner,No,0.38859,116,303,0.33362,0.44357
2016,Saxony,Tenant,Yes,0.56124,327,560,0.52010,0.60237
2016,Saxony,Tenant,No,0.43876,233,560,0.39763,0.47990
2016,Saxony-Anhalt,Not included in this version of the questionnaire,No,0.79538,45,45,0.67617,0.91458
2016,Saxony-Anhalt,Owner,Yes,0.54421,119,211,0.47685,0.61157
2016,Saxony-Anhalt,Owner,No,0.45579,92,211,0.38843,0.52315
2016,Saxony-Anhalt,Tenant,Yes,0.47552,148,300,0.41892,0.53213
2016,Saxony-Anhalt,Tenant,No,0.52448,152,300,0.46787,0.58108
2016,Thuringa,Not included in this version of the questionnaire,No,0.81975,57,57,0.71907,0.92043
2016,Thuringa,Owner,Yes,0.59041,143,241,0.52820,0.65263
2016,Thuringa,Owner,No,0.40959,98,241,0.34737,0.47180
2016,Thuringa,Tenant,Yes,0.45970,166,302,0.40340,0.51600
2016,Thuringa,Tenant,No,0.54030,136,302,0.48400,0.59660
2017,Schleswig-Holstein,Owner,Yes,0.74513,219,282,0.69418,0.79608
2017,Schleswig-Holstein,Owner,No,0.25487,63,282,0.20392,0.30582
