,Unnamed: 0,year,rentown,sampreg,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Owner,West,Yes,0.63151,3535,14261,0.61071,0.65347
1,1,2016,Owner,West,No,0.36849,1600,14261,0.35104,0.38789
2,2,2016,Owner,East,Yes,0.57983,672,14261,0.52938,0.62945
3,3,2016,Owner,East,No,0.42017,481,14261,0.38609,0.46065
4,4,2016,Tenant,West,Yes,0.58173,3680,14261,0.5615,0.60127
5,5,2016,Tenant,West,No,0.41827,2381,14261,0.39895,0.43801
6,6,2016,Tenant,East,Yes,0.52309,1038,14261,0.48828,0.56505
7,7,2016,Tenant,East,No,0.47691,874,14261,0.44708,0.51017
8,8,2017,Owner,West,Yes,0.67876,4209,17435,0.65744,0.69996
9,9,2017,Owner,West,No,0.32124,1533,17435,0.30515,0.33586
10,10,2017,Owner,East,Yes,0.57343,792,17435,0.53564,0.61224
11,11,2017,Owner,East,No,0.42657,515,17435,0.39192,0.46203
12,12,2017,Tenant,West,Yes,0.60897,4577,17435,0.58875,0.62914
13,13,2017,Tenant,West,No,0.39103,3411,17435,0.37569,0.41426
14,14,2017,Tenant,East,Yes,0.55665,1279,17435,0.52128,0.59727
15,15,2017,Tenant,East,No,0.44335,1119,17435,0.4118,0.47794
16,16,2018,Owner,West,Yes,0.712,4142,17835,0.68795,0.73654
17,17,2018,Owner,West,No,0.288,1352,17835,0.27131,0.30162
18,18,2018,Owner,East,Yes,0.60743,791,17835,0.56312,0.65271
19,19,2018,Owner,East,No,0.39257,462,17835,0.35862,0.43001
20,20,2018,Tenant,West,Yes,0.6244,4867,17835,0.60159,0.64358
21,21,2018,Tenant,West,No,0.3756,3698,17835,0.35897,0.39275
22,22,2018,Tenant,East,Yes,0.54623,1354,17835,0.51375,0.57804
23,23,2018,Tenant,East,No,0.45377,1169,17835,0.42484,0.48696
24,24,2019,Owner,West,Yes,0.71839,4894,16062,0.69049,0.74209
25,25,2019,Owner,West,No,0.28161,1413,16062,0.26635,0.29722
26,26,2019,Owner,East,Yes,0.64897,1092,16062,0.60538,0.72183
27,27,2019,Owner,East,No,0.35103,457,16062,0.31738,0.3895
28,28,2019,Tenant,West,Yes,0.65895,4263,16062,0.64076,0.67722
29,29,2019,Tenant,West,No,0.34105,1903,16062,0.32399,0.35473
30,30,2019,Tenant,East,Yes,0.58301,1287,16062,0.5383,0.6217
31,31,2019,Tenant,East,No,0.41699,753,16062,0.38242,0.4496
32,32,2021,Owner,West,Yes,0.52358,2438,12532,0.49523,0.55394
33,33,2021,Owner,West,No,0.47642,1698,12532,0.45108,0.50392
34,34,2021,Owner,East,Yes,0.48203,509,12532,0.4231,0.53669
35,35,2021,Owner,East,No,0.51797,443,12532,0.45918,0.57864
36,36,2021,Tenant,West,Yes,0.5056,2849,12532,0.47825,0.52929
37,37,2021,Tenant,West,No,0.4944,2966,12532,0.46953,0.52653
38,38,2021,Tenant,East,Yes,0.49157,798,12532,0.44454,0.5323
39,39,2021,Tenant,East,No,0.50843,831,12532,0.46787,0.55133
