year,bula_h,sampreg,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,West,Yes,0.54050,326,628,0.50149,0.57951
2016,Schleswig-Holstein,West,No,0.45950,302,628,0.42049,0.49851
2016,Hamburg,West,Yes,0.62413,186,287,0.56800,0.68026
2016,Hamburg,West,No,0.37587,101,287,0.31974,0.43200
2016,Lower Saxony,West,Yes,0.59909,930,1570,0.57484,0.62334
2016,Lower Saxony,West,No,0.40091,640,1570,0.37666,0.42516
2016,Bremen,West,Yes,0.54769,69,129,0.46146,0.63391
2016,Bremen,West,No,0.45231,60,129,0.36609,0.53854
2016,North Rhine-Westphalia,West,Yes,0.60057,1985,3369,0.58403,0.61711
2016,North Rhine-Westphalia,West,No,0.39943,1384,3369,0.38289,0.41597
2016,Hesse,West,Yes,0.60188,666,1123,0.57324,0.63053
2016,Hesse,West,No,0.39812,457,1123,0.36947,0.42676
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.55254,532,1031,0.52218,0.58291
2016,"Rhineland-Palatinate, Saarland",West,No,0.44746,499,1031,0.41709,0.47782
2016,Baden-Wuerttemberg,West,Yes,0.61242,1118,1864,0.59030,0.63455
2016,Baden-Wuerttemberg,West,No,0.38758,746,1864,0.36545,0.40970
2016,Bavaria,West,Yes,0.62056,1611,2519,0.60160,0.63951
2016,Bavaria,West,No,0.37944,908,2519,0.36049,0.39840
2016,Berlin,West,Yes,0.70367,252,387,0.65812,0.74923
2016,Berlin,West,No,0.29633,135,387,0.25077,0.34188
2016,Berlin,East,Yes,0.58516,171,283,0.52766,0.64267
2016,Berlin,East,No,0.41484,112,283,0.35733,0.47234
2016,Brandenburg,East,Yes,0.49579,305,647,0.45723,0.53434
2016,Brandenburg,East,No,0.50421,342,647,0.46566,0.54277
2016,Mecklenburg-Western Pomerania,East,Yes,0.58086,198,377,0.53099,0.63074
2016,Mecklenburg-Western Pomerania,East,No,0.41914,179,377,0.36926,0.46901
2016,Saxony,East,Yes,0.57718,544,969,0.54606,0.60831
2016,Saxony,East,No,0.42282,425,969,0.39169,0.45394
2016,Saxony-Anhalt,East,Yes,0.50073,281,570,0.45965,0.54182
2016,Saxony-Anhalt,East,No,0.49927,289,570,0.45818,0.54035
2016,Thuringa,East,Yes,0.51211,316,607,0.47232,0.55191
2016,Thuringa,East,No,0.48789,291,607,0.44809,0.52768
2017,Schleswig-Holstein,West,Yes,0.70407,471,719,0.67068,0.73746
2017,Schleswig-Holstein,West,No,0.29593,248,719,0.26254,0.32932
2017,Hamburg,West,Yes,0.62101,213,334,0.56890,0.67311
2017,Hamburg,West,No,0.37899,121,334,0.32689,0.43110
2017,Lower Saxony,West,Yes,0.65576,1195,1897,0.63437,0.67715
2017,Lower Saxony,West,No,0.34424,702,1897,0.32285,0.36563
2017,Bremen,West,Yes,0.66294,96,181,0.59389,0.73200
2017,Bremen,West,No,0.33706,85,181,0.26800,0.40611
2017,North Rhine-Westphalia,West,Yes,0.63170,2273,3819,0.61639,0.64700
2017,North Rhine-Westphalia,West,No,0.36830,1546,3819,0.35300,0.38361
2017,Hesse,West,Yes,0.63627,755,1271,0.60982,0.66273
2017,Hesse,West,No,0.36373,516,1271,0.33727,0.39018
2017,"Rhineland-Palatinate, Saarland",West,Yes,0.57403,583,1065,0.54432,0.60374
2017,"Rhineland-Palatinate, Saarland",West,No,0.42597,482,1065,0.39626,0.45568
2017,Baden-Wuerttemberg,West,Yes,0.63286,1253,2006,0.61176,0.65396
2017,Baden-Wuerttemberg,West,No,0.36714,753,2006,0.34604,0.38824
2017,Bavaria,West,Yes,0.65538,1806,2751,0.63762,0.67314
2017,Bavaria,West,No,0.34462,945,2751,0.32686,0.36238
2017,Berlin,West,Yes,0.71662,281,405,0.67268,0.76056
2017,Berlin,West,No,0.28338,124,405,0.23944,0.32732
2017,Berlin,East,Yes,0.61911,197,318,0.56565,0.67256
2017,Berlin,East,No,0.38089,121,318,0.32744,0.43435
2017,Brandenburg,East,Yes,0.47952,346,703,0.44256,0.51647
2017,Brandenburg,East,No,0.52048,357,703,0.48353,0.55744
2017,Mecklenburg-Western Pomerania,East,Yes,0.58763,218,404,0.53957,0.63569
2017,Mecklenburg-Western Pomerania,East,No,0.41237,186,404,0.36431,0.46043
2017,Saxony,East,Yes,0.60901,635,1082,0.57992,0.63810
2017,Saxony,East,No,0.39099,447,1082,0.36190,0.42008
2017,Saxony-Anhalt,East,Yes,0.54049,326,628,0.50149,0.57950
2017,Saxony-Anhalt,East,No,0.45951,302,628,0.42050,0.49851
2017,Thuringa,East,Yes,0.52954,367,650,0.49114,0.56794
2017,Thuringa,East,No,0.47046,283,650,0.43206,0.50886
2018,Schleswig-Holstein,West,Yes,0.66601,419,676,0.63043,0.70159
2018,Schleswig-Holstein,West,No,0.33399,257,676,0.29841,0.36957
2018,Hamburg,West,Yes,0.72693,272,364,0.68110,0.77276
2018,Hamburg,West,No,0.27307,92,364,0.22724,0.31890
2018,Lower Saxony,West,Yes,0.65667,1194,1793,0.63469,0.67865
2018,Lower Saxony,West,No,0.34333,599,1793,0.32135,0.36531
2018,Bremen,West,Yes,0.75890,99,182,0.69658,0.82121
2018,Bremen,West,No,0.24110,83,182,0.17879,0.30342
2018,North Rhine-Westphalia,West,Yes,0.65142,2328,3761,0.63619,0.66665
2018,North Rhine-Westphalia,West,No,0.34858,1433,3761,0.33335,0.36381
2018,Hesse,West,Yes,0.66614,761,1232,0.63979,0.69248
2018,Hesse,West,No,0.33386,471,1232,0.30752,0.36021
2018,"Rhineland-Palatinate, Saarland",West,Yes,0.60220,600,1063,0.57276,0.63164
2018,"Rhineland-Palatinate, Saarland",West,No,0.39780,463,1063,0.36836,0.42724
2018,Baden-Wuerttemberg,West,Yes,0.68844,1214,1877,0.66748,0.70940
2018,Baden-Wuerttemberg,West,No,0.31156,663,1877,0.29060,0.33252
2018,Bavaria,West,Yes,0.68042,1796,2633,0.66261,0.69824
2018,Bavaria,West,No,0.31958,837,2633,0.30176,0.33739
2018,Berlin,West,Yes,0.70467,326,478,0.66373,0.74561
2018,Berlin,West,No,0.29533,152,478,0.25439,0.33627
2018,Berlin,East,Yes,0.59718,186,306,0.54214,0.65223
2018,Berlin,East,No,0.40282,120,306,0.34777,0.45786
2018,Brandenburg,East,Yes,0.52867,362,724,0.49228,0.56506
2018,Brandenburg,East,No,0.47133,362,724,0.43494,0.50772
2018,Mecklenburg-Western Pomerania,East,Yes,0.52715,212,419,0.47928,0.57501
2018,Mecklenburg-Western Pomerania,East,No,0.47285,207,419,0.42499,0.52072
2018,Saxony,East,Yes,0.61375,660,1059,0.58441,0.64308
2018,Saxony,East,No,0.38625,399,1059,0.35692,0.41559
2018,Saxony-Anhalt,East,Yes,0.54983,347,622,0.51070,0.58896
2018,Saxony-Anhalt,East,No,0.45017,275,622,0.41104,0.48930
2018,Thuringa,East,Yes,0.55686,378,646,0.51853,0.59520
2018,Thuringa,East,No,0.44314,268,646,0.40480,0.48147
2019,Schleswig-Holstein,West,Yes,0.70270,440,593,0.66588,0.73952
2019,Schleswig-Holstein,West,No,0.29730,153,593,0.26048,0.33412
2019,Hamburg,West,Yes,0.67146,275,359,0.62280,0.72011
2019,Hamburg,West,No,0.32854,84,359,0.27989,0.37720
2019,Lower Saxony,West,Yes,0.67925,1096,1495,0.65558,0.70292
2019,Lower Saxony,West,No,0.32075,399,1495,0.29708,0.34442
2019,Bremen,West,Yes,0.75027,100,100,0.66500,0.83554
2019,North Rhine-Westphalia,West,Yes,0.68396,2390,3277,0.66804,0.69988
2019,North Rhine-Westphalia,West,No,0.31604,887,3277,0.30012,0.33196
2019,Hesse,West,Yes,0.68470,811,1090,0.65711,0.71230
2019,Hesse,West,No,0.31530,279,1090,0.28770,0.34289
2019,"Rhineland-Palatinate, Saarland",West,Yes,0.62860,602,903,0.59707,0.66013
2019,"Rhineland-Palatinate, Saarland",West,No,0.37140,301,903,0.33987,0.40293
2019,Baden-Wuerttemberg,West,Yes,0.69621,1241,1691,0.67428,0.71813
2019,Baden-Wuerttemberg,West,No,0.30379,450,1691,0.28187,0.32572
2019,Bavaria,West,Yes,0.70501,1899,2530,0.68724,0.72279
2019,Bavaria,West,No,0.29499,631,2530,0.27721,0.31276
2019,Berlin,Does not apply,Yes,0.65569,42,42,0.51025,0.80113
2019,Berlin,West,Yes,0.70557,303,405,0.66113,0.75002
2019,Berlin,West,No,0.29443,102,405,0.24998,0.33887
2019,Berlin,East,Yes,0.67140,200,273,0.61558,0.72723
2019,Berlin,East,No,0.32860,73,273,0.27277,0.38442
2019,Brandenburg,East,Yes,0.58848,448,720,0.55251,0.62445
2019,Brandenburg,East,No,0.41152,272,720,0.37555,0.44749
2019,Mecklenburg-Western Pomerania,East,Yes,0.57403,250,403,0.52569,0.62237
2019,Mecklenburg-Western Pomerania,East,No,0.42597,153,403,0.37763,0.47431
2019,Saxony,East,Yes,0.61706,726,1038,0.58747,0.64664
2019,Saxony,East,No,0.38294,312,1038,0.35336,0.41253
2019,Saxony-Anhalt,East,Yes,0.63425,377,570,0.59467,0.67382
2019,Saxony-Anhalt,East,No,0.36575,193,570,0.32618,0.40533
2019,Thuringa,East,Yes,0.57180,378,585,0.53167,0.61193
2019,Thuringa,East,No,0.42820,207,585,0.38807,0.46833
2021,Schleswig-Holstein,West,Yes,0.65055,294,515,0.60933,0.69177
2021,Schleswig-Holstein,West,No,0.34945,221,515,0.30823,0.39067
2021,Hamburg,West,Yes,0.42468,163,308,0.36939,0.47998
2021,Hamburg,West,No,0.57532,145,308,0.52002,0.63061
2021,Lower Saxony,West,Yes,0.50628,635,1204,0.47803,0.53453
2021,Lower Saxony,West,No,0.49372,569,1204,0.46547,0.52197
2021,Bremen,West,Yes,0.46949,60,106,0.37403,0.56495
2021,Bremen,West,No,0.53051,46,106,0.43505,0.62597
2021,North Rhine-Westphalia,West,Yes,0.50883,1371,2681,0.48990,0.52775
2021,North Rhine-Westphalia,West,No,0.49117,1310,2681,0.47225,0.51010
2021,Hesse,West,Yes,0.50012,458,859,0.46666,0.53358
2021,Hesse,West,No,0.49988,401,859,0.46642,0.53334
2021,"Rhineland-Palatinate, Saarland",West,Yes,0.48014,314,640,0.44140,0.51887
2021,"Rhineland-Palatinate, Saarland",West,No,0.51986,326,640,0.48113,0.55860
2021,Baden-Wuerttemberg,West,Yes,0.52512,713,1350,0.49847,0.55177
2021,Baden-Wuerttemberg,West,No,0.47488,637,1350,0.44823,0.50153
2021,Bavaria,West,Yes,0.50167,1021,1876,0.47903,0.52430
2021,Bavaria,West,No,0.49833,855,1876,0.47570,0.52097
2021,Berlin,West,Yes,0.61716,259,413,0.57023,0.66410
2021,Berlin,West,No,0.38284,154,413,0.33590,0.42977
2021,Berlin,East,Yes,0.52020,145,243,0.45725,0.58315
2021,Berlin,East,No,0.47980,98,243,0.41685,0.54275
2021,Brandenburg,East,Yes,0.42897,215,481,0.38469,0.47325
2021,Brandenburg,East,No,0.57103,266,481,0.52675,0.61531
2021,Mecklenburg-Western Pomerania,East,Yes,0.48208,149,275,0.42291,0.54125
2021,Mecklenburg-Western Pomerania,East,No,0.51792,126,275,0.45875,0.57709
2021,Saxony,East,Yes,0.48240,372,769,0.44706,0.51774
2021,Saxony,East,No,0.51760,397,769,0.48226,0.55294
2021,Saxony-Anhalt,East,Yes,0.57842,213,400,0.52997,0.62688
2021,Saxony-Anhalt,East,No,0.42158,187,400,0.37312,0.47003
2021,Thuringa,East,Yes,0.47660,214,414,0.42843,0.52477
2021,Thuringa,East,No,0.52340,200,414,0.47523,0.57157
