,Unnamed: 0,year,quintil_oecd_hh,rentown,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,1st Quintile,Owner,Yes,0.36566,157,14257,0.30516,0.42959
1,1,2016,1st Quintile,Owner,No,0.63434,225,14257,0.54095,0.7082
2,2,2016,1st Quintile,Tenant,Yes,0.43816,1221,14257,0.40629,0.46709
3,3,2016,1st Quintile,Tenant,No,0.56184,1453,14257,0.53156,0.59622
4,4,2016,2nd Quintile,Owner,Yes,0.49118,569,14257,0.44091,0.53825
5,5,2016,2nd Quintile,Owner,No,0.50882,460,14257,0.45794,0.55566
6,6,2016,2nd Quintile,Tenant,Yes,0.49981,1140,14257,0.46614,0.5347
7,7,2016,2nd Quintile,Tenant,No,0.50019,923,14257,0.46622,0.5421
8,8,2016,3rd Quintile,Owner,Yes,0.56943,844,14257,0.52789,0.61819
9,9,2016,3rd Quintile,Owner,No,0.43057,534,14257,0.39369,0.46766
10,10,2016,3rd Quintile,Tenant,Yes,0.63288,899,14257,0.58771,0.67861
11,11,2016,3rd Quintile,Tenant,No,0.36712,463,14257,0.33407,0.39695
12,12,2016,4th Quintile,Owner,Yes,0.64836,1100,14257,0.60457,0.68699
13,13,2016,4th Quintile,Owner,No,0.35164,457,14257,0.32307,0.37866
14,14,2016,4th Quintile,Tenant,Yes,0.72118,836,14257,0.66835,0.77467
15,15,2016,4th Quintile,Tenant,No,0.27882,259,14257,0.24926,0.31649
16,16,2016,5th Quintile,Owner,Yes,0.75965,1537,14257,0.72837,0.80062
17,17,2016,5th Quintile,Owner,No,0.24035,405,14257,0.22015,0.2637
18,18,2016,5th Quintile,Tenant,Yes,0.77878,620,14257,0.70137,0.8479
19,19,2016,5th Quintile,Tenant,No,0.22122,155,14257,0.18887,0.2536
20,20,2017,1st Quintile,Owner,Yes,0.4827,194,17387,0.39736,0.57512
21,21,2017,1st Quintile,Owner,No,0.5173,182,17387,0.4324,0.59988
22,22,2017,1st Quintile,Tenant,Yes,0.46679,1789,17387,0.43682,0.49613
23,23,2017,1st Quintile,Tenant,No,0.53321,2653,17387,0.50207,0.56463
24,24,2017,2nd Quintile,Owner,Yes,0.51337,636,17387,0.48101,0.55766
25,25,2017,2nd Quintile,Owner,No,0.48663,466,17387,0.44942,0.52866
26,26,2017,2nd Quintile,Tenant,Yes,0.54465,1286,17387,0.51028,0.58176
27,27,2017,2nd Quintile,Tenant,No,0.45535,940,17387,0.42422,0.49215
28,28,2017,3rd Quintile,Owner,Yes,0.61647,1010,17387,0.58153,0.65733
29,29,2017,3rd Quintile,Owner,No,0.38353,497,17387,0.35183,0.41634
30,30,2017,3rd Quintile,Tenant,Yes,0.6698,1105,17387,0.62667,0.72236
31,31,2017,3rd Quintile,Tenant,No,0.3302,475,17387,0.30128,0.35607
32,32,2017,4th Quintile,Owner,Yes,0.67799,1308,17387,0.63411,0.71685
33,33,2017,4th Quintile,Owner,No,0.32201,488,17387,0.2914,0.34852
34,34,2017,4th Quintile,Tenant,Yes,0.73079,955,17387,0.67841,0.7731
35,35,2017,4th Quintile,Tenant,No,0.26921,290,17387,0.24185,0.30772
36,36,2017,5th Quintile,Owner,Yes,0.79009,1853,17387,0.75121,0.82584
37,37,2017,5th Quintile,Owner,No,0.20991,415,17387,0.19066,0.23456
38,38,2017,5th Quintile,Tenant,Yes,0.81852,701,17387,0.7643,0.88143
39,39,2017,5th Quintile,Tenant,No,0.18148,144,17387,0.15671,0.2097
40,40,2018,1st Quintile,Owner,Yes,0.43892,191,17687,0.35545,0.52037
41,41,2018,1st Quintile,Owner,No,0.56108,184,17687,0.47881,0.65139
42,42,2018,1st Quintile,Tenant,Yes,0.45019,2014,17687,0.42064,0.48096
43,43,2018,1st Quintile,Tenant,No,0.54981,2902,17687,0.51608,0.58813
44,44,2018,2nd Quintile,Owner,Yes,0.58085,669,17687,0.52727,0.62459
