year,bula_h,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No,0.99245,292,292,0.98251,1.00240
2009,Lower Saxony,No,0.96312,867,867,0.95057,0.97568
2009,Bremen,No,0.99705,71,71,0.98435,1.00975
2009,North Rhine-Westphalia,Yes,0.01558,34,1992,0.01014,0.02103
2009,North Rhine-Westphalia,No,0.98442,1958,1992,0.97897,0.98986
2009,Hesse,No,0.97897,665,665,0.96806,0.98989
2009,"Rhineland-Palatinate, Saarland",No,0.98850,558,558,0.97965,0.99736
2009,Baden-Wuerttemberg,No,0.98411,1093,1093,0.97669,0.99152
2009,Bavaria,Yes,0.02116,41,1409,0.01364,0.02868
2009,Bavaria,No,0.97884,1368,1409,0.97132,0.98636
2009,Berlin,No,0.99798,422,422,0.99369,1.00227
2009,Brandenburg,No,0.98853,428,428,0.97843,0.99863
2009,Mecklenburg-Western Pomerania,No,0.97884,256,256,0.96118,0.99651
2009,Saxony,No,0.98127,718,718,0.97135,0.99119
2009,Saxony-Anhalt,No,0.98329,407,407,0.97082,0.99576
2009,Thuringa,No,0.99800,436,436,0.99381,1.00220
2010,Schleswig-Holstein,No,0.98209,439,439,0.96966,0.99451
2010,Hamburg,No,0.99687,237,237,0.98975,1.00400
2010,Lower Saxony,Yes,0.02263,31,1255,0.01440,0.03087
2010,Lower Saxony,No,0.97737,1224,1255,0.96913,0.98560
2010,North Rhine-Westphalia,Yes,0.01880,73,2799,0.01377,0.02383
2010,North Rhine-Westphalia,No,0.98120,2726,2799,0.97617,0.98623
2010,Hesse,No,0.98515,930,930,0.97737,0.99293
2010,"Rhineland-Palatinate, Saarland",No,0.98593,744,744,0.97746,0.99440
2010,Baden-Wuerttemberg,Yes,0.02234,54,1614,0.01513,0.02955
2010,Baden-Wuerttemberg,No,0.97766,1560,1614,0.97045,0.98487
2010,Bavaria,Yes,0.02744,88,2021,0.02032,0.03457
2010,Bavaria,No,0.97256,1933,2021,0.96543,0.97968
2010,Berlin,No,0.99807,585,585,0.99452,1.00163
2010,Brandenburg,No,0.98975,545,545,0.98128,0.99821
2010,Mecklenburg-Western Pomerania,No,0.96636,342,342,0.94723,0.98550
2010,Saxony,No,0.97673,897,897,0.96685,0.98660
2010,Saxony-Anhalt,No,0.97658,517,517,0.96353,0.98963
2010,Thuringa,No,0.99166,523,523,0.98386,0.99946
2011,Schleswig-Holstein,No,0.97822,590,590,0.96643,0.99001
2011,Hamburg,No,0.99253,262,262,0.98208,1.00298
2011,Lower Saxony,Yes,0.02992,53,1510,0.02132,0.03851
2011,Lower Saxony,No,0.97008,1457,1510,0.96149,0.97868
2011,Bremen,No,0.99921,120,120,0.99418,1.00425
2011,North Rhine-Westphalia,Yes,0.02239,92,3285,0.01733,0.02746
2011,North Rhine-Westphalia,No,0.97761,3193,3285,0.97254,0.98267
2011,Hesse,No,0.98104,1122,1122,0.97305,0.98902
2011,"Rhineland-Palatinate, Saarland",Yes,0.02429,36,941,0.01445,0.03414
2011,"Rhineland-Palatinate, Saarland",No,0.97571,905,941,0.96586,0.98555
2011,Baden-Wuerttemberg,Yes,0.03290,96,1995,0.02507,0.04073
2011,Baden-Wuerttemberg,No,0.96710,1899,1995,0.95927,0.97493
2011,Bavaria,Yes,0.03398,129,2568,0.02697,0.04099
2011,Bavaria,No,0.96602,2439,2568,0.95901,0.97303
2011,Berlin,No,0.99695,666,666,0.99275,1.00114
2011,Brandenburg,No,0.98615,664,664,0.97725,0.99505
2011,Mecklenburg-Western Pomerania,No,0.96990,394,394,0.95301,0.98679
2011,Saxony,No,0.96997,1020,1020,0.95949,0.98045
2011,Saxony-Anhalt,No,0.98565,640,640,0.97643,0.99487
2011,Thuringa,No,0.98367,638,638,0.97383,0.99352
2012,Schleswig-Holstein,No,0.96881,587,587,0.95474,0.98289
2012,Hamburg,No,0.99627,269,269,0.98897,1.00357
2012,Lower Saxony,Yes,0.03261,53,1480,0.02355,0.04166
