year,bula_h,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Owner,No,0.98568,157,157,0.96704,1.00433
2009,Lower Saxony,Owner,No,0.94448,501,501,0.92441,0.96456
2009,Lower Saxony,Tenant,No,0.98283,366,366,0.96951,0.99616
2009,North Rhine-Westphalia,Owner,No,0.96795,935,935,0.95666,0.97925
2009,North Rhine-Westphalia,Tenant,No,0.99624,1023,1023,0.99249,0.99999
2009,Hesse,Owner,No,0.96245,333,333,0.94200,0.98290
2009,Hesse,Tenant,No,0.99146,332,332,0.98154,1.00137
2009,"Rhineland-Palatinate, Saarland",Owner,No,0.97973,321,321,0.96429,0.99517
2009,"Rhineland-Palatinate, Saarland",Tenant,No,0.99833,237,237,0.99312,1.00354
2009,Baden-Wuerttemberg,Owner,No,0.97195,599,599,0.95871,0.98518
2009,Baden-Wuerttemberg,Tenant,No,0.99750,494,494,0.99310,1.00191
2009,Bavaria,Owner,Yes,0.03015,35,788,0.01820,0.04210
2009,Bavaria,Owner,No,0.96985,753,788,0.95790,0.98180
2009,Bavaria,Tenant,No,0.98789,615,615,0.97924,0.99654
2009,Berlin,Owner,No,0.98781,87,87,0.96462,1.01100
2009,Brandenburg,Owner,No,0.97883,176,176,0.95750,1.00016
2009,Brandenburg,Tenant,No,0.99444,252,252,0.98524,1.00364
2009,Mecklenburg-Western Pomerania,Owner,No,0.95161,119,119,0.91290,0.99033
2009,Mecklenburg-Western Pomerania,Tenant,No,0.99830,137,137,0.99137,1.00523
2009,Saxony,Owner,No,0.94485,274,274,0.91777,0.97193
2009,Saxony,Tenant,No,0.99910,444,444,0.99632,1.00189
2009,Saxony-Anhalt,Owner,No,0.96819,194,194,0.94344,0.99295
2009,Saxony-Anhalt,Tenant,No,0.99332,213,213,0.98236,1.00429
2009,Thuringa,Owner,No,0.99661,222,222,0.98894,1.00427
2009,Thuringa,Tenant,No,0.99918,214,214,0.99535,1.00302
2010,Schleswig-Holstein,Owner,No,0.96454,205,205,0.93916,0.98992
2010,Schleswig-Holstein,Tenant,No,0.99923,234,234,0.99566,1.00279
2010,Hamburg,Owner,No,0.99287,57,57,0.97084,1.01491
2010,Hamburg,Tenant,No,0.99796,180,180,0.99136,1.00457
2010,Lower Saxony,Owner,No,0.96381,634,634,0.94926,0.97836
2010,Lower Saxony,Tenant,No,0.99236,590,590,0.98532,0.99939
2010,North Rhine-Westphalia,Owner,Yes,0.03298,53,1228,0.02299,0.04298
2010,North Rhine-Westphalia,Owner,No,0.96702,1175,1228,0.95702,0.97701
2010,North Rhine-Westphalia,Tenant,No,0.99228,1551,1551,0.98792,0.99664
2010,Hesse,Owner,No,0.97087,406,406,0.95449,0.98725
2010,Hesse,Tenant,No,0.99752,524,524,0.99327,1.00178
2010,"Rhineland-Palatinate, Saarland",Owner,No,0.97426,413,413,0.95897,0.98955
2010,"Rhineland-Palatinate, Saarland",Tenant,No,0.99956,331,331,0.99729,1.00183
2010,Baden-Wuerttemberg,Owner,Yes,0.03186,42,841,0.01998,0.04374
2010,Baden-Wuerttemberg,Owner,No,0.96814,799,841,0.95626,0.98002
2010,Baden-Wuerttemberg,Tenant,No,0.98888,761,761,0.98142,0.99634
2010,Bavaria,Owner,Yes,0.04625,76,1077,0.03370,0.05880
2010,Bavaria,Owner,No,0.95375,1001,1077,0.94120,0.96630
2010,Bavaria,Tenant,No,0.99433,932,932,0.98951,0.99915
2010,Berlin,Owner,No,0.98863,102,102,0.96795,1.00931
2010,Berlin,Tenant,No,0.99978,483,483,0.99845,1.00110
2010,Brandenburg,Owner,No,0.97293,212,212,0.95103,0.99483
2010,Mecklenburg-Western Pomerania,Owner,No,0.94275,128,128,0.90235,0.98316
