year,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Owner,Yes,0.03171,181,4927,0.02682,0.03660
2009,Owner,No,0.96829,4746,4927,0.96340,0.97318
2009,Tenant,Yes,0.00542,32,4997,0.00339,0.00746
2009,Tenant,No,0.99458,4965,4997,0.99254,0.99661
2010,Owner,Yes,0.03497,320,6284,0.03043,0.03951
2010,Owner,No,0.96503,5964,6284,0.96049,0.96957
2010,Tenant,Yes,0.00569,72,7414,0.00398,0.00740
2010,Tenant,No,0.99431,7342,7414,0.99260,0.99602
2011,Owner,Yes,0.04435,449,7693,0.03975,0.04895
2011,Owner,No,0.95565,7244,7693,0.95105,0.96025
2011,Tenant,Yes,0.00776,90,8855,0.00593,0.00959
2011,Tenant,No,0.99224,8765,8855,0.99041,0.99407
2012,Owner,Yes,0.04892,454,7581,0.04406,0.05378
2012,Owner,No,0.95108,7127,7581,0.94622,0.95594
2012,Tenant,Yes,0.00812,85,8693,0.00623,0.01000
2012,Tenant,No,0.99188,8608,8693,0.99000,0.99377
2013,Owner,Yes,0.04799,485,7706,0.04321,0.05276
2013,Owner,No,0.95201,7221,7706,0.94724,0.95679
2013,Tenant,Yes,0.00913,84,10154,0.00728,0.01098
2013,Tenant,No,0.99087,10070,10154,0.98902,0.99272
2014,Owner,Yes,0.05652,495,7048,0.05113,0.06191
2014,Owner,No,0.94348,6553,7048,0.93809,0.94887
2014,Tenant,Yes,0.01404,107,8766,0.01158,0.01650
2014,Tenant,No,0.98596,8659,8766,0.98350,0.98842
2015,Owner,Yes,0.04811,455,6733,0.04300,0.05322
2015,Owner,No,0.95189,6278,6733,0.94678,0.95700
2015,Tenant,Yes,0.01491,114,9005,0.01241,0.01741
2015,Tenant,No,0.98509,8891,9005,0.98259,0.98759
2016,Owner,Yes,0.05925,439,6300,0.05342,0.06508
2016,Owner,No,0.94075,5861,6300,0.93492,0.94658
2016,Tenant,Yes,0.01048,92,7985,0.00825,0.01271
2016,Tenant,No,0.98952,7893,7985,0.98729,0.99175
2017,Owner,Yes,0.06129,526,7058,0.05569,0.06688
2017,Owner,No,0.93871,6532,7058,0.93312,0.94431
2017,Tenant,Yes,0.01605,134,8588,0.01340,0.01871
2017,Tenant,No,0.98395,8454,8588,0.98129,0.98660
2018,Owner,Yes,0.06590,515,6747,0.05998,0.07182
2018,Owner,No,0.93410,6232,6747,0.92818,0.94002
2018,Tenant,Yes,0.01584,129,8671,0.01321,0.01846
2018,Tenant,No,0.98416,8542,8671,0.98154,0.98679
2019,Owner,Yes,0.06036,450,5934,0.05430,0.06642
2019,Owner,No,0.93964,5484,5934,0.93358,0.94570
2019,Tenant,Yes,0.01643,110,6670,0.01338,0.01948
2019,Tenant,No,0.98357,6560,6670,0.98052,0.98662
2020,Owner,Yes,0.05301,527,6934,0.04774,0.05829
2020,Owner,No,0.94699,6407,6934,0.94171,0.95226
2020,Tenant,Yes,0.01895,154,9265,0.01617,0.02173
2020,Tenant,No,0.98105,9111,9265,0.97827,0.98383
2021,Owner,Yes,0.05673,355,4641,0.05008,0.06339
2021,Owner,No,0.94327,4286,4641,0.93661,0.94992
2021,Tenant,Yes,0.01953,87,5275,0.01579,0.02326
2021,Tenant,No,0.98047,5188,5275,0.97674,0.98421
2022,Owner,Yes,0.07732,838,7829,0.07140,0.08324
2022,Owner,No,0.92268,6991,7829,0.91676,0.92860
2022,Tenant,Yes,0.02896,396,11313,0.02587,0.03205
2022,Tenant,No,0.97104,10917,11313,0.96795,0.97413
