year,regtyp,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,West,Yes,0.01209,97,5670,0.00924,0.01493
2009,Urban regions,West,No,0.98791,5573,5670,0.98507,0.99076
2009,Urban regions,East,No,0.99540,861,861,0.99088,0.99992
2009,Rural regions,West,Yes,0.03655,65,1766,0.02780,0.04531
2009,Rural regions,West,No,0.96345,1701,1766,0.95469,0.97220
2009,Rural regions,East,Yes,0.01840,44,1620,0.01185,0.02495
2009,Rural regions,East,No,0.98160,1576,1620,0.97505,0.98815
2010,Urban regions,West,Yes,0.01507,192,7898,0.01238,0.01775
2010,Urban regions,West,No,0.98493,7706,7898,0.98225,0.98762
2010,Urban regions,East,No,0.99112,1093,1093,0.98556,0.99669
2010,Rural regions,West,Yes,0.03277,119,2662,0.02601,0.03954
2010,Rural regions,West,No,0.96723,2543,2662,0.96046,0.97399
2010,Rural regions,East,Yes,0.02332,62,2026,0.01675,0.02990
2010,Rural regions,East,No,0.97668,1964,2026,0.97010,0.98325
2011,Urban regions,West,Yes,0.02095,281,9390,0.01805,0.02385
2011,Urban regions,West,No,0.97905,9109,9390,0.97615,0.98195
2011,Urban regions,East,No,0.98592,1309,1309,0.97953,0.99230
2011,Rural regions,West,Yes,0.03952,174,3427,0.03299,0.04604
2011,Rural regions,West,No,0.96048,3253,3427,0.95396,0.96701
2011,Rural regions,East,Yes,0.02323,62,2400,0.01720,0.02926
2011,Rural regions,East,No,0.97677,2338,2400,0.97074,0.98280
2012,Urban regions,West,Yes,0.02472,297,9130,0.02154,0.02791
2012,Urban regions,West,No,0.97528,8833,9130,0.97209,0.97846
2012,Urban regions,East,No,0.98703,1272,1272,0.98081,0.99325
2012,Rural regions,West,Yes,0.03692,150,3439,0.03062,0.04322
2012,Rural regions,West,No,0.96308,3289,3439,0.95678,0.96938
2012,Rural regions,East,Yes,0.02712,67,2408,0.02063,0.03361
2012,Rural regions,East,No,0.97288,2341,2408,0.96639,0.97937
2013,Urban regions,West,Yes,0.02420,312,10529,0.02126,0.02713
2013,Urban regions,West,No,0.97580,10217,10529,0.97287,0.97874
2013,Urban regions,East,No,0.98400,1293,1293,0.97716,0.99084
2013,Rural regions,West,Yes,0.03875,172,3676,0.03251,0.04499
2013,Rural regions,West,No,0.96125,3504,3676,0.95501,0.96749
2013,Rural regions,East,Yes,0.02569,63,2340,0.01927,0.03210
2013,Rural regions,East,No,0.97431,2277,2340,0.96790,0.98073
2014,Urban regions,West,Yes,0.03056,328,9175,0.02704,0.03408
2014,Urban regions,West,No,0.96944,8847,9175,0.96592,0.97296
2014,Urban regions,East,No,0.98568,1192,1192,0.97894,0.99243
2014,Rural regions,West,Yes,0.04929,183,3262,0.04186,0.05672
2014,Rural regions,West,No,0.95071,3079,3262,0.94328,0.95814
2014,Rural regions,East,Yes,0.03078,67,2161,0.02350,0.03807
2014,Rural regions,East,No,0.96922,2094,2161,0.96193,0.97650
2015,Urban regions,West,Yes,0.02642,294,9162,0.02314,0.02971
2015,Urban regions,West,No,0.97358,8868,9162,0.97029,0.97686
2015,Urban regions,East,No,0.98141,1176,1176,0.97368,0.98913
2015,Rural regions,West,Yes,0.04451,175,3300,0.03747,0.05154
2015,Rural regions,West,No,0.95549,3125,3300,0.94846,0.96253
2015,Rural regions,East,Yes,0.03079,72,2072,0.02335,0.03823
2015,Rural regions,East,No,0.96921,2000,2072,0.96177,0.97665
2016,Urban regions,West,Yes,0.02927,281,8246,0.02563,0.03291
2016,Urban regions,West,No,0.97073,7965,8246,0.96709,0.97437
2016,Urban regions,East,No,0.97691,1099,1099,0.96803,0.98580
2016,Rural regions,West,Yes,0.04727,163,2971,0.03964,0.05490
2016,Rural regions,West,No,0.95273,2808,2971,0.94510,0.96036
2016,Rural regions,East,Yes,0.03415,65,1948,0.02609,0.04222
2016,Rural regions,East,No,0.96585,1883,1948,0.95778,0.97391
2017,Urban regions,West,Yes,0.03421,354,8994,0.03045,0.03796
2017,Urban regions,West,No,0.96579,8640,8994,0.96204,0.96955
2017,Urban regions,East,No,0.97745,1203,1203,0.96906,0.98584
2017,Rural regions,West,Yes,0.05551,203,3242,0.04763,0.06340
2017,Rural regions,West,No,0.94449,3039,3242,0.93660,0.95237
2017,Rural regions,East,Yes,0.02952,76,2180,0.02242,0.03663
2017,Rural regions,East,No,0.97048,2104,2180,0.96337,0.97758
2018,Urban regions,West,Yes,0.03470,344,8906,0.03090,0.03850
2018,Urban regions,West,No,0.96530,8562,8906,0.96150,0.96910
2018,Urban regions,East,No,0.97636,1217,1217,0.96782,0.98490
2018,Rural regions,West,Yes,0.05977,191,3090,0.05141,0.06813
2018,Rural regions,West,No,0.94023,2899,3090,0.93187,0.94859
2018,Rural regions,East,Yes,0.03784,79,2175,0.02981,0.04586
2018,Rural regions,East,No,0.96216,2096,2175,0.95414,0.97019
2019,Urban regions,West,Yes,0.03213,292,7212,0.02806,0.03620
2019,Urban regions,West,No,0.96787,6920,7212,0.96380,0.97194
2019,Urban regions,East,No,0.97298,994,994,0.96290,0.98307
2019,Rural regions,West,Yes,0.06007,171,2549,0.05084,0.06930
2019,Rural regions,West,No,0.93993,2378,2549,0.93070,0.94916
2019,Rural regions,East,Yes,0.03728,72,1824,0.02858,0.04598
2019,Rural regions,East,No,0.96272,1752,1824,0.95402,0.97142
2020,Urban regions,West,Yes,0.02913,351,9651,0.02577,0.03248
2020,Urban regions,West,No,0.97087,9300,9651,0.96752,0.97423
2020,Urban regions,East,Yes,0.02049,33,1284,0.01274,0.02824
2020,Urban regions,East,No,0.97951,1251,1284,0.97176,0.98726
2020,Rural regions,West,Yes,0.05274,186,3132,0.04491,0.06056
2020,Rural regions,West,No,0.94726,2946,3132,0.93944,0.95509
2020,Rural regions,East,Yes,0.04414,111,2132,0.03542,0.05286
2020,Rural regions,East,No,0.95586,2021,2132,0.94714,0.96458
2021,Urban regions,West,Yes,0.03000,230,5784,0.02560,0.03439
2021,Urban regions,West,No,0.97000,5554,5784,0.96561,0.97440
2021,Urban regions,East,No,0.97337,790,790,0.96213,0.98460
2021,Rural regions,West,Yes,0.05674,126,1968,0.04652,0.06697
2021,Rural regions,West,No,0.94326,1842,1968,0.93303,0.95348
2021,Rural regions,East,Yes,0.04901,66,1358,0.03753,0.06050
2021,Rural regions,East,No,0.95099,1292,1358,0.93950,0.96247
2022,Urban regions,West,Yes,0.04533,683,11472,0.04152,0.04914
2022,Urban regions,West,No,0.95467,10789,11472,0.95086,0.95848
2022,Urban regions,East,Yes,0.02807,53,1627,0.02004,0.03610
2022,Urban regions,East,No,0.97193,1574,1627,0.96390,0.97996
2022,Rural regions,West,Yes,0.07732,322,3493,0.06846,0.08618
2022,Rural regions,West,No,0.92268,3171,3493,0.91382,0.93154
2022,Rural regions,East,Yes,0.05385,177,2564,0.04511,0.06259
2022,Rural regions,East,No,0.94615,2387,2564,0.93741,0.95489
