year,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.01789,162,7436,0.01488,0.02090
2009,West,No,0.98211,7274,7436,0.97910,0.98512
2009,East,Yes,0.01344,51,2488,0.00892,0.01797
2009,East,No,0.98656,2437,2488,0.98203,0.99108
2010,West,Yes,0.01932,311,10560,0.01669,0.02194
2010,West,No,0.98068,10249,10560,0.97806,0.98331
2010,East,Yes,0.01799,81,3138,0.01334,0.02264
2010,East,No,0.98201,3057,3138,0.97736,0.98666
2011,West,Yes,0.02548,455,12817,0.02275,0.02820
2011,West,No,0.97452,12362,12817,0.97180,0.97725
2011,East,Yes,0.01990,84,3731,0.01542,0.02438
2011,East,No,0.98010,3647,3731,0.97562,0.98458
2012,West,Yes,0.02774,447,12569,0.02486,0.03061
2012,West,No,0.97226,12122,12569,0.96939,0.97514
2012,East,Yes,0.02207,92,3705,0.01734,0.02680
2012,East,No,0.97793,3613,3705,0.97320,0.98266
2013,West,Yes,0.02781,484,14205,0.02511,0.03052
2013,West,No,0.97219,13721,14205,0.96948,0.97489
2013,East,Yes,0.02229,85,3655,0.01751,0.02708
2013,East,No,0.97771,3570,3655,0.97292,0.98249
2014,West,Yes,0.03522,511,12437,0.03198,0.03846
2014,West,No,0.96478,11926,12437,0.96154,0.96802
2014,East,Yes,0.02485,91,3377,0.01960,0.03010
2014,East,No,0.97515,3286,3377,0.96990,0.98040
2015,West,Yes,0.03093,469,12462,0.02789,0.03397
2015,West,No,0.96907,11993,12462,0.96603,0.97211
2015,East,Yes,0.02632,100,3276,0.02083,0.03180
2015,East,No,0.97368,3176,3276,0.96820,0.97917
2016,West,Yes,0.03371,444,11217,0.03037,0.03705
2016,West,No,0.96629,10773,11217,0.96295,0.96963
2016,East,Yes,0.03010,87,3069,0.02405,0.03615
2016,East,No,0.96990,2982,3069,0.96385,0.97595
2017,West,Yes,0.03931,557,12236,0.03586,0.04275
2017,West,No,0.96069,11679,12236,0.95725,0.96414
2017,East,Yes,0.02695,103,3410,0.02151,0.03238
2017,East,No,0.97305,3307,3410,0.96762,0.97849
2018,West,Yes,0.04075,535,11996,0.03721,0.04429
2018,West,No,0.95925,11461,11996,0.95571,0.96279
2018,East,Yes,0.03258,109,3422,0.02663,0.03853
2018,East,No,0.96742,3313,3422,0.96147,0.97337
2019,West,Yes,0.03891,463,9761,0.03507,0.04274
2019,West,No,0.96109,9298,9761,0.95726,0.96493
2019,East,Yes,0.03357,97,2843,0.02695,0.04019
2019,East,No,0.96643,2746,2843,0.95981,0.97305
2020,West,Yes,0.03485,537,12783,0.03167,0.03803
2020,West,No,0.96515,12246,12783,0.96197,0.96833
2020,East,Yes,0.03550,144,3416,0.02929,0.04171
2020,East,No,0.96450,3272,3416,0.95829,0.97071
2021,West,Yes,0.03664,356,7752,0.03246,0.04083
2021,West,No,0.96336,7396,7752,0.95917,0.96754
2021,East,Yes,0.04163,86,2168,0.03322,0.05004
2021,East,No,0.95837,2082,2168,0.94996,0.96678
2022,West,Yes,0.05335,1005,14965,0.04974,0.05695
2022,West,No,0.94665,13960,14965,0.94305,0.95026
2022,East,Yes,0.04379,230,4191,0.03760,0.04999
2022,East,No,0.95621,3961,4191,0.95001,0.96240
