year,quintil_oecd_hh,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Owner,No,0.98397,292,292,0.96955,0.99840
2009,1st Quintile,Tenant,No,0.99446,1449,1449,0.99064,0.99828
2009,2nd Quintile,Owner,No,0.97619,662,662,0.96456,0.98781
2009,2nd Quintile,Tenant,No,0.99660,1161,1161,0.99325,0.99995
2009,3rd Quintile,Owner,No,0.98107,954,954,0.97241,0.98972
2009,3rd Quintile,Tenant,No,0.99679,919,919,0.99313,1.00045
2009,4th Quintile,Owner,Yes,0.03429,45,1225,0.02409,0.04448
2009,4th Quintile,Owner,No,0.96571,1180,1225,0.95552,0.97591
2009,4th Quintile,Tenant,No,0.99016,775,775,0.98320,0.99711
2009,5th Quintile,Owner,Yes,0.04663,93,1750,0.03675,0.05651
2009,5th Quintile,Owner,No,0.95337,1657,1750,0.94349,0.96325
2009,5th Quintile,Tenant,No,0.99307,658,658,0.98673,0.99942
2010,1st Quintile,Owner,No,0.99143,449,449,0.98289,0.99997
2010,1st Quintile,Tenant,No,0.99352,2650,2650,0.99046,0.99657
2010,2nd Quintile,Owner,Yes,0.02082,47,1112,0.01243,0.02922
2010,2nd Quintile,Owner,No,0.97918,1065,1112,0.97078,0.98757
2010,2nd Quintile,Tenant,No,0.99525,1780,1780,0.99205,0.99844
2010,3rd Quintile,Owner,Yes,0.01958,67,1325,0.01211,0.02704
2010,3rd Quintile,Owner,No,0.98042,1258,1325,0.97296,0.98789
2010,3rd Quintile,Tenant,No,0.99465,1203,1203,0.99053,0.99877
2010,4th Quintile,Owner,Yes,0.04087,85,1487,0.03080,0.05093
2010,4th Quintile,Owner,No,0.95913,1402,1487,0.94907,0.96920
2010,4th Quintile,Tenant,No,0.99155,933,933,0.98567,0.99742
2010,5th Quintile,Owner,Yes,0.05615,114,1904,0.04581,0.06649
2010,5th Quintile,Owner,No,0.94385,1790,1904,0.93351,0.95419
2010,5th Quintile,Tenant,No,0.99737,772,772,0.99376,1.00099
2011,1st Quintile,Owner,No,0.98404,566,566,0.97370,0.99437
2011,1st Quintile,Tenant,No,0.99057,3082,3082,0.98716,0.99399
2011,2nd Quintile,Owner,Yes,0.02105,50,1300,0.01325,0.02886
2011,2nd Quintile,Owner,No,0.97895,1250,1300,0.97114,0.98675
2011,2nd Quintile,Tenant,No,0.99575,2091,2091,0.99297,0.99854
2011,3rd Quintile,Owner,Yes,0.03349,87,1656,0.02482,0.04216
2011,3rd Quintile,Owner,No,0.96651,1569,1656,0.95784,0.97518
2011,3rd Quintile,Tenant,No,0.99397,1542,1542,0.99010,0.99783
2011,4th Quintile,Owner,Yes,0.05641,142,1869,0.04595,0.06687
2011,4th Quintile,Owner,No,0.94359,1727,1869,0.93313,0.95405
2011,4th Quintile,Tenant,No,0.99486,1174,1174,0.99077,0.99895
2011,5th Quintile,Owner,Yes,0.06151,152,2284,0.05165,0.07137
2011,5th Quintile,Owner,No,0.93849,2132,2284,0.92863,0.94835
2011,5th Quintile,Tenant,No,0.98331,873,873,0.97480,0.99181
2012,1st Quintile,Owner,No,0.97825,513,513,0.96562,0.99089
2012,1st Quintile,Tenant,No,0.99039,3037,3037,0.98692,0.99386
2012,2nd Quintile,Owner,Yes,0.03646,61,1220,0.02593,0.04698
2012,2nd Quintile,Owner,No,0.96354,1159,1220,0.95302,0.97407
2012,2nd Quintile,Tenant,No,0.99844,2074,2074,0.99674,1.00014
2012,3rd Quintile,Owner,Yes,0.03319,88,1645,0.02453,0.04185
2012,3rd Quintile,Owner,No,0.96681,1557,1645,0.95815,0.97547
2012,3rd Quintile,Tenant,No,0.98819,1532,1532,0.98278,0.99360
2012,4th Quintile,Owner,Yes,0.05379,126,1897,0.04363,0.06394
2012,4th Quintile,Owner,No,0.94621,1771,1897,0.93606,0.95637
2012,4th Quintile,Tenant,No,0.99119,1111,1111,0.98570,0.99669
2012,5th Quintile,Owner,Yes,0.06817,160,2286,0.05784,0.07851
2012,5th Quintile,Owner,No,0.93183,2126,2286,0.92149,0.94216
2012,5th Quintile,Tenant,No,0.98924,849,849,0.98229,0.99618
2013,1st Quintile,Owner,No,0.98005,552,552,0.96837,0.99172
2013,1st Quintile,Tenant,No,0.99293,3642,3642,0.99021,0.99565
2013,2nd Quintile,Owner,Yes,0.03308,62,1271,0.02325,0.04292
2013,2nd Quintile,Owner,No,0.96692,1209,1271,0.95708,0.97675
2013,2nd Quintile,Tenant,No,0.99159,2570,2570,0.98806,0.99512
2013,3rd Quintile,Owner,Yes,0.03532,101,1711,0.02657,0.04407
2013,3rd Quintile,Owner,No,0.96468,1610,1711,0.95593,0.97343
2013,3rd Quintile,Tenant,No,0.99448,1657,1657,0.99091,0.99805
2013,4th Quintile,Owner,Yes,0.05641,129,1823,0.04582,0.06700
2013,4th Quintile,Owner,No,0.94359,1694,1823,0.93300,0.95418
2013,4th Quintile,Tenant,No,0.98725,1274,1274,0.98108,0.99341
2013,5th Quintile,Owner,Yes,0.06378,166,2322,0.05384,0.07372
2013,5th Quintile,Owner,No,0.93622,2156,2322,0.92628,0.94616
2013,5th Quintile,Tenant,No,0.98268,919,919,0.97425,0.99112
2014,1st Quintile,Owner,No,0.98334,484,484,0.97193,0.99476
2014,1st Quintile,Tenant,No,0.98808,2927,2927,0.98415,0.99201
2014,2nd Quintile,Owner,Yes,0.03108,48,1095,0.02080,0.04137
2014,2nd Quintile,Owner,No,0.96892,1047,1095,0.95863,0.97920
2014,2nd Quintile,Tenant,Yes,0.01121,34,2217,0.00683,0.01560
2014,2nd Quintile,Tenant,No,0.98879,2183,2217,0.98440,0.99317
2014,3rd Quintile,Owner,Yes,0.05002,107,1577,0.03926,0.06079
2014,3rd Quintile,Owner,No,0.94998,1470,1577,0.93921,0.96074
2014,3rd Quintile,Tenant,No,0.99031,1518,1518,0.98538,0.99524
2014,4th Quintile,Owner,Yes,0.06919,145,1717,0.05718,0.08119
2014,4th Quintile,Owner,No,0.93081,1572,1717,0.91881,0.94282
2014,4th Quintile,Tenant,No,0.97863,1184,1184,0.97039,0.98687
2014,5th Quintile,Owner,Yes,0.07338,176,2155,0.06237,0.08440
2014,5th Quintile,Owner,No,0.92662,1979,2155,0.91560,0.93763
2014,5th Quintile,Tenant,No,0.97790,844,844,0.96798,0.98783
2015,1st Quintile,Owner,No,0.98255,471,471,0.97072,0.99439
2015,1st Quintile,Tenant,No,0.99210,3034,3034,0.98895,0.99525
2015,2nd Quintile,Owner,Yes,0.04008,67,1087,0.02841,0.05174
