year,bula_h,regtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Urban regions,No,0.99897,105,105,0.99280,1.00514
2009,Schleswig-Holstein,Rural regions,No,0.98950,187,187,0.97486,1.00415
2009,Lower Saxony,Urban regions,No,0.99041,424,424,0.98112,0.99970
2009,Lower Saxony,Rural regions,No,0.93668,443,443,0.91397,0.95938
2009,Bremen,Urban regions,No,0.99705,71,71,0.98435,1.00975
2009,North Rhine-Westphalia,Urban regions,Yes,0.01606,34,1938,0.01046,0.02165
2009,North Rhine-Westphalia,Urban regions,No,0.98394,1904,1938,0.97835,0.98954
2009,Hesse,Urban regions,No,0.97811,541,541,0.96577,0.99045
2009,Hesse,Rural regions,No,0.98262,124,124,0.95952,1.00571
2009,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99567,433,433,0.98948,1.00186
2009,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96563,125,125,0.93356,0.99770
2009,Baden-Wuerttemberg,Urban regions,No,0.98753,1001,1001,0.98065,0.99441
2009,Baden-Wuerttemberg,Rural regions,No,0.95463,92,92,0.91188,0.99739
2009,Bavaria,Urban regions,No,0.99007,692,692,0.98268,0.99746
2009,Bavaria,Rural regions,No,0.96659,676,676,0.95304,0.98015
2009,Berlin,Urban regions,No,0.99798,422,422,0.99369,1.00227
2009,Brandenburg,Rural regions,No,0.98730,390,390,0.97617,0.99843
2009,Mecklenburg-Western Pomerania,Urban regions,No,0.99125,33,33,0.95897,1.02352
2009,Mecklenburg-Western Pomerania,Rural regions,No,0.97739,223,223,0.95783,0.99694
2009,Saxony,Urban regions,No,0.99624,377,377,0.99006,1.00243
2009,Saxony,Rural regions,No,0.96696,341,341,0.94796,0.98596
2009,Saxony-Anhalt,Urban regions,No,0.98779,87,87,0.96458,1.01100
2009,Saxony-Anhalt,Rural regions,No,0.98203,320,320,0.96746,0.99661
2009,Thuringa,Urban regions,No,0.99863,134,134,0.99234,1.00492
2009,Thuringa,Rural regions,No,0.99775,302,302,0.99240,1.00310
2010,Schleswig-Holstein,Urban regions,No,0.97491,152,152,0.94997,0.99986
2010,Schleswig-Holstein,Rural regions,No,0.98584,287,287,0.97215,0.99954
2010,Hamburg,Urban regions,No,0.99687,237,237,0.98975,1.00400
2010,Lower Saxony,Urban regions,No,0.99215,576,576,0.98494,0.99937
2010,Lower Saxony,Rural regions,No,0.96344,648,648,0.94897,0.97790
2010,North Rhine-Westphalia,Urban regions,Yes,0.01907,72,2727,0.01393,0.02420
2010,North Rhine-Westphalia,Urban regions,No,0.98093,2655,2727,0.97580,0.98607
2010,North Rhine-Westphalia,Rural regions,No,0.99144,71,71,0.96985,1.01302
2010,Hesse,Urban regions,No,0.98689,740,740,0.97869,0.99509
2010,Hesse,Rural regions,No,0.97832,190,190,0.95755,0.99908
2010,"Rhineland-Palatinate, Saarland",Urban regions,No,0.99182,568,568,0.98441,0.99923
2010,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96848,176,176,0.94260,0.99437
2010,Baden-Wuerttemberg,Urban regions,Yes,0.01859,38,1456,0.01165,0.02553
2010,Baden-Wuerttemberg,Urban regions,No,0.98141,1418,1456,0.97447,0.98835
2010,Baden-Wuerttemberg,Rural regions,No,0.94434,142,142,0.90649,0.98218
2010,Bavaria,Urban regions,Yes,0.01846,32,936,0.00983,0.02709
2010,Bavaria,Urban regions,No,0.98154,904,936,0.97291,0.99017
2010,Bavaria,Rural regions,Yes,0.03636,56,1085,0.02522,0.04750
