year,bula_h,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,North Rhine-Westphalia,Eastern Europe,0.00599,37,37,-0.01922,0.03121
2005,North Rhine-Westphalia,Eastern Europe,0.00577,32,32,-0.02090,0.03244
2008,North Rhine-Westphalia,Eastern Europe,0.00930,38,38,-0.02163,0.04022
2010,North Rhine-Westphalia,Eastern Europe,0.01060,63,63,-0.01489,0.03610
2011,North Rhine-Westphalia,Eastern Europe,0.00831,40,40,-0.02018,0.03680
2012,North Rhine-Westphalia,Eastern Europe,0.01360,76,76,-0.01261,0.03982
2012,Baden-Wuerttemberg,Eastern Europe,0.00774,33,33,-0.02263,0.03811
2012,Bavaria,Eastern Europe,0.00889,36,36,-0.02220,0.03998
2013,Lower Saxony,Eastern Europe,0.00706,57,57,-0.01487,0.02898
2013,North Rhine-Westphalia,Southern Europe,0.00232,47,226,-0.00397,0.00862
2013,North Rhine-Westphalia,Western Asia,0.00211,39,226,-0.00388,0.00809
2013,North Rhine-Westphalia,Eastern Europe,0.00882,140,226,-0.00340,0.02104
2013,Hesse,Eastern Europe,0.00734,49,49,-0.01681,0.03149
2013,"Rhineland-Palatinate, Saarland",Eastern Europe,0.00648,43,43,-0.01779,0.03075
2013,Baden-Wuerttemberg,Eastern Europe,0.00829,85,85,-0.01110,0.02767
2013,Bavaria,Eastern Europe,0.00845,104,104,-0.00923,0.02612
2014,Lower Saxony,Eastern Europe,0.00733,59,59,-0.01462,0.02928
2014,North Rhine-Westphalia,Southern Europe,0.00165,47,167,-0.00453,0.00783
2014,North Rhine-Westphalia,Eastern Europe,0.00749,120,167,-0.00563,0.02060
2014,Hesse,Eastern Europe,0.00439,34,34,-0.01817,0.02695
2014,"Rhineland-Palatinate, Saarland",Eastern Europe,0.00665,41,41,-0.01854,0.03184
2014,Baden-Wuerttemberg,Southern Europe,0.00350,35,117,-0.00725,0.01424
2014,Baden-Wuerttemberg,Eastern Europe,0.00848,82,117,-0.00821,0.02517
2014,Bavaria,Eastern Europe,0.00815,88,88,-0.01074,0.02704
2015,Lower Saxony,Eastern Europe,0.00888,56,56,-0.01592,0.03369
2015,North Rhine-Westphalia,Southern Europe,0.00117,35,186,-0.00376,0.00609
2015,North Rhine-Westphalia,Western Asia,0.00344,41,186,-0.00500,0.01188
2015,North Rhine-Westphalia,Eastern Europe,0.00566,110,186,-0.00515,0.01647
2015,Hesse,Eastern Europe,0.00621,32,32,-0.02145,0.03387
2015,"Rhineland-Palatinate, Saarland",Eastern Europe,0.00726,42,42,-0.01873,0.03324
2015,Baden-Wuerttemberg,Southern Europe,0.00594,38,105,-0.00883,0.02071
2015,Baden-Wuerttemberg,Eastern Europe,0.00834,67,105,-0.00914,0.02582
2015,Bavaria,Eastern Europe,0.00863,85,85,-0.01115,0.02841
2016,Lower Saxony,Eastern Europe,0.00843,53,53,-0.01642,0.03328
2016,North Rhine-Westphalia,Southern Europe,0.00213,41,175,-0.00472,0.00898
2016,North Rhine-Westphalia,Western Asia,0.00257,34,175,-0.00495,0.01009
2016,North Rhine-Westphalia,Eastern Europe,0.00806,100,175,-0.00523,0.02135
2016,"Rhineland-Palatinate, Saarland",Eastern Europe,0.00532,36,36,-0.01878,0.02943
2016,Baden-Wuerttemberg,Eastern Europe,0.00658,61,61,-0.01388,0.02705
2016,Bavaria,Eastern Europe,0.00891,74,74,-0.01265,0.03047
2017,Lower Saxony,Eastern Europe,0.00834,58,58,-0.01527,0.03195
2017,North Rhine-Westphalia,Southern Europe,0.00316,44,175,-0.00518,0.01149
2017,North Rhine-Westphalia,Western Asia,0.00216,33,175,-0.00474,0.00907
2017,North Rhine-Westphalia,Eastern Europe,0.00863,98,175,-0.00511,0.02237
2017,Hesse,Eastern Europe,0.00665,35,35,-0.02067,0.03397
2017,"Rhineland-Palatinate, Saarland",Eastern Europe,0.00824,42,42,-0.01943,0.03591
2017,Baden-Wuerttemberg,Southern Europe,0.00851,39,97,-0.00987,0.02689
2017,Baden-Wuerttemberg,Eastern Europe,0.00869,58,97,-0.00988,0.02726
2017,Bavaria,Eastern Europe,0.00925,76,76,-0.01242,0.03091
2018,Lower Saxony,Eastern Europe,0.00818,54,54,-0.01607,0.03243
2018,North Rhine-Westphalia,Southern Europe,0.00245,39,189,-0.00462,0.00952
2018,North Rhine-Westphalia,Western Asia,0.00256,36,189,-0.00466,0.00979
2018,North Rhine-Westphalia,Eastern Europe,0.01052,114,189,-0.00407,0.02510
2018,"Rhineland-Palatinate, Saarland",Eastern Europe,0.00640,32,32,-0.02168,0.03449
2018,Baden-Wuerttemberg,Southern Europe,0.00768,39,92,-0.01026,0.02562
2018,Baden-Wuerttemberg,Eastern Europe,0.00879,53,92,-0.01039,0.02798
2018,Bavaria,Eastern Europe,0.00880,90,90,-0.01060,0.02821
2019,Lower Saxony,Eastern Europe,0.00906,57,57,-0.01576,0.03389
2019,North Rhine-Westphalia,Southern Europe,0.00411,55,164,-0.00571,0.01393
2019,North Rhine-Westphalia,Eastern Europe,0.01143,109,164,-0.00489,0.02775
2019,"Rhineland-Palatinate, Saarland",Eastern Europe,0.01000,36,36,-0.02297,0.04298
2019,Baden-Wuerttemberg,Southern Europe,0.00901,39,91,-0.01051,0.02853
2019,Baden-Wuerttemberg,Eastern Europe,0.00905,52,91,-0.01052,0.02862
2019,Bavaria,Eastern Europe,0.00869,75,75,-0.01246,0.02983
2020,Lower Saxony,Eastern Europe,0.00344,60,60,-0.01149,0.01837
2020,North Rhine-Westphalia,Southern Europe,0.00237,56,216,-0.00413,0.00886
2020,North Rhine-Westphalia,Western Asia,0.00159,39,216,-0.00373,0.00690
2020,North Rhine-Westphalia,Eastern Europe,0.00513,121,216,-0.00442,0.01468
2020,Hesse,Eastern Europe,0.00286,34,34,-0.01535,0.02106
2020,Baden-Wuerttemberg,Southern Europe,0.00421,42,102,-0.00842,0.01683
2020,Baden-Wuerttemberg,Eastern Europe,0.00414,60,102,-0.00838,0.01667
2020,Bavaria,Southern Europe,0.00459,43,123,-0.00740,0.01658
2020,Bavaria,Eastern Europe,0.00368,80,123,-0.00707,0.01443
2021,North Rhine-Westphalia,Southern Europe,0.00342,43,125,-0.00685,0.01369
2021,North Rhine-Westphalia,Eastern Europe,0.00657,82,125,-0.00765,0.02080
2021,Baden-Wuerttemberg,Eastern Europe,0.00355,34,34,-0.01674,0.02384
2021,Bavaria,Eastern Europe,0.00624,65,65,-0.01305,0.02552
