year,age_gr,bula_h,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.01769,33,33,-0.02798,0.06335
2012,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.01462,31,31,-0.02833,0.05756
2013,17-29 y.,North Rhine-Westphalia,Eastern Europe,0.01378,32,32,-0.02726,0.05483
2013,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.01312,62,62,-0.01544,0.04167
2013,30-45 y.,Baden-Wuerttemberg,Eastern Europe,0.02192,50,50,-0.01908,0.06292
2013,30-45 y.,Bavaria,Eastern Europe,0.00822,33,33,-0.02306,0.03950
2013,46-65 y.,North Rhine-Westphalia,Eastern Europe,0.01258,41,41,-0.02196,0.04712
2013,46-65 y.,Bavaria,Eastern Europe,0.01262,39,39,-0.02287,0.04811
2014,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.01058,56,56,-0.01646,0.03763
2014,30-45 y.,Baden-Wuerttemberg,Eastern Europe,0.02219,44,44,-0.02184,0.06622
2014,46-65 y.,North Rhine-Westphalia,Eastern Europe,0.01214,37,37,-0.02364,0.04792
2014,46-65 y.,Bavaria,Eastern Europe,0.01215,31,31,-0.02705,0.05135
2015,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.00924,56,56,-0.01605,0.03453
2015,30-45 y.,Bavaria,Eastern Europe,0.00979,32,32,-0.02487,0.04445
2015,46-65 y.,North Rhine-Westphalia,Eastern Europe,0.00962,31,31,-0.02531,0.04455
2016,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.01764,50,50,-0.01922,0.05450
2017,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.01886,46,46,-0.02089,0.05861
2017,46-65 y.,North Rhine-Westphalia,Eastern Europe,0.01132,32,32,-0.02592,0.04855
2018,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.02161,48,48,-0.01996,0.06318
2018,30-45 y.,Bavaria,Eastern Europe,0.01139,37,37,-0.02328,0.04606
2018,46-65 y.,North Rhine-Westphalia,Eastern Europe,0.01526,41,41,-0.02273,0.05325
2019,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.02509,40,40,-0.02400,0.07418
2019,46-65 y.,North Rhine-Westphalia,Eastern Europe,0.01079,46,46,-0.01939,0.04096
2019,46-65 y.,Bavaria,Eastern Europe,0.01472,33,33,-0.02701,0.05645
2020,30-45 y.,North Rhine-Westphalia,Eastern Europe,0.00929,39,39,-0.02121,0.03978
2020,30-45 y.,Bavaria,Eastern Europe,0.00876,34,34,-0.02304,0.04056
2020,46-65 y.,North Rhine-Westphalia,Eastern Europe,0.00462,46,46,-0.01520,0.02444
