year,hhtyp,sampreg,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,No,0.99704,2523,2523,0.99492,0.99916
2016,Single-person household,East,No,0.99202,849,849,0.98603,0.99801
2016,Couple without children,West,Yes,0.00844,33,3085,0.00521,0.01167
2016,Couple without children,West,No,0.99156,3052,3085,0.98833,0.99479
2016,Couple without children,East,No,0.98839,999,999,0.98175,0.99504
2016,Single parent,West,Yes,0.03345,56,1188,0.02322,0.04368
2016,Single parent,West,No,0.96655,1132,1188,0.95632,0.97678
2016,Single parent,East,No,0.93352,315,315,0.90596,0.96107
2016,Couple with children,West,Yes,0.03654,173,4169,0.03085,0.04224
2016,Couple with children,West,No,0.96346,3996,4169,0.95776,0.96915
2016,Couple with children,East,Yes,0.08135,69,821,0.06264,0.10006
2016,Couple with children,East,No,0.91865,752,821,0.89994,0.93736
2016,Multi-generational household,West,No,0.97667,81,81,0.94359,1.00975
2016,Other Combinations,West,No,0.96045,162,162,0.93034,0.99056
2021,Single-person household,West,No,0.99591,2463,2463,0.99339,0.99843
2021,Single-person household,East,No,0.99660,705,705,0.99230,1.00090
2021,Couple without children,West,No,0.98989,2570,2570,0.98602,0.99376
2021,Couple without children,East,No,0.98854,810,810,0.98120,0.99587
2021,Single parent,West,Yes,0.07484,33,657,0.05470,0.09497
2021,Single parent,West,No,0.92516,624,657,0.90503,0.94530
2021,Single parent,East,No,0.93218,225,225,0.89925,0.96511
2021,Couple with children,West,Yes,0.02699,100,2611,0.02077,0.03321
2021,Couple with children,West,No,0.97301,2511,2611,0.96679,0.97923
2021,Couple with children,East,Yes,0.03898,35,551,0.02280,0.05515
2021,Couple with children,East,No,0.96102,516,551,0.94485,0.97720
2021,Multi-generational household,West,No,0.97811,56,56,0.93944,1.01678
2021,Other Combinations,West,No,0.98918,217,217,0.97539,1.00298
