year,bula_h,rentown,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Owner,No,0.98161,227,227,0.96409,0.99913
2016,Schleswig-Holstein,Tenant,No,0.95929,259,259,0.93518,0.98341
2016,Hamburg,Owner,No,0.99711,72,72,0.98463,1.00959
2016,Hamburg,Tenant,No,0.99223,187,187,0.97961,1.00485
2016,Lower Saxony,Owner,No,0.98453,679,679,0.97524,0.99382
2016,Lower Saxony,Tenant,No,0.97812,630,630,0.96668,0.98955
2016,Bremen,Owner,No,0.99574,34,34,0.97351,1.01797
2016,Bremen,Tenant,No,0.99352,69,69,0.97446,1.01259
2016,North Rhine-Westphalia,Owner,No,0.98856,1191,1191,0.98252,0.99460
2016,North Rhine-Westphalia,Tenant,Yes,0.01512,50,1691,0.00930,0.02093
2016,North Rhine-Westphalia,Tenant,No,0.98488,1641,1691,0.97907,0.99070
2016,Hesse,Owner,No,0.97491,416,416,0.95986,0.98996
2016,Hesse,Tenant,No,0.99500,543,543,0.98906,1.00094
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.98640,433,433,0.97548,0.99732
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.98791,398,398,0.97715,0.99866
2016,Baden-Wuerttemberg,Owner,No,0.98653,830,830,0.97869,0.99438
2016,Baden-Wuerttemberg,Tenant,No,0.98506,755,755,0.97640,0.99372
2016,Bavaria,Owner,No,0.98673,1071,1071,0.97988,0.99359
2016,Bavaria,Tenant,No,0.98634,1170,1170,0.97968,0.99299
2016,Berlin,Owner,No,0.99284,107,107,0.97678,1.00889
2016,Berlin,Tenant,No,0.99037,490,490,0.98171,0.99902
2016,Brandenburg,Owner,No,0.97805,247,247,0.95974,0.99636
2016,Brandenburg,Tenant,No,0.97781,295,295,0.96098,0.99465
2016,Mecklenburg-Western Pomerania,Owner,No,0.98292,104,104,0.95789,1.00794
2016,Mecklenburg-Western Pomerania,Tenant,No,0.96993,210,210,0.94678,0.99309
2016,Saxony,Owner,No,0.95203,287,287,0.92726,0.97680
2016,Saxony,Tenant,No,0.96285,542,542,0.94691,0.97879
2016,Saxony-Anhalt,Owner,No,0.97528,201,201,0.95376,0.99680
2016,Saxony-Anhalt,Tenant,No,0.98363,295,295,0.96913,0.99814
2016,Thuringa,Owner,No,0.97961,235,235,0.96150,0.99772
2016,Thuringa,Tenant,No,0.97689,292,292,0.95963,0.99415
2021,Schleswig-Holstein,Owner,No,0.99184,237,237,0.98036,1.00332
2021,Schleswig-Holstein,Tenant,No,0.96026,179,179,0.93157,0.98896
2021,Hamburg,Owner,No,0.99031,75,75,0.96799,1.01263
2021,Hamburg,Tenant,No,0.94965,186,186,0.91814,0.98116
2021,Lower Saxony,Owner,No,0.99099,548,548,0.98308,0.99891
2021,Lower Saxony,Tenant,No,0.97612,491,491,0.96261,0.98964
2021,North Rhine-Westphalia,Owner,No,0.98815,985,985,0.98139,0.99491
2021,North Rhine-Westphalia,Tenant,No,0.98416,1245,1245,0.97723,0.99110
2021,Hesse,Owner,No,0.99717,322,322,0.99136,1.00298
2021,Hesse,Tenant,No,0.99362,363,363,0.98542,1.00182
2021,"Rhineland-Palatinate, Saarland",Owner,No,0.99106,293,293,0.98026,1.00185
2021,"Rhineland-Palatinate, Saarland",Tenant,No,0.97476,229,229,0.95440,0.99512
2021,Baden-Wuerttemberg,Owner,No,0.99105,640,640,0.98375,0.99835
2021,Baden-Wuerttemberg,Tenant,No,0.97078,546,546,0.95663,0.98492
2021,Bavaria,Owner,No,0.98034,841,841,0.97095,0.98973
2021,Bavaria,Tenant,No,0.98874,869,869,0.98173,0.99576
2021,Berlin,Owner,No,0.99912,108,108,0.99350,1.00474
2021,Berlin,Tenant,No,0.99714,441,441,0.99216,1.00213
2021,Brandenburg,Owner,No,0.99555,223,223,0.98679,1.00431
2021,Brandenburg,Tenant,No,0.98191,214,214,0.96401,0.99981
2021,Mecklenburg-Western Pomerania,Owner,No,0.99770,102,102,0.98836,1.00704
2021,Mecklenburg-Western Pomerania,Tenant,No,0.99963,157,157,0.99659,1.00266
2021,Saxony,Owner,No,0.96165,253,253,0.93794,0.98536
2021,Saxony,Tenant,No,0.97533,448,448,0.96094,0.98971
2021,Saxony-Anhalt,Owner,No,0.99661,151,151,0.98730,1.00591
2021,Saxony-Anhalt,Tenant,No,0.97228,207,207,0.94986,0.99470
2021,Thuringa,Owner,No,0.97901,164,164,0.95700,1.00102
2021,Thuringa,Tenant,No,0.99638,211,211,0.98826,1.00450
